star,comment
5,밥상에 밥과 반찬은 많은데 맛있는게없다 ^_^  
5,똥을 싸는데 나올듯 나올듯.. 결국 다싸고 나왓는데 시원하지 않네..  
1,"살은 영화에 날렸다.... 배우들은 찍으면서 이해가 됬나; 좀비엑소시스트골룸검은사제들...ㅋㅋㅋ 맘비우고보면 코미디, 볼수록 어이가 없음에 황당해서 웃음만 나옴.. 노답영화  "
1,지금봤고...평점매기려고 접속했다...영화사에서 조작질한 알바가 존재한다는걸 알았고...영화는 내 평생 본 한국영화중...가장재미없는 세손가락에 꼽는다...황정민연기??  웃음밖에 안나온다...20분살짝 출연해고 무슨 ㅉㅉ 한마디로 쓰레기영화..  
1,만들기만 하고 시나리오는 관객이 쓰고? 낚시질도 정도껏..  
1,그래서무슨내용인지모르겠음  
1,보는 내내 내속에서 곡소리만 남  
1,좀 기분이 마이 드럽네 실망 스러움  
1,보지마세요.. 보는 내내 잔인하기만하고 스트레스 받아요. 제 남자친구는 결말 스포 당하고 봤는데도 이해가 안간데요..  
1,영화관에서 보기 아깝고 집에서 보면 도중에 끌 영화평점 알바들 ㅗ  
2,전달하고자는 내용이 뭐예요?무섭고잔인한게 보고싶으면 안말림.중간에 웃기도 함.그게 아니면... 새드엔딩에 찜찜한 결말과 뭐야이영화?싶음 3시간가까이나 앉아서 봤는데...반전만 거듭하다 해결못해 무책임한결말이 가져온 찝찝함....중구난방..  
1,화가 난다??기대하던 내용이 아니다??결말도 기대에 미치지 못하고 헛웃음만 남음끝에 더내용이 나올줄 알았음?  
1,나참~~!!황정민씨가 이런 말도 안되는 영화를~???일본배우는 왜 섭외한 거임?좀비는 또 왜~~???  
1,후회막급인 영화 스토리...  뭘 전달하고자 하는건지?  단지.. 이야기 맞추기? 스토리 전개되는것도 한 사람만의 포커스로 지루함.. 주변인물등 받혀주는  인물부족..  
9,여기가 바로 낚시터입니다  
1,보면서 좀답답하고 짜증낫음 괴성지르고 질질짜는것만기억남쓰레기장르  
1,이것도 영화냐. 쓰레기다  
4,도대체이건뭔가요...  
1,끝나자마자 보러가자고 한 친구 멱살 잡았음.관객을 호구로 보는 감독에 화가 남  
4,이영화 보기전 필히 영화의 장르를 보세요~  
1,남자친구랑 둘이 덜덜 떨면서봄. 야한 장면 없어서 15금인거 같은데 따지자면 25금은 할듯 진심 정서적으로 좀 안좋은 영화 같아요 심지어 남자친구는 꿈에서도 나옴. 저도 이거 보고 무서워서 화장실도 못갔어요 튀어나올까봐.  
1,개인적으로 별로....  
1,... 엑소시스트 + 좀비 입니까?! 그런거였어요?!!  
1,네이버페이 500원을 위해 쓴다  
1,"진짜 시간 아깝습니다. 게다가 길기도 하고 지루하고  여자들, 심약하신 분  안보는게 좋습니다. 잔인하고   진짜 주변인들 본다하면 말리고 싶습니다.  그리고 마무리 뭐임 ???  별반개도 아깝습니다  "
1,반전도 없고 그냥 의문만 준채 무난히 끝나는데 결말까지 더러운영화 열린결말은 좋지만 스토리가 진행하는데 왜라는 의문을 풀어주지않음  
9,"추격자, 황해, 곡성까지 도대체 다음 작품은 뭘 만들지 상상이 안간다  "
5,난해하고 좀비는 좀 불편했던 영화. 중간 중간 지루하기도 했다.  
1,최악임.. 취향타는 영화  
1,퇴마를 빙자한 최악의 고어 좀비물기분더럽다 진짜..  
1,도대체가 뭘 말하는지 모르겠음....영화를 보구 나온사람들 이게 뭐야?  
1,별로임별로임별로임별로임  
1,"그냥 ??뭐??나원참? 이런 느낌,?  "
5,현혹시키는게 감독의 목적. 그래도 긴장감을 놓을 수 없는 연출과 배우들의 호연은 좋았음.  
1,최악의 쓰레기영화 !!!!알바 아니고서야 이런영화흘 10점준다니  
1,뭔 내용이래?  기승전결도 없고 그냥   끝나  
1,처음으로글남겨보는데 노잼ㅋㅋ 너무기대를많이한듯..  좀비씬은 진짜 개황당ㅋㅋ  
1,??? 뭐지이거? ㅋㅋㅋㅋ  
1,애매모호하다. 황정민은 특별출연인듯  
1,이건 뭐 스토리는 발로 쓴것보다 못하다. 감독이 지 꼴리는데로 갖다쓴 난잡한 구성에 좋다고 의미를 부여하고 앉았으니.. 사건 전개에 개연성이 없으면 연기든 영상미든 반전이든 다 필요없다. 붕어빵에 팥이 없는거다. 평점 1점도 아깝다.  
1,똥 찝찝하게 싸고 제대로 못 닦은 느낌  
2,개연성 없고 억지스럽네요 실망이 큽니다  
1,이거볼시간에 유서를 쓰겠음쓸데없이 길고 재미없음  
5,야근하고 보지마세요 꿀잠자다 왔네 번개두방 맞을때 잠깐깼음  
1,개연성이 부족하다고 느꼈음  
1,진짜 왠만하면 보지마세요  보고나면 정신적으로도 찜찜하고 더럽고 토나와요.... 진짜 최악  
1,무척이나 실망스러운 영화임.하지만 전반적인 스토리 연결과 각각의 사건과 플롯이 전체 스토리와 어떤 연관성을 가지고 있는지 이해하기 난해합니다. 극적인 반전성을 고려하여 함 케리터에 두 개 이상의 모습을 넣는데 이것 또한 내용 이해에 혼선을 두고요  
1,나만 당할수 없다 영화끝나면 탄식이 쏟아짐  
1,최악입니다 너무 무서워요  
1,뭐가뭔지모르겟고 겁나 지루하다  
1,할말이없다..아...  
1,"범인에 대한 개연성도 부족, 일부로 관객을 헷갈리게 만듦.곽객을 모독하는 영화. 보고나면 기분이 안좋아지는 영화  "
1,노이즈 마케팅으로 홍보하는거같은데 어린애가 가족 죽이고 이런영화  최악이야.  
1,영화시간 대략 3시간 . . 졸렷다. .    끝부분  찝찝하게 마무리  
1,매주 영화보러 가는 취미를 가진 16세 아들이 오늘 이 영화보고와서 잔인하고 무섭고 끔찍하고 난해해서 다시 영화보러 가는것조차 싫어졌다고ㅜㅜ대체 이게 왜 15세냐구요ㅜㅜ잔인함의 극치ㅡㅡㅡ  
1,별점 한개도 아까움...  
1,영화보는내내 스트레스 겁나 받음 ㅜ  
1,이건 뭐 좀비도 아니고 호러도 아니고 코메디도 아니고 진심 왜만들었나 싶은?  
7,뭔가 애매하다. 내용이 이랫다 저랫다..  
1,ㅋㅋㅋ그냥ㅋㅋ이거볼시간에 집에서 쉬세옄ㅋㄱ십분전에 보고나옴ㅋㅋㅋ내가 왜 평점 안보고갔을까 후회막심....혹시라도 스포일러있을까봐 일부러 안봤더니ㅜㅜ내 불금 돌려줘  
1,잘이해가안되네요! 전 별로였습니다  
1,뭐 이런것도 영화라고.. 내 휴일을 ㅡㅡ  
2,배우들 연기만 잘하고 영화자체는 삼류영화  
1,내용이 너무 허접합니다  
5,뭔 내용인지도 모르겠고 돈이 아깝네  
1,황정민 왜썼어 ㅡㅡ 배우버리게 ㅡㅡ 괸히 기대만 하게하고 ㅡㅡ  
1,연기력은 짱인데 숨막히게 답닺하고 짜증나는 영화  
1,한국판엑소시스트인가요..보는내내찝찝햇어요ㅠㅠ으악  
1,솔직히 무섭지도 않고 잔인하기만하고웃기기도 하네오  
1,이거 와이래 찝찝하노 ...  
1,솔직히 무슨내용인지 이해가 잘안가요  
1,OO  뜨레기 열줄이상이다  
1,장르가먼지모름ㅡㅡ지경찰인게 자랑인듯  
1,영화 이상함....왜 평좀 높은건지 몰겟음..돈 아까움 진심..자증  
1,진짜 더럽고 불쾌합니다  
1,전작과는 조금 다른 내용 귀신들린 사람 이야기  
1,뭘 말하려는지는 알겠는데 꼬다꼬다 꽈배기가 될뻔  
1,뭘 볼 수 있게 만들어야지...  
1,부모님 두분에게 보여드렸다가 욕만 엄청 얻어먹었네요 뭐 이딴 영화가 다있냐고 지금도 계속 저한테 뭐라 뭐라 하시는데 참 아들로서 할말이 없네요  
2,주제전달이 미흡하고  내용등 스토리가 이해가  안됨  스릴러주제라더니  처음부터 끝까지 피번벅만으로 관객을 우롱하는 최악의영화  정말  입장료 아깝다는 생각만..  
1,음... 정신 사나운 영화다.  
1,당황스럽고 별로....왜 고평가 받았는지 모르겠음 그냥 국내기자들이 시빌워에 너무 밀리니깐 언론담합한 느낌 진짜 실망  
9,호불호가 갈리겠지만 저는 추천드리고 싶네요. 보는내내 긴장감의 연속이였어요.  
1,희대의 쓰레기 영화....;;  
1,극혐 돈아까움 ㅠ보지마요 정신건강에 해로움  
3,돈내고 스트레스받고온느낌... 영화 1도 모르는 막눈이라그런가 뭔내용인지도 모르겠고 무엇보다 이게 어째서 15세에요ㅠㅠㅠㅠ 진심 징그럽고 꿈에나올까무섭..  
3,이도저도아님....  
1,아~~장난쳐요미친거아닌가요  
1,"곡성을 보고왔다나홍진은 예수를 아주 잘 이용해서 사탄을 만들었다. 마지막 '와타시는' 좀, 웃겼던것같다. 살짝 중2병느낌...그래서 15세가 아닐까...  "
1,호불호가 갈리는 작품은 여지없이 불호우~  
1,너무징그럽고 잔인한듯..  
7,스포했던놈들 죽여버리고싶다  
2,반전은있으나 그닥 좋은영화는아닌듯  
2,이렇게 내용이 이해안가는 영화는 처음... 끝나고 뭐지? 소리가 절로나옴... 그 긴시간동안 난 뭘본거지  
1,정말 재미없는 정체불명의 영화네요. 황정민 출연이라 믿고 보러갔다가 후회만 가득하네요. 마음을 어둡고 불편하게 만드는 최고의 영화 ?  
1,시청자 우롱했단 생각밖에 안드네요. 첫장면서 보여준 성경이야기를 모토로 삼았다면 영화 내용을 보다 세심하게 구성했어야 하고 어리버리 어중이 떠중이들의 연기 내용들이 영화를 망쳐버렸네요. 그나마 황정민의 연기가 위안을  주네요.  
1,존나 재미없다 존나 의미없다  
8,끝날때까지 스릴넘친다 마지막반전...음  
6,긴장감은 내내 유지하나 해소되지 않는 찝찝함이 걸린다. 귀신영화는 좀 어이없네요  
4,무섭지도 않고 재밌지도 않은  
2,찝찝해서 별로 웰메이드긴함  
1,진짜 내용도모르겟고 잔인하기만해요  
1,황정민을 과소비한 영화시간이 아까웠습니다  
1,내용이지루하고별로였어요  
3,내용이 어렵긴한데 재미있게 잘 봤어요~  
5,역시 나홍진 감독 영화는 피범벅으로 시작해서 피범벅으로 끝나는  엔딩 크레딧이 올라간후에도 무슨 내용인지 모르겠음ㅡㅡ  
3," 곽도원,황정민,천우희 세 배우보고 보기에는 스토리가 너무 난해합니다 두시간반동안 긴장의연속ㅜ  "
1,저희는 안맞는거 같습니다.중간에 나왔어요...  
1,넘나 찝찝한것 별로야..  
7,먼 내용인지 잘 모르겠음  
5,이야기전개가... 좋은배우들데리고  
1,나는 정말 다시는 보고싶지않다 내가 본 영화중 최고별로  
1,글쎄요.... 영화 추천하고 싶지는 않아요.  
1,"이 장면은 무엇을 의미할까, 왜 이런 장면을 넣었을까 하는 궁금증에 대한 해답을 어디에서도 찾지 못했음.  "
1,줄거리가뭔지 ..결말이뭔지.  
1,어렵다ㅠㅠ흑흑어려워ㅠㅠ흑  
7,보고난 후에 뭐지??라는 생각이 들었음.  
1,무지한 무자비한 무내용  
6,분위기는 좋지만 내용은 불친절하다  
10,영화가 끝나고 엔딩크레딧이 올라오는데도 반이상의 관객들이 자리에서 일어나지 못하고있었다..  
10,자신이 겁이 정말 많지 않다면 꼭 극장에서 봐야 할 영화  
6,"공포영화로써 긴장감 있는건 좋은데, 결말은 너무 허무; 사건만 나열하고 설명도 없고....똥덜싸고 나온 느낌....  "
1,그래서 장르가 뭐라고?  
1,정신상태 악화시키는 최악의 영화였다  
1,미스터리 스릴러 영화라기 보다 코믹 액션 영화라고 생각이 드는 이유는 무엇일까?  
1,뭐죠 아니 왜 이런...  
1,그냥저냥 미끼만 던진 영화  
1,복선과 떡밥이 난해함. 감독의 의도는 알것같으나 연출이 아쉬움. 스토리는 무난하게 재밌었으나 반전이 소름돋을정도는 아니었다. 이게 끝이야??싶어서 당황스러웠던 작품  
3,그닥그랬는데 내취향은 아님  
1,재미를 떠나 어느정도는 힌트를 줘야 관객이 공감을 하고 유추를 하지 이건 뭐 밥먹는신 나오다 눈깜짝할사이에 똥싸는 신 나오는 격이네  
1,초반지루하고 몰입도 떨어지고 스토리 전개가 애매함  
1,좀비영화 같았고 무슨 내용인지 이해가 안가서 보고 난 후 답답하기만 했다  
1,재미없네요진짜이게뭐가재밌다는건지  
1,이런영화는 처음인거 같네요!실망~~  
1,내용뭔소린지하나도모르겠다  
1,기대만큼 실망 스토리이해를 못함  
1,클레멘타인급 추천드림  
5,끝까지봐도 열린결말이 워낙많아 잘모르겠네여  
6,"소리만 요란한  깡통에 끓이다만 라면같은 영화, 근데 라면은 왜 끓였어??  "
9,극장을 나온뒤의 스릴이 진짜다.  
5,별로였어요ㅠ총체적난국 ...  
3, 좀 별로였어요 뭐지?싶음 ..  
1,의도를 모르겠는 무서움  
1,런닝타임 너어무 길구요 하..배우들 연기는 좋아요...  
8,성경 얘기를 동양적으로 해석한게인상적이었음  
8,청소년이 관람 가능한 점이 이해가 가지 않아요  
5,짜증난다??무슨내용인지??진짜 정신이 피폐해짐  
6,뭐그저그렇네요 재미있지도않고  
1,별로 비추 열글자ㅎ 재미없음  
3,미끼는 내가 물은것 같다 .... 너무 기대한 모양  
1,영화내용이 생각보다 알차지않아서 아쉬웠어요계속 쫄다가 놀라다가 끝난느낌  
8,'그놈'은 바로 나홍진  
9,식상할줄알았던 황정민은 건재함을 보여줬고 배우들의 연기는 소름끼쳤다 뭔가 엔딩을 보고나니 무언가 놓쳤다는걸 깨달았다 한번더봐야하나  
1,이게 왜 15세입니까 ㅡㅡ최악이네요  
7,기운이 쭉빠져요 제대로 당하고 갑니다  
8,지릴뻔했어요 너무무서워ㅠㅠㅠ  
1,뭔 말을 하고싶은지도 모르겠고 그냥 드럽게 더러움  
9,관객과 아슬아슬 줄타기를 잘하는영화영화 시작 후에 생각보다 가볍네? 라고생각했는데 보다보면 확 집중하게되고또 그 중간중간에 긴장감을 풀었다조였다하는게 일품인 영화.  
7,한국판 워킹데드인줄...그냥그래요  
6,음...그렇기 무섭지 않아요 ㅎㅎ  
6,뭘보고온건지 모르겠다 엔딩크레딧 나올때 관객들 전부 응?? 이소리냈음  
4,그냥 저냥 그랬습니다.  
5,보는내내 두통과 매슥거림에 시달렸다나홍진 감독의 결말은 꼭 비극이고 앞 전 상황을다시한 번 생각하게 만든다  
1,계속 반전기다리다 지친영화  
1,이게 어떻게 15세인지 모르겠다 마지막은 설마 끝인가?  하는데 끝이더라 상상에 맡긴거라고 쳐도 너무 잘라먹은 느낌 곱씹을수록 찝찝  
10,거르지말거 무조건보는거 추천한다 재미는보장함 반전의연속  
5,기대와는 달리 결말이 허무함  
9,배우들의연기는  정말소오름이돋는다  
5,브라더가 환생해서 난리 굿을 부린다!! 아직도 혼란스럽고 장르가 코미디인지 공포 스릴러인지 판타지인지 모르겠다. 골룸도 출연한것도 같고. . .  
6,무엇을 말하고 싶은건지...중간중간 이해가 안가는 내용전개도 이상하고...ㅜㅜ생각을 안하면 될꺼같아요~  
1,쓰레기영화 영화보는 시간이 아까웠음  
9,"나홍진감독은 관객에게 미끼를 던졌고, 관객은 그걸물고 미끼인지 아닌지 의심하다가 결국 미끼를 삼켰다. 관객은 곡성주민이되고 나홍진이라는 악마에게 현혹되었다.  "
8,그 동안 지지부진했던 한국 영화계에 오랜만에 등장한 수작  
7,기대가 크면 실망도 크다 라지만 애초부터  기대를 안했다  
7,결말 너무 찝찝....  
10,"눈에 보이는 것이 맞는가 보이지 않는것이 맞는가 혹은 다른 문제들을,, 다른 관점에서 다른 해답이 기대되는 영화  "
1,개노잼보지마세요돈날라감  
8,그냥 한번 봐보세요 다른사람 의견 별로 안 중요함  
1,완전별로 반전도 이상하고 그냥 징그럽고 무섭기만 했던영화ㅋㅋ돈아까웠음ㅜㅜ차라리 시빌워를 2번볼것을ㅋㅋㅋㅋ개무서움ㅜㅜ 애기도무섭고 일본사람도무섭고ㅠㅠ 꿈에 나올까봐 더 무서웠음ㅋㅋ황정민나온다해서 본건데 완전 실몽임ㅋㅋㅋ  
1,돈이아깝고 2탄만들어서 느그들삶아먹어라  
2,황정민도 못살린 영화 ㅠ  
8,이해는 잘 안되지만 연기력이 좋았다!!!  
10,이건 뭐... 미쳤네 미쳤어  
6,호불호가 갈릴이유가잇네요. 저는 불호인디요. 영화가 말하고자하는 바가 뭔지 모르겟어오. 연기들은 훌륭하다만  
10,곱씹으면씹을수록 단맛이나는 쌀알같은영화입니다.두번봤는데 아 첫번째볼땐몰랐을까?하는복선도 많이발견하고 두번째가 더경의롭고 재밋게즐길수있었습니다.어떠한 방면으로해석하냐에따라 여러가지 결말과 구도가나오고 많이생각해볼수있게해주는 영화 꼭보세요!  
10,"시간 가는줄 모르고 보긴했는데, 많은 생각을 하게만드는 영화인거 같아요!  "
10,이영화 진짜꼭 보세요 영화못볼줄모르시면 보지마시구요..  
5,의도에 의한건지 모르겠지만..결말이 아쉽다..보는내내 불편한 기분을 주는 영화는 처음인듯~  
4,무섭긴진짜무서운데내용이해하기는진짜어렵네요ㄷㄷ  
6,어르신들이 보기엔 다소 혐오스러운 장면도 있었던것 같습니다  
3,결말이 중간에 끝난듯한 느낌..?  
5,어떤 이야기를 하고자 하는지는 알겠으나 그 보여주는 요소들이 너무 많아서 오히려 나중에 지루해짐  
1,기대가컷던만큼 실망햇음  
1,화장실을못가겠다..ㅠㅠ  
1,뭔내용인지하나도모르겠고 심지어 무섭지도않음  
10,"단순한 귀신영화가 아니라 보다 훨씬 심오한 오컬트, 악마, 엑소시즘, 종교적인 공포영화를 좋아하는 사람들에게는 진짜 엄청;; 무서운 영화입니다... 개연성 작품성 복선 장치 뭐하나 흠 하나 없이 완벽합니다  "
10,일광이 이 영화의 모든 비밀을 풀어줄거라고 생각한 나는 감독한테 한방 먹었다  
2,영화 내용을 정확히 이해를 못하겟다..영화 보는 내내 무서움과 긴장감..  끝날때까지 놓지못했다...이영화.. 추천하고싶지않아요...  
10,난 재미만있던데... 결말도 상당했음  
9,와진짜 귀신나오는 무서운영화는 잘보는데이건진짜 눈가리면서봄  
10,와 ... 진짜 귀저기준비하고 보셈 개굳  
10,미쳤다 진짜...머리 아픔..ㅠㅠ  
9,악과 신성은 한몸이로고  
4,감독이 관객에게 낚시하는 영화  
10,곡성 곡소리나게 잼있다  
1,솔직히 별로에융~잘 모르게네요  
1,퇴근길에 차막혀서 영화을못봤어요!!!  
1,황정민 바지벗을때 소름쫙  
1,뭔가 내용이 어설프고 반 기독교적이네요돈이 아끼비  
1,"네이버 페이 준다니까,  "
1,내용도 별로고 이해하기어려운감이 있네요 비추~~!!!!  
1,개인적으로 핵노잼인듯합니다  
10,왜최악이라는지 노이해  
1,돈주고 본 영화중에 최악근데 내 옆자리에 앉아 같이본 남편의 최고였댄다.진짜 평이 극과극이라더니  
