"키값","약국이름","행정시","행정구","행정동","전화번호"
"BE_LiST22-0123","Seoul Gomyeong Pharmacy","Seoul","Seongbuk-gu","Donam1-dong","923-6811"
"BE_LiST22-0124","Alpha Pharmacy","Seoul","Seongbuk-gu","Seongbuk-dong","918-7692"
"BE_LiST22-0125","Onnuri Cheongsu Pharmacy","Seoul","Seongbuk-gu","Jeongneung4-dong","913-2328"
"BE_LiST22-0126","Yeongsaeng Pharmacy","Seoul","Seongbuk-gu","Jongam-dong","928-5777"
"BE_LiST22-0127","Sinseonmyeong Pharmacy","Seoul","Seongbuk-gu","Seokgwan-dong","966-5913"
"BE_LiST22-0128","Daerimdang Pharmacy","Seoul","Seongbuk-gu","Gireum1-dong","913-0832"
"BE_LiST22-0129","Jaseong Pharmacy","Seoul","Seongbuk-gu","Anam-dong","928-8974"
"BE_LiST22-0130","Busan Pharmacy","Seoul","Seongbuk-gu","Jangwi2-dong","915-4560"
"BE_LiST22-0131","Jeongneung Pharmacy","Seoul","Seongbuk-gu","Jeongneung4-dong","914-3982"
"BE_LiST22-0132","Daegeon Pharmacy","Seoul","Seongbuk-gu","Jeongneung1-dong","914-6815"
"BE_LiST22-0133","Taemyeong Pharmacy","Seoul","Seongbuk-gu","Jangwi3-dong","915-1365"
"BE_LiST22-0134","Namjin Pharmacy","Seoul","Seongbuk-gu","Gireum1-dong","913-9270"
"BE_LiST22-0135","Sejong Pharmacy","Seoul","Seongbuk-gu","Jeongneung4-dong","914-3685"
"BE_LiST22-0136","Onnuri Jae Pharmacy","Seoul","Seongbuk-gu","Bomun-dong","926-6678"
"BE_LiST22-0137","Inhyeon Pharmacy","Seoul","Seongbuk-gu","Jangwi1-dong","918-7353"
"BE_LiST22-0138","Bogeon Pharmacy","Seoul","Seongbuk-gu","Jangwi1-dong","915-1336"
"BE_LiST22-0139","Baekgyeong Pharmacy","Seoul","Seongbuk-gu","Seokgwan-dong","963-8974"
"BE_LiST22-0140","Dongseon Pharmacy","Seoul","Seongbuk-gu","Dongseon-dong","923-7731"
"BE_LiST22-0141","Subo Pharmacy","Seoul","Seongbuk-gu","Jeongneung3-dong","914-1555"
"BE_LiST22-0142","Gwanmun Pharmacy","Seoul","Seongbuk-gu","Jangwi3-dong","915-1241"
"BE_LiST22-0143","Guwon Pharmacy","Seoul","Seongbuk-gu","Wolgok2-dong","913-1139"
"BE_LiST22-0144","Nabaron Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","762-6300"
"BE_LiST22-0145","Saeminu Pharmacy","Seoul","Seongbuk-gu","Jeongneung1-dong","917-4275"
"BE_LiST22-0146","Good Morning Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","913-3623"
"BE_LiST22-0147","Somang Pharmacy","Seoul","Seongbuk-gu","Jeongneung1-dong","918-8055"
"BE_LiST22-0148","Jangil Pharmacy","Seoul","Seongbuk-gu","Jeongneung1-dong","916-8373"
"BE_LiST22-0149","Dongbu Pharmacy","Seoul","Seongbuk-gu","Gireum2-dong","983-7950"
"BE_LiST22-0150","Gungmin Pharmacy","Seoul","Seongbuk-gu","Jeongneung3-dong","914-5782"
"BE_LiST22-0151","Modang Pharmacy","Seoul","Seongbuk-gu","Dongseon-dong","925-4465"
"BE_LiST22-0152","Sewon Pharmacy","Seoul","Seongbuk-gu","Dongseon-dong","922-6060"
"BE_LiST22-0153","Onnuri Minu Pharmacy","Seoul","Seongbuk-gu","Seokgwan-dong","969-4582"
"BE_LiST22-0154","Onnuri Jinho Pharmacy","Seoul","Seongbuk-gu","Seokgwan-dong","964-1944"
"BE_LiST22-0155","Seungil Pharmacy","Seoul","Seongbuk-gu","Jangwi3-dong","915-4057"
"BE_LiST22-0156","Daehak Pharmacy","Seoul","Seongbuk-gu","Anam-dong","924-1919"
"BE_LiST22-0157","Hyejo Pharmacy","Seoul","Seongbuk-gu","Jongam-dong","922-5076"
"BE_LiST22-0158","Simhwa Pharmacy","Seoul","Seongbuk-gu","Jangwi1-dong","911-4642"
"BE_LiST22-0159","Wolgok Pharmacy","Seoul","Seongbuk-gu","Wolgok2-dong","913-2900"
"BE_LiST22-0160","Geonganghan Pharmacy","Seoul","Seongbuk-gu","Wolgok1-dong","916-6445"
"BE_LiST22-0161","Onnuri Seongmo Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","927-1282"
"BE_LiST22-0162","Hwaseong Pharmacy","Seoul","Seongbuk-gu","Wolgok1-dong","913-8936"
"BE_LiST22-0163","Taepyeongyang Pharmacy","Seoul","Seongbuk-gu","Jeongneung4-dong","919-2525"
"BE_LiST22-0164","Bumin Pharmacy","Seoul","Seongbuk-gu","Wolgok2-dong","912-7393"
"BE_LiST22-0165","Onnuri Dusan Pharmacy","Seoul","Seongbuk-gu","Seokgwan-dong","959-2668"
"BE_LiST22-0166","Gwanghyedang Pharmacy","Seoul","Seongbuk-gu","Jangwi2-dong","942-5199"
"BE_LiST22-0167","Cheongsipja Pharmacy","Seoul","Seongbuk-gu","Bomun-dong","923-2393"
"BE_LiST22-0168","Hana Onnuri Pharmacy","Seoul","Seongbuk-gu","Wolgok2-dong","914-0035"
"BE_LiST22-0169","Mirae Pharmacy","Seoul","Seongbuk-gu","Anam-dong","924-5264"
"BE_LiST22-0170","Yeon Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","3675-5778"
"BE_LiST22-0171","Samwon Pharmacy","Seoul","Seongbuk-gu","Jongam-dong","941-8550"
"BE_LiST22-0172","Bomun Pharmacy","Seoul","Seongbuk-gu","Bomun-dong","921-3844"
"BE_LiST22-0173","Wellbeing Ujeong Pharmacy","Seoul","Seongbuk-gu","Wolgok1-dong","941-1923"
"BE_LiST22-0174","Sinsewon Pharmacy","Seoul","Seongbuk-gu","Gireum1-dong","909-0928"
"BE_LiST22-0175","Baekdusan Pharmacy","Seoul","Seongbuk-gu","Anam-dong","927-2792"
"BE_LiST22-0176","Hansol Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","926-6479"
"BE_LiST22-0177","Chamsarang Pharmacy","Seoul","Seongbuk-gu","Jangwi1-dong","942-3137"
"BE_LiST22-0178","Jeongneung Medical Pharmacy","Seoul","Seongbuk-gu","Jeongneung1-dong","912-2727"
"BE_LiST22-0179","Jiseon Pharmacy","Seoul","Seongbuk-gu","Jangwi2-dong","911-1996"
"BE_LiST22-0180","21st Century Goryeo Pharmacy","Seoul","Seongbuk-gu","Anam-dong","929-9696"
"BE_LiST22-0181","Optima Simin Pharmacy","Seoul","Seongbuk-gu","Bomun-dong","928-8663"
"BE_LiST22-0182","Ansae Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","2202-4484"
"BE_LiST22-0183","Gilleum Medical Pharmacy","Seoul","Seongbuk-gu","Gireum1-dong","915-5777"
"BE_LiST22-0184","Jun Pharmacy","Seoul","Seongbuk-gu","Seongbuk-dong","764-4835"
"BE_LiST22-0185","Haeoreum Pharmacy","Seoul","Seongbuk-gu","Jeongneung4-dong","912-2302"
"BE_LiST22-0186","Miso Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","744-4415"
"BE_LiST22-0187","Medical Pham Pharmacy","Seoul","Seongbuk-gu","Wolgok1-dong","909-0508"
"BE_LiST22-0188","Geu Pharmacy","Seoul","Seongbuk-gu","Jeongneung4-dong","911-0488"
"BE_LiST22-0189","Seon Pharmacy","Seoul","Seongbuk-gu","Jangwi1-dong","942-4553"
"BE_LiST22-0190","Cheongsol Pharmacy","Seoul","Seongbuk-gu","Jangwi3-dong","909-8067"
"BE_LiST22-0191","Dongin Pharmacy","Seoul","Seongbuk-gu","Dongseon-dong","926-3533"
"BE_LiST22-0192","Aisarang Pharmacy","Seoul","Seongbuk-gu","Jeongneung1-dong","070-8616-4340"
"BE_LiST22-0285","Vitamin ","Seoul","Dobong-gu","Chang1-dong","902-4797"
"BE_LiST22-0342","Daewoo Silloam Pharmacy","Seoul","Yangcheon-gu","Sinwol5-dong","2602-6489"
"BE_LiST22-0343","Mart Onnuri Pharmacy","Seoul","Yangcheon-gu","Mok1-dong","2651-3467"
"BE_LiST22-0344","Medipham Samseong Pharmacy","Seoul","Yangcheon-gu","Mok1-dong","2643-9685"
"BE_LiST22-0345","Munhwa Pharmacy","Seoul","Yangcheon-gu","Sinwol7-dong","2602-5602"
"BE_LiST22-0346","Sujeong Pharmacy","Seoul","Yangcheon-gu","Sinjeong3-dong","2644-3395"
"BE_LiST22-0347","Sinwolsijang Pharmacy","Seoul","Yangcheon-gu","Sinwol1-dong","2602-7613"
"BE_LiST22-0348","Yein Pharmacy","Seoul","Yangcheon-gu","Sinwol7-dong","2692-4373"
"BE_LiST22-0349","Orangelime Pharmacy","Seoul","Yangcheon-gu","Sinjeong4-dong","2601-8557"
"BE_LiST22-0350","World Pharmacy","Seoul","Yangcheon-gu","Mok5-dong","6678-2244"
"BE_LiST22-0351","Eunhye Pharmacy","Seoul","Yangcheon-gu","Sinjeong4-dong","2698-1635"
"BE_LiST22-0352","Jaemin Pharmacy","Seoul","Yangcheon-gu","Sinwol1-dong","2603-3918"
"BE_LiST22-0353","Cheongsong Onnuri Pharmacy","Seoul","Yangcheon-gu","Mok4-dong","2651-5319"
"BE_LiST22-0354","Gangseo Yeonsae Pharmacy","Seoul","Gangseo-gu","Hwagok6-dong","2606-1531"
"BE_LiST22-0355","Daehyeon Onnuri Pharmacy","Seoul","Gangseo-gu","Deungchon1-dong","2668-2525"
"BE_LiST22-0356","Bayer Pharmacy","Seoul","Gangseo-gu","Hwagok1-dong","2607-0217"
"BE_LiST22-0357","Hanbit Pharmacy","Seoul","Gangseo-gu","Deungchon3-dong","2658-7371"
"BE_LiST22-0358","Buyeong Pharmacy","Seoul","Gangseo-gu","Deungchon3-dong","3663-1809"
"BE_LiST22-0359","Gayang Jongno Pharmacy","Seoul","Gangseo-gu","Deungchon3-dong","2659-2356"
"BE_LiST22-0360","Yeonsudang Pharmacy","Seoul","Gangseo-gu","Hwagok8-dong","2694-7582"
"BE_LiST22-0361","Uri Onnuri Pharmacy","Seoul","Gangseo-gu","Hwagok1-dong","2692-7020"
"BE_LiST22-0362","21C Saegyero Pharmacy","Seoul","Gangseo-gu","Ujangsan-dong","2607-0624"
"BE_LiST22-0363","Jeil Medical Pharmacy","Seoul","Gangseo-gu","Hwagok1-dong","6402-3579"
"BE_LiST22-0364","Gukjae Gonghang Pharmacy","Seoul","Gangseo-gu","Banghwa2-dong","2664-1350"
"BE_LiST22-0365","Taepyeongyang Pharmacy","Seoul","Gangseo-gu","Hwagok4-dong","2652-7214"
"BE_LiST22-0366","Sol Pharmacy","Seoul","Gangseo-gu","Deungchon1-dong","3662-8899"
"BE_LiST22-0367","Yeseong Pharmacy","Seoul","Gangseo-gu","Hwagok1-dong","2699-9513"
"BE_LiST22-0368","Cheongwa Pharmacy","Seoul","Guro-gu","Garibong-dong","855-1482"
"BE_LiST22-0369","Joeun Pharmacy","Seoul","Guro-gu","Gaebong1-dong","2615-6999"
"BE_LiST22-0370","Taeyeong Plaza Pharmacy","Seoul","Guro-gu","Sindorim-dong","2068-5733"
"BE_LiST22-0371","Yeollin Pharmacy","Seoul","Guro-gu","Gocheok2-dong","2625-6040"
"BE_LiST22-0372","Guro Plaza Pharmacy","Seoul","Guro-gu","Gaebong3-dong","2613-6044"
"BE_LiST22-0373","Hanmaeul Pharmacy","Seoul","Guro-gu","Gaebong1-dong","2613-3006"
"BE_LiST22-0374","Family Pharmacy","Seoul","Guro-gu","Gocheok2-dong","2683-3785"
"BE_LiST22-0375","Aisarang Taepyeongyang Pharmacy","Seoul","Guro-gu","Guro5-dong","853-3001"
"BE_LiST22-0376","Jongno Plaza Pharmacy","Seoul","Guro-gu","Guro4-dong","839-7422"
"BE_LiST22-0377","Medisin Pharmacy","Seoul","Guro-gu","Gocheok2-dong","2687-0322"
"BE_LiST22-0378","Daehak Pharmacy","Seoul","Guro-gu","Guro2-dong","865-4910"
"BE_LiST22-0379","Cham Onnuri Pharmacy","Seoul","Guro-gu","Oryu2-dong","070-4222-1177"
"BE_LiST22-0380","Gasan Pharmacy","","","","838-1158"
"BE_LiST22-0381","Thomas Pharmacy","","","","855-3843"
"BE_LiST22-0382","Sinyang Nuri Pharmacy","","","","804-1230"
"BE_LiST22-0383","Medipham Keunsarang Pharmacy","","","","805-8943"
"BE_LiST22-0384","Yungyeon Pharmacy","","","","802-5639, 838-9256"
"BE_LiST22-0385","Hanjung Pharmacy","","","","804-6985"
"BE_LiST22-0386","Jeonjinsang Pharmacy","","","","802-9314"
"BE_LiST22-0387","Mommy Pharmacy","","","","895-8902"
"BE_LiST22-0388","Plaza Pharmacy","","","","2026-0011"
"BE_LiST22-0389","Pyeongan Onnuri Pharmacy","Seoul","Yeongdeungpo-gu","Yangpyeong2-dong","2634-6769"
"BE_LiST22-0390","Yukgyo Pharmacy","Seoul","Yeongdeungpo-gu","Singil4-dong","833-4830"
"BE_LiST22-0391","Seoul Onnuri Pharmacy","Seoul","Yeongdeungpo-gu","Dangsan1-dong","3667-1360"
"BE_LiST22-0392","Bubujeong Pharmacy","Seoul","Yeongdeungpo-gu","Dangsan2-dong","2676-8288"
"BE_LiST22-0393","Seongyeong Pharmacy","Seoul","Yeongdeungpo-gu","Yeoui-dong","786-1192"
"BE_LiST22-0394","Ido Pharmacy","Seoul","Yeongdeungpo-gu","Dangsan1-dong","2633-7167"
"BE_LiST22-0395","Heukseok Pharmacy","Seoul","Dongjak-gu","Heukseok-dong","884-1511"
"BE_LiST22-0396","Daeil Pharmacy","Seoul","Dongjak-gu","Sadang2-dong","591-4655"
"BE_LiST22-0397","Hyoseong Pharmacy","Seoul","Dongjak-gu","Sangdo2-dong","813-0467"
"BE_LiST22-0398","Hwasaeng Pharmacy","Seoul","Dongjak-gu","Noryangjin2-dong","813-1551"
"BE_LiST22-0399","Gangrim Pharmacy","Seoul","Dongjak-gu","Sindaebang1-dong","832-8975"
"BE_LiST22-0400","Optima Dajeong Pharmacy","Seoul","Dongjak-gu","Sadang2-dong","595-8804"
"BE_LiST22-0401","Seongdae Pharmacy","Seoul","Dongjak-gu","Sangdo4-dong","821-1519"
"BE_LiST22-0402","Boramae Daehak Pharmacy","Seoul","Dongjak-gu","Sindaebang2-dong","831-1922"
"BE_LiST22-0403","Haeddeuneun Pharmacy","Seoul","Dongjak-gu","Sangdo1-dong","816-3869"
"BE_LiST22-0404","Sadang Plaza Pharmacy","Seoul","Dongjak-gu","Sadang4-dong","3474-4170"
"BE_LiST22-0405","Hanbit Pyeonghwa Pharmacy","Seoul","Dongjak-gu","Sindaebang1-dong","848-4566"
"BE_LiST22-0406","Sindaebang Pharmacy","Seoul","Dongjak-gu","Daebang-dong","822-1344"
"BE_LiST22-0407","Haegadeun Pharmacy","Seoul","Dongjak-gu","Sadang2-dong","821-8531"
"BE_LiST22-0408","Keunsarang Pharmacy","Seoul","Dongjak-gu","Sangdo1-dong","826-8976"
"BE_LiST22-0409","Yeollin Pharmacy","Seoul","Dongjak-gu","Sindaebang2-dong","849-8250"
"BE_LiST22-0410","Sinsemyeong Pharmacy","Seoul","Dongjak-gu","Heukseok-dong","812-0993"
"BE_LiST22-0411","Badauibyeol Pharmacy","Seoul","Dongjak-gu","Sangdo2-dong","821-3130"
"BE_LiST22-0412","Sinjungang Pharmacy","Seoul","Dongjak-gu","Heukseok-dong","822-0443"
"BE_LiST22-0413","Boramae Joeun Pharmacy","Seoul","Dongjak-gu","Sindaebang2-dong","833-9505"
"BE_LiST22-0414","Geumgang Pharmacy","Seoul","Dongjak-gu","Noryangjin1-dong","817-1918"
"BE_LiST22-0415","Eommarang Pharmacy","Seoul","Dongjak-gu","Noryangjin2-dong","813-1593"
"BE_LiST22-0416","Chinjeolhan Pharmacy","Seoul","Dongjak-gu","Sadang4-dong","584-0072"
"BE_LiST22-0417","Taepyeongyang Pharmacy","Seoul","Dongjak-gu","Sadang3-dong","3477-9477"
"BE_LiST22-0418","Jeongdaun Pharmacy","Seoul","Dongjak-gu","Noryangjin1-dong","6267-7575"
"BE_LiST22-0419","Teunteun Pharmacy","Seoul","Gwanak-gu","Sinwon-dong","856-0528"
"BE_LiST22-0420","Orange Pharmacy","Seoul","Gwanak-gu","Nakseongdae-dong","888-5887"
"BE_LiST22-0421","Bongcheon Plaza Pharmacy","Seoul","Gwanak-gu","Cheongnyong-dong","875-1711"
"BE_LiST22-0422","Injae Pharmacy","Seoul","Gwanak-gu","Samseong-dong","877-8597"
"BE_LiST22-0423","Hanmi Pharmacy","Seoul","Gwanak-gu","Samseong-dong","878-7949"
"BE_LiST22-0424","Bomnae Pharmacy","Seoul","Gwanak-gu","Cheongnyong-dong","882-8234"
"BE_LiST22-0001","Geongang Pharmacy","Seoul","Jongno-gu","Hyehwa-dong","764-9918"
"BE_LiST22-0002","Gongsaeng Pharmacy","Seoul","Jongno-gu","Jongno5.6ga-dong","2273-7826"
"BE_LiST22-0003","Green Pharmacy","Seoul","Jongno-gu","Changsin1-dong","745-2112"
"BE_LiST22-0004","Noksipja Pharmacy","Seoul","Jongno-gu","Changsin2-dong","765-2766"
"BE_LiST22-0005","Dangol Pharmacy","Seoul","Jongno-gu","Sungin1-dong","745-0731"
"BE_LiST22-0006","Daeseong Pharmacy","Seoul","Jongno-gu","Changsin1-dong","743-5800"
"BE_LiST22-0007","Daeseoul Pharmacy","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","762-6060"
"BE_LiST22-0008","Daehak Pharmacy","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","3672-3672"
"BE_LiST22-0009","Dokil Pharmacy","Seoul","Jongno-gu","Changsin1-dong","764-5511"
"BE_LiST22-0286","Humun","Seoul","Dobong-gu","Chang1-dong","995-8588"
"BE_LiST22-0287","Geongangjaeil Green Cross Pharmacy","Seoul","Dobong-gu","Ssangmun2-dong","906-1024"
"BE_LiST22-0288","Jongno Saemyeong Pharmacy","Seoul","Dobong-gu","Banghak2-dong","3492-9963"
"BE_LiST22-0289","Cheongsu Pharmacy","Seoul","Dobong-gu","Banghak2-dong","3493-6912"
"BE_LiST22-0290","Ssangmun Sangnoksu Pharmacy","Seoul","Gangbuk-gu","Ui-dong","990-0600"
"BE_LiST22-0291","Ewha Pharmacy","Seoul","Nowon-gu","Junggyebon-dong","951-6102"
"BE_LiST22-0292","Nahyeon Pharmacy","Seoul","Nowon-gu","Sanggye2-dong","936-7718"
"BE_LiST22-0293","Sinheung Pharmacy","Seoul","Nowon-gu","Hagye1-dong","974-3414"
"BE_LiST22-0294","Pyeonggang Sangnoksu Pharmacy","Seoul","Nowon-gu","Sanggye8-dong","935-6644"
"BE_LiST22-0295","Yurim Pharmacy","Seoul","Nowon-gu","Sanggye1-dong","930-6858"
"BE_LiST22-0296","Madeul Soa Pharmacy","Seoul","Nowon-gu","Sanggye9-dong","932-3900"
"BE_LiST22-0297","Pureunbada Pharmacy","Seoul","Nowon-gu","Wolgye1-dong","941-3838"
"BE_LiST22-0298","Seogyeong Pharmacy","Seoul","Nowon-gu","Sanggye5-dong","933-0747"
"BE_LiST22-0299","Cham Pharmacy","Seoul","Nowon-gu","Hagye2-dong","979-2204"
"BE_LiST22-0300","Madeul Hanjung Pharmacy","Seoul","Nowon-gu","Sanggye8-dong","937-3393"
"BE_LiST22-0301","Medipham Pharmacy","Seoul","Eunpyeong-gu","Sinsa1-dong","372-9791"
"BE_LiST22-0302","Seonu Pharmacy","Seoul","Eunpyeong-gu","Sinsa1-dong","302-5583"
"BE_LiST22-0303","Seonghwan Pharmacy","Seoul","Eunpyeong-gu","Yeokchon-dong","355-8374"
"BE_LiST22-0304","Sowon Pharmacy","Seoul","Eunpyeong-gu","Susaek-dong","372-6474"
"BE_LiST22-0305","Sinsusaek Taepyeongyang Pharmacy","Seoul","Eunpyeong-gu","Susaek-dong","307-7579"
"BE_LiST22-0306","Onnuri Saesomang Pharmacy","Seoul","Eunpyeong-gu","Susaek-dong","309-3771"
"BE_LiST22-0307","Yujin Pharmacy","Seoul","Eunpyeong-gu","Galhyeon2-dong","384-8877"
"BE_LiST22-0308","Chamsarang Pharmacy","Seoul","Eunpyeong-gu","Eungam1-dong","356-7676"
"BE_LiST22-0309","Choi Pharmacy","Seoul","Eunpyeong-gu","Susaek-dong","302-7121"
"BE_LiST22-0310","Onnuri Solbit Pharmacy","Seoul","Eunpyeong-gu","Yeokchon-dong","355-8224"
"BE_LiST22-0311","Yujeong Pharmacy","Seoul","Eunpyeong-gu","Bulgwang2-dong","355-6270"
"BE_LiST22-0312","Yeonhui Withpham Pharmacy","Seoul","Seodaemun-gu","Sinchon-dong","02-312-6949"
"BE_LiST22-0313","Doksuri Pharmacy","Seoul","Seodaemun-gu","Sinchon-dong","02-3147-0770"
"BE_LiST22-0314","Daehak Pharmacy","Seoul","Seodaemun-gu","Sinchon-dong","02-323-0111"
"BE_LiST22-0315","Hansarang Onnuri Pharmacy","Seoul","Seodaemun-gu","Sinchon-dong","02-364-5455"
"BE_LiST22-0316","Jeongmun Pharmacy","Seoul","Seodaemun-gu","Sinchon-dong","02-324-4652"
"BE_LiST22-0317","Withpham Sinchon Pharmacy","Seoul","Seodaemun-gu","Sinchon-dong","02-312-5103"
"BE_LiST22-0318","Saeyeon Pharmacy","Seoul","Seodaemun-gu","Sinchon-dong","02-364-6141"
"BE_LiST22-0319","Hongjaebom Pharmacy","Seoul","Seodaemun-gu","Hongje1-dong","02-394-3599"
"BE_LiST22-0320","Sandeul Pharmacy","Seoul","Seodaemun-gu","Hongje3-dong","02-723-9887"
"BE_LiST22-0321","Seoul Sol Pharmacy","Seoul","Seodaemun-gu","Hongje2-dong","02-998-9310"
"BE_LiST22-0322","Hanmi Pharmacy","Seoul","Seodaemun-gu","Namgajwa1-dong","02-375-3548"
"BE_LiST22-0323","Yeonhui Jongno Pharmacy","Seoul","Seodaemun-gu","Yeonhui-dong","02-3141-4040"
"BE_LiST22-0324","Pureun Pharmacy","Seoul","Seodaemun-gu","Namgajwa2-dong","02-373-0547"
"BE_LiST22-0325","Ilsim Pharmacy","Seoul","Seodaemun-gu","Sinchon-dong","02-392-3333"
"BE_LiST22-0326","Mari Pharmacy","Seoul","Mapo-gu","Ahyeon-dong","6009-1166"
"BE_LiST22-0327","Optima Ganghwa Pharmacy","Seoul","Mapo-gu","Seogyo-dong","337-6969"
"BE_LiST22-0328","Dana Pharmacy","Seoul","Mapo-gu","Daheung-dong","715-3133"
"BE_LiST22-0329","Vitamin Pharmacy","Seoul","Mapo-gu","Daheung-dong","713-6563"
"BE_LiST22-0330","Segwang Tower Pharmacy","Seoul","Mapo-gu","Daheung-dong","701-2141"
"BE_LiST22-0331","Mapo Jongno Pharmacy","Seoul","Mapo-gu","Mangwon1-dong","336-3496"
"BE_LiST22-0332","Taepyeongyang Pharmacy","Seoul","Mapo-gu","Seogyo-dong","322-8344"
"BE_LiST22-0333","Udae Pharmacy","Seoul","Mapo-gu","Gongdeok-dong","718-4897"
"BE_LiST22-0334","Jeulgeoun Pharmacy","Seoul","Mapo-gu","Yeomni-dong","714-7588"
"BE_LiST22-0335","Medipham Sinmapo Pharmacy","Seoul","Mapo-gu","Seogang-dong","324-4625"
"BE_LiST22-0336","Sinchon Saemin Pharmacy","Seoul","Mapo-gu","Seogyo-dong","323-0900"
"BE_LiST22-0337","Hyundae Madical Pharmacy","Seoul","Yangcheon-gu","Mok1-dong","2163~3968"
"BE_LiST22-0338","Yein Pharmacy","Seoul","Yangcheon-gu","Sinwol7-dong","2693~4373"
"BE_LiST22-0339","World Pharmacy","Seoul","Yangcheon-gu","Mok5-dong","6678~2244"
"BE_LiST22-0425","Yangsaeng Pharmacy","Seoul","Gwanak-gu","Nakseongdae-dong","872-9954"
"BE_LiST22-0426","Brownstone Pharmacy","Seoul","Seocho-gu","Seocho1-dong","02-598-2545"
"BE_LiST22-0427","Haengboknanum Pharmacy","Seoul","Seocho-gu","Banpo1-dong","02-533-3107"
"BE_LiST22-0428","Segyero Pharmacy","Seoul","Seocho-gu","Bangbae2-dong","02-3474-2599"
"BE_LiST22-0429","Mingyeong Pharmacy","Seoul","Seocho-gu","Jamwon-dong","02-517-0072"
"BE_LiST22-0430","Ara Pharmacy","Seoul","Seocho-gu","Seocho4-dong","02-530-8575"
"BE_LiST22-0431","Noksipja Pharmacy","Seoul","Seocho-gu","Bangbae4-dong","02-533-5287"
"BE_LiST22-0432","Duri Pharmacy","Seoul","Seocho-gu","Seocho2-dong","02-583-9305"
"BE_LiST22-0433","Neulpureun Pharmacy","Seoul","Seocho-gu","Seocho3-dong","02-597-4425"
"BE_LiST22-0434","Dana Pharmacy","Seoul","Seocho-gu","Seocho3-dong","02-597-3514"
"BE_LiST22-0435","Yangjae Pham 24 Pharmacy","Seoul","Seocho-gu","Seocho2-dong","02-581-8224"
"BE_LiST22-0436","Sino Pharmacy","Seoul","Seocho-gu","Seocho4-dong","02-3482-3562"
"BE_LiST22-0437","Kim's Pharmacy","Seoul","Seocho-gu","Banpo3-dong","02-537-5716"
"BE_LiST22-0438","Gangnam Medical Pharmacy","Seoul","Seocho-gu","Bangbae4-dong","02-594-0801"
"BE_LiST22-0439","Hanaro Pharmacy","Seoul","Seocho-gu","Yangjae2-dong","02-578-4955"
"BE_LiST22-0440","Geumhwa Pharmacy","Seoul","Seocho-gu","Banpo2-dong","02-842-4484"
