,"?""키값""",약국이름,행정시,행정구,행정동,전화번호,latitude,longtitude
55,BE_LiST22-0160,Geonganghan Pharmacy,Seoul,Seongbuk-gu,Wolgok1-dong,029166445,37.605724,127.027762
56,BE_LiST22-0161,Onnuri Seongmo Pharmacy,Seoul,Seongbuk-gu,Samseon-dong,029271282,37.5969942,127.022153
57,BE_LiST22-0162,Hwaseong Pharmacy,Seoul,Seongbuk-gu,Wolgok1-dong,029138936,37.6085654,127.0359
58,BE_LiST22-0163,Taepyeongyang Pharmacy,Seoul,Seongbuk-gu,Jeongneung4-dong,029192525,37.6114482,127.0095198
59,BE_LiST22-0164,Bumin Pharmacy,Seoul,Seongbuk-gu,Wolgok2-dong,029127393,37.603868,127.042463
60,BE_LiST22-0165,Onnuri Dusan Pharmacy,Seoul,Seongbuk-gu,Seokgwan-dong,029592668,37.6129055,127.0684003
61,BE_LiST22-0166,Gwanghyedang Pharmacy,Seoul,Seongbuk-gu,Jangwi2-dong,029425199,37.6137899,127.0490573
62,BE_LiST22-0167,Cheongsipja Pharmacy,Seoul,Seongbuk-gu,Bomun-dong,029232393,37.583993,127.019862
63,BE_LiST22-0168,Hana Onnuri Pharmacy,Seoul,Seongbuk-gu,Wolgok2-dong,029140035,37.6032486,127.0424766
64,BE_LiST22-0169,Mirae Pharmacy,Seoul,Seongbuk-gu,Anam-dong,029245264,37.586485,127.02884
65,BE_LiST22-0170,Yeon Pharmacy,Seoul,Seongbuk-gu,Samseon-dong,0236755778,37.5888521,127.00761
66,BE_LiST22-0171,Samwon Pharmacy,Seoul,Seongbuk-gu,Jongam-dong,029418550,37.6008821,127.0342125
67,BE_LiST22-0172,Bomun Pharmacy,Seoul,Seongbuk-gu,Bomun-dong,029213844,37.586038,127.018786
68,BE_LiST22-0174,Sinsewon Pharmacy,Seoul,Seongbuk-gu,Gireum1-dong,029090928,37.603557,127.023738
69,BE_LiST22-0175,Baekdusan Pharmacy,Seoul,Seongbuk-gu,Anam-dong,029272792,37.5871576,127.0270063
70,BE_LiST22-0176,Hansol Pharmacy,Seoul,Seongbuk-gu,Samseon-dong,029266479,37.5913571,127.0118125
71,BE_LiST22-0178,Jeongneung Medical Pharmacy,Seoul,Seongbuk-gu,Jeongneung1-dong,029122727,37.6020483,127.0193414
72,BE_LiST22-0181,Optima Simin Pharmacy,Seoul,Seongbuk-gu,Bomun-dong,029288663,37.583527,127.020133
73,BE_LiST22-0182,Ansae Pharmacy,Seoul,Seongbuk-gu,Samseon-dong,0222024484,37.5900659,127.0089178
74,BE_LiST22-0183,Gilleum Medical Pharmacy,Seoul,Seongbuk-gu,Gireum1-dong,029155777,37.604314,127.0248
75,BE_LiST22-0184,Jun Pharmacy,Seoul,Seongbuk-gu,Seongbuk-dong,027644835,37.5895737,127.004475
76,BE_LiST22-0185,Haeoreum Pharmacy,Seoul,Seongbuk-gu,Jeongneung4-dong,029122302,37.6187359,127.0071968
77,BE_LiST22-0186,Miso Pharmacy,Seoul,Seongbuk-gu,Samseon-dong,027444415,37.587124,127.00945
78,BE_LiST22-0187,Medical Pham Pharmacy,Seoul,Seongbuk-gu,Wolgok1-dong,029090508,37.6064321,127.036425
79,BE_LiST22-0188,Geu Pharmacy,Seoul,Seongbuk-gu,Jeongneung4-dong,029110488,37.608515,127.010067
80,BE_LiST22-0189,Seon Pharmacy,Seoul,Seongbuk-gu,Jangwi1-dong,029424553,37.618482,127.045675
81,BE_LiST22-0190,Cheongsol Pharmacy,Seoul,Seongbuk-gu,Jangwi3-dong,029098067,37.622441,127.051094
82,BE_LiST22-0191,Dongin Pharmacy,Seoul,Seongbuk-gu,Dongseon-dong,029263533,37.593195,127.017094
83,BE_LiST22-0285,Vitamin ,Seoul,Dobong-gu,Chang1-dong,029024797,37.649829,127.035746
84,BE_LiST22-0342,Daewoo Silloam Pharmacy,Seoul,Yangcheon-gu,Sinwol5-dong,0226026489,37.5416692,126.831024
85,BE_LiST22-0343,Mart Onnuri Pharmacy,Seoul,Yangcheon-gu,Mok1-dong,0226513467,37.5260641,126.8703006
86,BE_LiST22-0344,Medipham Samseong Pharmacy,Seoul,Yangcheon-gu,Mok1-dong,0226439685,37.5303145,126.8732368
87,BE_LiST22-0345,Munhwa Pharmacy,Seoul,Yangcheon-gu,Sinwol7-dong,0226025602,37.5186141,126.8358117
88,BE_LiST22-0346,Sujeong Pharmacy,Seoul,Yangcheon-gu,Sinjeong3-dong,0226443395,37.520769,126.852891
89,BE_LiST22-0347,Sinwolsijang Pharmacy,Seoul,Yangcheon-gu,Sinwol1-dong,0226027613,37.5317404,126.8366438
90,BE_LiST22-0348,Yein Pharmacy,Seoul,Yangcheon-gu,Sinwol7-dong,0226924373,37.5226931,126.8331121
91,BE_LiST22-0349,Orangelime Pharmacy,Seoul,Yangcheon-gu,Sinjeong4-dong,0226018557,37.528361,126.863814
92,BE_LiST22-0351,Eunhye Pharmacy,Seoul,Yangcheon-gu,Sinjeong4-dong,0226981635,37.525636,126.8588455
93,BE_LiST22-0352,Jaemin Pharmacy,Seoul,Yangcheon-gu,Sinwol1-dong,0226033918,37.529094,126.836774
94,BE_LiST22-0353,Cheongsong Onnuri Pharmacy,Seoul,Yangcheon-gu,Mok4-dong,0226515319,37.539261,126.8662
95,BE_LiST22-0354,Gangseo Yeonsae Pharmacy,Seoul,Gangseo-gu,Hwagok6-dong,0226061531,37.5544875,126.8519463
96,BE_LiST22-0355,Daehyeon Onnuri Pharmacy,Seoul,Gangseo-gu,Deungchon1-dong,0226682525,37.5578067,126.8607271
97,BE_LiST22-0356,Bayer Pharmacy,Seoul,Gangseo-gu,Hwagok1-dong,0226070217,37.5397167,126.83405
98,BE_LiST22-0357,Hanbit Pharmacy,Seoul,Gangseo-gu,Deungchon3-dong,0226587371,37.5616417,126.8449875
99,BE_LiST22-0358,Buyeong Pharmacy,Seoul,Gangseo-gu,Deungchon3-dong,0236631809,37.5649371,126.8425169
100,BE_LiST22-0359,Gayang Jongno Pharmacy,Seoul,Gangseo-gu,Deungchon3-dong,0226592356,37.5625913,126.8517217
101,BE_LiST22-0360,Yeonsudang Pharmacy,Seoul,Gangseo-gu,Hwagok8-dong,0226947582,37.5338058,126.8471349
102,BE_LiST22-0361,Uri Onnuri Pharmacy,Seoul,Gangseo-gu,Hwagok1-dong,0226927020,37.5328442,126.8388336
103,BE_LiST22-0362,21C Saegyero Pharmacy,Seoul,Gangseo-gu,Ujangsan-dong,0226070624,37.541925,126.84065
104,BE_LiST22-0363,Jeil Medical Pharmacy,Seoul,Gangseo-gu,Hwagok1-dong,0264023579,37.537382,126.83686
105,BE_LiST22-0364,Gukjae Gonghang Pharmacy,Seoul,Gangseo-gu,Banghwa2-dong,0226641350,37.5559443,126.8081178
106,BE_LiST22-0365,Taepyeongyang Pharmacy,Seoul,Gangseo-gu,Hwagok4-dong,0226527214,37.5337259,126.8633851
107,BE_LiST22-0366,Sol Pharmacy,Seoul,Gangseo-gu,Deungchon1-dong,0236628899,37.557043,126.8613534
108,BE_LiST22-0368,Cheongwa Pharmacy,Seoul,Guro-gu,Garibong-dong,028551482,37.4845889,126.8881471
109,BE_LiST22-0369,Joeun Pharmacy,Seoul,Guro-gu,Gaebong1-dong,0226156999,37.4954344,126.8588726
110,BE_LiST22-0370,Taeyeong Plaza Pharmacy,Seoul,Guro-gu,Sindorim-dong,0220685733,37.506338,126.88327
111,BE_LiST22-0371,Yeollin Pharmacy,Seoul,Guro-gu,Gocheok2-dong,0226256040,37.5026582,126.8497926
112,BE_LiST22-0372,Guro Plaza Pharmacy,Seoul,Guro-gu,Gaebong3-dong,0226136044,37.488227,126.8564855
113,BE_LiST22-0375,Aisarang Taepyeongyang Pharmacy,Seoul,Guro-gu,Guro5-dong,028533001,37.5021949,126.8824723
114,BE_LiST22-0376,Jongno Plaza Pharmacy,Seoul,Guro-gu,Guro4-dong,028397422,37.491547,126.891656
115,BE_LiST22-0377,Medisin Pharmacy,Seoul,Guro-gu,Gocheok2-dong,0226870322,37.508068,126.863719
116,BE_LiST22-0378,Daehak Pharmacy,Seoul,Guro-gu,Guro2-dong,028654910,37.492002,126.883554
117,BE_LiST22-0380,Gasan Pharmacy,,,,028381158,37.475954,126.893085
118,BE_LiST22-0381,Thomas Pharmacy,,,,028553843,37.4693553,126.8985069
119,BE_LiST22-0382,Sinyang Nuri Pharmacy,,,,028041230,37.453682,126.903368
120,BE_LiST22-0383,Medipham Keunsarang Pharmacy,,,,028058943,37.4518816,126.9007682
121,BE_LiST22-0385,Hanjung Pharmacy,,,,028046985,37.4594735,126.9052066
122,BE_LiST22-0386,Jeonjinsang Pharmacy,,,,028029314,37.4525745,126.9106562
123,BE_LiST22-0388,Plaza Pharmacy,,,,0220260011,37.480424,126.881962
124,BE_LiST22-0389,Pyeongan Onnuri Pharmacy,Seoul,Yeongdeungpo-gu,Yangpyeong2-dong,0226346769,37.5400959,126.892072
125,BE_LiST22-0390,Yukgyo Pharmacy,Seoul,Yeongdeungpo-gu,Singil4-dong,028334830,37.505408,126.911
126,BE_LiST22-0391,Seoul Onnuri Pharmacy,Seoul,Yeongdeungpo-gu,Dangsan1-dong,0236671360,37.526793,126.895299
127,BE_LiST22-0393,Seongyeong Pharmacy,Seoul,Yeongdeungpo-gu,Yeoui-dong,027861192,37.5242566,126.9248028
128,BE_LiST22-0394,Ido Pharmacy,Seoul,Yeongdeungpo-gu,Dangsan1-dong,0226337167,37.5267307,126.8959931
129,BE_LiST22-0395,Heukseok Pharmacy,Seoul,Dongjak-gu,Heukseok-dong,028841511,37.5042043,126.9697016
130,BE_LiST22-0396,Daeil Pharmacy,Seoul,Dongjak-gu,Sadang2-dong,025914655,37.4876157,126.9804139
131,BE_LiST22-0397,Hyoseong Pharmacy,Seoul,Dongjak-gu,Sangdo2-dong,028130467,37.5048762,126.9387145
132,BE_LiST22-0399,Gangrim Pharmacy,Seoul,Dongjak-gu,Sindaebang1-dong,028328975,37.4919943,126.9093325
133,BE_LiST22-0400,Optima Dajeong Pharmacy,Seoul,Dongjak-gu,Sadang2-dong,025958804,37.4885263,126.9781125
134,BE_LiST22-0401,Seongdae Pharmacy,Seoul,Dongjak-gu,Sangdo4-dong,028211519,37.5000352,126.932608
135,BE_LiST22-0402,Boramae Daehak Pharmacy,Seoul,Dongjak-gu,Sindaebang2-dong,028311922,37.492706,126.923876
136,BE_LiST22-0403,Haeddeuneun Pharmacy,Seoul,Dongjak-gu,Sangdo1-dong,028163869,37.5045919,126.9494848
137,BE_LiST22-0404,Sadang Plaza Pharmacy,Seoul,Dongjak-gu,Sadang4-dong,0234744170,37.483339,126.973312
138,BE_LiST22-0406,Sindaebang Pharmacy,Seoul,Dongjak-gu,Daebang-dong,028221344,37.499866,126.929307
139,BE_LiST22-0407,Haegadeun Pharmacy,Seoul,Dongjak-gu,Sadang2-dong,028218531,37.5066777,126.9621949
140,BE_LiST22-0408,Keunsarang Pharmacy,Seoul,Dongjak-gu,Sangdo1-dong,028268976,37.5035447,126.9514435
141,BE_LiST22-0410,Sinsemyeong Pharmacy,Seoul,Dongjak-gu,Heukseok-dong,028120993,37.5079012,126.9623621
142,BE_LiST22-0412,Sinjungang Pharmacy,Seoul,Dongjak-gu,Heukseok-dong,028220443,37.5079261,126.9608748
143,BE_LiST22-0413,Boramae Joeun Pharmacy,Seoul,Dongjak-gu,Sindaebang2-dong,028339505,37.492579,126.9236554
144,BE_LiST22-0414,Geumgang Pharmacy,Seoul,Dongjak-gu,Noryangjin1-dong,028171918,37.51221,126.952126
145,BE_LiST22-0415,Eommarang Pharmacy,Seoul,Dongjak-gu,Noryangjin2-dong,028131593,37.5072259,126.9397519
146,BE_LiST22-0417,Taepyeongyang Pharmacy,Seoul,Dongjak-gu,Sadang3-dong,0234779477,37.4837149,126.9731358
147,BE_LiST22-0418,Jeongdaun Pharmacy,Seoul,Dongjak-gu,Noryangjin1-dong,0262677575,37.5075738,126.9452566
148,BE_LiST22-0419,Teunteun Pharmacy,Seoul,Gwanak-gu,Sinwon-dong,028560528,37.480796,126.9279288
149,BE_LiST22-0420,Orange Pharmacy,Seoul,Gwanak-gu,Nakseongdae-dong,028885887,37.48021421794087,126.9529852157068
150,BE_LiST22-0421,Bongcheon Plaza Pharmacy,Seoul,Gwanak-gu,Cheongnyong-dong,028751711,37.48205,126.942873
151,BE_LiST22-0422,Injae Pharmacy,Seoul,Gwanak-gu,Samseong-dong,028778597,37.4658597,126.9479712
152,BE_LiST22-0423,Hanmi Pharmacy,Seoul,Gwanak-gu,Samseong-dong,028787949,37.4653648,126.9312914
153,BE_LiST22-0001,Geongang Pharmacy,Seoul,Jongno-gu,Hyehwa-dong,027649918,37.586098,127.000868
154,BE_LiST22-0007,Daeseoul Pharmacy,Seoul,Jongno-gu,Jongno1.2.3.4ga-dong,027626060,37.5766,126.997481
155,BE_LiST22-0008,Daehak Pharmacy,Seoul,Jongno-gu,Jongno1.2.3.4ga-dong,0236723672,37.576709,126.9974443
156,BE_LiST22-0009,Dokil Pharmacy,Seoul,Jongno-gu,Changsin1-dong,027645511,37.5719099,127.0126054
157,BE_LiST22-0286,Humun,Seoul,Dobong-gu,Chang1-dong,029958588,37.647189,127.03023
158,BE_LiST22-0288,Jongno Saemyeong Pharmacy,Seoul,Dobong-gu,Banghak2-dong,0234929963,37.6625404,127.0325375
159,BE_LiST22-0290,Ssangmun Sangnoksu Pharmacy,Seoul,Gangbuk-gu,Ui-dong,029900600,37.6584267,127.032701
160,BE_LiST22-0291,Ewha Pharmacy,Seoul,Nowon-gu,Junggyebon-dong,029516102,37.659834,127.0732538
161,BE_LiST22-0292,Nahyeon Pharmacy,Seoul,Nowon-gu,Sanggye2-dong,029367718,37.6564859,127.06966
162,BE_LiST22-0294,Pyeonggang Sangnoksu Pharmacy,Seoul,Nowon-gu,Sanggye8-dong,029356644,37.6664264,127.0570109
163,BE_LiST22-0295,Yurim Pharmacy,Seoul,Nowon-gu,Sanggye1-dong,029306858,37.671568,127.057238
164,BE_LiST22-0296,Madeul Soa Pharmacy,Seoul,Nowon-gu,Sanggye9-dong,029323900,37.6659739,127.0578727
165,BE_LiST22-0297,Pureunbada Pharmacy,Seoul,Nowon-gu,Wolgye1-dong,029413838,37.6152505,127.0650929
166,BE_LiST22-0299,Cham Pharmacy,Seoul,Nowon-gu,Hagye2-dong,029792204,37.6353308,127.0640084
167,BE_LiST22-0300,Madeul Hanjung Pharmacy,Seoul,Nowon-gu,Sanggye8-dong,029373393,37.666739,127.0569984
168,BE_LiST22-0301,Medipham Pharmacy,Seoul,Eunpyeong-gu,Sinsa1-dong,023729791,37.5829646,126.8944416
169,BE_LiST22-0302,Seonu Pharmacy,Seoul,Eunpyeong-gu,Sinsa1-dong,023025583,37.5985801,126.9143143
170,BE_LiST22-0303,Seonghwan Pharmacy,Seoul,Eunpyeong-gu,Yeokchon-dong,023558374,37.6025548,126.9184762
171,BE_LiST22-0304,Sowon Pharmacy,Seoul,Eunpyeong-gu,Susaek-dong,023726474,37.582197,126.89577
172,BE_LiST22-0305,Sinsusaek Taepyeongyang Pharmacy,Seoul,Eunpyeong-gu,Susaek-dong,023077579,37.5819482,126.896304
173,BE_LiST22-0306,Onnuri Saesomang Pharmacy,Seoul,Eunpyeong-gu,Susaek-dong,023093771,37.586255,126.900294
174,BE_LiST22-0307,Yujin Pharmacy,Seoul,Eunpyeong-gu,Galhyeon2-dong,023848877,37.6126122,126.9153638
175,BE_LiST22-0308,Chamsarang Pharmacy,Seoul,Eunpyeong-gu,Eungam1-dong,023567676,37.600214,126.921797
176,BE_LiST22-0311,Yujeong Pharmacy,Seoul,Eunpyeong-gu,Bulgwang2-dong,023556270,37.6198116,126.9233628
177,BE_LiST22-0326,Mari Pharmacy,Seoul,Mapo-gu,Ahyeon-dong,0260091166,37.5449423,126.9505962
178,BE_LiST22-0327,Optima Ganghwa Pharmacy,Seoul,Mapo-gu,Seogyo-dong,023376969,37.554559,126.935528
179,BE_LiST22-0328,Dana Pharmacy,Seoul,Mapo-gu,Daheung-dong,027153133,37.555703,126.946043
180,BE_LiST22-0329,Vitamin Pharmacy,Seoul,Mapo-gu,Daheung-dong,027136563,37.547811,126.941573
181,BE_LiST22-0330,Segwang Tower Pharmacy,Seoul,Mapo-gu,Daheung-dong,027012141,37.5552277,126.9460499
182,BE_LiST22-0331,Mapo Jongno Pharmacy,Seoul,Mapo-gu,Mangwon1-dong,023363496,37.555387,126.910429
183,BE_LiST22-0332,Taepyeongyang Pharmacy,Seoul,Mapo-gu,Seogyo-dong,023228344,37.552837,126.924004
184,BE_LiST22-0333,Udae Pharmacy,Seoul,Mapo-gu,Gongdeok-dong,027184897,37.544717,126.954263
185,BE_LiST22-0334,Jeulgeoun Pharmacy,Seoul,Mapo-gu,Yeomni-dong,027147588,37.542216,126.944621
186,BE_LiST22-0335,Medipham Sinmapo Pharmacy,Seoul,Mapo-gu,Seogang-dong,023244625,37.546887,126.932225
187,BE_LiST22-0336,Sinchon Saemin Pharmacy,Seoul,Mapo-gu,Seogyo-dong,023230900,37.555727,126.934548
188,BE_LiST22-0425,Yangsaeng Pharmacy,Seoul,Gwanak-gu,Nakseongdae-dong,028729954,37.4781238,126.956874
189,BE_LiST22-0449,Point Pharmacy,Seoul,Gangnam-gu,Nonhyeon1-dong,025473196,37.5166716,127.0217519
190,BE_LiST22-0451,Medipham Mirae Pharmacy,Seoul,Gangnam-gu,Nonhyeon1-dong,025474340,37.50749,127.023474
191,BE_LiST22-0452,Mi Plus Pharmacy,Seoul,Gangnam-gu,Nonhyeon1-dong,025172513,37.515219,127.020289
192,BE_LiST22-0453,Panax Pharmacy,Seoul,Gangnam-gu,Nonhyeon1-dong,025188766,37.509764,127.032503
193,BE_LiST22-0454,Jeil Grand Pharmacy,Seoul,Gangnam-gu,Nonhyeon1-dong,025460093,37.505123,127.024578
194,BE_LiST22-0455,Minsaeng Pharmacy,Seoul,Gangnam-gu,Nonhyeon2-dong,025477903,37.513192,127.034763
195,BE_LiST22-0456,Seoul Medi Pharmacy,Seoul,Gangnam-gu,Daechi4-dong,025015063,37.500652,127.051595
196,BE_LiST22-0457,Dongseong Pharmacy,Seoul,Gangnam-gu,Daechi2-dong,025663728,37.4975938,127.0654735
197,BE_LiST22-0458,Onnuri Guindang Pharmacy,Seoul,Gangnam-gu,Daechi2-dong,025525550,37.4933854,127.067338
198,BE_LiST22-0340,Gaggaun Onnuri Pharmacy,Seoul,Yangcheon-gu,Sinjeong6-dong,0226508828,37.517541,126.865345
199,BE_LiST22-0341,Naeoe Pharmacy,Seoul,Yangcheon-gu,Sinwol4-dong,0226975065,37.518221,126.841766
200,BE_LiST22-0193,Sarangui Pharmacy,Seoul,Seongbuk-gu,Jongam-dong,029227111,37.600437,127.033611
201,BE_LiST22-0194,Samseong Pharmacy,Seoul,Seongbuk-gu,Donam1-dong,029293069,37.598579,127.0220248
202,BE_LiST22-0194,Samseong Pharmacy,Seoul,Seongbuk-gu,Donam1-dong,029293069,37.598579,127.0220248
203,BE_LiST22-0251,Samseong Pharmacy,Seoul,Seongbuk-gu,Donam1-dong,029293069,37.598579,127.0220248
204,BE_LiST22-0251,Samseong Pharmacy,Seoul,Seongbuk-gu,Donam1-dong,029293069,37.598579,127.0220248
205,BE_LiST22-0195,Jungang Plaza Pharmacy,Seoul,Seongbuk-gu,Samseon-dong,029275606,37.592341,127.016116
206,BE_LiST22-0196,Sipjaseong Pharmacy,Seoul,Seongbuk-gu,Seokgwan-dong,029660710,37.6128398,127.0646365
207,BE_LiST22-0197,Gyesan Onnuri Pharmacy,Seoul,Seongbuk-gu,Dongseon-dong,029254551,37.5906656,127.0170276
208,BE_LiST22-0198,Segi Pharmacy,Seoul,Seongbuk-gu,Gireum1-dong,0232921224,37.6030571,127.0227625
209,BE_LiST22-0199,Jangwi Seongmo Pharmacy,Seoul,Seongbuk-gu,Jangwi2-dong,029137516,37.6132071,127.0504
210,BE_LiST22-0200,Cham Pharmacy,Seoul,Seongbuk-gu,Jongam-dong,029229458,37.5984622,127.0338511
211,BE_LiST22-0201,Keunsarang Pharmacy,Seoul,Seongbuk-gu,Samseon-dong,029229721,37.5914408,127.0129673
212,BE_LiST22-0202,Namsan Pharmacy,Seoul,Seongbuk-gu,Jangwi2-dong,029111224,37.613333,127.049821
213,BE_LiST22-0203,Hanmi Pharmacy,Seoul,Seongbuk-gu,Jongam-dong,029250825,37.5989571,127.0342625
