"키값","약국이름","주소","도로명주소","행정시","행정구","행정동","전화번호","가능외국어"
"BE_LiST22-0424","봄내약국","","신림로5길 31 (신림동)","서울특별시","관악구","청룡동","882-8234","영어"
"BE_LiST22-0425","양생약국","","남부순환로234길 27 (봉천동)","서울특별시","관악구","낙성대동","872-9954","영어"
"BE_LiST22-0426","브라운스톤약국","","서초대로 334 (서초동.브라운스톤서초)","서울특별시","서초구","서초1동","02-598-2545","영어"
"BE_LiST22-0427","행복나눔약국","","잠원로 24 (반포동) 반포자이프라자상가 4층","서울특별시","서초구","반포1동","02-533-3107","영어"
"BE_LiST22-0428","세계로약국","","동작대로 38 (방배동)","서울특별시","서초구","방배2동","02-3474-2599","영어"
"BE_LiST22-0429","민경약국","","강남대로 617 (잠원동) 대양빌딩 201호","서울특별시","서초구","잠원동","02-517-0072","영어"
"BE_LiST22-0430","아라약국","","서초대로77길 3 (서초동)아라타워 1층","서울특별시","서초구","서초4동","02-530-8575","영어"
"BE_LiST22-0431","녹십자약국","","방배로 25길 4(방배동)","서울특별시","서초구","방배4동","02-533-5287","영어, 일본어"
"BE_LiST22-0432","두리약국","","사임당로 180 (서초동) 보원빌딩 201호","서울특별시","서초구","서초2동","02-583-9305","영어"
"BE_LiST22-0485","로데오약국","","강남구 선릉로 823(신사동, 한양타운)","서울특별시","강남구","압구정동","540-4091","영어"
"BE_LiST22-0262","수유상록수약국","","도봉로 328, 301호(번동, 가든타워빌딩)","서울특별시","강북구","번1동","02-900-7722","영어"
"BE_LiST22-0263","어약국","","삼각산로 132(수유동)","서울특별시","강북구","수유3동","02-902-5119","영어"
"BE_LiST22-0264","에버그린약국","","한천로 1000(번동)","서울특별시","강북구","번1동","02-999-7101","영어"
"BE_LiST22-0265","이원약국","","삼양로 244(미아동)","서울특별시","강북구","삼양동","02-946-1958","영어"
"BE_LiST22-0266","인수약국","","삼각산로 71(수유동)","서울특별시","강북구","인수동","02-993-7378","영어"
"BE_LiST22-0267","정해약국","","삼양로 516(수유동)","서울특별시","강북구","수유2동","02-902-1442","영어"
"BE_LiST22-0268","제일약국","","도봉로 376(번동)","서울특별시","강북구","번1동","02-592-4920","영어"
"BE_LiST22-0269","지영약국","","삼양로 423(수유동)","서울특별시","강북구","인수동","02-902-1072","영어"
"BE_LiST22-0270","한사랑온누리약국","","인수봉로 142(수유동)","서울특별시","강북구","수유1동","02-980-1214","영어"
"BE_LiST22-0271","햇살약국","","도봉로 217(미아동)","서울특별시","강북구","미아동","02-987-5159","영어"
"BE_LiST22-0272","녹원당약국","","한천로105길 23, 101호(번동, 주공1단지상가)","서울특별시","강북구","번3동","02-989-8315","일어"
"BE_LiST22-0273","한양약국","","삼양로87길 35(수유동)","서울특별시","강북구","인수동","02-902-2470","일어"
"BE_LiST22-0274","우리들약국","","오현로 190(번동)","서울특별시","강북구","번3동","02-981-7577","중국어"
"BE_LiST22-0275","종로태평양약국","","오패산로 130(미아동)","서울특별시","강북구","송중동","02-985-0393","영어"
"BE_LiST22-0276","메디팜건강","","쌍문동 88-105","서울특별시","도봉구","쌍문3동","906-1800","영어"
"BE_LiST22-0277","팜코리아","","도봉1동 620-19","서울특별시","도봉구","도봉1동","955-7017","영어"
"BE_LiST22-0278","대한","","쌍문1동 503-1","서울특별시","도봉구","쌍문1동","999-7896","영어"
"BE_LiST22-0279","영훈","","창3동 557-5","서울특별시","도봉구","창3동","900-3943","영어"
"BE_LiST22-0280","뉴지명","","창3동 557-9","서울특별시","도봉구","창3동","993-2082","영어"
"BE_LiST22-0281","신성","","방학3동 271-4 신동아APT 중앙상가 111호","서울특별시","도봉구","방학3동","3491-0731","영어"
"BE_LiST22-0282","상록수온누리","","방학2동 661-39 1층","서울특별시","도봉구","방학2동","954-2950","영어"
"BE_LiST22-0283","광장","","창4동 16번지 제일빌딩 101호","서울특별시","도봉구","창4동","990-6527","영어"
"BE_LiST22-0284","혜민","","도봉1동 603-7","서울특별시","도봉구","도봉1동","954-1653","영어"
"BE_LiST22-0285","비타민","","창1동 661-40 하나빌딩 1층","서울특별시","도봉구","창1동","902-4797","영어"
"BE_LiST22-0286","후문","","창1동 661-40 하나빌딩 1층","서울특별시","도봉구","창1동","995-8588","영어"
"BE_LiST22-0287","건강제일녹십자약국","","쌍문2동 723 신원2차 103, 104호","서울특별시","도봉구","쌍문2동","906-1024","영어"
"BE_LiST22-0288","종로세명약국","","방학2동 668-5","서울특별시","도봉구","방학2동","3492-9963","영어"
"BE_LiST22-0289","청수약국","","방학2동635","서울특별시","도봉구","방학2동","3493-6912","영어"
"BE_LiST22-0290","쌍문상록수약국","","쌍문4동215-1 우진빌딩","서울특별시","강북구","우이동","990-0600","영어"
"BE_LiST22-0291","이화약국","","중계동 대호프라자 319호","서울특별시","노원구","중계본동","951-6102","영어, 일본어"
"BE_LiST22-0292","나현약국","","상계2동 176-103","서울특별시","노원구","상계2동","936-7718","영어 "
"BE_LiST22-0293","신흥약국","","하계동 180-22","서울특별시","노원구","하계1동","974-3414","중국어"
"BE_LiST22-0294","평강상록수약국","","상계8동 651-5 1층 103호","서울특별시","노원구","상계8동","935-6644","영어"
"BE_LiST22-0295","유림약국","","상계10동 1295 우방A상가 101호","서울특별시","노원구","상계1동","930-6858","영어"
"BE_LiST22-0296","마들소아약국","","상계9동 649번지 상계주공단지상가 201호 ","서울특별시","노원구","상계9동","932-3900","영어"
"BE_LiST22-0297","푸른바다약국","","월계동 46-1 인현빌딩 106호,107호","서울특별시","노원구","월계1동","941-3838","영어"
"BE_LiST22-0298","서경약국","","상계5동451번지 한신2차상가 202호","서울특별시","노원구","상계5동","933-0747","영어"
"BE_LiST22-0299","참약국","","하계2동 271-3 벽산아파트상가동 206-1","서울특별시","노원구","하계2동","979-2204","영어"
"BE_LiST22-0300","마들한중약국","","상계8동 651-7 합동빌딩 203호","서울특별시","노원구","상계8동","937-3393","영어"
"BE_LiST22-0301","메디팜건강약국","","수색로270-1(수색동)","서울특별시","은평구","신사1동","372-9791","영어"
"BE_LiST22-0302","선우약국","","은평로56(신사동)","서울특별시","은평구","신사1동","302-5583","영어"
"BE_LiST22-0303","성환약국","","진흥로1길23(역촌동)","서울특별시","은평구","역촌동","355-8374","영어"
"BE_LiST22-0304","소원약국","","수색로256(수색동)","서울특별시","은평구","수색동","372-6474","영어"
"BE_LiST22-0305","신수색태평양약국","","수색로250, 1층(수색동)","서울특별시","은평구","수색동","307-7579","영어"
"BE_LiST22-0306","온누리새소망약국","","은평터널로65(수색동,대림숲타운상가)","서울특별시","은평구","수색동","309-3771","영어"
"BE_LiST22-0307","유진약국","","서오릉로162(갈현동)","서울특별시","은평구","갈현2동","384-8877","영어"
"BE_LiST22-0308","참사랑약국","","응암로323(응암동)","서울특별시","은평구","응암1동","356-7676","영어"
"BE_LiST22-0309","최 약 국","","응암로4길27-1(응암동)","서울특별시","은평구","수색동","302-7121","일어"
"BE_LiST22-0310","온누리솔빛약국","","갈현로107(역촌동)","서울특별시","은평구","역촌동","355-8224","중국어"
"BE_LiST22-0311","유정약국","","연서로258(불광동)","서울특별시","은평구","불광2동","355-6270","중국어"
"BE_LiST22-0312","연희위드팜약국","","서대문구 신촌로 75 (창천동)","서울특별시","서대문구","신촌동","02-312-6949","영어, 일본어"
"BE_LiST22-0313","독수리약국","","서대문구 연세로 36, 1층 (창천동)","서울특별시","서대문구","신촌동","02-3147-0770","영어"
"BE_LiST22-0314","대학약국","","서대문구 연세로 37-1 (창천동)","서울특별시","서대문구","신촌동","02-323-0111","영어"
"BE_LiST22-0315","한사랑온누리약국","","서대문구 신촌로 183, 지하1층 (대현동, 유인빌딩)","서울특별시","서대문구","신촌동","02-364-5455","영어"
"BE_LiST22-0316","정문약국","","서대문구 연세로 41 (창천동)","서울특별시","서대문구","신촌동","02-324-4652","영어"
"BE_LiST22-0317","위드팜신촌약국","","서대문구 성산로 486 (대신동)","서울특별시","서대문구","신촌동","02-312-5103","영어, 일본어"
"BE_LiST22-0318","세연약국","","서대문구 연세로 50, 1층 (신촌동, 연대동문회관)","서울특별시","서대문구","신촌동","02-364-6141","영어"
"BE_LiST22-0319","홍제봄약국","","서대문구 통일로39가길 29, 1층 (홍제동)","서울특별시","서대문구","홍제1동","02-394-3599","영어"
"BE_LiST22-0486","봄약국","","강남구 압구정로29길 72-1(압구정동, 신사시장 A동 109호)","서울특별시","강남구","압구정동","543-2251","영어"
"BE_LiST22-0487","일번지약국","","강남구 강남대로84길 23(역삼동, 한라클래식)","서울특별시","강남구","역삼1동","567-2501","영어"
"BE_LiST22-0488","참좋은선약국","","강남구 논현로 507(역삼동, 성지하이츠3차 지하1층7호)","서울특별시","강남구","역삼1동","3453-3501","영어"
"BE_LiST22-0489","아톰약국","","강남구 테헤란로 103(역삼동)","서울특별시","강남구","역삼1동","562-6575","영어"
"BE_LiST22-0490","삼성하나약국","","강남구 테헤란로 509(삼성동)","서울특별시","강남구","삼성1동","569-4130","영어"
"BE_LiST22-0491","역삼다인약국","","강남구 논현로 521-3(역삼동)","서울특별시","강남구","역삼1동","3453-3589","영어"
"BE_LiST22-0492","온누리기쁜약국","","강남구 봉은사로30길 17(역삼동)","서울특별시","강남구","역삼1동","566-0027","일어,영어"
"BE_LiST22-0493","다래약국","","강남구 논현로 508(역삼동, GS강남타워 지하1층)","서울특별시","강남구","역삼1동","567-9361","영어"
"BE_LiST22-0494","온누리해림약국","","강남구 테헤란로 152(역삼동, 스타타워빌딩내 아케이드 지하2층)","서울특별시","강남구","역삼1동","2112-2911","영어"
"BE_LiST22-0495","신혜성약국","","강남구 논현로 409(역삼동, 백남빌딩)","서울특별시","강남구","역삼1동","558-6338~9","영어"
"BE_LiST22-0496","아름다운우리약국","","강남구 논현로 327(역삼동)","서울특별시","강남구","역삼1동","564-7582","영어"
"BE_LiST22-0497","웰약국","","강남구 강남대로 432(역삼동, 점프밀라노)","서울특별시","강남구","역삼1동","6440-5656","영어"
"BE_LiST22-0498","더블유스토어강남씨티약국","","강남구 강남대로 416(역삼동)","서울특별시","강남구","역삼1동","553-1608","영어"
"BE_LiST22-0499","큰길약국","","강남구 강남대로 370(역삼동, 삼아빌딩 지하1층)","서울특별시","강남구","역삼1동","553-1517","영어"
"BE_LiST22-0500","목화약국","","강남구 양재대로55길 11(일원동)","서울특별시","강남구","일원1동","2226-2268","영어"
"BE_LiST22-0501","일원역약국","","강남구 일원로 지하 121(일원본동, 일원역구내 348-1호)","서울특별시","강남구","일원본동","02-451-8233","영어"
"BE_LiST22-0502","열린약국","","강남구 일원로 95(일원본동, 신영프라자)","서울특별시","강남구","일원본동","3411-1007,1009","일어,영어"
"BE_LiST22-0503","새생명약국","","강남구 도산대로 522(청담동)","서울특별시","강남구","청담동","512-3389","영어"
"BE_LiST22-0504","영지약국","","강남구 도산대로92길 6(청담동)","서울특별시","강남구","청담동","547-3443","영어"
"BE_LiST22-0505","건영약국","","강남구 선릉로 806(청담동, 지하1층)","서울특별시","강남구","청담동","541-7378","영어"
"BE_LiST22-0506","가까운이화약국","","송파구 올림픽로43길 30, 지층(풍납동, 우성상가)","서울특별시","송파구","풍납2동","489-4383","영어, 중국어, 일어"
"BE_LiST22-0507","강남대학약국","","송파구 강동대로 57(풍납동)","서울특별시","송파구","풍납2동","473-0111","영어"
"BE_LiST22-0508","남매약국","","송파구 오금로64길 4(거여동)","서울특별시","송파구","거여2동","407-8774","영어"
"BE_LiST22-0509","다사랑약국","","송파구 올림픽로43길 26(풍납동)","서울특별시","송파구","풍납2동","477-2590","영어"
"BE_LiST22-0510","새독일약국","","송파대로 372(송파동)","서울특별시","송파구","송파2동","423-9455","영어"
"BE_LiST22-0511","이화약산온누리약국","","송파구 가락로 211(송파동)","서울특별시","송파구","송파1동","419-2755","영어"
"BE_LiST22-0512","지앤미약국","","송파구 동남로 215(가락동)","서울특별시","송파구","가락2동","402-0612","영어, 일어"
"BE_LiST22-0513","지용약국","","송파구 백제고분로48길 27(방이동)","서울특별시","송파구","방이2동","415-2336","영어, 일어"
"BE_LiST22-0514","한독약국","","송파구 중대로 80, 3층(문정동, 롯데마트)","서울특별시","송파구","문정2동","409-3559","독일어"
"BE_LiST22-0515","가장큰현대아산약국","","송파구 강동대로 67(풍납동)","서울특별시","송파구","풍납2동","488-4214","영어"
"BE_LiST22-0516","훼미리약국","","송파구 중대로 68, 106호(문정동, 샤르망빌딩)","서울특별시","송파구","문정2동","400-2112","영어"
"BE_LiST22-0517","그랜드약국","","송파구 마천로 35(방이동)","서울특별시","송파구","방이1동","418-5662","영어"
"BE_LiST22-0518","메디슨약국","","송파구 송이로 111, 1층(가락동, 청석빌딩)","서울특별시","송파구","가락본동","443-7789","영어"
"BE_LiST22-0519","첨소망약국","","송파구 양재대로 1222, 올림픽프라자상가 315호(방이동)","서울특별시","송파구","오륜동","408-3393","영어"
"BE_LiST22-0520","왕약국","","송파구 백제고분로 261(삼전동)","서울특별시","송파구","삼전동","2202-5941","영어"
"BE_LiST22-0521","대동약국","","송파구 가락로 175(송파동)","서울특별시","송파구","송파1동","418-6551","영어"
"BE_LiST22-0522","상일약국","","송파구 올림픽로35가길 11, 110호(신천동, 한신잠실코아)","서울특별시","송파구","잠실6동","414-0185","일본어"
"BE_LiST22-0523","옵티마리오약국","","송파구 올림픽로 435, A동 416호(신천동, 파크리오상가A동)","서울특별시","송파구","잠실4동","413-8205","영어"
"BE_LiST22-0524","시티약국","","송파구 올림픽로 116(잠실동)","서울특별시","송파구","잠실본동","3431-4115","영어"
"BE_LiST22-0525","봄약국","","송파구 풍성로 55(풍납동)","서울특별시","송파구","풍납1동","474-3118","영어"
"BE_LiST22-0526","우리온누리약국","","송파구 석촌호수로 61, 411호(잠실동, 트리지움상가)","서울특별시","송파구","잠실3동","412-5632","영어, 중국어"
"BE_LiST22-0527","편한대영약국","","송파구 강동대로 76(풍납동)","서울특별시","송파구","풍납2동","485-9100","일어"
"BE_LiST22-0528","신아산약국","","송파구 강동대로7길 4(풍납동)","서울특별시","송파구","풍납2동","596-1136","영어"
"BE_LiST22-0529","밝은중앙약국","","송파구 강동대로 73(풍납동)","서울특별시","송파구","풍납2동","482-2621","영어"
"BE_LiST22-0530","나루역사거리현대약국","","송파구 올림픽로 435, A동 163, 164호(신천동, 파크리오상가A동)","서울특별시","송파구","잠실4동","487-1218","영어"
"BE_LiST22-0531","올리브약국","","송파구 강동대로7길 3(풍납동)","서울특별시","송파구","풍납2동","477-0969","영어"
"BE_LiST22-0532","아산메디칼약국","","송파구 강동대로 61(풍납동)","서울특별시","송파구","풍납2동","488-8575","영어"
"BE_LiST22-0533","튼튼온누리약국","","강동구 올림픽로 746, 1층(천호동)","서울특별시","강동구","천호2동","486-1380","영어"
"BE_LiST22-0534","길동중앙약국","","강동구 천호대로187길 53(길동)","서울특별시","강동구","길동","484-7747","영어"
"BE_LiST22-0260","번동종로약국","","오현로34길 23-4, 104호(번동)","서울특별시","강북구","번3동","02-981-2030","영어"
"BE_LiST22-0261","세계로약국","","도봉로 253(수유동)","서울특별시","강북구","수유1동","02-985-0503","영어"
"BE_LiST22-0433","늘푸른약국","","반포대로 114 (서초동 SR 타워) 지하1층 103호","서울특별시","서초구","서초3동","02-597-4425","영어"
"BE_LiST22-0434","다나약국","","효령로 229 (서초동)","서울특별시","서초구","서초3동","02-597-3514","영어"
"BE_LiST22-0435","양재팜24약국","","남부순환로 2575(서초동) 신방빌딩","서울특별시","서초구","서초2동","02-581-8224","영어"
"BE_LiST22-0436","신오약국","","강남대로61길 7 (서초동)","서울특별시","서초구","서초4동","02-3482-3562","영어"
"BE_LiST22-0437","킴스약국","","잠원로 69 (잠원동) 킴스클럽1층","서울특별시","서초구","반포3동","02-537-5716","영어"
"BE_LiST22-0438","강남메디칼약국","","방배로 174 (방배동)","서울특별시","서초구","방배4동","02-594-0801","영어"
"BE_LiST22-0439","하나로약국","","청계산로 10 (양재동) 농협하나로클럽 1층","서울특별시","서초구","양재2동","02-578-4955","영어"
"BE_LiST22-0440","금화약국 ","","반포대로 287 (반포동) 래미안퍼스티지중심상가 125호","서울특별시","서초구","반포2동","02-842-4484","영어"
"BE_LiST22-0441","서초삼성약국","","서초대로 74길 23(서초동, 서초타운트라팰리스) 102호","서울특별시","서초구","서초2동","02-3474-0617","영어"
"BE_LiST22-0442","스타약국","","강남대로 437 (서초동) ","서울특별시","서초구","서초4동","02-3481-6688","영어"
"BE_LiST22-0443","사당13번약국","","방배천로 5-3 (방배동) 도양빌딩","서울특별시","서초구","방배2동","02-585-2113","영어, 일본어"
"BE_LiST22-0444","씨티약국","","방배로 107 (방배동) ","서울특별시","서초구","방배1동","02-581-0075","일본어"
"BE_LiST22-0445","굿모닝약국","","신반포로 176 (반포동) 센트럴시티 1층","서울특별시","서초구","반포4동","02-6282-1213","영어"
"BE_LiST22-0446","다사랑약국","","서초대로74길 11 (서초동) 지하2층","서울특별시","서초구","서초2동","02-581-5773","중국어"
"BE_LiST22-0447","신우성약국","","잠원동4길 54 (잠원동.매일종합상가) 309호","서울특별시","서초구","서초2동","02-536-3174","영어"
"BE_LiST22-0448","교대사랑약국","","서초대로 341(서초동)","서울특별시","서초구","서초4동","02-3477-0312","영어"
"BE_LiST22-0449","포인트약국","","강남구 도산대로 116(논현동, 논현빌딩)","서울특별시","강남구","논현1동","547-3196","영어"
"BE_LiST22-0450","소망온누리약국","","강남구 학동로 315(논현동, 소망빌딩)","서울특별시","강남구","논현2동","534-1287","영어"
"BE_LiST22-0451","메디팜미래약국","","강남구 강남대로 506(논현동)","서울특별시","강남구","논현1동","547-4340","영어"
"BE_LiST22-0452","미플러스약국","","강남구 강남대로 598(논현동, 보림빌딩 지하1층)","서울특별시","강남구","논현1동","517-2513","영어"
"BE_LiST22-0453","파낙스약국","","강남구 논현로 629(논현동)","서울특별시","강남구","논현1동","518-8766","중국어"
"BE_LiST22-0454","제일그랜드약국","","강남구 강남대로 478(논현동)","서울특별시","강남구","논현1동","546-0093","영어"
"BE_LiST22-0455","민생약국","","강남구 언주로125길 6(논현동)","서울특별시","강남구","논현2동","547-7903","중국어"
"BE_LiST22-0456","서울메디약국","","강남구 역삼로 406(대치동)","서울특별시","강남구","대치4동","501-5063","영어"
"BE_LiST22-0457","동성약국","","강남구 삼성로 212(대치동, 은마상가 A-180호)","서울특별시","강남구","대치2동","566-3728","영어"
"BE_LiST22-0458","온누리구인당약국","","강남구 남부순환로 3032(한보미도종합상가 110호)","서울특별시","강남구","대치2동","552-5550","영어"
"BE_LiST22-0459","화일약국","","강남구 선릉로 328(대치동)","서울특별시","강남구","대치4동","362-8631,2","영어"
"BE_LiST22-0460","강남보선약국","","강남구 도곡로 516(대치동, 삼성상가 107호)","서울특별시","강남구","대치2동","568-2310","영어"
"BE_LiST22-0461","한티약국","","강남구 선릉로 225(도곡동, 도곡렉슬상가 지하1층 133호)","서울특별시","강남구","도곡2동","574-2575","영어"
"BE_LiST22-0462","사랑플러스약국","","강남구 선릉로 225(도곡동, 도곡렉슬상가 313호)","서울특별시","강남구","도곡2동","2058-2745","영어"
"BE_LiST22-0463","연우약국","","강남구 도곡로 242(도곡동, 삼호상가 102호)","서울특별시","강남구","도곡1동","557-8672","영어"
"BE_LiST22-0464","강남조은약국","","강남구 남부순환로 2633(도곡동, 호림빌딩)","서울특별시","강남구","도곡1동","571-9515","영어"
"BE_LiST22-0465","참좋은약국","","강남구 테헤란로87길 17(삼성동, 마젤란21상가 103호)","서울특별시","강남구","삼성1동","508-1363","영어"
"BE_LiST22-0466","삼성건강약국","","강남구 삼성로 670(삼성동)","서울특별시","강남구","개포2동","517-3520","영어"
"BE_LiST22-0467","팜메이트선능수정약국","","강남구 선릉로 510(삼성동)","서울특별시","강남구","삼성2동","558-8025","영어"
"BE_LiST22-0468","강남우리온누리약국","","강남구 테헤란로 403(삼성동, 리치타워빌딩)","서울특별시","강남구","삼성2동","572-1452","영어"
"BE_LiST22-0469","삼성일신약국","","강남구 테헤란로 421(삼성동)","서울특별시","강남구","삼성2동","538-1018","영어"
"BE_LiST22-0470","소망약국","","강남구 테헤란로87길 13(삼성동, 서영빌딩)","서울특별시","강남구","삼성1동","555-6806","영어"
"BE_LiST22-0471","옵티마대영약국","","강남구 삼성로 642(삼성동, 삼성빌딩)","서울특별시","강남구","삼성1동","514-7850","영어"
"BE_LiST22-0472","수서약국","","강남구 광평로56길 11(수서동, 도시개발(아)6단지상가 109호)","서울특별시","강남구","수서동","459-2293","중국어"
"BE_LiST22-0473","코스모스약국","","강남구 강남대로 626(신사동, 뮤직메트로빌딩)","서울특별시","강남구","신사동","515-3555","영어"
"BE_LiST22-0474","가나안약국","","강남구 도산대로 113(신사동)","서울특별시","강남구","신사동","549-8774","영어"
"BE_LiST22-0475","태양약국","","강남구 압구정로 150(신사동, 신운빌딩)","서울특별시","강남구","신사동","3442-4492","영어"
"BE_LiST22-0476","압구정미약국","","강남구 논현로175길 25(신사동)","서울특별시","강남구","신사동","548-0085","영어"
"BE_LiST22-0477","압구정온누리약국","","강남구 압구정로 164(신사동, 아세아빌딩)","서울특별시","강남구","신사동","514-0777","영어"
"BE_LiST22-0478","압구정프라자온누리약국","","강남구 논현로 857(신사동, 계룡빌딩)","서울특별시","강남구","신사동","511-3801","영어"
"BE_LiST22-0479","비원약국","","강남구 논현로 824, 1층 일부(신사동)","서울특별시","강남구","압구정동","541-6939","영어"
"BE_LiST22-0480","메디팜압구정약국","","강남구 논현로160길 13(신사동, 명진빌딩)","서울특별시","강남구","압구정동","547-7585","영어"
"BE_LiST22-0481","하나약국","","강남구 압구정로 224(신사동, 우미빌딩 207호)","서울특별시","강남구","압구정동","543-6650","영어"
"BE_LiST22-0482","예스약국","","강남구 언주로 865(신사동, 태승빌딩)","서울특별시","강남구","압구정동","3445-8214","영어"
