food,book,cul,cloth,travel,status
0.314838239,0.93393304,0.374547812,0.364988334,0.244987196,1
0.267068148,0.61495095,0.4208938,0.318400595,0.278954439,1
0.646050337,0.450867344,0.221152996,0.34181334,0.363335203,0
0.32749173,0.556966044,0.273088024,0.387059147,0.203400855,1
0.468048781,0.941504009,0.401001013,0.408168595,0.244791673,1
0.468196129,1.065088589,0.363895708,0.482976508,0.333310682,1
0.314298271,0.522888256,0.541416413,0.371879464,0.302522443,1
0.498991471,0.613703875,0.454880487,0.449391837,0.245144338,1
0.354134109,0.346576175,0.225007931,0.228847223,0.269786366,1
0.138163337,0.875958356,0.379491326,0.294040687,0.271887268,0
0.271400462,0.949215957,0.387208832,0.243968531,0.256332902,1
0.440524363,0.35882812,0.455500754,0.245687337,0.151583045,0
0.436782126,0.731901502,0.467821559,0.502388191,0.294852359,1
0.209579847,0.448582994,0.373148974,0.441665776,0.229926196,1
0.416280529,0.951385505,0.335088261,0.261590011,0.232603913,1
0.44778124,0.528401723,0.389866179,0.378131923,0.30615955,1
0.281599717,0.752723679,0.507294198,0.334484881,0.299159689,1
0.336310054,0.671419718,0.630775035,0.405816046,0.220582753,0
0.203765455,0.637591754,0.30571349,0.430797688,0.307066646,1
0.474848787,0.506028783,0.492326273,0.564013391,0.226133948,1
0.366902968,0.570810845,0.47881832,0.286515029,0.306995847,1
0.360014879,1.074888213,0.507117501,0.31778385,0.294981836,1
0.330435004,0.731582576,0.320392534,0.596575447,0.222611977,0
0.157983717,0.496149238,0.315742756,0.551260793,0.259721672,1
0.170610523,0.656753344,0.478070503,0.319716824,0.312484193,1
0.39342385,0.92776769,0.239522005,0.489993461,0.304990102,1
0.348236155,0.758736156,0.304016529,0.252885841,0.245836416,1
0.378175067,0.606787137,0.182603019,0.47349835,0.297998166,0
0.338646737,0.591898117,0.267180262,0.443084421,0.170536448,0
