ID	성별	나이	구매금액	출연자	반품여부
154	2	57	3	2	1
155	1	54	1	1	0
156	2	54	3	2	1
157	2	65	2	2	1
158	2	21	1	2	0
159	2	21	1	1	0
160	1	32	2	1	0
161	2	24	1	1	0
162	2	78	2	1	0
163	1	88	1	1	0
164	1	87	2	1	0
165	2	15	3	2	1
166	2	18	3	2	1
167	2	24	3	2	1
168	2	24	2	2	1
169	1	35	3	2	0
170	1	35	3	1	0
171	1	36	3	1	0
172	1	15	3	2	1
173	2	27	2	2	1
174	2	27	3	2	1
175	2	29	2	1	0
176	2	38	1	1	0
177	2	28	2	2	1
178	2	22	3	2	1
179	2	21	2	2	1
180	1	39	1	1	0
181	1	38	2	1	0
182	1	24	3	2	1
183	2	35	2	1	0
184	1	67	1	1	0
185	2	19	2	2	1
186	2	37	2	2	1
187	1	38	3	2	1
188	2	39	3	2	1
189	1	38	1	1	0
190	2	35	1	2	1
191	2	34	1	2	1
192	2	36	1	2	1
193	1	35	1	1	0
194	2	34	1	2	1
195	1	31	1	1	0
196	2	35	1	2	1
197	2	34	1	2	1
198	2	32	2	2	1
199	1	31	1	2	0
200	2	35	2	2	1
201	1	36	1	2	0
202	2	34	2	1	1
203	1	37	1	1	0
204	1	38	2	1	0
205	1	35	1	1	1
206	1	45	2	1	1
207	2	42	1	1	1
208	2	42	1	2	1
209	2	13	2	2	1
210	2	13	1	2	1
211	1	15	2	2	1
212	1	15	1	2	0
213	1	18	2	1	0
214	1	17	2	1	0
215	2	54	3	1	0
216	2	35	2	2	1
217	1	35	1	1	0
218	2	35	2	2	1
219	1	34	3	1	0
220	2	34	3	2	1
221	2	34	3	2	1
222	2	39	2	2	1
223	1	44	2	2	0
224	1	44	1	1	0
225	1	44	2	1	0
226	1	45	3	1	0
227	2	24	3	2	1
228	2	24	3	2	1
229	2	38	1	1	0
230	2	38	1	1	0
231	1	67	3	2	1
232	1	65	2	1	0
233	1	54	2	2	0
234	1	54	1	1	0
235	2	35	3	2	1
236	2	54	1	1	0
237	2	54	2	1	0
238	1	35	3	2	1
239	2	35	3	2	1
240	1	54	3	2	1
241	2	35	3	2	1
242	1	35	2	2	1
243	2	35	2	2	1
244	2	32	2	2	1
245	2	68	1	1	0
246	1	68	1	1	0
247	1	67	1	1	0
248	1	67	1	1	0
249	1	67	2	1	0
250	2	65	1	1	0
251	2	54	2	1	0
252	2	24	1	2	1
253	2	25	3	2	1
254	2	25	2	2	1
255	1	24	3	1	0
256	2	26	3	2	1
257	2	29	2	2	1
258	2	34	1	2	0
259	2	34	2	2	0
260	1	35	1	2	0
261	2	35	2	1	0
262	2	36	2	1	0
263	1	36	1	1	0
264	1	36	1	1	0
265	2	27	3	1	1
266	2	27	2	2	1
267	2	27	3	2	1
268	2	28	2	2	1
269	1	35	3	2	0
270	1	36	1	1	0
271	1	36	2	1	0
272	1	27	1	1	1
273	2	28	3	2	1
274	2	29	2	2	1
275	2	35	1	2	0
276	2	32	2	1	0
277	2	27	3	2	1
278	2	24	2	2	1
279	2	24	3	2	1
280	1	25	1	1	0
281	1	32	2	1	0
282	1	32	3	2	1
283	2	25	1	1	0
284	1	35	2	2	0
285	2	24	3	2	1
286	2	22	2	2	1
287	1	21	3	2	1
288	2	18	3	2	1
289	1	38	1	1	0
290	2	18	2	2	1
291	2	28	2	2	1
292	2	26	2	2	1
293	1	66	3	1	0
294	2	27	3	2	1
295	1	24	3	1	0
296	2	24	3	2	1
297	2	22	2	1	1
298	2	32	3	2	1
299	1	34	1	1	0
300	2	35	3	2	1
301	1	64	1	1	0
302	1	55	1	1	0
303	1	75	1	1	0
304	2	73	2	2	0
305	1	34	1	1	0
306	1	35	1	1	0
307	2	37	2	2	0
308	1	42	1	1	0
309	1	42	1	1	0
310	1	43	1	1	0
311	2	43	2	2	0
312	1	45	1	1	0
313	1	46	1	1	0
314	2	27	2	2	0
315	1	64	1	1	0
316	1	55	1	1	0
317	1	75	1	1	0
318	2	73	2	2	0
319	1	34	1	1	0
320	1	35	1	1	0
321	2	37	2	2	0
322	1	42	1	1	0
323	1	42	1	1	0
324	1	43	1	1	0
325	2	43	2	2	0
326	1	45	1	1	0
327	1	46	1	1	0
328	2	27	2	2	0
329	1	64	1	1	0
330	1	55	1	1	0
331	1	75	1	1	0
332	2	73	2	2	0
333	1	34	1	1	0
334	1	35	1	1	0
335	2	37	2	2	0
336	1	42	1	1	0
337	1	42	1	1	0
338	1	43	1	1	0
339	2	43	2	2	0
340	1	45	1	1	0
341	1	46	1	1	0
342	2	27	2	2	0
343	1	64	1	1	0
344	1	55	1	1	0
345	1	75	1	1	0
346	2	73	2	2	0
347	1	34	1	1	0
348	1	35	1	1	0
349	2	37	2	2	0
350	1	42	1	1	0
351	1	42	1	1	0
352	1	43	1	1	0
353	2	43	2	2	0
354	1	45	1	1	0
355	1	46	1	1	0
356	2	27	2	2	0
357	1	64	1	1	0
358	1	55	1	1	0
359	1	75	1	1	0
360	2	73	2	2	0
361	1	34	1	1	0
362	1	35	1	1	0
363	2	37	2	2	0
364	1	42	1	1	0
365	1	42	1	1	0
366	1	43	1	1	0
367	2	43	2	2	0
368	1	45	1	1	0
369	1	46	1	1	0
370	2	27	2	2	0
371	1	64	1	1	0
372	1	55	1	1	0
373	1	75	1	1	0
374	2	73	2	2	0
375	1	34	1	1	0
376	1	35	1	1	0
377	2	37	2	2	0
378	1	42	1	1	0
379	1	42	1	1	0
380	1	43	1	1	0
381	2	43	2	2	0
382	1	45	1	1	0
383	1	46	1	1	0
384	2	27	2	2	0
385	1	64	1	1	0
386	1	55	1	1	0
387	1	75	1	1	0
388	2	73	2	2	0
389	1	34	1	1	0
390	1	35	1	1	0
391	2	37	2	2	0
392	1	42	1	1	0
393	1	42	1	1	0
394	1	43	1	1	0
395	2	43	2	2	0
396	1	45	1	1	0
397	1	46	1	1	0
398	2	27	2	2	0
399	1	46	1	1	0
400	2	57	3	1	0
401	2	59	1	2	0
402	1	64	1	2	0
403	2	66	1	1	0
404	2	63	1	1	0
405	1	38	1	1	0
406	1	62	1	1	0
407	2	57	3	1	0
408	2	59	1	2	0
409	1	64	1	1	0
410	2	66	1	1	0
411	2	63	1	1	0
412	1	38	1	1	0
413	1	62	1	1	0
414	2	57	3	1	0
415	2	59	1	2	0
416	1	64	1	2	0
417	2	66	1	1	0
418	2	63	1	1	0
419	1	38	1	1	0
420	1	62	1	1	0
421	2	57	3	1	0
422	2	59	1	2	0
423	1	64	1	1	0
424	2	66	1	1	0
425	2	63	1	1	0
426	1	38	1	1	0
427	1	62	1	1	0
428	2	57	3	1	0
429	2	59	1	2	0
430	1	64	1	2	0
431	2	66	1	1	0
432	2	63	1	1	0
433	1	38	1	1	0
434	1	62	1	1	0
435	2	57	3	1	0
436	2	59	1	2	0
437	1	64	1	1	0
438	2	66	1	1	0
439	2	63	1	1	0
440	1	38	1	1	0
441	1	62	1	1	0
442	2	57	3	1	0
443	2	59	1	2	0
444	1	64	1	2	0
445	2	66	1	1	0
446	2	63	1	1	0
447	1	38	1	1	0
448	1	62	1	1	0
449	2	57	3	1	0
450	2	59	1	2	0
451	1	64	1	1	0
452	2	66	1	1	0
453	2	63	1	1	0
454	1	38	1	1	0
455	1	62	1	1	0
456	2	57	3	1	0
457	2	59	1	2	0
458	1	64	1	2	0
459	2	66	1	1	0
460	2	63	1	1	0
461	1	38	1	1	0
462	1	62	1	1	0
463	2	57	3	1	0
464	2	59	1	2	0
465	1	64	1	1	0
466	2	66	1	1	0
467	2	63	1	1	0
468	1	38	1	1	0
469	1	62	1	1	0
470	2	57	3	1	0
471	2	59	1	2	0
472	1	64	1	2	0
473	2	66	1	1	0
474	2	63	1	1	0
475	1	38	1	1	0
476	1	62	1	1	0
477	2	57	3	1	0
478	2	59	1	2	0
479	1	64	1	1	0
480	2	66	1	1	0
481	2	63	1	1	0
482	1	38	1	1	0
483	1	62	1	1	0
484	2	57	3	1	0
485	2	59	1	2	0
486	1	64	1	2	0
487	2	66	1	1	0
488	2	63	1	1	0
489	1	38	1	1	0
490	1	62	1	1	0
491	2	57	3	1	0
492	2	59	1	2	0
493	1	64	1	1	0
494	2	66	1	1	0
495	2	63	1	1	0
496	1	38	1	1	0
497	1	62	1	1	0
498	1	38	1	1	0
499	1	62	1	1	0
500	1	62	1	1	0
