sex,edu,house_type,Income,exp_house,exp_con,exp_non,noofhousehold,weight
2,3,4,1216744,993321,953900,39421,2,147.2
2,6,4,1218669,1273973,885701,388272,2,647.61
2,3,4,1218789,1522732,1054280,468452,1,1387.06
1,5,4,12198527,10168172,7688186,2479986,4,3036.08
1,4,4,12215380,5449118,3683434,1765684,4,1270.96
2,4,4,1223562,927083,765044,162039,1,3064.32
2,1,4,12258713,9847272,4656932,5190340,1,1921.85
2,1,4,1226286,1434940,1345627,89314,1,456.09
1,5,4,1230547,1585653,1576719,8934,2,1735.32
2,5,4,1233604,474310,255000,219310,1,818.2
1,5,4,1235012,1074671,970967,103704,3,863.05
1,4,4,1238901,2438916,1808918,629998,3,1564.53
2,1,4,1240712,761521,690723,70798,1,260.09
1,2,4,1245490,863144,555181,307963,1,702.45
2,5,4,1246038,949521,574036,375485,1,3424.41
1,4,4,1252380,859047,825283,33764,2,2258.17
2,3,4,125304,780180,769623,10557,1,2155.04
2,4,4,1254676,958176,515805,442371,1,3703.43
1,2,4,1257452,1067298,750211,317087,2,109.62
1,5,4,1262229,777726,593670,184056,2,1956.29
1,4,4,1263748,1550720,1453387,97333,2,1460.99
1,3,4,1269114,3865138,1033748,2831390,1,1110.55
2,6,4,1269448,985246,806351,178895,2,1229.69
1,5,4,127088,743802,699382,44420,1,1904.15
1,4,4,1271353,816839,632343,184496,2,2151.08
2,3,4,1280620,1349038,1149286,199752,2,905.52
2,3,4,1281115,1871672,1582175,289497,2,1947.89
1,6,4,1282382,1088572,676804,411767,2,1528.7
1,1,4,1295033,1255225,1175679,79547,2,1196.36
2,6,4,1310668,1317574,1234179,83395,2,1653.83
1,2,4,1320000,1222827,1222827,0,2,202.81
2,6,4,1324246,1424350,1240312,184039,1,1720.46
2,3,4,1330841,1266294,1146093,120201,3,1408.16
1,3,4,13312274,7534714,3493097,4041618,2,1103.45
2,1,4,1332606,1564331,1343006,221326,4,2227.14
1,5,4,1338120,1778842,1613205,165637,2,472.65
1,2,4,1339222,1304809,930777,374032,1,961.54
1,6,4,1339704,954629,757155,197474,2,1558.1
2,2,4,1339866,1192658,1148854,43804,2,402.43
2,5,4,1346850,784600,765160,19439,1,6030.7
1,5,4,1348420,1717202,1686375,30828,2,1846.52
2,6,4,1350747,1783610,1252884,530725,2,391.44
2,2,4,1353217,1567552,1419465,148086,1,2885.45
2,2,4,1355057,777432,760225,17206,2,1173.99
2,2,4,1358170,1208614,1177541,31072,1,3603.05
1,6,4,1359729,1154511,826857,327654,2,1007.87
2,3,4,1370698,1300737,1197082,103655,1,1133.42
2,2,4,1373114,1213073,1002058,211015,1,728.67
2,3,4,1381795,2165870,1656401,509469,2,1112.84
1,5,4,1385568,1488544,1477149,11394,3,629.35
2,3,4,1385741,1579809,1471947,107862,3,294.3
1,6,4,1388632,1290401,1187879,102522,2,3187.39
2,5,4,1402908,945785,899820,45965,1,2425.66
2,2,4,1416875,1272466,1049647,222819,3,1995.05
2,6,4,1418021,848031,704591,143440,2,592
2,6,4,1418100,1061797,889449,172347,2,826.65
2,1,4,1418715,987788,869782,118006,2,887.01
2,1,4,1418903,1907267,1284821,622446,1,9837.18
2,2,4,1422719,398467,318801,79667,1,719.49
2,3,4,1423842,1454500,1363552,90948,1,743.67
2,5,4,142448,348350,346934,1416,1,927.42
2,6,4,1430592,1250528,891683,358846,2,2281.61
1,6,4,14321055,9648142,5491834,4156308,2,720.21
2,4,4,1438141,1629335,1543291,86044,2,605
2,5,4,1440000,2619300,2275933,343367,3,293.36
1,5,4,1441846,1882202,1717692,164510,4,3166.36
2,6,4,1442485,1172871,1051704,121167,2,4235.4
1,6,4,1444485,1225029,1033109,191920,2,273.77
2,3,4,1446674,1122145,903522,218623,3,1450.47
1,5,4,1446678,1148377,1061225,87152,5,1118.57
2,3,4,1453362,1241390,1130165,111226,1,1339.46
2,4,4,1459971,1826286,1727421,98865,1,1987.57
1,2,4,1463657,1538716,1240244,298472,2,3278.05
2,5,4,1463965,1170788,1076802,93986,1,1494.76
2,5,4,1478305,978153,797696,180457,1,7595.23
1,3,4,1481525,2117558,1092991,1024566,1,4716.43
1,4,4,1485851,839052,503953,335099,2,1253.15
1,3,4,1486598,1117610,1035101,82510,3,828.63
1,3,4,1490224,1278427,841047,437381,1,2600.05
1,4,4,1490407,2788733,1586703,1202031,2,3495.31
1,2,4,1492801,1163317,966817,196500,4,466.85
1,5,4,1496260,1129233,813547,315686,1,3237.47
1,4,4,1500000,6171409,4689709,1481700,4,225.84
2,2,4,1500734,1420341,1318689,101652,2,970.92
1,4,4,1502534,861994,820323,41671,2,243.68
1,5,4,1505647,2128012,1717739,410274,3,1187.45
2,5,4,1511043,1117552,1024933,92619,3,289.71
2,3,4,1521813,2040571,1025170,1015401,2,1893.03
2,5,4,1522561,1728550,1288524,440027,2,741.79
1,4,4,1523261,1966392,1624391,342000,1,1191.99
1,3,4,1525798,1441366,1177047,264319,1,2273.98
2,5,4,1534461,1006988,823591,183397,2,1788.21
2,3,4,1540881,1278232,1067654,210579,1,3216.9
2,2,4,1550600,1231817,1176587,55230,3,232.88
2,2,4,1555880,2783084,2491874,291210,1,453.61
2,3,4,1564858,1526532,1501854,24678,2,3699.25
1,5,4,1566489,1276693,1211042,65651,5,371.26
2,2,4,1569833,1123309,784796,338513,1,288.91
2,4,4,1583782,2389141,2089689,299452,3,1822.1
2,6,4,15851702,9710386,2847635,6862751,3,1513.36
2,4,4,1599647,1124837,903263,221573,3,1921.84
2,3,4,1601103,1372100,1156753,215348,2,329.96
2,5,4,1602431,1278887,1229289,49598,2,176.23
2,3,4,1603951,1376954,1312905,64049,2,209.12
1,2,4,1606949,1465808,1107263,358545,1,1449.75
1,3,4,1609178,1441614,1044955,396659,2,1214.61
2,5,4,1609335,989083,873761,115322,2,2403.76
1,4,4,1609827,1297805,1287805,10000,3,261.11
2,1,4,1618302,1216278,941346,274932,3,723.59
1,3,4,16188873,13247923,7082338,6165585,2,1531.25
1,5,4,1620630,531110,474480,56630,1,213.57
2,5,4,16264,1516308,1322974,193334,2,624.88
2,1,4,1627776,1242310,979613,262697,3,1553.8
1,6,4,1640933,952881,764534,188347,1,3041.1
2,6,4,1651799,1355468,998516,356952,2,320.82
1,4,4,1652163,1679676,1633660,46016,2,1090.34
2,1,4,1655064,440803,394318,46485,1,1254.16
1,6,4,1664078,1383962,1310420,73542,4,1632.97
2,2,4,1668616,1815225,1705318,109908,3,1199.29
1,6,4,1669103,1158389,847791,310598,2,331.82
2,6,4,1676886,873407,681428,191979,2,726
1,3,4,1683308,1907145,1535587,371558,3,219.35
2,1,4,16851238,7561684,2555451,5006233,4,396.03
2,4,4,1686570,1149774,780257,369516,1,3195.7
2,3,4,1698445,1287415,1042129,245287,2,760.64
1,3,4,1700000,1245300,1018367,226933,3,778.73
2,3,4,1702297,1354003,1270356,83647,2,1001.3
1,3,4,1702644,1440176,1000391,439785,2,641.2
2,4,4,1711486,3231355,2915363,315991,2,1221.38
2,4,4,1717210,4975173,4802523,172650,2,54.35
1,3,4,1718663,2531080,2130384,400695,2,1993.71
2,3,4,1718764,1437021,753089,683932,2,1549.02
2,5,4,1733966,1818711,1523229,295482,2,1285.61
1,1,4,1736102,1209796,994859,214937,2,3891.62
2,2,4,1737740,1467560,1080430,387130,2,92.62
1,3,4,1745409,1643998,1535373,108625,1,3581.39
1,4,4,1754103,1528019,1355053,172966,4,1614.6
1,4,4,1760340,1425831,1301134,124697,6,5448.32
2,2,4,1762586,2419688,1474936,944752,2,1863.67
2,4,4,1766550,2248402,1780756,467645,3,1023.52
2,5,4,1768720,1987233,1434211,553022,2,1818.43
1,2,4,1776135,2109670,2082919,26751,2,444.61
1,6,4,1776665,1485989,733372,752617,2,1054.33
2,5,4,1780296,1837370,1360884,476486,2,4309.43
1,3,4,1781191,2477955,2017473,460483,1,1385.16
2,3,4,1783349,2034937,1721353,313584,3,201.65
1,1,4,1791046,879208,811706,67502,2,1109.32
1,1,4,1791988,1799359,1395107,404252,2,347.01
2,1,4,1793636,1034424,775884,258540,2,1374.34
1,4,4,1800866,1096686,985063,111623,1,214.03
2,5,4,1808275,909209,781208,128001,1,3193.49
1,4,4,1811910,1271695,1059683,212012,2,2137.8
1,3,4,1815383,1996512,1915717,80795,1,1699.54
1,5,4,1815670,2347543,1744670,602872,5,4072.19
2,2,4,1818296,2003249,1723311,279938,2,555
1,6,4,1818442,2737466,1532957,1204509,2,3055.56
1,4,4,1824526,1955553,1913192,42361,7,2487.99
2,2,4,18267121,6045733,4991614,1054119,2,148.93
1,6,4,1830972,1145501,1042482,103019,1,3877.19
2,5,4,1832290,1920083,1909969,10114,4,2393.05
1,4,4,1840353,2066977,1789771,277206,2,944.42
1,5,4,1844290,1772837,1634118,138719,2,1100.43
2,3,4,1857364,1269354,1045871,223483,1,3436.79
2,5,4,1861082,1862881,1760010,102871,1,1690.48
2,6,4,1870100,666740,439720,227020,1,250.47
1,3,4,1870479,1234541,1101046,133495,1,2515.92
2,4,4,1874830,2209832,1524638,685194,2,1265.92
2,3,4,1875000,853300,688830,164470,1,154.24
2,2,4,1876210,1835944,1470776,365168,1,345.94
1,4,4,1877215,1208971,924295,284676,1,3238.68
2,4,4,1879262,1134003,956669,177334,1,3787.37
1,4,4,1881552,980479,886232,94247,2,2803.8
1,6,4,1885647,1421914,1325806,96108,2,1414.73
1,4,4,1886277,3126001,1389659,1736342,2,1046.69
2,5,4,1896973,2148232,1381538,766694,1,345.64
1,1,4,1899158,2546044,2080189,465855,2,1084.03
1,3,4,1900000,2139275,1996235,143040,3,137.74
2,2,4,19018,1796345,1327734,468611,2,2136.97
1,3,4,1901984,1432446,1106628,325819,1,3404.15
2,5,4,1903966,1669606,1527657,141948,4,235.8
1,2,4,1904740,1475036,1332151,142886,3,1137.81
1,2,4,1905917,2130201,1882384,247817,1,1119.6
2,4,4,1914026,1082594,914643,167951,2,641.2
2,5,4,1916278,1743876,1649952,93924,1,1849.92
1,5,4,1917283,2560561,1944953,615608,3,1196.71
1,3,4,1918332,2068945,1690855,378089,2,1024.58
1,3,4,1921931,1501095,1132150,368944,4,6813.56
1,4,4,1922125,1414362,1106764,307598,2,1550.83
1,1,4,1923419,1298929,1238199,60730,1,956.81
2,6,4,1924645,2098578,2047179,51399,6,1031.36
1,5,4,1927864,1838913,1830916,7997,1,1223.43
1,4,4,1928278,1407365,1269348,138017,3,3343.47
1,3,4,1931797,1130876,927790,203086,1,839.84
1,4,4,1936910,1644254,1399297,244957,3,1015.33
2,2,4,1937058,1587036,1027072,559964,1,1516.95
2,2,4,1940000,1751909,1652339,99570,1,517.93
2,5,4,1948560,1545827,1274070,271757,3,176.14
1,3,4,1948692,1562409,1341457,220952,3,1195.82
2,3,4,1950346,1334605,738329,596276,2,342.82
1,1,4,1956008,1869767,1758544,111223,3,2429.69
1,5,4,1964362,1716112,1102023,614089,2,656.21
2,5,4,1966400,2206935,2206935,0,1,518.58
1,4,4,1970744,876472,778946,97525,1,1089.77
1,5,4,1971896,1874822,1546493,328329,2,1397.82
1,1,4,1972128,1791440,1431879,359561,2,1501.82
2,3,4,1976999,2217323,2054587,162737,2,661.84
1,6,4,1981493,1864647,1492552,372095,2,526.59
1,3,4,1982611,1699680,1645800,53879,4,1733.26
1,3,4,1983017,806908,634569,172338,1,4920.19
2,4,4,1983754,2134762,766746,1368016,2,2404.69
2,6,4,1991136,1584346,1293140,291206,2,442.42
1,3,4,1993542,946452,779599,166853,2,3699.25
2,2,4,1996097,1487721,1196735,290986,3,3856.18
2,2,4,1999811,2240112,2179716,60396,3,2091.71
2,1,4,2000000,2628601,1171676,1456924,2,1138.36
2,5,4,2000000,2313770,2201847,111923,3,280.13
1,5,4,2000051,1419964,785813,634150,2,1133.15
1,2,4,2002682,1537645,770035,767610,1,2559.79
1,1,4,2008698,1985279,1829402,155877,5,355.31
1,4,4,2024859,1672822,1415273,257549,3,2301.32
1,6,4,2025196,2570399,1899074,671325,3,2462.41
2,2,4,20267469,15672057,10047000,5625057,2,480.27
2,2,4,2027221,1954373,1708489,245884,2,480.77
2,2,4,202923,208358,92738,115620,1,633.44
2,3,4,2035692,2147304,1726297,421007,2,522.76
1,4,4,2046108,1866627,1671311,195316,3,574.64
2,3,4,2053735,1498961,1340675,158286,1,1147.56
2,2,4,2054290,4768545,4418545,350000,2,96.27
2,1,4,2057170,2111544,1594182,517362,3,1615.96
2,5,4,2060825,2649686,1879504,770182,2,1055.35
2,1,4,2062174,987164,871321,115843,2,3971.95
1,4,4,2066736,1392053,1022787,369266,2,545.74
2,3,4,206790,385106,381876,3230,1,352.27
1,5,4,2072376,2269966,1991647,278320,3,916.57
2,4,4,2077132,1348274,1089559,258715,2,1392.54
2,4,4,2078514,1671968,1323850,348118,2,4004.02
1,3,4,2084140,690885,406560,284325,2,359.81
1,1,4,2090693,2257145,1422768,834377,3,2968.89
2,5,4,20981200,4381099,3345189,1035910,6,425.53
1,1,4,2098911,1621453,1198168,423285,2,622.82
1,3,4,2100000,1272298,909958,362340,2,102.67
1,2,4,2102736,3160704,2767324,393380,3,519.7
2,6,4,2106047,1884046,1433343,450703,2,602.24
2,1,4,2108139,1767557,1460651,306906,1,2081.79
1,1,4,2109347,1281715,743996,537719,1,2057.3
1,2,4,2113463,2909885,2164003,745882,2,539.33
2,3,4,2113900,2135548,1471362,664185,2,414.1
1,2,4,2114761,1776849,1686205,90644,3,2145.85
1,3,4,2115858,2766358,2062571,703787,2,1781.19
2,5,4,2118260,1466336,1122342,343994,2,1295.01
1,1,4,2122956,3323301,2779128,544173,5,145.05
1,3,4,2129043,1100756,860506,240250,3,139
1,2,4,2130756,1001840,740645,261194,1,1103.06
1,6,4,2131475,2476598,1881105,595493,4,811.3
1,5,4,2132756,1342874,1176214,166661,1,1720.46
2,5,4,2134430,1320377,925114,395263,1,7595.23
2,4,4,2138758,1677269,1300999,376270,4,6007.55
1,3,4,2140415,1506327,1088189,418139,2,166.22
1,6,4,2143000,2378462,963082,1415380,2,107.82
2,3,4,2143320,1431596,1140267,291329,1,2756.89
2,6,4,2150000,1893040,1590040,303000,1,185.2
2,2,4,2150530,2069922,2014628,55294,4,253.34
2,6,4,2152184,1546142,1125330,420812,2,1289.18
2,2,4,2154631,1867264,1551709,315555,2,811.84
2,3,4,2155825,2073969,1293339,780630,2,783.69
1,3,4,2156033,1682117,1235399,446718,2,1873.18
2,5,4,2158635,2132888,1876232,256656,2,532.8
2,3,4,2162134,2329695,1611167,718528,3,625.43
2,5,4,2164802,1798784,1524086,274698,2,1437.26
2,2,4,2167673,1078552,845088,233464,2,775.33
1,3,4,2167717,1713872,1216323,497549,3,1412.17
1,2,4,2168758,1889352,1815665,73687,3,2592.84
2,3,4,2173868,1317573,1123153,194420,3,2740.81
2,3,4,2181414,1956320,1882706,73613,3,997.3
2,5,4,2181689,2424863,1734004,690859,2,4340.13
1,3,4,2185328,2743243,1745448,997796,1,981.5
1,4,4,2191481,1788007,1433080,354927,2,885.55
2,1,4,219509,1255940,1129094,126846,3,3475.64
2,5,4,2195210,1149773,937063,212710,3,237.93
1,5,4,2195465,1708714,1416726,291989,3,1389.89
1,3,4,2200824,1982784,1648667,334117,2,650.11
1,3,4,2201073,2216596,2135869,80728,3,1303.59
1,2,4,2203164,1954043,1224797,729246,3,734.83
2,3,4,2203491,2243521,1705937,537584,2,560.3
1,2,4,2210716,910080,588931,321150,1,467.61
2,5,4,2215253,1594687,1403528,191159,4,715.82
2,2,4,2215389,1437530,1210890,226640,2,1460.99
2,2,4,2215656,2964799,2683525,281273,3,917.84
2,6,4,2216569,1970748,1548984,421764,2,414.1
2,5,4,2221283,1937990,1581791,356198,1,915.77
1,2,4,2221827,2032888,1680225,352663,1,703.58
1,4,4,2222849,1192543,1071036,121507,2,735.52
2,3,4,2223757,2582347,2168406,413941,3,2237.12
2,3,4,2227016,2163266,1705146,458120,3,2720.54
2,1,4,2233896,1000464,729694,270770,2,164.44
2,1,4,2236903,2731303,2694808,36495,3,359.61
1,4,4,2243760,1662116,744802,917314,1,1428.45
1,4,4,2248244,1731615,1229900,501714,2,1088.27
1,5,4,2252450,2506901,2010961,495940,4,131.45
1,2,4,225275,225958,214320,11638,1,1023.32
2,5,4,2254244,3032354,2452911,579443,3,1905.24
1,3,4,2254709,1031521,961203,70318,2,1026.27
2,5,4,2260368,2446000,1577493,868507,4,1992.42
2,2,4,2262437,1526793,1184010,342783,4,1631.41
2,1,4,2263322,1195305,626148,569158,1,250.76
1,6,4,2274114,1822650,1622203,200448,3,868.08
1,5,4,2288914,1388369,725664,662705,2,60.24
1,3,4,2291807,3634234,3329763,304471,4,503.56
2,4,4,2295424,3688575,2672429,1016146,2,1512.39
2,2,4,2295915,1853107,1704643,148464,2,429.92
2,4,4,2296911,2927751,1849345,1078406,2,2217.24
1,4,4,2299721,2593827,2158250,435577,5,812.24
1,4,4,2305028,2388529,2110595,277935,3,355.12
2,5,4,2307139,1703952,1338250,365703,4,6328.16
1,1,4,2319605,1659730,1114560,545170,2,465.52
2,5,4,2321859,1552466,1146207,406259,2,1177.32
2,3,4,232574,315358,299670,15689,1,3581.39
2,4,4,2326809,1867115,1482034,385081,1,2221.48
1,4,4,232767,785010,743520,41490,1,1082.55
1,1,4,2333529,2711957,2211933,500023,2,3449.24
1,3,4,2337303,2964294,1996616,967679,2,544.16
2,5,4,2338785,3001633,2553396,448238,1,1857.43
1,3,4,2339099,2219447,1750194,469253,2,2582.59
1,3,4,2343692,2616573,2305589,310984,4,4419.54
2,2,4,2347458,1611597,1599088,12509,3,1528.27
2,1,4,2350419,1827338,1206213,621125,3,2051.39
2,4,4,2354549,2813676,2192556,621120,1,1106.58
2,5,4,2364899,2800092,2472478,327614,3,1336.87
1,5,4,2371761,1309139,928414,380725,2,1217.27
1,6,4,2373087,1433541,1272475,161066,4,395.65
1,4,4,237611,636447,576273,60174,1,1192.12
2,6,4,2388808,1259519,1012628,246892,2,480.57
2,1,4,2395780,2417312,2276898,140414,2,1270.96
1,4,4,2400000,1654429,1257328,397101,2,1638.33
2,6,4,2402972,1726188,1498027,228162,4,795.85
2,4,4,2403000,1807440,1550440,257000,4,238.52
1,5,4,2404406,1560303,1073460,486843,2,331.82
1,3,4,2413268,1459315,1210123,249192,1,1109.49
1,2,4,2415010,2581103,1857427,723676,2,254.52
2,2,4,2415286,2975621,2413413,562208,2,683.65
1,3,4,2418361,2435236,2108240,326996,5,4529.96
2,2,4,2422620,2250391,1864054,386337,3,491.37
1,2,4,2423322,2678359,1859646,818713,2,3891.62
1,2,4,2429932,2107776,918589,1189187,2,929.88
1,4,4,2434746,2621715,1960633,661083,3,996.4
2,2,4,2436422,3519443,2565296,954147,2,4490.13
1,6,4,2440458,1173497,836241,337257,2,7028.03
2,6,4,2441692,3572625,2336952,1235673,2,470.25
2,6,4,244337,3715889,2676022,1039867,4,493.02
1,1,4,2457141,2608783,2045465,563319,4,2533.11
1,4,4,2457765,2230419,2122364,108055,3,2087.9
1,2,4,2459350,1187561,904001,283560,1,1290.55
2,3,4,2460000,2091197,1618336,472861,2,273.33
1,4,4,2466619,1624219,1448659,175559,2,1584.53
2,2,4,2467559,1406622,1230670,175953,2,3584.42
1,4,4,2467791,2331280,2019677,311604,2,1910.58
1,1,4,2470814,1538759,1231074,307685,3,831.68
2,2,4,2473734,2055513,1614986,440527,2,517
1,3,4,2487281,2328477,1862452,466025,2,1066.07
2,1,4,2491910,2675488,2035210,640278,1,1346.65
2,2,4,2492786,1663936,1493265,170671,3,1129.6
1,5,4,2494256,1614144,1520482,93662,2,1100.43
2,4,4,2494505,1293101,1060085,233016,3,1156.03
2,5,4,2495615,1770707,1757198,13509,4,331.07
1,4,4,2496657,2609230,1847041,762189,3,216.47
2,5,4,2500000,2711497,2067017,644480,5,234.09
2,6,4,2500000,1639080,997170,641910,1,193.43
2,3,4,2502558,1426295,1182043,244252,1,1152.26
1,1,4,2503150,1840816,1406480,434336,3,847.11
1,2,4,2505731,2425005,2120257,304748,3,897.16
2,4,4,2508323,2505635,1966932,538703,1,1278.88
2,1,4,2513133,2537575,2257707,279868,3,1269.61
2,3,4,2516539,2317748,473836,1843912,1,1261.68
2,5,4,2518685,2278898,2139042,139856,3,802.95
2,1,4,2521444,2060775,1470202,590572,2,82.49
2,6,4,2524835,1965311,1631335,333977,3,2109.21
2,5,4,2529345,1845992,1587954,258038,3,659.85
2,4,4,2532767,2485995,1964610,521385,2,1030.37
1,2,4,2533952,1918531,1440961,477570,2,570.35
2,4,4,253440,466819,440834,25985,2,2922.15
2,2,4,2538715,3078176,2410545,667631,3,707.42
1,4,4,2538867,2173040,1922180,250860,2,1803.95
2,2,4,2550958,3843713,3643488,200225,2,232
2,3,4,2552965,2368822,1611133,757689,2,1444.45
2,3,4,2555549,2407186,2160932,246254,2,212.4
1,2,4,2572103,2068084,1846509,221575,3,1482.56
1,5,4,2576490,1496642,1150646,345997,2,169.9
2,1,4,2579398,2449167,2064739,384428,2,3800.2
2,4,4,2586022,2607969,2334908,273061,3,1730.65
1,6,4,2592183,1354719,989670,365049,3,994.88
2,3,4,2592624,1485146,1444966,40180,3,259.87
2,6,4,2592963,1914743,1221425,693318,2,648.35
1,4,4,2595182,2780320,2321465,458855,4,890.61
2,4,4,2599709,1481195,890620,590575,1,2053.58
1,3,4,2601245,2320655,1987731,332924,3,2142.08
2,2,4,2615309,1316077,825344,490733,1,589.5
1,4,4,262341,491884,431900,59984,1,380.01
1,4,4,2624544,2844078,2212527,631550,3,486.95
2,4,4,2629484,2363079,2111518,251561,5,5631.08
2,6,4,2631560,3068579,2446054,622524,3,715.47
1,1,4,2634389,1899017,1643283,255734,4,451.82
2,1,4,2635650,2336114,1807552,528561,4,1680.22
1,5,4,2638265,1915425,1553598,361827,2,776.49
2,1,4,2645154,1674348,1389548,284800,2,181.64
1,4,4,2645873,2166217,1649748,516469,2,2191.17
1,3,4,2649274,1859784,1657421,202363,2,1294.67
1,3,4,2649306,2041607,1558467,483140,2,1094.41
2,3,4,2649535,4489772,3523161,966610,5,4072.19
2,1,4,2650069,1372625,788270,584354,2,1096.34
2,5,4,2651492,1970279,1717353,252925,4,792.27
2,2,4,2656997,1793682,1406020,387662,2,1412.52
2,1,4,2657594,1501083,1221098,279985,4,1345.45
1,3,4,2662695,2497076,2281402,215674,5,4230.79
1,5,4,2666281,3884437,3107034,777403,4,3175.89
1,5,4,266741,391964,312371,79593,1,6819.96
2,3,4,2668508,2047113,1695460,351653,4,561.25
2,4,4,2670870,2006046,1923008,83038,4,1719.61
1,4,4,2675373,2159766,1829138,330628,4,892.15
1,5,4,2677192,2646040,1999816,646224,2,876.97
1,4,4,2677585,1939385,1651572,287813,2,903.88
2,4,4,2680000,1876654,1438816,437839,3,3472.66
2,4,4,2680638,3646091,3404328,241763,5,371.26
2,5,4,2681664,1204589,853892,350697,2,1144.53
1,4,4,2685400,2467061,1740030,727031,2,355.69
1,6,4,2687377,2362445,1863150,499295,4,1345.45
2,3,4,268786,243858,241729,2128,1,2674.07
