연번,기 관 명,요양기관기호,종별,대 표 자,address,진료과,병상,연락처,정보시스템현황,latitude,longtitude
84,김성철내과의원,31369391,의 원,김성철,인천 부평구 산곡4동 124-25 전방프라자 303호,IM,0,032-506-1122,,126.7089853,37.5065784
144,연세정형외과의원,31399754,의 원,강희천,인천 부평구 부평동 159-6,OS,0,032-524-7111,,126.7255083,37.4915767
119,서울웰빙정형외과의원,31378404,의 원,이상렬,인천 부평구 산곡동 369-262,OS,0,032-515-7575,,126.7049235,37.4921855
175,인하통증의학과의원,31397964,의 원,오제동,인천 서구 원적로 100 가좌로얄프라자 ,AN,0,032-583-7275,,126.6828291,37.4950413
117,상쾌한이비인후과의원,41345720,의 원,김준기,인천 서구 석남1동  457-12 2층,EN,0,032-582-8275,,126.6729592,37.5121047
179,장내과의원,31324495,의 원,장경문,인천 서구 가정동 504-8 ,IM,0,032-566-5353,,126.6733214,37.5194648
124,손태용내과의원,31383777,의 원,손태용,인천 서구 가정로 212(석남동)  ,IM,0,032-572-0046,,126.6723475,37.5035604
196,큰나무의원,41303831,의 원,양원탁,인천 서구 가좌동 118 홈플러스 가좌점 2층,IM,0,032-571-0011,,126.6707271,37.4976299
131,신현승내과의원,31366155,의 원,신현승,인천 서구 가좌동 122-4 우신프라자3층,IM,0,032-582-8575,,126.6813771,37.4946008
83,김득조내과의원,31358136,의 원,김득조,인천 서구 석남1동 456 서인빌딩302호,IM,0,032-581-9777,,126.6729507,37.5132241
185,차왕기내과의원,31372651,의 원,차왕기,인천 서구 석남2동 583-46,IM,0,032-574-0188,,126.6718761,37.5027137
142,연세열린내과의원,31373178,의 원,이충열,인천 서구 석남동 583-73,IM,0,032-579-6090,,126.6717533,37.5028771
169,인천연합의원,31323839,의 원,고정기,인천 서구 염곡로 329 ,IM,0,032-574-4844,,126.6684724,37.5140668
190,청라행복내과의원,41333268,의 원,김용욱,인천 서구 중봉대로 588 센트럴프라자 506호 ,IM,0,032-569-8000,,126.6502817,37.5320802
100,마리아산부인과의원,31349358,의 원,김규현,인천 서구 가정동 516-9,OG,0,032-575-8870,,126.6731605,37.5167263
78,그린산부인과의원,31388353,의 원,김동희,인천 서구 건지로 371 ,OG,0,032-574-3535,,126.6831469,37.4969493
123,세일정형외과의원,31326188,의 원,강수일,인천 서구 가정로 213 ,OS,0,032-575-2255,,126.6718937,37.5038338
189,청라정형외과의원,41344766,의 원,김영태,인천 서구 연희동 793-1,OS,0,032-577-8275,,126.6568275,37.5339543
135,엄마와아이들소아과의원,31372660,의 원,김상희,인천 서구 가정동 504-8,PD,0,032-572-1771,,126.6733214,37.5194648
155,유앤박소아과의원,31380115,의 원,유걸하,인천 서구 거북로 98 ,PD,0,032-573-3297,,126.6726455,37.5029782
158,이동희소아과의원,31352448,의 원,이동희,인천 서구 연희동  686-13 한터빌딩2층,PD,0,032-565-7575,,126.6767096,37.5492847
201,해맑은소아청소년과의원,41334761,의 원,김세령,인천 서구 연희동 799-10 번지 진영메디피아 405호,PD,0,032-569-7588,,126.652923,37.5338155
160,이상흔소아청소년과의원,31384170,의 원,이상흔,인천 서구 완정로 36(마전동)  한성빌딩2층,PD,0,032-561-7531,,126.6701887,37.5959856
177,임진영소아청소년과의원,31312128,의 원,임진영,인천 서구 장고개로 337번길 7 모건베스트원상가,PD,0,032-576-0870,,126.686012,37.4928045
194,코아이비인후과의원,41329317,의 원,김보묵,인천 연수구 송도동 3-1 밀레니엄빌딩 409,EN,0,032-834-9009,,126.6509307,37.3956574
89,김지현피부과의원,31332897,의 원,김지현,인천 연수구 연수2동 599 BYC빌딩4층,EN,0,032-817-8083,,126.676283,37.4136723
157,이강범이비인후과의원  ,31352961,의 원,이강범,인천 연수구 옥련동 194-5 인영프라자3층,EN,0,032-831-8275,,126.6443371,37.4244323
127,송도센트럴이비인후과의원,41346556,의 원,고일주,인천 연수구 해돋이로 168-11 ,EN,0,032-831-9972,,126.6459237,37.3961354
118,서울밝은안과의원,41340116,의 원,송하태,인천 연수구 옥련동 462-20 제일빌딩5층,EY,0,032-832-9823,,126.6475874,37.4246491
159,이상영가정의학과의원  ,31347509,의 원,이상영,인천 연수구 연수1동 508-14 청보빌딩 2층,FM,0,032-819-3636,,126.6832243,37.4243916
126,송도내과의원,31378668,의 원,여운철,인천 연수구 송도동 3-10 송도풍림아이원 상가,IM,0,032-851-7505,,126.6518605,37.3933136
125,송도그린의원,41339151,의 원,김동기,인천 연수구 송도동 4-1 더샆퍼스트월드 H동 ,IM,0,032-835-7575,,126.6482296,37.3911063
204,홍성표내과의원,31363202,의 원,홍성표,인천 연수구 연수2동 599 BYC빌딩 4층,IM,0,032-811-5810,,126.676283,37.4136723
200,한솔내과의원,31353231,의 원,김수경,인천 연수구 연수동 607-10,IM,0,032-818-1888,,126.6791538,37.4140538
112,부부내과의원,31352286,의 원,육은주,인천 연수구 옥련동 462-136,IM,0,032-831-1888,,126.6465773,37.4245198
101,마음속내과의원,41321511,의 원,윤익,인천 연수구 옥련동 462-9 효명프라자3층,IM,0,032-831-2208,,126.6456145,37.4245764
186,차지현신경정신과의원,41320166,의 원,차지현,인천 연수구 연수2동 599-5 탑피온빌딩5층,NS,0,032-821-2001,,126.6767319,37.412961
191,최대경여성의원,31349749,의 원,최대경,인천 연수구 동춘동 936-1 연수메디칼4층,OG,0,032-813-1616,,126.6714264,37.4082429
102,메디우먼산부인과의원,31319238,의 원,최남수,인천 연수구 연수2동 599번지 BYC빌딩3층,OG,0,032-819-9990,,126.676283,37.4136723
173,인하정형외과의원,31387721,의 원,모유철,인천 연수구 옥련동 194-5,OS,0,032-833-8275,,126.6443371,37.4244323
145,연세정형외과의원,31357717,의 원,최병무,인천 연수구 옥련동 304-12,OS,0,032-834-7000,,126.6564182,37.4277438
147,연수연세정형외과의원,31379320,의 원,안형국,인천 연수구 청학동 503-4,OS,0,032-821-4677,,126.6757106,37.4143034
137,연세꾸러기소아과의원,31374051,의 원,노광식,인천 연수구 독배로40번길 43(옥련동) 301호 ,PD,0,032-833-7533,,126.6472338,37.4246313
153,우리들소아과의원,31322310,의 원,박병숙,인천 연수구 동춘동 936-3,PD,0,032-817-8666,,126.6717886,37.4080036
165,이화웰봄소아청소년과의원,41328191,의 원,이경신,인천 연수구 송도동 9-18  해승메디피아 201호,PD,0,032-833-7119,,126.6463531,37.3791766
184,주일중소아과의원,31338291,의 원,주일중,인천 연수구 연수1동 534 유천A상가 201호,PD,0,032-815-0209,,126.6842539,37.42291
90,김훈수내과의원,41311094,의 원,김훈수,인천 중구 제물량로 65 (신흥동3가) ,DM,0,032-889-3378,,126.634944,37.4659814
187,참이비인후과의원,41336534,의 원,박정선,인천 중구 운서동  2794-1 영종에어포트 201,EN,0,032-746-7578,,126.4894946,37.4927376
130,송재현가정의원,31358357,의 원,송재현,인천 중구 연안부두로33번길 36 (항동7가) ,FM,0,032-887-5775,,126.605768,37.4535896
170,인하국제의원,41339932,의 원,신호철,인천 중구 공항로424번길 84,IM,0,032-206-1888,,126.4638239,37.4390833
132,신흥메디칼의원,31382207,의 원,남궁호근,인천 중구 신흥동3가 6-18,IM,0,032-885-7582,,126.635796,37.465552
136,연세공항의원,41312961,의 원,최옥경,인천 중구 운서동 2851-17 번지 인천골프클럽 3층,IM,0,032-751-6119,,126.4689419,37.4389693
162,이재준·양동경 내과의원,31325866,의 원,이재준,인천 중구 축항대로86번길 38 (항동7가) ,IM,0,032-883-6347,,126.6046978,37.453515
188,청담골드메디컬의원,41352041,의 원,이승준,인천 중구 하늘달빛로64번길 6-3 ,IM,0,032-752-7583,,126.5604974,37.4857419
133,아이본산부인과의원,31351867,의 원,고용석,인천 중구 경동 95-2 ,OG,0,032-772-7474,,126.63418,37.4729523
154,운서성모정형외과의원,31376878,의 원,신광섭,인천 중구 운서동 2800-1 화림메데칼2층,OS,0,032-746-7725~6,,126.4908779,37.494891
79,금강정형외과의원,31374395,의 원,최민기,인천 중구 유동 6-11 2/2,OS,0,032-881-7541,,126.6370752,37.4698714
75,고정선신경정신과의원,31368077,의 원,고정선,인천 중구 인현동 22-7,PY,0,032-777-1182,,126.6311491,37.4746432
