date,kospi,k_rate
2015-06-24,2085.53 ,0.208 
2015-06-25,2085.06 ,-0.023 
2015-06-26,2090.26 ,0.249 
2015-06-29,2060.49 ,-1.424 
2015-06-30,2074.20 ,0.665 
2015-07-01,2097.89 ,1.142 
2015-07-02,2107.33 ,0.450 
2015-07-03,2104.41 ,-0.139 
2015-07-06,2053.93 ,-2.399 
2015-07-07,2040.29 ,-0.664 
2015-07-08,2016.21 ,-1.180 
2015-07-09,2027.81 ,0.575 
2015-07-10,2031.17 ,0.166 
2015-07-13,2061.52 ,1.494 
2015-07-14,2059.23 ,-0.111 
2015-07-15,2072.91 ,0.664 
2015-07-16,2087.89 ,0.723 
2015-07-17,2076.79 ,-0.532 
2015-07-20,2073.31 ,-0.168 
2015-07-21,2083.62 ,0.497 
2015-07-22,2064.73 ,-0.907 
2015-07-23,2065.07 ,0.016 
2015-07-24,2045.96 ,-0.925 
2015-07-27,2038.81 ,-0.349 
2015-07-28,2039.10 ,0.014 
2015-07-29,2037.62 ,-0.073 
2015-07-30,2019.03 ,-0.912 
2015-07-31,2030.16 ,0.551 
2015-08-03,2008.49 ,-1.067 
2015-08-04,2027.99 ,0.971 
2015-08-05,2029.76 ,0.087 
2015-08-06,2013.29 ,-0.811 
2015-08-07,2010.23 ,-0.152 
2015-08-10,2003.17 ,-0.351 
2015-08-11,1986.65 ,-0.825 
2015-08-12,1975.47 ,-0.563 
2015-08-13,1983.46 ,0.404 
2015-08-17,1968.52 ,-0.753 
2015-08-18,1956.26 ,-0.623 
2015-08-19,1939.38 ,-0.863 
2015-08-20,1914.55 ,-1.280 
2015-08-21,1876.07 ,-2.010 
2015-08-24,1829.81 ,-2.466 
2015-08-25,1846.63 ,0.919 
2015-08-26,1894.09 ,2.570 
2015-08-27,1908.00 ,0.734 
2015-08-28,1937.67 ,1.555 
2015-08-31,1941.49 ,0.197 
2015-09-01,1914.23 ,-1.404 
2015-09-02,1915.22 ,0.052 
2015-09-03,1915.53 ,0.016 
2015-09-04,1886.04 ,-1.540 
2015-09-07,1883.22 ,-0.150 
2015-09-08,1878.68 ,-0.241 
2015-09-09,1934.20 ,2.955 
2015-09-10,1962.11 ,1.443 
2015-09-11,1941.37 ,-1.057 
2015-09-14,1931.46 ,-0.510 
2015-09-15,1937.56 ,0.316 
2015-09-16,1975.45 ,1.956 
2015-09-17,1976.49 ,0.053 
2015-09-18,1995.95 ,0.985 
2015-09-21,1964.68 ,-1.567 
2015-09-22,1982.06 ,0.885 
2015-09-23,1944.64 ,-1.888 
2015-09-24,1947.10 ,0.127 
2015-09-25,1942.85 ,-0.218 
2015-09-30,1962.81 ,1.027 
2015-10-01,1979.32 ,0.841 
2015-10-02,1969.68 ,-0.487 
2015-10-05,1978.25 ,0.435 
2015-10-06,1990.65 ,0.627 
2015-10-07,2005.84 ,0.763 
2015-10-08,2019.53 ,0.683 
2015-10-12,2021.63 ,0.104 
2015-10-13,2019.05 ,-0.128 
2015-10-14,2009.55 ,-0.471 
2015-10-15,2033.27 ,1.180 
2015-10-16,2030.26 ,-0.148 
2015-10-19,2030.27 ,0.000 
2015-10-20,2039.36 ,0.448 
2015-10-21,2042.98 ,0.178 
2015-10-22,2023.00 ,-0.978 
2015-10-23,2040.40 ,0.860 
2015-10-26,2048.08 ,0.376 
2015-10-27,2044.65 ,-0.167 
2015-10-28,2042.51 ,-0.105 
2015-10-29,2034.16 ,-0.409 
2015-10-30,2029.47 ,-0.231 
2015-11-02,2035.24 ,0.284 
2015-11-03,2048.40 ,0.647 
2015-11-04,2052.77 ,0.213 
2015-11-05,2049.41 ,-0.164 
2015-11-06,2041.07 ,-0.407 
2015-11-09,2025.70 ,-0.753 
2015-11-10,1996.59 ,-1.437 
2015-11-11,1997.27 ,0.034 
2015-11-12,1993.36 ,-0.196 
2015-11-13,1973.29 ,-1.007 
2015-11-16,1943.02 ,-1.534 
2015-11-17,1963.58 ,1.058 
2015-11-18,1962.88 ,-0.036 
2015-11-19,1988.91 ,1.326 
2015-11-20,1989.86 ,0.048 
2015-11-23,2003.70 ,0.696 
2015-11-24,2016.29 ,0.628 
2015-11-25,2009.42 ,-0.341 
2015-11-26,2030.68 ,1.058 
2015-11-27,2028.99 ,-0.083 
2015-11-30,1991.97 ,-1.825 
2015-12-01,2023.93 ,1.604 
2015-12-02,2009.29 ,-0.723 
2015-12-03,1994.07 ,-0.757 
2015-12-04,1974.40 ,-0.986 
2015-12-07,1963.67 ,-0.543 
2015-12-08,1949.04 ,-0.745 
2015-12-09,1948.24 ,-0.041 
2015-12-10,1952.07 ,0.197 
2015-12-11,1948.62 ,-0.177 
2015-12-14,1927.82 ,-1.067 
2015-12-15,1932.97 ,0.267 
2015-12-16,1969.40 ,1.885 
2015-12-17,1977.96 ,0.435 
2015-12-18,1975.32 ,-0.133 
2015-12-21,1981.19 ,0.297 
2015-12-22,1992.56 ,0.574 
2015-12-23,1999.22 ,0.334 
2015-12-24,1990.65 ,-0.429 
2015-12-28,1964.06 ,-1.336 
2015-12-29,1966.31 ,0.115 
2015-12-30,1961.31 ,-0.254 
2016-01-04,1918.76 ,-2.169 
2016-01-05,1930.53 ,0.613 
2016-01-06,1925.43 ,-0.264 
2016-01-07,1904.33 ,-1.096 
2016-01-08,1917.62 ,0.698 
2016-01-11,1894.84 ,-1.188 
2016-01-12,1890.86 ,-0.210 
2016-01-13,1916.28 ,1.344 
2016-01-14,1900.01 ,-0.849 
2016-01-15,1878.87 ,-1.113 
2016-01-18,1878.45 ,-0.022 
2016-01-19,1889.64 ,0.596 
2016-01-20,1845.45 ,-2.339 
2016-01-21,1840.53 ,-0.267 
2016-01-22,1879.43 ,2.114 
2016-01-25,1893.43 ,0.745 
2016-01-26,1871.69 ,-1.148 
2016-01-27,1897.87 ,1.399 
2016-01-28,1906.94 ,0.478 
2016-01-29,1912.06 ,0.268 
2016-02-01,1924.82 ,0.667 
2016-02-02,1906.60 ,-0.947 
2016-02-03,1890.67 ,-0.836 
2016-02-04,1916.26 ,1.353 
2016-02-05,1917.79 ,0.080 
2016-02-11,1861.54 ,-2.933 
2016-02-12,1835.28 ,-1.411 
2016-02-15,1862.20 ,1.467 
2016-02-16,1888.30 ,1.402 
2016-02-17,1883.94 ,-0.231 
2016-02-18,1908.84 ,1.322 
2016-02-19,1916.24 ,0.388 
2016-02-22,1916.36 ,0.006 
2016-02-23,1914.22 ,-0.112 
2016-02-24,1912.53 ,-0.088 
2016-02-25,1918.57 ,0.316 
2016-02-26,1920.16 ,0.083 
2016-02-29,1916.66 ,-0.182 
2016-03-02,1947.42 ,1.605 
2016-03-03,1958.17 ,0.552 
2016-03-04,1955.63 ,-0.130 
2016-03-07,1957.87 ,0.115 
2016-03-08,1946.12 ,-0.600 
2016-03-09,1952.95 ,0.351 
2016-03-10,1969.33 ,0.839 
2016-03-11,1971.41 ,0.106 
2016-03-14,1972.27 ,0.044 
2016-03-15,1969.97 ,-0.117 
2016-03-16,1974.90 ,0.250 
2016-03-17,1987.99 ,0.663 
2016-03-18,1992.12 ,0.208 
2016-03-21,1989.76 ,-0.118 
2016-03-22,1996.81 ,0.354 
2016-03-23,1995.12 ,-0.085 
2016-03-24,1985.97 ,-0.459 
2016-03-25,1983.81 ,-0.109 
