"id","age","sex","region","income","married","children","car","save_act","current_act","mortgage","c5_pred","c5_pred_prob.NO","c5_pred_prob.YES"
"ID12853",56,"FEMALE","SUBURBAN",48758.6,"NO",2,"NO","YES","YES","NO","YES",0.05204082,0.94795918
"ID12855",65,"FEMALE","INNER_CITY",47199.0,"YES",1,"NO","YES","YES","NO","YES",0.05204082,0.94795918
"ID12863",48,"MALE","INNER_CITY",38635.6,"YES",2,"YES","NO","YES","NO","YES",0.05204082,0.94795918
"ID12884",66,"FEMALE","INNER_CITY",60635.6,"YES",1,"YES","YES","YES","YES","YES",0.05204082,0.94795918
"ID12891",39,"MALE","INNER_CITY",34140.8,"YES",2,"NO","YES","YES","NO","YES",0.05204082,0.94795918
"ID12896",66,"MALE","INNER_CITY",58792.6,"NO",1,"YES","YES","YES","YES","YES",0.05204082,0.94795918
"ID12706",20,"MALE","INNER_CITY",16688.5,"NO",1,"NO","YES","YES","YES","YES",0.05344828,0.94655172
"ID12710",57,"FEMALE","TOWN",19621.3,"YES",1,"YES","NO","YES","NO","YES",0.05344828,0.94655172
"ID12744",60,"FEMALE","INNER_CITY",27372.7,"YES",1,"YES","NO","YES","NO","YES",0.05344828,0.94655172
"ID12745",52,"FEMALE","TOWN",16700.2,"NO",1,"YES","YES","YES","YES","YES",0.05344828,0.94655172
"ID12746",61,"MALE","INNER_CITY",26527.9,"NO",1,"NO","NO","YES","NO","YES",0.05344828,0.94655172
"ID12760",31,"MALE","INNER_CITY",23633.3,"NO",1,"YES","NO","YES","YES","YES",0.05344828,0.94655172
"ID12763",51,"FEMALE","RURAL",16940.2,"YES",1,"NO","YES","YES","NO","YES",0.05344828,0.94655172
"ID12781",44,"MALE","TOWN",23790.4,"NO",1,"NO","YES","YES","NO","YES",0.05344828,0.94655172
"ID12784",37,"MALE","SUBURBAN",17629.3,"YES",1,"NO","YES","YES","YES","YES",0.05344828,0.94655172
"ID12804",60,"MALE","INNER_CITY",19849.0,"NO",1,"NO","YES","YES","NO","YES",0.05344828,0.94655172
"ID12848",22,"FEMALE","TOWN",16426.2,"YES",1,"YES","YES","YES","YES","YES",0.05344828,0.94655172
"ID12851",41,"FEMALE","SUBURBAN",18093.4,"YES",1,"NO","NO","YES","YES","YES",0.05344828,0.94655172
"ID12852",39,"FEMALE","INNER_CITY",14413.9,"NO",1,"NO","NO","YES","NO","YES",0.05344828,0.94655172
"ID12868",29,"FEMALE","SUBURBAN",25076.7,"NO",1,"NO","YES","YES","NO","YES",0.05344828,0.94655172
"ID12883",33,"MALE","TOWN",15228.7,"YES",1,"NO","YES","YES","NO","YES",0.05344828,0.94655172
"ID12894",34,"MALE","RURAL",13699.0,"YES",1,"YES","YES","YES","NO","YES",0.05344828,0.94655172
"ID12708",50,"FEMALE","INNER_CITY",27740.8,"YES",1,"YES","YES","NO","YES","YES",0.07857143,0.92142857
"ID12741",44,"MALE","SUBURBAN",26553.5,"NO",1,"NO","NO","NO","NO","YES",0.07857143,0.92142857
"ID12774",42,"MALE","SUBURBAN",23174.9,"YES",1,"YES","NO","NO","YES","YES",0.07857143,0.92142857
"ID12703",45,"FEMALE","RURAL",21881.6,"NO",0,"YES","YES","YES","NO","YES",0.08500000,0.91500000
"ID12730",25,"FEMALE","INNER_CITY",11171.0,"NO",0,"YES","YES","YES","NO","YES",0.08500000,0.91500000
"ID12731",32,"MALE","RURAL",23805.5,"NO",0,"YES","YES","NO","NO","YES",0.08500000,0.91500000
"ID12747",65,"FEMALE","INNER_CITY",58002.2,"NO",0,"NO","YES","YES","NO","YES",0.08500000,0.91500000
"ID12753",40,"FEMALE","INNER_CITY",32089.9,"NO",0,"NO","YES","YES","NO","YES",0.08500000,0.91500000
"ID12770",28,"MALE","INNER_CITY",17846.2,"NO",0,"NO","YES","YES","NO","YES",0.08500000,0.91500000
"ID12771",23,"MALE","INNER_CITY",18233.1,"NO",0,"YES","NO","NO","NO","YES",0.08500000,0.91500000
"ID12778",64,"MALE","TOWN",29107.5,"NO",0,"YES","NO","YES","NO","YES",0.08500000,0.91500000
"ID12786",18,"FEMALE","TOWN",15800.6,"NO",0,"YES","NO","YES","NO","YES",0.08500000,0.91500000
"ID12808",58,"FEMALE","SUBURBAN",40491.4,"NO",0,"YES","YES","YES","NO","YES",0.08500000,0.91500000
"ID12811",67,"MALE","INNER_CITY",39137.0,"NO",0,"YES","YES","NO","NO","YES",0.08500000,0.91500000
"ID12817",47,"MALE","INNER_CITY",36766.0,"NO",0,"NO","NO","YES","NO","YES",0.08500000,0.91500000
"ID12818",54,"FEMALE","TOWN",44982.1,"NO",0,"YES","YES","NO","NO","YES",0.08500000,0.91500000
"ID12821",60,"FEMALE","TOWN",27558.6,"NO",0,"YES","YES","NO","NO","YES",0.08500000,0.91500000
"ID12823",33,"MALE","SUBURBAN",12990.3,"NO",0,"YES","NO","YES","NO","YES",0.08500000,0.91500000
"ID12831",56,"FEMALE","INNER_CITY",41523.0,"NO",0,"NO","YES","YES","NO","YES",0.08500000,0.91500000
"ID12840",26,"MALE","SUBURBAN",12170.8,"NO",0,"YES","NO","YES","NO","YES",0.08500000,0.91500000
"ID12845",41,"FEMALE","SUBURBAN",15064.3,"NO",0,"YES","YES","YES","NO","YES",0.08500000,0.91500000
"ID12873",43,"MALE","TOWN",28741.6,"NO",0,"NO","NO","NO","NO","YES",0.08500000,0.91500000
"ID12718",56,"FEMALE","RURAL",47315.3,"YES",3,"YES","YES","NO","NO","YES",0.09166667,0.90833333
"ID12761",64,"MALE","RURAL",60176.1,"YES",3,"NO","YES","YES","NO","YES",0.09166667,0.90833333
"ID12712",26,"FEMALE","INNER_CITY",22378.5,"NO",0,"YES","NO","YES","YES","YES",0.13750000,0.86250000
"ID12756",58,"MALE","SUBURBAN",37681.4,"NO",0,"YES","NO","YES","YES","YES",0.13750000,0.86250000
"ID12810",20,"FEMALE","INNER_CITY",18824.1,"NO",0,"NO","NO","YES","YES","YES",0.13750000,0.86250000
"ID12898",54,"MALE","RURAL",29348.8,"NO",0,"NO","NO","YES","YES","YES",0.13750000,0.86250000
"ID12733",18,"MALE","SUBURBAN",10523.3,"YES",0,"NO","NO","NO","YES","YES",0.15500000,0.84500000
"ID12807",65,"FEMALE","TOWN",38858.5,"YES",0,"NO","NO","YES","YES","YES",0.15500000,0.84500000
"ID12829",31,"FEMALE","INNER_CITY",23025.4,"YES",0,"NO","NO","YES","YES","YES",0.15500000,0.84500000
"ID12839",19,"FEMALE","INNER_CITY",14782.7,"YES",0,"NO","NO","YES","YES","YES",0.15500000,0.84500000
"ID12846",57,"MALE","INNER_CITY",18732.8,"YES",0,"YES","NO","NO","YES","YES",0.15500000,0.84500000
"ID12860",31,"FEMALE","INNER_CITY",24609.7,"YES",0,"NO","NO","YES","YES","YES",0.15500000,0.84500000
"ID12862",51,"FEMALE","TOWN",37733.3,"YES",0,"YES","NO","NO","YES","YES",0.15500000,0.84500000
