id,age,sex,region,income,married,children,car,save_act,current_act,mortgage
ID12731,32,MALE,RURAL,23805.500,NO,0,YES,YES,NO,NO
ID12732,31,FEMALE,TOWN,20979.500,YES,2,NO,YES,YES,NO
ID12733,18,MALE,SUBURBAN,10523.300,YES,0,NO,NO,NO,YES
ID12734,35,MALE,SUBURBAN,12403.000,YES,1,NO,YES,YES,NO
ID12735,47,FEMALE,INNER_CITY,21935.700,YES,0,YES,YES,NO,NO
ID12736,63,MALE,INNER_CITY,54182.500,YES,0,NO,YES,YES,NO
ID12737,47,FEMALE,TOWN,20628.000,YES,0,YES,NO,YES,NO
ID12738,33,MALE,INNER_CITY,28589.400,YES,0,NO,YES,YES,YES
ID12739,28,FEMALE,TOWN,26201.600,NO,2,YES,NO,YES,NO
ID12740,36,FEMALE,TOWN,18038.000,YES,3,NO,NO,YES,YES
ID12741,44,MALE,SUBURBAN,26553.500,NO,1,NO,NO,NO,NO
ID12742,45,FEMALE,INNER_CITY,26956.000,NO,0,NO,YES,NO,YES
ID12743,66,MALE,INNER_CITY,43720.400,NO,1,NO,YES,NO,YES
ID12744,60,FEMALE,INNER_CITY,27372.700,YES,1,YES,NO,YES,NO
ID12745,52,FEMALE,TOWN,16700.200,NO,1,YES,YES,YES,YES
ID12746,61,MALE,INNER_CITY,26527.900,NO,1,NO,NO,YES,NO
ID12747,65,FEMALE,INNER_CITY,58002.200,NO,0,NO,YES,YES,NO
ID12748,21,FEMALE,INNER_CITY,14827.200,NO,2,YES,NO,YES,NO
ID12749,25,MALE,TOWN,21366.000,YES,0,NO,YES,YES,NO
ID12750,62,MALE,SUBURBAN,40099.600,YES,0,YES,YES,YES,NO
ID12751,28,MALE,TOWN,16376.200,YES,0,NO,YES,YES,YES
ID12752,61,MALE,RURAL,40315.600,YES,2,YES,YES,YES,NO
ID12753,40,FEMALE,INNER_CITY,32089.900,NO,0,NO,YES,YES,NO
ID12754,18,MALE,TOWN,5960.400,YES,0,NO,YES,YES,NO
ID12755,34,MALE,SUBURBAN,17221.300,NO,0,NO,YES,YES,YES
ID12756,58,MALE,SUBURBAN,37681.400,NO,0,YES,NO,YES,YES
ID12757,38,MALE,INNER_CITY,30943.700,NO,3,YES,YES,YES,NO
ID12758,32,FEMALE,SUBURBAN,15623.500,NO,3,YES,NO,YES,NO
ID12759,54,FEMALE,INNER_CITY,27775.700,NO,2,NO,NO,YES,NO
ID12760,31,MALE,INNER_CITY,23633.300,NO,1,YES,NO,YES,YES
ID12761,64,MALE,RURAL,60176.100,YES,3,NO,YES,YES,NO
ID12762,24,MALE,INNER_CITY,7782.190,YES,2,YES,YES,YES,NO
ID12763,51,FEMALE,RURAL,16940.200,YES,1,NO,YES,YES,NO
ID12764,46,FEMALE,TOWN,41406.500,YES,1,NO,YES,YES,NO
ID12765,30,MALE,INNER_CITY,20664.500,YES,2,YES,YES,YES,YES
ID12766,44,FEMALE,INNER_CITY,31833.700,NO,2,NO,YES,YES,NO
ID12767,22,FEMALE,TOWN,14452.200,YES,3,NO,YES,YES,NO
ID12768,46,MALE,TOWN,32101.400,NO,3,NO,YES,YES,NO
ID12769,28,MALE,SUBURBAN,9785.210,NO,2,YES,YES,YES,YES
ID12770,28,MALE,INNER_CITY,17846.200,NO,0,NO,YES,YES,NO
ID12771,23,MALE,INNER_CITY,18233.100,NO,0,YES,NO,NO,NO
ID12772,28,MALE,TOWN,17737.200,YES,0,YES,YES,NO,NO
ID12773,26,FEMALE,INNER_CITY,23925.600,NO,2,YES,NO,YES,NO
ID12774,42,MALE,SUBURBAN,23174.900,YES,1,YES,NO,NO,YES
ID12775,32,FEMALE,RURAL,25623.200,YES,0,YES,NO,NO,NO
ID12776,54,FEMALE,INNER_CITY,48375.500,YES,2,YES,YES,YES,NO
ID12777,47,FEMALE,TOWN,31936.600,YES,0,NO,YES,YES,NO
ID12778,64,MALE,TOWN,29107.500,NO,0,YES,NO,YES,NO
ID12779,57,MALE,INNER_CITY,39576.300,NO,3,YES,YES,YES,NO
ID12780,48,FEMALE,SUBURBAN,44960.000,YES,0,NO,YES,YES,YES
ID12781,44,MALE,TOWN,23790.400,NO,1,NO,YES,YES,NO
ID12782,44,MALE,RURAL,39202.200,NO,1,YES,YES,YES,YES
ID12783,67,MALE,INNER_CITY,35004.900,NO,3,NO,NO,YES,YES
ID12784,37,MALE,SUBURBAN,17629.300,YES,1,NO,YES,YES,YES
ID12785,58,FEMALE,INNER_CITY,25383.600,YES,0,YES,YES,YES,NO
ID12786,18,FEMALE,TOWN,15800.600,NO,0,YES,NO,YES,NO
ID12787,27,MALE,TOWN,11679.300,YES,3,YES,NO,NO,NO
ID12788,18,FEMALE,INNER_CITY,6531.430,NO,3,YES,YES,YES,NO
ID12789,60,MALE,TOWN,28461.300,YES,2,YES,YES,NO,NO
ID12790,45,FEMALE,TOWN,38496.900,NO,2,YES,NO,YES,NO
ID12791,56,FEMALE,TOWN,50209.700,NO,2,YES,YES,YES,NO
ID12792,26,MALE,INNER_CITY,23058.800,YES,0,YES,YES,YES,NO
ID12793,38,MALE,INNER_CITY,25194.000,YES,0,YES,YES,YES,NO
ID12794,39,FEMALE,TOWN,28611.600,NO,2,YES,YES,NO,NO
ID12795,34,MALE,RURAL,23653.600,YES,0,NO,YES,YES,NO
ID12796,28,FEMALE,SUBURBAN,22212.100,YES,3,NO,NO,YES,YES
ID12797,65,FEMALE,SUBURBAN,47289.200,NO,1,YES,YES,YES,NO
ID12798,37,MALE,INNER_CITY,31979.900,NO,1,NO,YES,NO,YES
ID12799,36,MALE,INNER_CITY,31532.500,YES,0,NO,YES,YES,NO
ID12800,62,FEMALE,INNER_CITY,49016.700,YES,0,YES,YES,YES,YES
ID12801,60,MALE,INNER_CITY,20752.500,YES,0,YES,YES,NO,NO
ID12802,52,FEMALE,TOWN,33043.500,NO,2,NO,NO,NO,NO
ID12803,66,MALE,TOWN,61476.800,YES,0,NO,YES,NO,YES
ID12804,60,MALE,INNER_CITY,19849.000,NO,1,NO,YES,YES,NO
ID12805,31,FEMALE,INNER_CITY,16678.000,YES,3,YES,NO,YES,YES
ID12806,19,MALE,INNER_CITY,7624.110,YES,1,YES,NO,NO,NO
ID12807,65,FEMALE,TOWN,38858.500,YES,0,NO,NO,YES,YES
ID12808,58,FEMALE,SUBURBAN,40491.400,NO,0,YES,YES,YES,NO
ID12809,60,MALE,SUBURBAN,24170.900,YES,2,NO,YES,YES,NO
ID12810,20,FEMALE,INNER_CITY,18824.100,NO,0,NO,NO,YES,YES
ID12811,67,MALE,INNER_CITY,39137.000,NO,0,YES,YES,NO,NO
ID12812,47,MALE,SUBURBAN,35140.100,YES,2,YES,NO,NO,NO
ID12813,22,FEMALE,TOWN,18367.200,YES,3,YES,NO,YES,YES
ID12814,57,MALE,INNER_CITY,37548.000,NO,2,NO,NO,YES,NO
ID12815,35,MALE,INNER_CITY,19918.000,YES,2,YES,NO,NO,YES
ID12816,60,FEMALE,SUBURBAN,30498.400,NO,3,NO,YES,YES,YES
ID12817,47,MALE,INNER_CITY,36766.000,NO,0,NO,NO,YES,NO
ID12818,54,FEMALE,TOWN,44982.100,NO,0,YES,YES,NO,NO
ID12819,42,MALE,INNER_CITY,17692.400,YES,2,NO,YES,YES,YES
ID12820,42,FEMALE,TOWN,35712.800,NO,2,NO,NO,YES,YES
ID12821,60,FEMALE,TOWN,27558.600,NO,0,YES,YES,NO,NO
ID12822,52,MALE,INNER_CITY,41761.600,YES,0,NO,YES,YES,NO
ID12823,33,MALE,SUBURBAN,12990.300,NO,0,YES,NO,YES,NO
ID12824,65,FEMALE,TOWN,23904.000,NO,3,YES,NO,NO,YES
ID12825,18,FEMALE,SUBURBAN,14550.500,YES,0,NO,YES,YES,YES
ID12826,33,FEMALE,TOWN,18213.400,NO,3,YES,YES,NO,NO
ID12827,27,MALE,INNER_CITY,10294.000,YES,0,NO,NO,YES,NO
ID12828,25,FEMALE,TOWN,13563.900,YES,3,YES,YES,YES,YES
ID12829,31,FEMALE,INNER_CITY,23025.400,YES,0,NO,NO,YES,YES
ID12830,46,FEMALE,INNER_CITY,17049.300,NO,1,NO,YES,NO,NO
ID12831,56,FEMALE,INNER_CITY,41523.000,NO,0,NO,YES,YES,NO
ID12832,28,MALE,INNER_CITY,23505.800,NO,3,NO,NO,YES,NO
ID12833,18,MALE,INNER_CITY,13376.600,YES,0,YES,NO,YES,NO
ID12834,57,FEMALE,TOWN,40659.800,YES,0,YES,YES,YES,NO
ID12835,44,FEMALE,INNER_CITY,39740.500,YES,2,YES,YES,YES,YES
ID12836,66,FEMALE,INNER_CITY,46738.700,YES,2,NO,YES,NO,YES
ID12837,54,MALE,SUBURBAN,51468.300,YES,0,NO,YES,YES,NO
ID12838,41,FEMALE,TOWN,38284.700,YES,1,YES,NO,YES,NO
ID12839,19,FEMALE,INNER_CITY,14782.700,YES,0,NO,NO,YES,YES
ID12840,26,MALE,SUBURBAN,12170.800,NO,0,YES,NO,YES,NO
ID12841,54,MALE,SUBURBAN,30076.000,YES,3,NO,YES,YES,YES
ID12842,66,MALE,SUBURBAN,21489.500,NO,0,NO,YES,YES,YES
ID12843,18,FEMALE,SUBURBAN,12388.100,NO,3,YES,NO,YES,NO
ID12844,40,FEMALE,INNER_CITY,23988.300,YES,0,NO,YES,YES,YES
ID12845,41,FEMALE,SUBURBAN,15064.300,NO,0,YES,YES,YES,NO
ID12846,57,MALE,INNER_CITY,18732.800,YES,0,YES,NO,NO,YES
ID12847,23,MALE,TOWN,21769.800,YES,3,YES,YES,YES,NO
ID12848,22,FEMALE,TOWN,16426.200,YES,1,YES,YES,YES,YES
ID12849,56,FEMALE,RURAL,37699.600,NO,1,NO,YES,NO,NO
ID12850,52,FEMALE,INNER_CITY,42415.800,YES,0,NO,YES,NO,NO
ID12851,41,FEMALE,SUBURBAN,18093.400,YES,1,NO,NO,YES,YES
ID12852,39,FEMALE,INNER_CITY,14413.900,NO,1,NO,NO,YES,NO
ID12853,56,FEMALE,SUBURBAN,48758.600,NO,2,NO,YES,YES,NO
ID12854,45,FEMALE,INNER_CITY,16385.400,YES,1,YES,NO,NO,YES
ID12855,65,FEMALE,INNER_CITY,47199.000,YES,1,NO,YES,YES,NO
ID12856,25,FEMALE,INNER_CITY,8507.040,NO,2,YES,NO,YES,NO
ID12857,43,FEMALE,TOWN,24613.900,YES,0,NO,YES,YES,NO
ID12858,67,FEMALE,INNER_CITY,28117.700,YES,2,NO,YES,NO,YES
ID12859,29,MALE,TOWN,25178.600,YES,0,NO,YES,YES,NO
ID12860,31,FEMALE,INNER_CITY,24609.700,YES,0,NO,NO,YES,YES
ID12861,35,FEMALE,TOWN,23301.300,YES,0,NO,YES,YES,YES
ID12862,51,FEMALE,TOWN,37733.300,YES,0,YES,NO,NO,YES
ID12863,48,MALE,INNER_CITY,38635.600,YES,2,YES,NO,YES,NO
ID12864,57,MALE,INNER_CITY,49351.300,YES,0,YES,YES,YES,YES
ID12865,29,MALE,TOWN,11343.500,NO,2,NO,YES,NO,YES
ID12866,41,FEMALE,INNER_CITY,28299.500,YES,2,NO,YES,NO,NO
ID12867,40,FEMALE,RURAL,15233.100,NO,0,YES,YES,YES,YES
ID12868,29,FEMALE,SUBURBAN,25076.700,NO,1,NO,YES,YES,NO
ID12869,41,MALE,TOWN,21122.600,NO,0,YES,YES,YES,YES
ID12870,29,MALE,TOWN,16976.900,YES,2,YES,YES,YES,YES
ID12871,48,FEMALE,INNER_CITY,44138.800,YES,0,YES,YES,YES,YES
ID12872,60,FEMALE,INNER_CITY,25296.900,YES,2,YES,NO,NO,YES
ID12873,43,MALE,TOWN,28741.600,NO,0,NO,NO,NO,NO
ID12874,41,FEMALE,INNER_CITY,13692.800,YES,2,NO,YES,YES,YES
ID12875,34,MALE,INNER_CITY,26610.100,YES,2,NO,YES,YES,NO
ID12876,47,MALE,TOWN,15237.000,NO,2,YES,NO,NO,NO
ID12877,32,MALE,TOWN,17162.300,YES,3,YES,NO,YES,YES
ID12878,50,FEMALE,RURAL,21496.900,YES,0,YES,NO,YES,NO
ID12879,23,FEMALE,TOWN,8841.670,NO,2,YES,NO,YES,YES
ID12880,60,MALE,TOWN,22221.400,YES,0,YES,YES,YES,YES
ID12881,38,FEMALE,TOWN,14954.500,YES,0,YES,YES,YES,YES
ID12882,35,MALE,INNER_CITY,15850.800,YES,1,YES,NO,NO,YES
ID12883,33,MALE,TOWN,15228.700,YES,1,NO,YES,YES,NO
ID12884,66,FEMALE,INNER_CITY,60635.600,YES,1,YES,YES,YES,YES
ID12885,20,FEMALE,INNER_CITY,12662.100,YES,0,NO,NO,YES,NO
ID12886,19,MALE,TOWN,15866.000,NO,3,YES,YES,YES,NO
ID12887,30,FEMALE,SUBURBAN,16583.800,NO,3,YES,YES,YES,NO
ID12888,34,FEMALE,INNER_CITY,18001.500,YES,2,YES,YES,YES,NO
ID12889,50,FEMALE,SUBURBAN,31404.000,NO,3,NO,YES,YES,NO
ID12890,53,FEMALE,TOWN,29062.800,YES,3,YES,YES,YES,NO
ID12891,39,MALE,INNER_CITY,34140.800,YES,2,NO,YES,YES,NO
ID12892,44,FEMALE,SUBURBAN,25353.300,YES,0,YES,YES,YES,YES
ID12893,34,FEMALE,INNER_CITY,18095.900,YES,0,YES,YES,YES,NO
ID12894,34,MALE,RURAL,13699.000,YES,1,YES,YES,YES,NO
ID12895,29,MALE,TOWN,18054.500,YES,2,NO,YES,NO,NO
ID12896,66,MALE,INNER_CITY,58792.600,NO,1,YES,YES,YES,YES
ID12897,19,MALE,INNER_CITY,17906.800,NO,2,YES,YES,NO,NO
ID12898,54,MALE,RURAL,29348.800,NO,0,NO,NO,YES,YES
ID12899,42,FEMALE,TOWN,20552.500,YES,0,YES,YES,YES,NO
ID12900,34,MALE,INNER_CITY,25843.100,NO,2,NO,YES,YES,NO
