순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
13,손용석,롯데,0.255,24,51,47,3,12,2,0,0,14,0,3,0,2,16,13,1.23,0,0.17,3.12,0.043,3.3,0.196
14,오승택,롯데,0.251,88,215,199,36,50,9,0,6,77,26,3,1,15,39,45,0.87,2,0.14,3.64,0.136,22.1,0.228
15,김민하,롯데,0.241,54,141,116,18,28,6,0,1,37,8,3,0,7,23,25,0.92,3,0.45,3.91,0.078,14.2,0.243
16,문규현,롯데,0.232,75,219,194,19,45,8,0,2,59,18,10,2,10,68,52,1.31,0,0.39,3.63,0.072,16.1,0.201
17,오현근,롯데,0.222,11,22,18,1,4,0,0,0,4,2,1,0,0,7,4,1.75,0,1,4.18,0,1.5,0.205
18,김대우,롯데,0.194,27,80,72,6,14,1,1,2,23,7,2,0,4,18,10,1.8,0,0.17,4.13,0.125,5.8,0.195
19,김준태,롯데,0.158,15,21,19,0,3,0,0,0,3,0,0,0,0,3,5,0.6,0,0.25,3.81,0,0.7,0.147
20,임재철,롯데,0.154,38,63,52,6,8,2,0,1,13,3,3,0,3,18,10,1.8,1,0.44,4.52,0.096,3.8,0.183
21,강동수,롯데,0.125,22,8,8,2,1,0,0,0,1,0,0,0,0,1,0,-,0,0,4.63,0,-0.2,0.088
22,김대륙,롯데,0.122,41,49,41,4,5,0,0,0,5,0,2,0,0,14,9,1.56,0,0.46,4,0,0.2,0.136
23,김재유,롯데,0,8,8,7,0,0,0,0,0,0,0,0,0,0,4,0,-,0,0,3.38,0,-0.3,0.056
23,박세웅,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
23,박준서,롯데,0,3,5,5,0,0,0,0,0,0,0,0,0,0,2,0,-,0,0,3.6,0,-0.5,0
23,박진형,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
23,배장호,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
23,백민기,롯데,0,8,9,7,1,0,0,0,0,0,0,0,0,0,5,1,5,0,1,3.44,0,0,0.1
23,심수창,롯데,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
23,이성민,롯데,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
1,이승엽,삼성,0.341,98,421,375,72,128,21,1,21,214,74,0,6,43,89,113,0.79,8,0.69,3.89,0.229,78.8,0.322
2,구자욱,삼성,0.341,103,405,361,82,123,30,4,9,188,48,0,3,43,80,92,0.87,2,0.55,3.96,0.18,71.5,0.313
3,채태인,삼성,0.324,68,245,213,22,69,13,0,3,91,28,0,3,16,46,39,1.18,5,0.42,3.88,0.103,34.7,0.287
4,진갑용,삼성,0.324,39,73,68,8,22,2,0,3,33,10,0,1,5,20,18,1.11,1,0.44,3.82,0.162,10.7,0.281
5,박석민,삼성,0.321,99,412,336,69,108,20,0,18,182,80,0,7,38,79,85,0.93,8,0.77,4.21,0.22,78.2,0.329
6,최형우,삼성,0.319,107,469,404,68,129,24,0,27,234,97,0,6,51,87,120,0.73,15,0.7,4.04,0.26,86.6,0.325
7,이지영,삼성,0.311,90,284,254,24,79,8,1,1,92,41,15,3,10,90,62,1.45,2,0.35,3.16,0.051,31.2,0.243
8,박한이,삼성,0.3,57,264,230,45,69,10,4,8,111,36,3,1,22,78,43,1.81,3,0.73,3.95,0.183,38.6,0.291
9,박해민,삼성,0.299,107,429,375,69,112,16,6,0,140,31,11,1,22,117,60,1.95,5,0.46,3.97,0.075,56.7,0.259
10,나바로,삼성,0.274,106,488,412,91,113,16,1,34,233,100,0,6,51,112,136,0.82,7,1.16,4.2,0.291,88.7,0.31
11,백상원,삼성,0.261,41,85,69,9,18,5,0,0,23,7,2,1,5,20,12,1.67,1,0.6,4.6,0.072,9.5,0.251
12,김상수,삼성,0.26,95,371,323,43,84,18,3,5,123,45,9,6,26,101,106,0.95,4,0.76,3.74,0.121,44.4,0.241
13,이흥련,삼성,0.236,50,74,72,9,17,6,0,1,26,15,1,0,7,22,14,1.57,2,0.05,3.53,0.125,5.5,0.201
14,이영욱,삼성,0.227,38,26,22,8,5,2,0,0,7,2,0,0,2,5,2,2.5,0,0.3,4.35,0.091,2.4,0.235
15,최선호,삼성,0.206,13,36,34,4,7,1,0,0,8,1,2,0,1,7,10,0.7,0,0,3.17,0.029,1.7,0.151
16,우동균,삼성,0.197,25,71,61,12,12,3,0,0,15,4,1,0,3,21,18,1.17,0,0.9,4.13,0.049,4.3,0.197
17,박찬도,삼성,0.16,83,59,50,17,8,0,1,0,10,6,4,0,1,10,18,0.56,0,0.29,4.05,0.04,2.5,0.156
18,김정혁,삼성,0.143,8,16,14,0,2,0,0,0,2,1,1,0,0,4,6,0.67,0,0.5,3.88,0,0.3,0.126
19,김재현,삼성,0.08,49,28,25,3,2,0,0,0,2,1,2,0,0,8,5,1.6,1,0.1,3.5,0,-1.1,0.072
20,강봉규,삼성,0,5,8,6,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0.33,3.25,0,0.1,0.113
20,김태완,삼성,0,4,6,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,6.33,0,-0.1,0.075
20,심창민,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
20,윤영수,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
20,이상훈,삼성,0,3,7,6,0,0,0,0,0,0,0,1,0,0,3,1,3,0,0,3.86,0,-0.5,0
20,임창용,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
1,박노민,한화,0.4,14,17,15,1,6,0,0,0,6,4,0,0,0,3,0,-,0,0.33,4.29,0,2.8,0.312
2,정현석,한화,0.378,11,49,45,9,17,2,0,0,19,5,0,0,2,13,10,1.3,0,0.8,3.53,0.044,7.7,0.299
3,김경언,한화,0.356,70,287,247,37,88,13,1,11,136,59,3,2,25,56,47,1.19,8,0.57,4.09,0.194,53,0.333
4,이용규,한화,0.337,89,422,356,79,120,11,6,3,152,33,8,4,20,137,74,1.85,3,1.55,3.94,0.09,69.3,0.296
5,김태균,한화,0.332,101,395,298,51,99,24,0,19,180,90,0,4,43,91,56,1.63,9,1.46,4.24,0.272,81.3,0.37
6,정근우,한화,0.312,89,382,321,69,100,24,1,5,141,51,10,1,30,113,63,1.79,11,0.98,3.61,0.128,55.1,0.291
7,이시찬,한화,0.3,24,57,50,6,15,1,0,0,16,5,1,2,1,15,13,1.15,0,0.33,3.98,0.02,5.4,0.233
8,최진행,한화,0.296,74,281,226,38,67,9,0,14,118,46,3,3,23,47,43,1.09,4,0.63,4.14,0.226,49.2,0.318
9,이종환,한화,0.29,44,106,100,14,29,4,0,0,33,12,0,0,4,31,19,1.63,2,0.29,4.06,0.04,10.9,0.231
10,강경학,한화,0.287,84,280,230,40,66,6,2,2,82,21,13,1,10,74,52,1.42,3,0.79,4.09,0.07,34.3,0.261
11,모건,한화,0.273,10,42,33,2,9,2,0,0,11,5,0,1,2,11,6,1.83,1,0.5,3.93,0.061,5.3,0.266
12,장운호,한화,0.257,39,139,113,17,29,4,0,2,39,8,11,0,6,30,28,1.07,0,0.35,3.41,0.088,13.8,0.241
13,이성열,한화,0.25,79,217,188,27,47,8,2,7,80,25,5,1,17,37,31,1.19,3,0.19,3.85,0.176,26,0.255
13,지성준,한화,0.25,9,12,12,1,3,1,0,0,4,0,0,0,1,2,2,1,0,0,4.17,0.083,0.9,0.196
15,한상훈,한화,0.245,27,62,49,5,12,4,0,0,16,8,5,0,4,14,8,1.75,0,0.47,3.94,0.082,5,0.24
16,송광민,한화,0.243,12,41,37,2,9,2,0,0,11,1,1,0,2,12,5,2.4,0,0.18,3.61,0.054,3,0.209
17,김태완,한화,0.239,22,50,46,5,11,2,0,0,13,3,0,0,2,10,9,1.11,0,0.13,4.04,0.043,3.7,0.206
18,김회성,한화,0.219,65,205,169,27,37,10,1,10,79,22,3,1,21,33,62,0.53,0,0.63,4.06,0.249,28.2,0.271
19,주현상,한화,0.216,87,232,204,16,44,7,0,0,51,11,6,2,7,59,59,1,1,0.39,3.88,0.034,15.1,0.19
20,권용관,한화,0.209,95,277,239,27,50,8,1,3,69,20,15,1,12,68,64,1.06,1,0.24,3.93,0.079,18.7,0.196
21,신성현,한화,0.206,39,70,63,9,13,3,0,2,22,8,1,0,5,10,9,1.11,1,0.19,4.04,0.143,6.4,0.211
22,조인성,한화,0.203,71,201,177,22,36,6,0,5,57,23,9,0,11,45,33,1.36,0,0.21,3.55,0.119,15.2,0.2
23,허도환,한화,0.184,52,100,87,6,16,7,0,1,26,6,3,0,8,25,20,1.25,0,0.19,3.93,0.115,6.3,0.195
24,송주호,한화,0.182,91,135,121,14,22,3,0,0,25,4,6,0,3,38,30,1.27,0,0.23,3.54,0.025,5.9,0.157
24,폭스,한화,0.182,5,16,11,1,2,1,0,0,3,4,0,2,1,4,5,0.8,0,1.5,4.38,0.091,1.7,0.209
24,황선일,한화,0.182,12,24,22,1,4,2,0,0,6,2,0,0,2,6,7,0.86,0,0.2,3.58,0.091,1.3,0.181
27,고동진,한화,0.179,25,67,56,5,10,4,0,0,14,7,5,0,4,20,15,1.33,0,0.18,3.39,0.071,2.8,0.179
28,정범모,한화,0.149,39,105,87,3,13,2,0,0,15,10,7,1,2,29,24,1.21,1,0.41,3.47,0.023,3.7,0.149
29,권혁,한화,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,7,0,-0.1,0
29,김민우,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
29,박성호,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
29,박정진,한화,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-,0,-,5,0,-0.1,0
29,박한길,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
29,윤규진,한화,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,4,0,-0.2,0
29,이창열,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
29,임익준,한화,0,2,3,2,0,0,0,0,0,0,1,0,1,0,2,1,2,0,-,5.67,0,0.2,0
29,정대훈,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
29,조정원,한화,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,5,0,-0.1,0
29,채기영,한화,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,-0.2,0
1,황대인,KIA,0.5,5,12,12,1,6,1,0,1,10,2,0,0,2,2,2,1,0,0,2.92,0.333,3.2,0.433
2,김주찬,KIA,0.336,70,262,232,48,78,16,0,14,136,50,1,4,30,52,60,0.87,6,0.39,3.79,0.25,49.4,0.324
3,필,KIA,0.328,103,431,396,57,130,24,1,17,207,80,0,4,42,101,113,0.89,12,0.54,3.58,0.194,71.1,0.299
4,김민우,KIA,0.304,61,219,194,19,59,14,1,3,84,23,14,1,18,43,37,1.16,3,0.16,4.05,0.129,27.4,0.26
5,신종길,KIA,0.278,61,222,194,41,54,9,4,3,80,20,3,0,16,56,35,1.6,2,0.43,4.09,0.134,30.5,0.265
6,김주형,KIA,0.277,23,51,47,0,13,1,0,0,14,0,0,0,1,9,15,0.6,0,0.3,3.51,0.021,4.2,0.224
7,이범호,KIA,0.261,101,374,322,44,84,18,0,20,162,60,0,2,38,70,100,0.7,4,0.53,3.98,0.242,56.7,0.287
8,김원섭,KIA,0.26,70,222,173,35,45,10,2,5,74,25,4,2,17,56,51,1.1,2,1.78,4.41,0.168,33.7,0.289
9,김다원,KIA,0.258,78,215,190,27,49,9,0,4,70,24,0,2,13,49,42,1.17,3,0.23,4.05,0.111,23.7,0.243
10,최희섭,KIA,0.256,42,149,125,18,32,3,0,6,53,20,0,1,9,33,27,1.22,1,0.65,4.27,0.168,21.1,0.272
11,박찬호,KIA,0.25,30,73,68,9,17,4,0,0,21,3,1,0,4,21,15,1.4,0,0.27,3.95,0.059,6.2,0.209
12,백용환,KIA,0.244,31,90,78,16,19,2,0,7,42,20,0,1,9,19,14,1.36,3,0.37,4.69,0.295,13.9,0.284
13,이성우,KIA,0.24,62,118,104,8,25,7,0,1,35,13,4,1,8,37,24,1.54,2,0.47,3.85,0.096,9.7,0.218
14,나지완,KIA,0.238,76,269,227,32,54,8,0,7,83,25,0,2,15,55,61,0.9,1,0.46,4.2,0.128,30.3,0.249
15,김호령,KIA,0.231,82,245,221,28,51,10,2,1,68,19,6,0,13,60,42,1.43,1,0.22,3.9,0.077,21.2,0.207
16,최용규,KIA,0.227,61,189,172,22,39,4,3,2,55,18,1,2,9,55,40,1.38,1,0.33,4.2,0.093,16.5,0.207
17,이홍구,KIA,0.224,84,187,170,23,38,9,0,10,77,34,4,0,19,33,51,0.65,7,0.21,3.48,0.229,22.6,0.239
18,강한울,KIA,0.213,75,263,235,26,50,8,2,0,62,11,12,0,10,77,63,1.22,0,0.29,3.91,0.051,16.5,0.184
19,박기남,KIA,0.203,51,93,69,8,14,3,0,0,17,3,3,0,3,21,15,1.4,0,1.11,4.15,0.043,8.6,0.237
20,이인행,KIA,0.2,20,33,30,0,6,0,0,0,6,0,1,0,0,6,9,0.67,0,0.22,3.61,0,1.5,0.163
21,박준태,KIA,0.188,30,44,32,8,6,1,0,0,7,2,0,0,1,9,8,1.13,0,1.11,4.18,0.031,4.7,0.239
22,차일목,KIA,0.174,11,25,23,0,4,0,0,0,4,2,0,0,0,8,7,1.14,0,0.5,3.88,0,0.6,0.152
23,이은총,KIA,0.171,11,38,35,3,6,1,0,0,7,3,1,0,1,12,10,1.2,1,0.14,3.95,0.029,1.3,0.147
24,최병연,KIA,0.167,18,7,6,2,1,0,0,0,1,0,0,0,0,2,1,2,0,0,5.86,0,0.4,0.17
25,윤완주,KIA,0.111,12,19,18,1,2,1,0,0,3,1,0,1,1,7,7,1,0,0,3.74,0.056,0.1,0.089
26,이호신,KIA,0.108,30,42,37,5,4,1,0,0,5,2,1,0,1,12,11,1.09,0,0.3,4.24,0.027,0.7,0.122
27,오준혁,KIA,0.103,12,33,29,2,3,0,0,0,3,3,1,1,0,15,5,3,0,0.14,3.52,0,-0.7,0.096
28,노수광,KIA,0.091,7,13,11,2,1,1,0,0,2,1,0,0,1,2,2,1,0,0.33,4.92,0.091,0.5,0.149
29,고영우,KIA,0.045,49,23,22,10,1,0,0,0,1,0,1,0,0,9,6,1.5,0,0,3.96,0,-1.5,0.032
30,김광수,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,김병현,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,김준,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,김태영,KIA,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,문경찬,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,박정수,KIA,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,스틴슨,KIA,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,3,0,-0.1,0
30,심동섭,KIA,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,에반,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,윤석민,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,최영필,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,한기주,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,한승혁,KIA,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,험버,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,홍건희,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
30,황수현,KIA,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,-0.2,0
1,김선민,kt,0.5,4,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,-,1,0,0.4,0.35
2,마르테,kt,0.361,78,329,285,60,103,22,1,16,175,69,0,7,39,54,90,0.6,5,0.78,3.61,0.253,66.4,0.345
3,댄블랙,kt,0.349,28,121,109,16,38,5,1,7,66,20,0,0,13,20,24,0.83,3,0.37,3.82,0.257,24.7,0.337
4,오정복,kt,0.29,32,149,124,21,36,9,0,4,57,22,1,1,13,46,32,1.44,4,1.82,4.23,0.169,23.3,0.295
5,이대형,kt,0.29,106,476,421,70,122,16,3,0,144,30,8,1,19,178,48,3.71,1,0.54,3.7,0.052,55.8,0.247
6,장성호,kt,0.289,47,108,90,7,26,4,0,0,30,14,0,1,4,31,19,1.63,0,1.07,4.44,0.044,13.2,0.262
7,김민혁,kt,0.288,61,138,118,12,34,1,3,0,41,7,7,0,4,40,21,1.9,0,0.48,3.96,0.059,14.4,0.248
8,박경수,kt,0.281,104,411,334,56,94,21,0,16,163,49,5,3,37,77,78,0.99,4,0.67,4.3,0.207,66.4,0.302
9,윤요섭,kt,0.276,50,112,105,12,29,2,0,6,49,20,2,2,8,26,27,0.96,1,0.08,3.46,0.19,14.6,0.248
10,장성우,kt,0.276,99,365,326,41,90,14,1,11,139,60,3,7,26,93,85,1.09,9,0.45,3.9,0.15,45.9,0.255
11,하준호,kt,0.271,63,240,214,31,58,10,0,5,83,22,2,1,15,50,47,1.06,1,0.32,4.19,0.117,29.9,0.25
12,김상현,kt,0.27,100,414,366,49,99,16,0,21,178,63,0,5,37,110,72,1.53,2,0.4,4.02,0.216,57,0.276
13,김사연,kt,0.268,42,140,127,17,34,5,1,3,50,15,2,0,9,27,22,1.23,2,0.23,3.96,0.126,16.9,0.245
14,박용근,kt,0.263,27,86,76,7,20,6,0,0,26,4,3,0,6,28,13,2.15,0,0.47,3.67,0.079,7.4,0.232
15,박기혁,kt,0.262,97,274,237,21,62,10,1,1,77,18,13,0,12,68,41,1.66,1,0.32,3.91,0.063,24.5,0.23
16,송민섭,kt,0.25,28,51,44,3,11,3,1,0,16,1,5,0,4,8,12,0.67,0,0.15,3.12,0.114,3.9,0.218
16,윤도경,kt,0.25,4,4,4,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,4.25,0,0.2,0.175
18,김진곤,kt,0.236,50,73,72,10,17,1,0,0,18,6,0,0,1,23,16,1.44,0,0,3.32,0.014,3.9,0.174
19,김종민,kt,0.235,14,19,17,2,4,0,0,0,4,1,0,0,0,5,7,0.71,0,1,3.89,0,1.5,0.201
