custId,sex,age,city
C0098,F,60,Seoul
C0099,F,36,Seoul
C0100,F,50,Seoul
C0101,F,20,Kyeongki
C0102,F,50,Kyeongki
C0103,F,32,Seoul
C0104,F,46,Seoul
C0105,F,61,Kyeongki
C0106,F,47,Seoul
C0107,F,34,Seoul
C0108,F,67,Seoul
C0109,F,32,Seoul
C0110,M,41,Seoul
C0111,F,63,Seoul
C0112,F,51,Seoul
C0113,F,28,Seoul
C0114,F,40,Seoul
C0115,F,35,Seoul
C0116,F,60,Seoul
C0117,F,29,Seoul
C0118,F,45,Seoul
C0119,M,41,Seoul
C0120,M,41,Seoul
C0121,F,56,Seoul
C0122,M,37,Kyeongki
C0123,F,53,Seoul
C0124,M,33,Seoul
C0125,F,35,Seoul
C0126,F,56,Seoul
C0127,F,54,Seoul
C0128,F,35,Seoul
C0129,M,37,Seoul
C0130,F,33,Seoul
C0131,F,30,Kyeongki
C0132,F,37,Seoul
C0133,F,51,Seoul
C0134,M,48,Seoul
C0135,F,49,Seoul
C0136,M,42,Seoul
C0137,F,64,Seoul
C0138,M,40,Daejeon
C0139,F,63,Seoul
C0140,F,59,Seoul
C0141,F,38,Seoul
C0142,F,30,Seoul
C0143,F,34,Seoul
C0144,F,69,Kyeongki
C0145,M,66,Seoul
C0146,F,62,Seoul
C0147,F,34,Seoul
C0148,F,54,Seoul
C0149,F,41,Seoul
C0150,M,39,Kyeongki
C0151,F,74,Seoul
C0152,M,30,Seoul
C0153,F,60,Seoul
C0154,F,57,Seoul
C0155,F,57,Seoul
C0156,F,37,Seoul
C0157,F,45,Seoul
C0158,F,66,Kyeongki
C0159,M,33,Inchon
C0160,F,51,Kyeongki
C0161,F,47,Seoul
C0162,M,50,Seoul
C0163,F,66,Kyeongki
C0164,F,24,Seoul
C0165,F,32,Seoul
C0166,F,32,Seoul
C0167,F,39,Seoul
C0168,F,57,Seoul
C0169,F,43,Seoul
C0170,M,40,Seoul
C0171,M,23,Seoul
C0172,F,46,Seoul
C0173,F,21,Seoul
C0174,F,26,Seoul
C0175,F,49,Seoul
C0176,F,65,Seoul
C0177,F,57,Seoul
C0178,F,36,Seoul
C0179,F,67,Seoul
C0180,F,40,Seoul
C0181,M,73,Seoul
C0182,F,47,Seoul
C0183,F,59,Seoul
C0184,F,39,Seoul
C0185,F,21,Seoul
C0186,F,40,Seoul
C0187,F,44,Seoul
C0188,F,25,Seoul
C0189,F,42,Seoul
C0190,M,62,Gwangju
C0191,F,28,Kyeongki
C0192,F,59,Seoul
C0193,F,29,Seoul
C0194,F,65,Seoul
C0195,F,53,Seoul
C0196,F,26,Cheonbuk
C0197,F,59,Seoul
C0198,F,53,Seoul
C0199,M,30,Seoul
C0200,F,55,Seoul
C0201,M,33,Seoul
C0202,F,43,Seoul
C0203,F,42,Seoul
C0204,M,26,Seoul
C0205,M,35,Seoul
C0206,F,22,Seoul
C0207,F,52,Seoul
C0208,F,43,Seoul
C0209,F,60,Pusan
C0210,F,44,Seoul
C0211,F,46,Seoul
C0212,F,52,Gangwon
C0213,F,21,Seoul
C0214,F,39,Seoul
C0215,M,35,Seoul
C0216,M,39,
C0217,F,55,Seoul
C0218,F,36,Seoul
C0219,F,26,Daegu
C0220,F,40,Kyeongki
C0221,F,50,Seoul
C0222,F,33,Kyeongki
C0223,F,60,Seoul
C0224,F,55,Seoul
C0225,M,28,Seoul
C0226,F,28,Seoul
C0227,M,39,Seoul
C0228,F,26,Chungnam
C0229,F,45,Seoul
C0230,M,31,Seoul
C0231,F,33,Kyeongki
C0232,M,38,Seoul
C0233,F,60,Seoul
C0234,M,50,Kyeongki
C0235,F,56,Seoul
C0236,F,39,Seoul
C0237,F,29,Gwangju
C0238,F,53,Seoul
C0239,F,50,Seoul
C0240,F,65,Seoul
C0241,F,54,Seoul
C0242,F,42,Seoul
C0243,F,37,Seoul
C0244,F,32,Kyeongki
C0245,F,41,Pusan
C0246,F,24,Seoul
C0247,F,34,Seoul
C0248,F,56,Seoul
C0249,M,48,Seoul
C0250,F,55,Seoul
C0251,M,73,Seoul
C0252,F,43,Seoul
C0253,M,42,Seoul
C0254,F,44,Seoul
C0255,F,56,Kyeongki
C0256,F,31,Seoul
C0257,F,33,Seoul
C0258,F,43,Seoul
C0259,F,20,Gwangju
C0260,F,30,Seoul
C0261,F,61,Seoul
C0262,M,31,Kyeongki
C0263,F,72,Seoul
C0264,F,56,Seoul
C0265,M,27,Seoul
C0266,F,34,Seoul
C0267,F,46,Seoul
C0268,F,57,Seoul
C0269,M,30,Seoul
C0270,F,43,Kyeongki
C0271,M,58,Kyeongki
C0272,M,38,Seoul
C0273,F,35,Seoul
C0274,M,35,Seoul
C0275,F,55,Kyeongki
C0276,F,27,Seoul
C0277,F,33,Seoul
C0278,F,53,Seoul
C0279,M,20,Kyeongki
C0280,F,49,Seoul
C0281,M,67,Seoul
C0282,F,34,Seoul
C0283,F,34,Seoul
C0284,M,34,Seoul
C0285,M,42,Seoul
C0286,M,52,Seoul
C0287,F,48,Seoul
C0288,F,66,Seoul
C0289,F,32,Seoul
C0290,M,44,Seoul
C0291,F,21,Seoul
C0292,F,45,Seoul
C0293,F,37,Seoul
C0294,F,65,Seoul
C0295,F,27,Seoul
C0296,F,78,Seoul
C0297,F,44,Seoul
C0298,M,40,Seoul
C0299,M,49,Seoul
C0300,F,41,Seoul
C0301,F,25,Seoul
C0302,F,46,Seoul
C0303,F,51,Seoul
C0304,M,54,Seoul
C0305,F,65,Kyeongki
C0306,F,79,Seoul
C0307,F,58,Seoul
C0308,F,44,Seoul
C0309,F,33,Seoul
C0310,M,73,Seoul
C0311,F,27,Seoul
C0312,F,43,Seoul
C0313,F,28,Inchon
C0314,F,35,Seoul
C0315,M,36,Seoul
C0316,F,30,Seoul
C0317,F,53,Kyeongki
C0318,F,58,Kyeongki
C0319,F,32,Seoul
C0320,F,34,Seoul
C0321,F,36,Kyeongki
C0322,M,57,Seoul
C0323,M,43,
C0324,F,24,Seoul
C0325,F,42,Seoul
C0326,F,31,Kyeongnam
C0327,F,28,Seoul
C0328,M,31,Seoul
C0329,M,41,Seoul
C0330,F,37,Seoul
C0331,F,38,Seoul
C0332,F,59,Seoul
C0333,M,47,Seoul
C0334,F,44,Seoul
C0335,F,54,Pusan
C0336,F,30,Seoul
C0337,M,23,Seoul
C0338,F,48,Seoul
C0339,F,46,Seoul
C0340,M,31,Seoul
C0341,F,33,Seoul
C0342,F,42,Seoul
C0343,F,57,Seoul
C0344,F,38,Seoul
C0345,F,65,Seoul
C0346,F,57,Seoul
C0347,M,31,Seoul
C0348,F,36,Seoul
C0349,M,53,Seoul
C0350,F,35,Daejeon
C0351,M,26,Seoul
C0352,F,22,Seoul
C0353,F,57,Seoul
C0354,F,59,Seoul
C0355,F,57,Seoul
C0356,F,54,Seoul
C0357,M,46,Seoul
C0358,F,30,Seoul
C0359,M,70,Seoul
C0360,F,25,Seoul
C0361,F,47,Seoul
C0362,M,42,Seoul
C0363,F,30,Seoul
C0364,F,23,Seoul
C0365,F,42,Kyeongki
C0366,M,42,Seoul
C0367,F,44,Seoul
C0368,M,42,Kyeongki
C0369,M,31,Seoul
C0370,F,29,Seoul
C0371,F,33,Seoul
C0372,F,58,Seoul
C0373,F,52,Seoul
C0374,M,35,Seoul
C0375,F,28,Seoul
C0376,M,59,Seoul
C0377,F,43,Seoul
C0378,F,45,Seoul
C0379,F,70,Seoul
C0380,F,38,Seoul
C0381,F,38,Seoul
C0382,F,51,Kyeongnam
C0383,F,35,Seoul
C0384,F,50,Seoul
C0385,F,41,Seoul
C0386,F,43,Seoul
C0387,M,22,Seoul
C0388,F,42,Seoul
C0389,F,62,Seoul
C0390,F,33,Seoul
C0391,F,41,Seoul
C0392,M,47,Seoul
C0393,F,51,Chungbuk
C0394,F,47,Seoul
C0395,M,45,Seoul
C0396,F,55,Seoul
C0397,M,29,Seoul
C0398,M,43,Seoul
C0399,F,26,Seoul
C0400,F,49,Seoul
C0401,M,65,Kyeongki
C0402,F,28,Seoul
C0403,F,20,Seoul
C0404,F,53,Seoul
C0405,F,44,Seoul
C0406,M,65,Seoul
C0407,F,33,Kyeongki
C0408,F,56,Seoul
C0409,F,25,Kyeongki
C0410,M,51,Seoul
C0411,F,23,Seoul
C0412,M,57,Seoul
C0413,F,55,Kyeongki
C0414,F,25,Kyeongki
C0415,F,51,Seoul
C0416,F,49,Seoul
C0417,F,48,Seoul
C0418,M,51,Seoul
C0419,F,43,Seoul
C0420,F,56,Seoul
C0421,F,64,Seoul
C0422,M,59,Seoul
C0423,F,46,Seoul
C0424,F,48,Seoul
C0425,F,32,Seoul
C0426,F,30,Seoul
C0427,M,38,Seoul
C0428,F,41,Seoul
C0429,F,46,Seoul
C0430,F,41,Seoul
C0431,F,28,Seoul
C0432,M,31,Seoul
C0433,F,40,Seoul
C0434,F,73,Seoul
C0435,F,54,Seoul
C0436,F,51,Seoul
C0437,M,21,Seoul
C0438,M,41,Seoul
C0439,F,28,Seoul
C0440,F,53,Seoul
C0441,F,50,Seoul
C0442,F,28,Seoul
C0443,F,27,Seoul
C0444,M,44,Seoul
C0445,F,46,Seoul
C0446,M,52,Seoul
C0447,F,30,Seoul
C0448,F,28,Seoul
C0449,F,68,Seoul
C0450,M,48,Seoul
C0451,F,55,Seoul
C0452,F,48,Seoul
C0453,F,57,Seoul
C0454,F,45,Seoul
C0455,M,34,Seoul
C0456,M,57,Seoul
C0457,M,55,Seoul
C0458,F,40,Seoul
C0459,F,55,Seoul
C0460,M,34,Kyeongki
C0461,F,37,Seoul
C0462,M,37,Seoul
C0463,F,39,Seoul
C0464,F,23,Seoul
C0465,F,24,Seoul
C0466,F,26,Seoul
C0467,F,34,Seoul
C0468,M,51,Seoul
C0469,M,45,Kyeongki
C0470,F,60,Seoul
C0471,M,32,Kyeongki
C0472,F,47,Seoul
C0473,F,46,Seoul
C0474,F,39,Seoul
C0475,M,38,Kyeongki
C0476,M,29,Seoul
C0477,F,23,Seoul
C0478,F,38,Seoul
C0479,F,43,Seoul
C0480,F,45,Seoul
C0481,F,31,Chungbuk
C0482,F,57,Seoul
C0483,F,59,Kyeongki
C0484,F,47,Seoul
C0485,M,41,Seoul
C0486,F,25,Seoul
C0487,F,60,Kyeongki
C0488,F,35,Seoul
C0489,M,36,Seoul
C0490,F,49,Seoul
C0491,F,64,Seoul
C0492,M,41,Seoul
C0493,M,29,Seoul
C0494,M,34,Kyeongki
C0495,F,40,Seoul
C0496,M,61,Kyeongki
C0497,F,50,Seoul
C0498,F,37,Seoul
C0499,F,41,Seoul
C0500,M,43,Seoul
C0501,F,55,Seoul
C0502,F,34,Kyeongki
C0503,F,37,Seoul
C0504,F,72,Seoul
C0505,M,54,Seoul
C0506,F,40,Seoul
C0507,F,67,Seoul
C0508,F,35,Seoul
C0509,F,30,Kyeongki
C0510,F,26,Seoul
C0511,F,69,Seoul
C0512,F,53,Seoul
C0513,F,34,Seoul
C0514,F,56,Kyeongnam
C0515,F,25,Kyeongki
C0516,F,27,Seoul
C0517,F,37,Seoul
C0518,F,48,Seoul
C0519,M,57,Seoul
C0520,F,47,Seoul
C0521,M,50,Seoul
C0522,F,45,Seoul
C0523,F,51,Seoul
C0524,F,44,Seoul
C0525,F,51,Seoul
C0526,F,36,Seoul
C0527,F,33,Seoul
C0528,F,44,Seoul
C0529,F,64,Kyeongki
C0530,F,47,Seoul
C0531,F,35,Seoul
C0532,F,68,Seoul
C0533,F,27,Seoul
C0534,M,44,Kyeongki
C0535,F,35,Seoul
C0536,M,23,Seoul
C0537,M,67,Seoul
C0538,F,42,Seoul
C0539,F,26,Seoul
C0540,M,69,Seoul
C0541,F,57,Seoul
C0542,F,36,Seoul
C0543,F,48,Seoul
C0544,F,67,Seoul
C0545,F,60,Seoul
C0546,F,45,Seoul
C0547,M,34,Seoul
C0548,F,40,Seoul
C0549,F,52,Seoul
C0550,F,49,Kyeongki
C0551,M,36,Inchon
C0552,F,53,Seoul
C0553,F,57,Seoul
C0554,F,53,Seoul
C0555,F,32,Seoul
C0556,F,36,Seoul
C0557,F,49,Seoul
C0558,F,42,Seoul
C0559,M,40,Kyeongki
C0560,F,37,Seoul
C0561,M,44,Seoul
C0562,F,54,Seoul
C0563,M,70,Seoul
C0564,F,41,Seoul
C0565,F,37,Seoul
C0566,F,54,Seoul
C0567,F,34,Daejeon
C0568,F,75,Seoul
C0569,F,47,Seoul
C0570,F,43,Seoul
C0571,M,39,Seoul
C0572,F,41,Seoul
C0573,F,33,Seoul
C0574,F,36,Seoul
C0575,F,43,Seoul
C0576,F,62,Seoul
C0577,F,68,Seoul
C0578,F,57,Seoul
C0579,F,52,Seoul
C0580,F,44,Seoul
C0581,F,47,Seoul
C0582,F,53,Kyeongki
C0583,F,49,Seoul
C0584,F,60,Seoul
C0585,M,63,Seoul
C0586,M,33,Seoul
C0587,F,45,Seoul
C0588,M,38,Seoul
C0589,F,44,Seoul
C0590,F,27,Seoul
C0591,F,55,Seoul
C0592,F,44,Seoul
C0593,F,28,Seoul
C0594,F,74,Seoul
C0595,F,66,Seoul
C0596,F,39,Seoul
C0597,F,52,Seoul
C0598,M,42,Seoul
C0599,F,56,
C0600,M,45,Seoul
C0601,F,30,Seoul
C0602,F,46,Seoul
C0603,F,54,Seoul
C0604,F,49,Seoul
C0605,F,21,Seoul
C0606,F,57,Seoul
C0607,F,20,Kyeongnam
C0608,F,62,Seoul
C0609,M,39,Kyeongki
C0610,F,61,Seoul
C0611,F,41,Seoul
C0612,F,46,Kyeongki
C0613,F,56,Seoul
C0614,F,51,Seoul
C0615,F,49,Seoul
C0616,F,48,Seoul
C0617,F,58,Seoul
C0618,F,32,Seoul
C0619,M,43,Seoul
C0620,F,50,Seoul
C0621,F,48,Seoul
C0622,F,65,Seoul
C0623,F,66,Seoul
C0624,F,42,Seoul
C0625,F,65,Seoul
C0626,F,25,Seoul
C0627,F,60,Seoul
C0628,F,50,Kyeongki
C0629,M,51,Seoul
C0630,F,46,Seoul
C0631,F,31,Seoul
C0632,M,37,Seoul
C0633,M,71,Seoul
C0634,F,49,Pusan
C0635,M,48,Seoul
C0636,F,28,Kyeongki
C0637,M,37,Seoul
C0638,M,53,Seoul
C0639,F,32,Seoul
C0640,F,55,Seoul
C0641,F,59,Seoul
C0642,F,45,Seoul
C0643,F,23,Seoul
C0644,F,39,Kyeongki
C0645,F,48,Seoul
C0646,F,49,Seoul
C0647,F,36,Seoul
C0648,F,46,Seoul
C0649,M,30,Seoul
C0650,M,60,Seoul
C0651,F,44,Seoul
C0652,F,58,Seoul
C0653,F,56,Seoul
C0654,F,50,Seoul
C0655,F,27,Seoul
C0656,F,33,Kyeongki
C0657,M,35,Seoul
C0658,F,57,Seoul
C0659,F,52,Seoul
C0660,F,23,Seoul
C0661,F,51,Seoul
C0662,M,44,Seoul
C0663,F,54,Seoul
C0664,F,45,Seoul
C0665,F,59,Seoul
C0666,F,41,Seoul
C0667,M,34,Kyeongki
C0668,F,51,Kyeongki
C0669,F,42,Gangwon
C0670,M,38,Pusan
C0671,F,37,kyeongbuk
C0672,F,46,Seoul
C0673,F,37,Seoul
C0674,F,42,Seoul
C0675,F,55,Seoul
C0676,F,23,Gangwon
C0677,F,48,Seoul
C0678,M,25,Seoul
C0679,F,53,Seoul
C0680,F,46,Seoul
C0681,F,46,Seoul
C0682,M,42,Seoul
C0683,F,68,Seoul
C0684,F,29,Gwangju
C0685,M,34,Kyeongki
C0686,F,37,Seoul
C0687,F,50,Seoul
C0688,F,50,Seoul
C0689,M,26,Seoul
C0690,F,72,Seoul
C0691,F,31,Seoul
C0692,M,33,Seoul
C0693,M,49,Kyeongki
C0694,F,61,Seoul
C0695,F,41,Seoul
C0696,M,44,Seoul
C0697,F,22,Seoul
C0698,F,32,Seoul
C0699,F,57,Seoul
C0700,F,47,Seoul
C0701,F,47,Seoul
C0702,M,28,kyeongbuk
C0703,F,44,Seoul
C0704,F,47,Seoul
C0705,F,52,Seoul
C0706,F,52,Seoul
C0707,M,37,Seoul
C0708,F,58,Seoul
C0709,M,45,Seoul
C0710,M,59,Seoul
C0711,F,39,Seoul
C0712,F,29,Seoul
C0713,F,41,Seoul
C0714,F,26,Seoul
C0715,F,35,Kyeongki
C0716,F,46,Seoul
C0717,F,53,Seoul
C0718,F,31,
C0719,F,42,Seoul
C0720,F,39,Seoul
C0721,F,48,Kyeongki
C0722,F,42,Seoul
C0723,F,50,Kyeongki
C0724,F,32,Seoul
C0725,F,56,Seoul
C0726,F,67,Seoul
C0727,F,36,Seoul
C0728,F,51,Seoul
C0729,F,41,Seoul
C0730,M,41,Seoul
C0731,F,28,Seoul
C0732,F,49,Seoul
C0733,F,52,Seoul
C0734,F,70,Seoul
C0735,F,46,Kyeongki
C0736,F,42,Seoul
C0737,F,28,Seoul
C0738,M,20,Kyeongki
C0739,M,26,Pusan
C0740,F,26,Seoul
C0741,F,33,Kyeongki
C0742,M,55,Seoul
C0743,F,56,Seoul
C0744,F,37,Seoul
C0745,F,42,Seoul
C0746,F,61,Inchon
C0747,F,52,Seoul
C0748,F,39,Kyeongki
C0749,M,35,Kyeongki
C0750,F,50,Seoul
C0751,F,54,Seoul
C0752,F,41,Seoul
C0753,F,36,Seoul
C0754,M,51,Seoul
C0755,F,53,Kyeongki
C0756,F,33,Seoul
C0757,F,21,Seoul
C0758,F,67,Seoul
C0759,F,58,Seoul
C0760,F,35,Seoul
C0761,M,50,Seoul
C0762,M,49,Seoul
C0763,F,57,Seoul
C0764,M,26,Seoul
C0765,F,56,Seoul
C0766,M,39,Seoul
C0767,F,72,Seoul
C0768,M,61,Seoul
C0769,F,41,Seoul
C0770,F,58,Kyeongki
C0771,F,37,Seoul
C0772,F,35,Kyeongki
C0773,F,33,Seoul
C0774,F,35,Seoul
C0775,F,63,Seoul
C0776,F,52,Seoul
C0777,M,35,Seoul
C0778,M,37,Seoul
C0779,F,48,Seoul
C0780,F,22,Seoul
C0781,F,44,Seoul
C0782,F,38,Seoul
C0783,F,44,Seoul
C0784,F,28,Seoul
C0785,F,31,Seoul
C0786,F,45,Seoul
C0787,F,44,Seoul
C0788,F,76,Seoul
C0789,F,55,Kyeongki
C0790,F,29,Seoul
C0791,F,51,Seoul
C0792,F,43,Seoul
C0793,F,42,Seoul
C0794,F,69,Seoul
C0795,M,36,Seoul
C0796,F,26,Seoul
C0797,M,38,Seoul
C0798,M,40,Seoul
C0799,F,35,Seoul
C0800,F,31,Seoul
C0801,F,27,Seoul
C0802,F,31,Seoul
C0803,F,46,Seoul
C0804,F,46,Seoul
C0805,F,71,Seoul
C0806,M,79,Seoul
C0807,F,67,Seoul
C0808,F,48,Seoul
C0809,F,44,Kyeongki
C0810,M,43,Seoul
C0811,F,53,Seoul
C0812,F,43,Seoul
C0813,F,23,Seoul
C0814,F,45,Seoul
C0815,F,36,Kyeongki
C0816,F,41,Seoul
C0817,F,58,Seoul
C0818,F,24,Seoul
C0819,F,49,Seoul
C0820,F,28,Seoul
C0821,F,50,Seoul
C0822,F,54,Seoul
C0823,M,45,Seoul
C0824,F,43,Kyeongki
C0825,F,44,Kyeongki
C0826,F,33,Seoul
C0827,M,37,Kyeongki
C0828,M,57,Seoul
C0829,F,56,Seoul
C0830,F,21,Seoul
C0831,F,31,Seoul
C0832,M,54,Seoul
C0833,F,44,Seoul
C0834,F,60,Seoul
C0835,F,67,Seoul
C0836,F,26,Cheonbuk
C0837,F,47,Seoul
C0838,F,29,Seoul
C0839,M,40,Kyeongki
C0840,F,29,Seoul
C0841,F,71,Seoul
C0842,F,32,Seoul
C0843,F,25,Seoul
C0844,F,33,Kyeongki
C0845,F,32,Seoul
C0846,F,26,Seoul
C0847,F,35,Seoul
C0848,F,41,Seoul
C0849,F,50,Kyeongki
C0850,F,36,Seoul
C0851,M,32,Seoul
C0852,M,39,Seoul
C0853,F,30,Seoul
C0854,F,28,Seoul
C0855,F,42,Seoul
C0856,F,25,kyeongbuk
C0857,F,24,Seoul
C0858,M,48,Seoul
C0859,F,55,Daejeon
C0860,F,44,Seoul
C0861,F,34,Seoul
C0862,F,77,Seoul
C0863,F,55,Seoul
C0864,F,59,Seoul
C0865,F,65,Seoul
C0866,M,36,Seoul
C0867,M,30,Seoul
C0868,F,30,Kyeongki
C0869,F,42,Seoul
C0870,F,49,Seoul
C0871,F,65,Seoul
C0872,F,26,Seoul
C0873,F,56,Seoul
C0874,F,57,Seoul
C0875,F,32,Pusan
C0876,F,58,Seoul
C0877,M,29,Seoul
C0878,F,28,Seoul
C0879,F,66,Seoul
C0880,M,24,Seoul
C0881,F,45,Seoul
C0882,F,29,Kyeongki
C0883,F,60,Seoul
C0884,F,25,Kyeongki
C0885,F,43,Seoul
C0886,F,38,Seoul
C0887,F,26,Kyeongki
C0888,F,46,Seoul
C0889,F,24,Daejeon
C0890,F,48,Seoul
C0891,M,42,Seoul
C0892,F,42,Seoul
C0893,F,36,Seoul
C0894,F,50,Kyeongki
C0895,M,41,Seoul
C0896,F,57,Seoul
C0897,F,46,Seoul
C0898,F,43,Seoul
C0899,F,32,Seoul
C0900,F,32,Seoul
C0901,F,27,Seoul
C0902,F,56,Seoul
C0903,M,70,Seoul
C0904,F,51,Seoul
C0905,M,57,Seoul
C0906,F,24,Seoul
C0907,F,36,Seoul
C0908,F,23,Gwangju
C0909,F,59,Seoul
C0910,M,55,Seoul
C0911,M,37,Seoul
C0912,F,43,Seoul
C0913,F,54,Seoul
C0914,M,37,Seoul
C0915,F,46,Seoul
C0916,F,33,Seoul
C0917,M,40,Seoul
C0918,F,30,Seoul
C0919,F,40,Seoul
C0920,F,54,Kyeongki
C0921,F,56,Seoul
C0922,F,23,Seoul
C0923,F,64,Kyeongki
C0924,F,24,Seoul
C0925,M,44,Seoul
C0926,F,62,Kyeongki
C0927,M,48,Seoul
C0928,F,43,Seoul
C0929,F,27,Seoul
C0930,F,74,Seoul
C0931,M,53,Seoul
C0932,F,32,Kyeongki
C0933,F,27,Seoul
C0934,F,28,Seoul
C0935,F,66,Seoul
C0936,F,57,Seoul
C0937,M,34,Seoul
C0938,F,42,Seoul
C0939,F,24,Daegu
C0940,M,35,Seoul
C0941,F,28,Seoul
C0942,F,31,Kyeongki
C0943,F,38,Seoul
C0944,F,24,Seoul
C0945,F,58,Seoul
C0946,M,29,Seoul
C0947,M,54,Gangwon
C0948,M,54,Seoul
C0949,F,67,Seoul
C0950,F,28,Seoul
C0951,F,32,Seoul
C0952,M,40,Seoul
C0953,F,62,Seoul
C0954,F,59,Seoul
C0955,M,54,Seoul
C0956,F,52,Kyeongki
C0957,F,39,Seoul
C0958,F,22,Seoul
C0959,F,31,Seoul
C0960,M,67,Seoul
C0961,F,46,Seoul
C0962,F,23,Seoul
C0963,F,37,Seoul
C0964,F,32,Seoul
C0965,F,61,Seoul
C0966,M,36,Seoul
C0967,F,32,Kyeongki
C0968,F,20,Kyeongki
C0969,F,65,Seoul
C0970,F,33,Seoul
C0971,F,24,Gwangju
C0972,F,58,Seoul
C0973,F,41,Seoul
C0974,F,35,Seoul
C0975,F,32,Seoul
C0976,M,48,Pusan
C0977,F,28,Seoul
C0978,F,24,Seoul
C0979,F,39,Seoul
C0980,F,46,Seoul
C0981,M,31,Pusan
C0982,F,47,Seoul
C0983,F,44,Seoul
C0984,F,63,Seoul
C0985,F,53,Seoul
C0986,F,28,Inchon
C0987,F,58,Seoul
C0988,F,67,Seoul
C0989,F,61,Seoul
C0990,F,58,Seoul
C0991,F,60,Seoul
C0992,M,55,Seoul
C0993,F,31,Seoul
C0994,M,62,Seoul
C0995,M,24,Seoul
C0996,F,52,Seoul
C0997,F,50,Kyeongki
C0998,F,60,Seoul
C0999,F,46,Seoul
C1000,F,54,Seoul
C1001,F,24,Seoul
C1002,F,51,Kyeongki
C1003,F,42,Seoul
C1004,F,27,Seoul
C1005,F,48,Seoul
C1006,F,57,Seoul
C1007,F,41,Seoul
C1008,F,53,Kyeongki
C1009,F,24,Seoul
C1010,F,36,Seoul
C1011,F,23,Seoul
C1012,F,27,Seoul
C1013,M,45,Kyeongki
C1014,F,31,Seoul
C1015,F,45,Seoul
C1016,F,47,Seoul
C1017,F,55,Seoul
C1018,F,39,Seoul
C1019,M,36,Seoul
C1020,F,24,Kyeongki
C1021,F,58,Seoul
C1022,M,52,Seoul
C1023,M,48,Seoul
C1024,F,20,Kyeongki
C1025,F,46,Seoul
C1026,F,46,Seoul
C1027,F,59,Kyeongki
C1028,F,41,Seoul
C1029,F,23,Seoul
C1030,F,31,Kyeongki
C1031,F,41,Seoul
C1032,F,34,Seoul
C1033,M,62,Seoul
C1034,F,42,Seoul
C1035,F,26,Seoul
C1036,F,44,Seoul
C1037,F,33,Seoul
C1038,F,54,Kyeongki
C1039,M,42,Seoul
C1040,M,35,Seoul
C1041,M,61,Seoul
C1042,F,32,Daejeon
C1043,M,65,Seoul
C1044,F,50,Seoul
C1045,F,59,Kyeongki
C1046,F,44,Seoul
C1047,M,47,Seoul
C1048,F,22,Seoul
C1049,F,52,Seoul
C1050,F,42,Seoul
C1051,M,40,Cheonbuk
C1052,F,46,Seoul
C1053,F,51,Kyeongki
C1054,F,61,Seoul
C1055,F,71,Seoul
