star,comment
1,살면서평점남겨보기는처음이네요 잔인하고공포스럽고 심기가매우불편한영화임 내용을알고안보고싶었지만  꼭보고싶다는사람이있어서봤지만역시나 보고나니두통생기고찝찝한영화네요  
1,내가 본 영화중 최악공포심조장을위한 설정 들이 눈에 들어오니 보는 내내 짜증중간에 나오고 싶었는 데 참음  
1,갑자기 끝나네? 응? 결말 없음  
2,진짜 기대하고 봤는데...  
10,곱씹으면씹을수록 단맛이나는 쌀알같은영화입니다.두번봤는데 아 첫번째볼땐몰랐을까?하는복선도 많이발견하고 두번째가 더경의롭고 재밋게즐길수있었습니다.어떠한 방면으로해석하냐에따라 여러가지 결말과 구도가나오고 많이생각해볼수있게해주는 영화 꼭보세요!  
10,"시간 가는줄 모르고 보긴했는데, 많은 생각을 하게만드는 영화인거 같아요!  "
10,이영화 진짜꼭 보세요 영화못볼줄모르시면 보지마시구요..  
5,그저 그런 영화. 그저 그럼  
5,15세이상 관람하기에는 욕이 너무 많이 나오고 경찰인데도 불구하고 가족을 위해서라면 폭력과 살인을 동원해도 된다는 정당성 부여하는 듯해서 청불로 해야함  
5,.. 그냥그랬네요 ... 별로반전도 소름돕지 않고  
6,"선과 악이 싸워서  악이 이긴것인지!그냥 소름끼치게 무서운 영화라면 더 좋았을것을. . . 무당, 일본인, 좀비, 이런 단어 제일 싫어한다  "
5,영화를 직접 보고 나왔는대 해석을 또 찾아보게 만드는 영화네요.. 마지막 장면에서 같이 보던 사람들이 '뭐야?'라고들 말하더라구요...ㅎㅎㅎ  
4,결말도 없이 잔인함과 지저분한 찜찜함만 남는졸작~@@  
2,내용없이 아무거나 갖다붙이기  
4,와 정말 최근에 봤던 영화중에 제일 핵노잼  
2,개연성이없는영화. 대체 왜 봤는지 알수없음!  
7,반전을 위한  거짓장치들이 많아서 다보고 나니 기만당하는 느낌이었다.  
7,와타시다....악쿠마  
6,별루 노잼이었음 너무 놀라게하는 장면이많음  
7,반전에반전에반전. ..후 마지막에 읭? 뭐지..라는 생각이들며 자기전까지 생각하게 만드는 영화. 절대 현혹되지맙시다.  
1,내가 본 영화 중 가장 더러웠음....진짜 최악  
1,오로지 황정민 굿하는 것 말고는 볼게 없었다. 만드느라고 수고는 했는디 뭐가 중헌지를 모르는 것 같다 ㅎㅎㅎ  
1,기분나쁘고재미없었어여  
1,좀... 별로였어요....  
1,스릴러도아니고 호러도아니고 결말은 또 뭡니까?  
1,아..진짜...하 ㅠㅠ  
1,재미없어요재미없습니다  
1,재미없었다. 너무 우리 수준을 쉽게봤다.  
1,난 별로다 옆사림도 별로래 앞사람더 ㅋㅋ  
3,별루여떠요.. ㅜㅜ 무섭지두 않구 개연성두 없었던거같아요 페북에서 왜이렇게 재밌다한지 모르게떠요ㅜ  
6,결말이 뭔지...몰겟음...  
4,대강 포스터보고 취향아니면 보지마세요. 많이 본다더라 어어어 하면서 볼 영화는 아닙니다. 개취따라 이런 스타일 좋아하면 보세요.  
1,뭔지 모르겠는 영화였네요생각없이 볼 영화는 아니고 영화에 숨은의미 찾고 하는거 좋아하신다면야 보셔도  
1,기대만큼 겁나 재미없음.  
10,"단순한 귀신영화가 아니라 보다 훨씬 심오한 오컬트, 악마, 엑소시즘, 종교적인 공포영화를 좋아하는 사람들에게는 진짜 엄청;; 무서운 영화입니다... 개연성 작품성 복선 장치 뭐하나 흠 하나 없이 완벽합니다  "
10,영화 내내 의심하면 미끼에 걸림  
1,우리나라는 언제나 컨저링 같은 영화 한번 만드나...  
1,안봤으면 더 좋았을 영화  
1,하... 뭐...뭐지?? 이 영화가 주는 교훈은.. 사람을 의심하지말자 이런건가??  
1,전 시간이 아까왔습니다. 피 밖에 생각나는 것이 없음.  
1,왜봤나  싶다.  중후반  좀비나올땐  역 겹고  속이울렁거림.  
1,감독이 무엇을 의도한건지 모르겠고 마무리가 아쉽다  
10,일광이 이 영화의 모든 비밀을 풀어줄거라고 생각한 나는 감독한테 한방 먹었다  
10,내 인생 최고의 영화. 무슨 할말이 있는가  
7,아ㅋ 내주변사람들은 영화보고 악몽한번씩꿉니다  
2,징글징글...황정민나오길래 봣는데ㅠ  
10,난 재미만있던데... 결말도 상당했음  
7,해석의 여지가 많은 영화. 설명이 불친절해서 보고나서 썩 개운하진 않음. 분위기는 기괴하고 좋았음.  
1,뭐야 ㅡㅡ이게 ㅡㅡㅡ감독 이상하네ㅡㅡㅡㅡ  
1,그냥그럼123456  
1,오져따...ㅎㅎ^~^  
1,예루살렘이 곡성이고 일본인이 예수라는건가요?  
3,연기는 좋았지만 무엇을 말하려고 하는지가 참 ..  
1,무슨  내용인지 모르겠네요  
9,와진짜 귀신나오는 무서운영화는 잘보는데이건진짜 눈가리면서봄  
10,와 ... 진짜 귀저기준비하고 보셈 개굳  
10,거르지말거 무조건보는거 추천한다 재미는보장함 반전의연속  
10,미쳤다 진짜...머리 아픔..ㅠㅠ  
9,악과 신성은 한몸이로고  
7,너무 잔인하고 공포스럽만 영화 상영 내내몰입도가 정말 좋네요  
5,긴장감뿐.. .이해안될영화..연기력은최고!  
7,"몰입감은 장난 아닌데, 명작을 본 기분은 아닌..  "
4,이두저두아닌영화내요 좀비+검은사제들+귀신+코미디+ 짬봉영화 결론도없어요  
8,그 동안 지지부진했던 한국 영화계에 오랜만에 등장한 수작  
7,"긴장감과 몰입도는 좋으나...도대체 무슨 얘기를 하려는건지...영화 끝나고나면 '이게뭐지?'라는 생각뿐,배우들이 아깝다는 생각이 든다.  "
4,무섭다고 할것들은 다 갔다놨는데 안무서운? ㄴㅈ..  
1,별로1010101011001  
1,무슨그런 영화가있는지 뜻도없는것이 잔인하기그지없는 쓰레기같은영화 다신보고싶지않음 돈이 아까워 정말 그런영화만드시지말길..  
1,결말 쓰레기에염 안보는거 추천  
1,그래서 뭐 어떻게 됫다고?  
1,"너무무섭고 배우들 연기가 아까운영화,,,,  "
3,소소한 재미와 끝까지 놓지 못하는 긴장감 그러나 도무지 알 수 없는 내용 나홍진 감독이 나서서 내용 설명을 하지 않는 이상 모르겠다  
9,감독판이 궁금해지는 영화.두통약이 필요한 영화.  
10,왜최악이라는지 노이해  
1,제 기억에 남는것은 효진아~ 밖에 없습니다.  
1,존2나 노잼이다진짜ㅋㅋㅋㅋ  
1,완전불편한영화 보는 내내 함든영화스토리구성도 떨어지고 내용도없고 의미도 상상력도없고 호로물로보기애도 민망하다  
10,다시 한번 봐야겠다 곽도원의 전성시대  
4,어렵게 만든다고 깊이있고 작품성있는 영화가 아니다.  마무리가 깔끔하지 않은게 열린결말이 아니라 무책임한거다.  
7,뭣이 중헌디 뭣이 중한디  
6,아....보는내 끔찍하게 기분 나빴음..가지말어...  
6,분명 한국 호러의 진일보다. 하지만 제작자의 무리한 욕심이 영화의 퀄리티를 떨어뜨린듯 하다.  
5,ㅋㅋ 왜 사람이 많이 보는지 모르곘음 .. ㅋㅋ  
6,한번만 보고는 이해가 딸리네요 두세번 더 보면 아~할수도;;전체적으로 공포는  그닥없고(전 공포광이라 보는관점이틀릴수도) 유혈낭자는가득 이지만 요즘나온 영화중에 젤 볼만하네요 ^^  
5,재밌다는 아성에 실망하였고 좀비씬은 70년대 영화보는줄알았다. 내용고 너무 지지고볶고 드라마같이 늘어졌다  
3,재미가없었다. 연기는 좋았지만  
8,끝이 흐리멍텅 결론이상함  
3,생각보다 지루하네요ㅜ  
5,... 어쩌라고 영화임  
5,보긴봤는데  이느낌 뭐지??별루에요~~  
6,너네가 뭘 좋아할지 몰라서 이렇게 차려봤어 ㅎㅎ 근데 이것중 한개 빼곤 다 꽝이야 뭐게^^ 이느낌이 나는 영화 처음부터 끝까지 오로지 낚시질만 하는 영화 후...  
8,효진이 연기 참잘하네요^^팬됐어요  
3,중구난방 s급배우 캐스팅해놓고 재뿌림 ; 이거 십점주는사람들 영화보고 이해는하고서 별점주는 건지 ㅎㅎ  
6,연출 면에서는 높은 점수주고시지만.. 엔딩이 너무 버거웠어요. 끝까지 힘든 영화라서 삼점 입니다.  
5,무섭다는 평이 많아서 걱정했는데..저는 혼자봤구요좀 깜짝깜짝 놀라는건 있어도그저그랬어용 ㅎㅎ추천하고싶진 않은 영화예요 ㅠ기분이 더러워지는..  
6,이런 영화 인줄 알았다면 보지 않았을 것  
6,내용이 조잡하고 너무 기대가 컷던지 좀 아쉽네요  
3,그냥 진짜 이해력 부족한 사람도 안 부족한 사람도 걍 다 멘붕  
10,영화 상영시간 2시간 30분 동안 한눈팔 사이없이 흥미진진하게 봤습니다  
3,이건 스릴러도 아니고 공포도아닌.. 이도저도 아닌듯  
3,왜 그런건지 잘 이해가 안됩니다.  
3,영화 내용이 뭔지 모르겠으며  끝이 무언가 있을것 같은데 그냥 끝나버렸음..  
8,끝이 왜이해가 안되죠.저만그런가..  
2,거품이 심해요꿈보다 해몽  
5,노잼이야.. 진심 배우들이 연기를 잘하는데 스토리가 이상해  
7,보고나면 찝찝한 영화네요  
7,화면에 피범벅이 너무심하다  지나칠정도로  
8,"영화 보는 내내 완전 몰입. 분위기, 연기, 모두 압도적. 다만 영화를 다 보고 나서 중간중간 그게 왜? 그건 뭐였지? 라는 의문이 들었던 부분이 좀 있었던게 개인적으로아쉬워서 별 두개 뺍니다. 다른 분들 말들처럼 아역 연기가 정말 압권이네요.  "
10,오늘 처음 소개받은 여자분과 보고왔어요^^새롭게 연애를 시작하는 분이라면 강력 추천합니다  
5,시종일관 낚시 하는 영화  
6,흠 연기는 잘하는데 찜찜하네  
5,먼내용인지 넘심오히니  
3,실망입니다정사장면은  
10,초반부터 자이로드롭 맨 꼭대기에서 안내려오는 영화..  
10,평점이 높으면 말이여 무신 이유가 있는것이여 이유가  
5,분위기무섭고 재밌는데 무슨말인지모르겠음  
6,약간 찝찝한 영화내요 ㅠ  
5,이해를못하게떠여..ㅠ  
4,아 ~~기대하고보진 안았지만 쫌.우낌 웃긴컷도있고 어이없고 잔인한 부분도있었고ㅋㅋㅋ 많은사람들이 기대하고보는것같은데그냥 가볍게 영화한편 보긴 괜찮았어요  
10,생각할수록 놀라운 영화  
10,굿이런영화는처음이였다 몰입도짱  
8,"140분여동안 한번도 딴생각 안하고 집중한 영화입니다그런데 참 잔인한것도 많이 나오고, 끝나고 나니 뭔가 찜찜하면서생각을 많이하게 만드는 영화였어요..호불호가 많이 걸릴것같더군요.  "
7,재밌게봤어요마지막까지 아리송아리송사실 아직도아리송  
7,애매한 내용. 또 관객들로 하여금 생각하게 만든영화. 잔인하고 궁금하게해서 눈돌릴틈은 없었지만 이 영화 뭐지하는...  
8,재미있게봤습니다 많은 생각을 하게 만드는 영화이네요다만 좀비의 출연으로 인해 퀄리티가 약간 떨어지는 듯한 느낌이 들어 아쉽네요  
7,이게 15세라고 미친거아님?.... 잘만든 각본. 하지만 너무 난해한점도 독.  
5,배우들 연기는 짱이다! 근데 시나리오는 좀...개운치가 않다  
8,절대 스포는 알려하지말고 보소.식스센스급의 소름을 느끼고 싶으시면 기대도 스포도 알지말고 보소  
7,절대 쉽게 볼 수 있는 영화는 아님. 무섭다기보다는 수수께끼  
3,"인과관계도 안맞고 의문이 풀리지 않은, 말이 안되는 부분에 대한 해석도 하지 않은채 짜집어서 던져놓은영화. 결말은 관람객들이 엮어만들고  말이좋아 열린결말이지  "
5,의문이드는영화 갠적으로재미없는영화예요  
1,졸려죽을뻔 ㅜㅜ 내용도 모르겟구 ㅜㅜ 나만이런건가. . .  
1,그냥 웹툰 같음 재미없어요  
2,별로임.. 괜히본듯요  
4,무슨내용인지 ..??  
1,아 ㅡㅡ  뭐냐 이거 재밌네  
5,일관되지않은 내용인거 같아서  
6,다른 건 다 떠나서 좀비는 도대체 왜 나온건데?  
5,별로입니다별로입니다  
7,의도된 혼란...정답은 없다...는 거겠지만...조금 지나친 느낌...  
5,제머리로는이해를못햇어여  
9,한국 영화의 새로운 시도  
10,관객이 미끼를 물수 밖에 없는 영화  
7,소문보단 덜함인거 같아요  
10,보통 남자화장실에 대기줄이 없는데.. 영화가 끝난 뒤 유난히도 줄이 길더군요  
7,왜 청불이아니지????  
9,마무리가 안좋앗습니다 나머지내용은반전에반전 굳굳  
5,황정민 믿고 보러갔는데 ....걍 할말없음끝나고 관객들 반응이 전부 뭐야? 씨 .. 라고함ㅋㅋㅋ  
9,엄잼 하지만 약간의 개연성 부족스  
8,황정민 조금나와 예고에나오는게 전부임  
10,최근 본 영화 중 가장 재밌게봤습니다.  
7,15세관람치고는  너무 잔인했던 영화  
10,너무 무서워서 오늘은 아빠랑 자야겠습니가  
7,영화가 끝나면 영화가 시작된다  
7,효진이 연기 후덜덜햐~  
7,영상 음향 모두 몰입하기에 좋아 긴장타면서 관람 중에 외국인 뺑소니 씬부터 갠적으로 따라가기 버거웠어요. 극 흐름을 이해할람 다시 봐야겠는데 그 분위기 때문에 엄두가 안나네요. 아하하하;  
8,머지 머지 머지....말그대로 미스터리 ㅡㅡ  
4,감동도 없고 재미도 없고 최악이네요  
1,예약 버튼 누른 내 손가락을 자르고 싶다...태오행님 죄송합니다.  
1,재미없으  머가재밌다는건지  
1,별로네요..ㅠㅠㅠㅠ  
1,평보고 기대를 많이했는데 낚인 기분이네요  
1,보다잤음 유치하고 무슨악마가 다나와 수사얘긴줄알았더니  
1,먼내용이야 알수없네 재미도없고 감돔도없네  
7,초반지루함 갑자기바뀌는 전개 유치 단순 황정민의 꽁지머리  
2,내용도 어이없고 기분나쁘고 결론도 나지앟음  
1,아ㅜ어ㅜ애우아우에바  
10,재밌습니다 굿입니다!  
10,기빨릴만큼 잘 만들었습니다.무서운 와중에도 눈에 보이는 곡성의 아름다움이란  
10,"재밌습니다. 믿기 시작하는 순간 속기 시작하는거야. 근데 친구는 재미없다고하니 음... 복선, 해석 좋아하는 분들이 보면 좋아요.  "
9,보고나올땐 무섭고 찜찜해서 생각하기 싫은영화라 생각하다가 내용 해석이 명쾌하게 안되서 계속 생각하게되는 영화  
1,진짜 별루 중간에 나왔어요ㅡ.ㅡ  
10,"진 빠진다는 느낌이 정확한 표현 같습니다. 이러한 소재로 긴 러닝타임 그리고 엄청난 몰입감.. 극장을 나오니 지치더군요. 곽도원,황정민 그리고 딸 과 일본인 역할로 나온 배우들의 연기력이 압권이더군요. 반전에 반전.. 그리고 결말도 참신하고 좋았습니다  "
1,그렇네요...그냥ㅡ 이건 뭐라 설명할수도 없어요  
9,팝콘과 콜라를 반이상 남겼다 몰입도가 엄청난 영화  
8,연출은 짱.. 결말은 이해가...  
1,이거 18세이용가로 해야되지 않나요 개무서워ㅠㅠ  
1,이해가안감이해가안가이해가안감  
1,마지막에소름핵노잼이네요  
1,노잼10자10자10자10자  
1,무섭지도 재밌지도 이해되지도 않는 영화  
1,응~보지마응~보지마응~보지마  
10,후회없어요ㅠㅠ진짜 몰입도 높은 재밌는 영화  
10,호불호가 갈리는 것 같은데 저는 재밌게 봤습니다  
10,제발 다 조용히 하고 그냥 봐라  
10,진짜 장난안치고 너무무서워서 중간에나가고싶었습니다. 역설법이런거아니고 진짜무서웠어요..  
3,진짜누가누군지모르겟음 일본인은 말도안하니 누군지개답답  
7,황당한결말...너무실망스러움  
1,진짜 헬노잼이어서 보다가 방구만 몇 번을 뀐지 거 참  
1,미친영화더러움개노잼  
1,노잼노잼노잼노잼노잼 기대이하였음  그래도 아직 우리나라에선 볼수없는새로운장르였던듯  
1,호러물....대체뭐지  
9,한국영화치곤 잘만들었음  
10,긴 러닝타임 동안 숨쉬는 것도 까먹을 정도로 몰입된다  
4,이게 코믹인지 스릴러인지 모를 정도고 결말도 딱히 없고 내돈주고 볼 영화는 아닌듯  
5,이해하기 어렵고 보고 난 뒤 찝찝함이 오래가는 영화.  
3,그냥 구신얘기 결론도안난  
5,연출력은 좋았으나...그래도 근래 몰리는 상업영화에서의 갈증은 씻어준...  
10,레알 계속 다시생각하게하는영화  
10,말이필요없음보고리뷰봐야이해가능  
10,진짜 꿀잼이엿어요 긴장하면서 보게 되고 결말도 흘미로웠어요  
10,더할 나위없이 훌륭하다. 세계의 불확실성과 그에서 기인하는 의심과 믿음의 문제.  
10,훌륭한다 영화내내 긴장감을 놓을 수 없게 만드는 영화  
10,이런 영화는.. 두번 세번도 봅니다. 복석이많아 볼때마다 빠져드네요  
10,마지막 반전이 너무스릴 넘치네요  
7,런닝타임 늘어지고 정신없고 불쾌하다..  
5,중간부터는 눈을 못떴습니다..ㅠㅠ 잘못 선택했나봐요  
10,명작입니다 정말!! 호불호가 갈리는 이유를 모르겠네요..  
3,이 영화  너무 재미없다 그리고  짜증난다  
6,그냥그랴여..별로엿는데  
2,놀라기만 하고 뭔가 개연성 없는 느낌 ㅠ  
3,... 음.. 난 .. 그렇게.. 막..  
8,글쎄..범죄스릴러를 기대하고 온 내게는 충공  
7,그래도 요즘 한국영화 중에는 신선했던 영화  
7,보고난 뒤 계속해서 생각나는 영화  
3,중반까지는 잼있으나 후반부터는  내용이 산으로 가네요 기억 나는거 애가 욕을 잘하고 소리를 잘 지름 ㅋㅋ  
2,내스타일은 아닌듯...불편하고 찝찝..ㅠㅠ  
7,넘 재미 없다.  공감이 전혀 없는 그냥.. 잔인함으로 채워진 영화. 강시도 아니고.. 머 그런 이야기가 나오는지  
8,보는내내 무서웠지만 다 보고 나면 무섭단 생각보다 영화해석이 궁금한 영화  
9,영화볼때는 이해 못하는 부분 많음  
9,이상하게 다시 보고 싶다.. 진짜  
2,"너무 스토리안에 함정이많아 정신없음 .끝날때는 그래서 어쩌자는건데 라는 생각이들었음불친절한 영화이며 , 많이 잔인한편이고  좀비연출 에선 헛웃음이 나왔다.연기는 괜찮았으므로 1점은 주지않았음  "
10,또보고싶다 라는 생각이 처음든영화 아 계속생각나  
3,중간에 나가고싶었던영화  
6,기대하고 봤는데 그저 그렇네요~  
4,좋다가 좀비랑 악마때매 그저그런 b급이 되버렸다....  
6,스릴러인줄 알고 가서 봤는데 좀비영화였어요ㅠㅠ  
5,딱히..재밌다고 느끼진 않았음  
10,영화가 끝난 후 사람들과 얘기 할수록 평점이 올라가게 되는 영화  
6,황정민이름 내세운 영화같음  
5,결론도 애매하고 내용도 짜맞춘느낌에요  
8,긴장감은 넘치는데 결말은 아쉽네요  
6,어수선한.. 난해한..  
5,재미없어서 혼났네요 정말  
5,하 ... 보기힘든 영화네요  
6,별로였다안무섲고별로임  
6,스릴러  호러 등등 약 네편의 영화를 짜집기 했다는느낌???배우들의 연기력만 돋보임  
5,정말 딱 별점 5점짜리 영화...  
8,나쁘진 않지만 좋다고도 못하겠는데요~?근래에 본 엑소시즘 검은사제들이 떠오르면서...후기가 너무 찬양일색인게  ..음악과 화면구성은 좋네요  
1,사실 안봄 ㅎ 열자열자열자열자  
2,음.... 난해합니다  
10,흥미진진 몰입도주기네~~  
8,보기전에 결론이 혼란스럽다는둥... 그런말이있었지만 열린결말도 아니고 전 볼만했습니다~ 재밌었어요~  
3,저는 솔직히 보면서 내내 별로였어요.. 사람마다 케이OO이케이스 일듯  
5,음..개인적으로는 별로...  
7,좀비왜나오나 그것만없으면 깔끔  
10,어우 가면이 제일 무섭네  
9,영화관을 나올때는 도대체 내가 이걸 왜 돈주고 봤을까이랬는데 집에와서 한조각 한조각 딱딱 맞춰지기 시작하니깐 소름이 멈추지 않았던 영악하고 무서운 영화  
7,결말이 너무 애매해요ㅠㅠ  
10,재미없다는 사람들은 단순한 영화 좋아하는 사람인듯 보고난후에도 상상을 자극 하는 오랜만에 영화다운 영화본것 같음  
5,갠적으로 암호만 많고 풀어주지 않는 영화는 별로...  
5,배우들의 연기는 소름끼쳤다 특히 아역배우...그치만 영화보는 내내 뭔가에 세뇌당하고있는느낌이들어 불쾌했다...  
7,내가 너무 기대를 많이 한건 아니었는지  
7,종교면 종교 범죄면 범죄 확실한개성이없는 그냥 스릴러영화네요  
8,긴장감을 긴 런닝타임동안 끌고가는건 좋지만 편집상에 문제인지 내용을 이해하기엔 부족하였가  
5,재미도감동두없다 끝마무리더이상해  
2,돈아깝네요. 장르가 뭔지도 모르겠고 스토리도 산으로 가고  
3,마케팅에 낚였다. 그것도 재주라면 재주겠지.  
5,도대체 .content가 무엇인지 ㅠㅠㅠ  
8,영화 다 보고 이해를하면 또 보고싶어지는영화  
9,너무 잼있다. 역시 나홍진. 몰입도 짱. 연기 짱. 스토리 굳  
2,내용에 개연성도 부족하고 메시지도 와닿지가 않아.쌩뚱맞은 좀비는 코미디고...감독하고 얘기좀 하고싶게 만드는 영화. 깐은 어떻게 간거야?  
5,마지막에 이게 뭐지? 싶은 영화  
7,생각보다 별로.. 기대이하입니다~  
5,조잡한 내용 뭐가 재밌다는건지 공감도 안되고 허무합니다  
5,아이러니 한 영화입니다  
7,반전을 위해 트릭을 너무 많이 심어서 조금 아쉬웠지만 재미있게 본영화  
8,재밌음 스릴도있고 중간에 놀라서 팝콘 다버림  
10,무섭다 ~~~한국영화를 보고 첨 느낀 공포~~  
10,진짜 뭐라써야할지모르겠네 캐스팅 왤케 잘하셨어요 영화분위기 살벌하게  
5,보다가 곡소리 나는 영화  
10,진심 나홍진 약빨고 만든 영화추적자 황해 생각하고 보지마세요  
10,여러가지 의미로 엄청난 영화 진짜 대단한영화다  
10,한순간도 긴장을 놓칠 수 없었다  
8,끝없이 의심하게 만드는... 마지막까지도 결론을 의심하게 됌  
9,시간가는줄 모르고봤어요~ 미리해석글 보고 관람해서 그런지 어려운거없이 재미지게 봤습니다 강추!!  
10,미친듯이 소름돋은 영화  
10,생각하면서 봐야되고 잔인하지만 연기력은 일품!!  
10,꿀잼 진짜 꼭보셈 열자!  
7,조금 난해하다. 누가 범인인지 모르겠다  
9,무엇을 보고 무엇을 믿어야할지  
8,기괴하고 징그러운영화였으느 리뷰읽는 맛이 쏠쏠하군요!  
8,보긴봤는데 영화끝나고도 이해가안되네...나만그런건가ㅜㅜ  
8,너무무서워요 ㅜㅜ중간에  약간 막장인데 무섭..  
3,기대해서 그런가 생각보다 너무 실망해서 ㅠㅠ  
3,아정말 별로가....뭔지를 모르겠다이건 뭐 ㅡ ㅡ이해하고싶짇ㅎ않다 엑소시스트인가??...미안해요 감독님  이해를 못해서..  
9,시나리오를 이렇게 써도되는구나 느낄수 있는 영화  
7,생각을많이하게만드는영화였습니다  
3,아재들끼리 똘똘뭉쳐 시골문제거리 해결하러 나서는 의리영화? 담에 정육점에 모인 아재들끼리 영화하나냈으면..  
7,연기는 잘하는데 무슨내용인지 몰겠다난해함  
3,실망입니다정사장면은  
6,"너무 기대를 한듯..암튼 잘봤네요,  "
7,호불호가 갈리는 이유를 알듯.. 이성을 가지고 냉정하게 작품만 본다면 굿!  
7,"음 호불호가 갈린다고 하더니 그런거 같긴해요.. 남자친구는 기대한거보다 별로래요, 내용이 이해가 안가서 영화보고 나와서 결국 누구인거냐고 뭐냐고 물어봤어요ㅋㅋㅋㅋ 영화보고 나와서 좀 찝찝한 느낌 너무 잔인해요.... 18세로 해야되는거 아닌가요ㅋㅋㅋㅋ  "
9,넘 숨죽이고 본영화입니다  스릴만점  황정민연기 넘 잘하네요 별반절은 끝부분이 넘 아쉽더군요  언제 시간이 금새 2시간반이 갔는지  몰겠네요 잼나요  정말 아역 연기 대박 넘 실감나네요  
10,"처음부터 끝날깨까지 흥미진진했습니다. 감독이 관객들한테 미끼를 던졌고 관객들은 미끼를 물었네여, ㅋㅋ 보지도 않은것을 본것처럼 의심하고 확신한 결과가 이렇게 되었네요, 관객들도 마찬가지네요. 영화를보면서 절대 현혹되지 마시길...  "
5,한국판 엑소시스트 같은  영화. 보면 기분이 나빠지는 영화.  
10,간만에 보는 최고의 한국 공포영화!!!  
6,후반으로 갈수록 몰입도가 높아지나 영화를 보고난 후 후련하지않은 느낌이 크다  
10,감독의 의도에 제대로 넘어간 영화  
10,감독 미쳤네요 너무잼났습니다...  
10,재밌었네요 추천합니다  
10,오싹하고 저매잇네요 다ㅏㅁㄴ 결말이 찜찜할뿐 ㅠㅠㅠ 2기 나왓으면 하는 영화  
10,호불호가 갈리는 영화인듯요ㅋㅋ 전 호^^  
7,뭔가 좀 개운하진 않지만 새로운 장르의 영화를 본것 같은 니낌이다  
10,몰입도 최고!직접 보고 판단하시길.근래 본 한국영화 중 최고입니다.  
