id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID12439,60,MALE,SUBURBAN,37554.100,YES,2,YES,YES,YES,YES,YES
ID12440,20,MALE,INNER_CITY,18184.600,YES,0,NO,NO,YES,YES,YES
ID12441,45,FEMALE,SUBURBAN,28864.900,YES,0,NO,YES,YES,NO,NO
ID12442,66,MALE,RURAL,48346.100,YES,1,YES,YES,NO,NO,YES
ID12443,64,MALE,INNER_CITY,53104.300,YES,0,YES,YES,YES,NO,NO
ID12444,51,FEMALE,INNER_CITY,19416.800,YES,0,NO,YES,YES,NO,NO
ID12445,34,MALE,RURAL,23638.100,YES,2,YES,YES,YES,NO,NO
ID12446,65,FEMALE,TOWN,42378.200,YES,1,NO,YES,YES,NO,YES
ID12447,50,MALE,RURAL,39745.300,YES,0,YES,YES,NO,YES,NO
ID12448,66,FEMALE,INNER_CITY,45189.800,YES,0,NO,YES,NO,NO,NO
ID12449,63,MALE,INNER_CITY,37930.900,YES,0,NO,YES,NO,YES,NO
ID12450,53,FEMALE,INNER_CITY,24042.000,NO,1,NO,NO,YES,NO,YES
ID12451,33,FEMALE,INNER_CITY,31207.100,NO,0,YES,NO,YES,YES,YES
ID12452,38,MALE,TOWN,24424.300,YES,0,NO,YES,YES,YES,NO
ID12453,56,FEMALE,RURAL,24607.800,NO,1,NO,YES,YES,YES,NO
ID12454,48,MALE,TOWN,43057.000,NO,1,YES,YES,YES,NO,YES
ID12455,49,FEMALE,SUBURBAN,30198.500,YES,0,YES,NO,YES,YES,YES
ID12456,54,FEMALE,RURAL,50186.100,YES,2,NO,YES,YES,YES,YES
ID12457,41,FEMALE,SUBURBAN,22916.100,YES,0,NO,NO,YES,NO,NO
ID12458,19,MALE,RURAL,9592.730,NO,0,NO,YES,YES,NO,YES
ID12459,52,FEMALE,INNER_CITY,34253.600,NO,3,YES,NO,YES,NO,NO
ID12460,52,FEMALE,INNER_CITY,22792.300,YES,1,YES,YES,NO,NO,YES
ID12461,64,FEMALE,TOWN,51620.800,NO,2,YES,YES,YES,NO,YES
ID12462,56,MALE,TOWN,19918.900,YES,3,NO,YES,YES,YES,NO
ID12463,56,MALE,TOWN,29625.100,YES,2,NO,NO,YES,NO,NO
ID12464,19,FEMALE,TOWN,12549.000,YES,0,NO,YES,YES,NO,NO
ID12465,56,FEMALE,TOWN,51299.300,YES,1,YES,YES,NO,NO,YES
ID12466,27,MALE,INNER_CITY,17364.800,YES,2,YES,YES,NO,NO,YES
ID12467,59,FEMALE,INNER_CITY,29866.900,NO,1,YES,NO,YES,NO,YES
ID12468,56,MALE,INNER_CITY,47750.200,YES,0,YES,YES,YES,YES,NO
ID12469,21,MALE,TOWN,11281.500,YES,0,NO,YES,YES,YES,NO
ID12470,64,MALE,INNER_CITY,34073.800,YES,3,NO,YES,NO,YES,NO
ID12471,62,MALE,INNER_CITY,46870.400,YES,0,NO,YES,YES,NO,NO
ID12472,44,FEMALE,INNER_CITY,38453.700,NO,2,NO,YES,YES,NO,YES
ID12473,24,FEMALE,INNER_CITY,7756.360,NO,0,NO,NO,NO,NO,YES
ID12474,52,FEMALE,INNER_CITY,28413.800,YES,0,NO,NO,YES,NO,NO
ID12475,67,FEMALE,SUBURBAN,47198.600,YES,2,NO,YES,YES,NO,YES
ID12476,41,MALE,INNER_CITY,20866.300,YES,0,YES,YES,YES,NO,NO
ID12477,58,FEMALE,TOWN,33204.300,NO,1,NO,NO,NO,YES,YES
ID12478,40,MALE,INNER_CITY,24823.500,NO,2,NO,NO,YES,NO,NO
ID12479,19,MALE,SUBURBAN,17986.800,YES,0,NO,NO,YES,YES,YES
ID12480,20,FEMALE,INNER_CITY,9909.820,YES,3,NO,NO,YES,NO,NO
ID12481,56,FEMALE,TOWN,26542.800,NO,0,YES,YES,YES,NO,YES
ID12482,46,FEMALE,INNER_CITY,32583.500,YES,2,YES,YES,YES,NO,NO
ID12483,30,MALE,INNER_CITY,14606.600,YES,1,NO,NO,YES,NO,NO
ID12484,40,FEMALE,TOWN,34836.800,YES,1,YES,YES,YES,NO,YES
ID12485,36,FEMALE,TOWN,26920.800,YES,0,NO,NO,YES,NO,NO
ID12486,57,FEMALE,INNER_CITY,38248.300,NO,3,YES,NO,YES,YES,NO
ID12487,49,MALE,INNER_CITY,15689.100,NO,0,NO,NO,YES,NO,NO
ID12488,61,MALE,INNER_CITY,30157.700,NO,1,YES,NO,NO,NO,YES
ID12489,29,MALE,INNER_CITY,14642.200,NO,0,YES,NO,YES,NO,YES
ID12490,48,FEMALE,INNER_CITY,15933.300,YES,0,NO,YES,NO,NO,NO
ID12491,56,FEMALE,INNER_CITY,44288.300,YES,0,NO,YES,YES,NO,NO
ID12492,40,MALE,TOWN,22197.100,NO,0,YES,NO,YES,NO,YES
ID12493,58,FEMALE,TOWN,38248.300,YES,3,YES,YES,NO,NO,NO
ID12494,60,FEMALE,INNER_CITY,22053.200,YES,2,YES,YES,NO,YES,NO
ID12495,58,FEMALE,SUBURBAN,25468.500,NO,0,YES,NO,NO,YES,YES
ID12496,67,FEMALE,TOWN,23485.900,YES,3,YES,NO,NO,YES,NO
ID12497,40,MALE,RURAL,25768.600,YES,0,YES,YES,NO,NO,NO
ID12498,48,MALE,INNER_CITY,34182.200,YES,2,NO,YES,YES,NO,YES
ID12499,64,FEMALE,INNER_CITY,57444.500,NO,1,NO,YES,YES,NO,YES
ID12500,43,MALE,TOWN,38059.800,YES,0,YES,YES,NO,YES,NO
ID12501,34,FEMALE,RURAL,19481.300,NO,0,NO,NO,YES,YES,YES
ID12502,26,MALE,RURAL,19563.800,NO,3,YES,NO,NO,YES,NO
ID12503,48,MALE,INNER_CITY,38598.400,YES,0,YES,NO,YES,NO,NO
ID12504,35,MALE,INNER_CITY,20754.300,NO,0,NO,NO,NO,YES,YES
ID12505,24,FEMALE,INNER_CITY,13864.600,YES,3,NO,YES,YES,NO,YES
ID12506,47,MALE,SUBURBAN,36599.000,YES,3,YES,YES,YES,NO,YES
ID12507,52,MALE,SUBURBAN,45856.100,NO,1,NO,YES,YES,NO,YES
ID12508,31,MALE,SUBURBAN,22362.300,NO,0,NO,YES,YES,NO,YES
ID12509,41,FEMALE,SUBURBAN,21984.000,YES,1,YES,NO,NO,NO,YES
ID12510,23,MALE,SUBURBAN,11073.000,YES,2,NO,YES,NO,NO,NO
ID12511,27,FEMALE,INNER_CITY,18158.500,NO,1,YES,NO,YES,YES,YES
ID12512,22,MALE,INNER_CITY,7304.200,NO,0,YES,YES,YES,YES,NO
ID12513,67,FEMALE,INNER_CITY,58092.000,NO,2,YES,YES,YES,NO,YES
ID12514,26,FEMALE,INNER_CITY,16518.600,YES,0,YES,NO,YES,NO,YES
ID12515,58,FEMALE,SUBURBAN,46461.500,YES,0,NO,YES,YES,NO,NO
ID12516,27,MALE,RURAL,20058.700,YES,0,NO,YES,YES,YES,NO
ID12517,36,MALE,INNER_CITY,12533.200,NO,1,NO,YES,NO,YES,NO
ID12518,31,MALE,RURAL,22848.500,YES,1,YES,NO,NO,NO,YES
ID12519,28,FEMALE,TOWN,25699.400,YES,2,YES,YES,NO,NO,YES
ID12520,57,MALE,TOWN,21612.600,YES,0,NO,YES,YES,YES,NO
ID12521,64,MALE,INNER_CITY,48950.900,YES,0,YES,YES,YES,YES,NO
ID12522,49,MALE,INNER_CITY,41438.000,NO,1,NO,YES,NO,NO,YES
ID12523,22,MALE,INNER_CITY,11411.000,YES,1,YES,NO,YES,NO,NO
ID12524,58,FEMALE,INNER_CITY,43940.600,YES,0,YES,YES,YES,NO,NO
ID12525,20,MALE,TOWN,17239.500,NO,1,YES,NO,YES,NO,YES
ID12526,44,FEMALE,RURAL,30488.700,YES,0,NO,YES,YES,NO,NO
ID12527,65,FEMALE,TOWN,29866.300,YES,3,NO,YES,NO,NO,NO
ID12528,53,FEMALE,INNER_CITY,32184.400,YES,2,YES,NO,NO,NO,YES
ID12529,34,FEMALE,INNER_CITY,17308.700,YES,1,YES,NO,YES,YES,YES
ID12530,35,MALE,RURAL,27863.900,NO,2,NO,YES,YES,YES,NO
ID12531,48,MALE,TOWN,28920.600,YES,0,NO,YES,NO,YES,NO
ID12532,64,FEMALE,TOWN,58367.300,YES,1,YES,YES,YES,NO,YES
ID12533,46,MALE,TOWN,16849.300,NO,0,YES,YES,YES,YES,NO
ID12534,42,FEMALE,RURAL,28138.500,YES,0,NO,NO,YES,YES,YES
ID12535,47,MALE,INNER_CITY,23038.200,YES,0,YES,YES,NO,NO,NO
ID12536,23,MALE,TOWN,11736.900,NO,2,YES,YES,YES,YES,NO
ID12537,35,MALE,INNER_CITY,16479.500,YES,0,YES,NO,NO,YES,YES
ID12538,64,FEMALE,INNER_CITY,31415.700,NO,1,YES,YES,NO,YES,YES
ID12539,18,FEMALE,SUBURBAN,12117.300,YES,1,NO,NO,YES,NO,NO
ID12540,19,MALE,INNER_CITY,15417.100,YES,1,YES,NO,YES,NO,NO
ID12541,40,MALE,INNER_CITY,29414.600,YES,1,NO,YES,NO,YES,YES
ID12542,47,MALE,INNER_CITY,44682.100,YES,0,YES,YES,YES,NO,NO
ID12543,43,FEMALE,RURAL,36281.000,YES,0,YES,YES,YES,NO,NO
ID12544,38,MALE,TOWN,33302.800,NO,0,YES,NO,YES,YES,YES
ID12545,21,FEMALE,RURAL,15797.100,YES,0,NO,YES,YES,NO,YES
ID12546,40,MALE,RURAL,31864.800,YES,0,YES,YES,YES,NO,NO
ID12547,52,FEMALE,TOWN,43719.500,YES,0,NO,YES,YES,NO,NO
ID12548,35,FEMALE,TOWN,30799.500,YES,2,NO,NO,YES,NO,YES
ID12549,53,MALE,RURAL,48971.600,YES,3,YES,YES,NO,NO,YES
ID12550,38,FEMALE,RURAL,34061.400,NO,0,YES,YES,YES,NO,YES
ID12551,42,MALE,INNER_CITY,28938.600,YES,3,YES,NO,NO,NO,NO
ID12552,43,MALE,TOWN,38540.000,NO,0,YES,YES,NO,YES,NO
ID12553,59,FEMALE,INNER_CITY,27045.100,NO,0,NO,NO,YES,NO,YES
ID12554,59,FEMALE,RURAL,51284.300,NO,0,YES,YES,YES,YES,NO
ID12555,24,MALE,INNER_CITY,16352.200,NO,0,NO,YES,YES,YES,NO
ID12556,27,FEMALE,INNER_CITY,11866.400,YES,0,YES,YES,YES,NO,NO
ID12557,32,FEMALE,TOWN,13267.600,YES,0,YES,YES,YES,YES,NO
ID12558,65,FEMALE,INNER_CITY,61554.600,YES,0,NO,YES,YES,NO,NO
ID12559,18,MALE,SUBURBAN,13700.200,NO,1,NO,YES,YES,NO,NO
ID12560,66,MALE,TOWN,46963.900,YES,1,NO,YES,YES,NO,YES
ID12561,41,MALE,INNER_CITY,23475.600,YES,0,YES,NO,YES,YES,YES
ID12562,64,FEMALE,SUBURBAN,24554.100,YES,0,YES,YES,NO,YES,NO
ID12563,23,FEMALE,INNER_CITY,18050.000,YES,0,YES,NO,YES,YES,YES
ID12564,29,FEMALE,RURAL,15237.600,YES,2,YES,NO,YES,NO,NO
ID12565,28,MALE,TOWN,20555.000,NO,0,YES,YES,YES,NO,YES
ID12566,57,FEMALE,TOWN,28421.700,YES,2,YES,YES,YES,YES,NO
ID12567,38,MALE,INNER_CITY,21876.500,YES,0,NO,NO,YES,NO,NO
ID12568,34,FEMALE,SUBURBAN,12810.200,NO,3,NO,YES,YES,NO,YES
ID12569,43,MALE,SUBURBAN,15109.400,YES,0,NO,NO,YES,NO,YES
ID12570,63,MALE,TOWN,37414.700,NO,3,YES,YES,YES,NO,NO
ID12571,62,FEMALE,INNER_CITY,41521.600,YES,0,NO,YES,YES,YES,NO
ID12572,51,FEMALE,INNER_CITY,25372.800,YES,0,YES,YES,YES,NO,NO
ID12573,61,MALE,INNER_CITY,21139.800,YES,2,YES,YES,NO,NO,NO
ID12574,41,FEMALE,TOWN,27757.600,NO,0,NO,YES,YES,NO,YES
ID12575,31,FEMALE,TOWN,22678.100,NO,1,YES,YES,YES,YES,YES
ID12576,33,FEMALE,TOWN,12178.500,YES,2,NO,YES,YES,YES,NO
ID12577,43,MALE,RURAL,26106.700,NO,1,NO,NO,YES,NO,YES
ID12578,40,MALE,INNER_CITY,27417.600,YES,0,NO,YES,YES,YES,NO
ID12579,47,MALE,TOWN,23337.200,YES,2,NO,YES,YES,YES,NO
ID12580,46,MALE,TOWN,43395.500,NO,1,YES,YES,YES,NO,YES
ID12581,30,MALE,RURAL,11536.200,YES,2,NO,NO,YES,YES,NO
ID12582,47,MALE,INNER_CITY,44658.600,NO,2,YES,YES,YES,NO,YES
ID12583,44,MALE,RURAL,32762.500,NO,0,NO,YES,YES,YES,NO
ID12584,23,MALE,RURAL,16403.800,YES,0,YES,YES,NO,NO,NO
ID12585,28,FEMALE,INNER_CITY,21184.700,YES,1,YES,YES,YES,NO,YES
ID12586,64,FEMALE,INNER_CITY,49917.300,YES,0,YES,YES,YES,YES,NO
ID12587,35,FEMALE,TOWN,21623.800,YES,0,NO,YES,NO,YES,NO
ID12588,19,MALE,RURAL,16625.900,YES,1,NO,NO,YES,NO,YES
ID12589,27,FEMALE,TOWN,14014.500,YES,3,NO,YES,NO,NO,NO
ID12590,27,MALE,INNER_CITY,20409.300,YES,2,NO,YES,NO,NO,YES
ID12591,58,FEMALE,INNER_CITY,31671.300,YES,1,YES,YES,NO,YES,YES
ID12592,46,FEMALE,TOWN,17149.200,NO,1,YES,YES,YES,NO,YES
ID12593,61,FEMALE,TOWN,27756.300,YES,0,YES,YES,NO,YES,YES
ID12594,59,MALE,INNER_CITY,40949.900,NO,0,NO,YES,YES,NO,YES
ID12595,47,FEMALE,RURAL,43743.200,YES,3,NO,YES,YES,NO,NO
ID12596,44,MALE,INNER_CITY,38459.900,YES,0,NO,NO,NO,YES,YES
ID12597,50,MALE,TOWN,40972.900,NO,2,YES,YES,YES,YES,YES
ID12598,64,MALE,INNER_CITY,46587.900,NO,0,NO,YES,YES,NO,YES
ID12599,51,FEMALE,TOWN,43799.600,NO,0,NO,YES,YES,YES,NO
ID12600,46,FEMALE,TOWN,18912.200,YES,0,YES,NO,YES,NO,YES
ID12601,39,FEMALE,INNER_CITY,27765.800,YES,3,YES,YES,NO,NO,NO
ID12602,58,FEMALE,INNER_CITY,33007.300,NO,1,YES,NO,YES,NO,YES
ID12603,32,FEMALE,TOWN,26325.300,YES,0,YES,NO,NO,NO,NO
ID12604,22,FEMALE,INNER_CITY,15308.200,NO,0,YES,YES,YES,YES,NO
ID12605,63,FEMALE,INNER_CITY,59805.600,YES,1,YES,YES,YES,NO,YES
ID12606,35,FEMALE,TOWN,28658.300,YES,0,YES,YES,YES,NO,NO
ID12607,59,FEMALE,INNER_CITY,23175.000,YES,0,NO,NO,NO,YES,YES
ID12608,22,FEMALE,SUBURBAN,11595.400,NO,0,YES,YES,YES,NO,YES
ID12609,60,MALE,SUBURBAN,50409.900,NO,2,NO,YES,YES,YES,YES
ID12610,23,FEMALE,RURAL,11215.300,YES,2,YES,YES,YES,NO,YES
ID12611,29,FEMALE,TOWN,13327.800,YES,0,NO,YES,NO,NO,NO
ID12612,44,MALE,INNER_CITY,16088.800,YES,3,NO,YES,YES,NO,NO
ID12613,63,FEMALE,TOWN,43943.000,YES,0,YES,YES,YES,YES,NO
ID12614,25,FEMALE,RURAL,14505.300,NO,3,NO,YES,YES,NO,NO
ID12615,37,MALE,INNER_CITY,33886.400,NO,0,YES,YES,NO,NO,YES
ID12616,48,FEMALE,INNER_CITY,16662.500,YES,1,NO,YES,YES,NO,YES
ID12617,35,FEMALE,TOWN,20262.600,NO,0,NO,YES,NO,NO,YES
ID12618,51,MALE,TOWN,33615.400,YES,1,NO,YES,NO,YES,YES
ID12619,27,FEMALE,TOWN,22007.100,NO,3,NO,NO,YES,NO,NO
ID12620,56,FEMALE,INNER_CITY,28981.100,YES,3,YES,YES,YES,YES,NO
ID12621,38,FEMALE,INNER_CITY,12163.900,YES,2,YES,NO,YES,NO,YES
ID12622,36,FEMALE,TOWN,17247.700,YES,2,YES,YES,YES,NO,NO
ID12623,27,MALE,SUBURBAN,12683.600,NO,3,NO,YES,YES,YES,NO
ID12624,34,FEMALE,TOWN,16291.000,YES,0,YES,YES,NO,YES,NO
ID12625,44,MALE,SUBURBAN,18707.300,YES,0,YES,YES,YES,YES,YES
ID12626,43,FEMALE,INNER_CITY,19326.900,YES,1,NO,NO,YES,NO,YES
ID12627,32,MALE,INNER_CITY,14511.800,NO,2,NO,YES,NO,YES,NO
ID12628,21,FEMALE,TOWN,10672.000,NO,1,NO,YES,YES,YES,NO
ID12629,30,FEMALE,INNER_CITY,25830.500,YES,2,NO,NO,YES,NO,NO
ID12630,55,MALE,RURAL,43499.500,YES,1,YES,YES,YES,NO,NO
ID12631,64,MALE,SUBURBAN,59175.100,YES,1,NO,YES,YES,NO,YES
ID12632,36,FEMALE,INNER_CITY,27642.900,NO,1,YES,NO,NO,NO,YES
ID12633,59,MALE,INNER_CITY,30067.500,NO,1,NO,YES,YES,NO,YES
ID12634,60,MALE,INNER_CITY,29714.400,YES,0,YES,NO,YES,YES,YES
ID12635,27,FEMALE,TOWN,13950.400,NO,1,YES,YES,YES,YES,NO
ID12636,29,MALE,INNER_CITY,10072.600,YES,0,NO,NO,YES,NO,NO
ID12637,53,FEMALE,INNER_CITY,37850.600,NO,1,NO,YES,YES,NO,YES
ID12638,61,FEMALE,RURAL,57176.400,NO,2,NO,YES,YES,NO,YES
ID12639,43,FEMALE,INNER_CITY,38784.000,YES,0,NO,YES,YES,NO,NO
ID12640,19,MALE,INNER_CITY,10191.800,YES,0,NO,YES,YES,YES,YES
ID12641,48,FEMALE,INNER_CITY,21821.400,YES,1,YES,YES,NO,YES,YES
ID12642,39,MALE,RURAL,37389.000,YES,2,NO,YES,YES,NO,YES
ID12643,32,MALE,INNER_CITY,14627.900,YES,2,YES,YES,YES,NO,NO
ID12644,63,MALE,SUBURBAN,48770.500,YES,1,YES,YES,NO,YES,YES
ID12645,46,MALE,RURAL,21096.200,YES,1,YES,YES,YES,NO,YES
ID12646,40,MALE,INNER_CITY,36256.900,NO,0,NO,NO,YES,YES,YES
ID12647,27,FEMALE,INNER_CITY,15281.800,NO,0,YES,NO,NO,YES,YES
ID12648,22,MALE,SUBURBAN,9316.980,YES,2,YES,YES,YES,NO,NO
ID12649,42,MALE,RURAL,20736.200,YES,1,YES,YES,YES,NO,YES
ID12650,58,FEMALE,TOWN,52662.500,YES,1,YES,YES,YES,YES,YES
ID12651,23,FEMALE,INNER_CITY,8020.190,YES,1,YES,NO,YES,NO,NO
ID12652,58,MALE,SUBURBAN,32245.400,YES,3,NO,NO,NO,NO,NO
ID12653,45,MALE,INNER_CITY,41107.200,YES,2,YES,YES,YES,NO,NO
ID12654,49,FEMALE,SUBURBAN,39358.300,YES,0,YES,NO,NO,YES,NO
ID12655,67,FEMALE,INNER_CITY,36095.900,YES,3,YES,YES,YES,NO,NO
ID12656,20,FEMALE,TOWN,7723.930,YES,2,YES,YES,YES,NO,NO
ID12657,43,FEMALE,RURAL,18565.800,YES,1,YES,YES,YES,YES,YES
ID12658,41,MALE,RURAL,25132.900,YES,0,NO,NO,YES,NO,NO
ID12659,38,FEMALE,SUBURBAN,31290.600,YES,0,NO,YES,YES,NO,NO
ID12660,67,FEMALE,SUBURBAN,24858.400,YES,0,NO,NO,YES,YES,YES
ID12661,40,MALE,INNER_CITY,16398.800,NO,1,NO,YES,YES,NO,YES
ID12662,25,FEMALE,SUBURBAN,23287.900,NO,0,NO,NO,YES,YES,YES
ID12663,57,FEMALE,RURAL,50897.600,YES,0,NO,YES,YES,NO,NO
ID12664,32,FEMALE,INNER_CITY,22446.500,NO,1,NO,NO,YES,YES,YES
ID12665,44,MALE,SUBURBAN,23092.100,YES,0,YES,NO,YES,YES,YES
ID12666,30,MALE,TOWN,24867.600,YES,0,YES,YES,NO,NO,NO
ID12667,43,MALE,TOWN,22234.700,YES,0,NO,NO,YES,YES,NO
ID12668,19,FEMALE,INNER_CITY,17371.100,YES,2,YES,YES,YES,NO,NO
ID12669,37,FEMALE,TOWN,29574.000,YES,0,YES,YES,YES,NO,NO
ID12670,49,MALE,INNER_CITY,17944.200,NO,1,YES,YES,YES,YES,YES
ID12671,49,FEMALE,RURAL,33665.500,NO,3,YES,NO,YES,NO,NO
ID12672,40,MALE,INNER_CITY,36166.200,YES,0,NO,NO,NO,NO,NO
ID12673,33,FEMALE,SUBURBAN,27712.900,NO,2,NO,YES,YES,NO,YES
ID12674,39,MALE,TOWN,22400.700,YES,2,YES,YES,YES,NO,NO
ID12675,43,FEMALE,INNER_CITY,28469.900,YES,0,YES,YES,YES,NO,NO
ID12676,37,MALE,TOWN,30488.000,YES,0,NO,YES,YES,YES,NO
ID12677,24,FEMALE,TOWN,19160.300,YES,1,YES,YES,YES,NO,YES
ID12678,62,MALE,TOWN,45342.500,YES,0,YES,YES,NO,NO,YES
ID12679,18,MALE,INNER_CITY,6294.210,NO,0,NO,YES,YES,YES,NO
ID12680,47,FEMALE,TOWN,25127.700,YES,0,YES,NO,NO,NO,NO
ID12681,63,MALE,SUBURBAN,51879.300,YES,2,YES,YES,NO,YES,YES
ID12682,20,MALE,TOWN,12644.900,YES,2,YES,NO,YES,YES,NO
ID12683,46,FEMALE,TOWN,21984.400,NO,3,NO,YES,NO,NO,NO
ID12684,47,FEMALE,RURAL,29093.100,NO,2,YES,YES,YES,NO,NO
ID12685,33,MALE,TOWN,23528.400,YES,1,NO,YES,YES,YES,YES
ID12686,20,MALE,TOWN,9516.910,NO,3,YES,YES,YES,NO,NO
ID12687,20,MALE,INNER_CITY,18364.900,YES,1,NO,NO,YES,NO,YES
ID12688,43,FEMALE,TOWN,31273.800,NO,1,YES,YES,NO,NO,YES
ID12689,58,MALE,RURAL,49673.600,YES,0,NO,YES,YES,NO,NO
ID12690,29,MALE,SUBURBAN,12623.400,YES,1,YES,YES,YES,NO,NO
ID12691,25,MALE,INNER_CITY,23818.600,YES,0,NO,NO,NO,NO,NO
ID12692,40,FEMALE,INNER_CITY,31473.900,NO,2,NO,YES,YES,YES,YES
ID12693,48,MALE,TOWN,20268.000,YES,0,NO,YES,YES,NO,NO
ID12694,65,MALE,SUBURBAN,51417.000,YES,2,NO,YES,YES,NO,YES
ID12695,59,FEMALE,RURAL,30971.800,YES,3,YES,YES,YES,YES,NO
ID12696,61,FEMALE,INNER_CITY,47025.000,NO,2,YES,YES,YES,YES,NO
ID12697,30,FEMALE,INNER_CITY,9672.250,YES,0,YES,YES,YES,NO,NO
ID12698,31,FEMALE,TOWN,15976.300,YES,0,YES,YES,NO,NO,YES
ID12699,29,MALE,INNER_CITY,14711.800,YES,0,NO,YES,NO,YES,NO
ID12700,38,MALE,TOWN,26671.600,NO,0,YES,NO,YES,YES,YES
