,Title,Author,ReviewID,Texts,YMD,Sentiment
103870,It is a chinese clon,Janay,R2192H5U1W1WD6,I fear that the product was delivered to me is not an original samsung phone. I am certain that this is a Chinese clone. I have not used. It was a gift for my boyfriend and it was just yesterday that we opened the box and we could notice is not an original from the company.,1/20/14,0
127258,Need help with the watch,Benjamin Mitchell,R4I2INLH8QT4K,They can't even be hook up at metro So what can i do instead of wasting my money is there a number i can call,1/22/14,0
106139,Bad Product,Octavio Urquiola,R2JDA7IND20LIF,This cell present serious problems with memory management. No if it is a manufacturing defect for all these models or if it was an own equipment failure. Never fulfilled my expectations. Would not recommend.,1/16/14,0
185255,Very Disappointed,Craig McDonald,R153C0FY762ICZ,"I bought this phone last year for my daughter who is currently living in Jamaica. The phone is no good as far as I am concerned and I should have tested it before taking it to her in Jamaica when I went on my vacation. From the very first moment the phone battery did not last an hour after the first initial charging process. Then it stated to freeze. It would not accept the Digicel sim card that they use in Jamaica and we had to take it to the Digicel office to have them fix that. I remained hopeful and my daughter did not want to part with the phone although it will never remained charged for more than a couple minutes even after been placed on charge for hours. I left it down there with promises to get her a replacement when I returned to the USA. The phone started to overheat so badly on her that her mother refused to let her use it anymore in fear that it may hurt her. It was sent back to me recently and now I am stuck with it and have lost my money. No one wants to purchase it even for parts and now I am hoping to sell it on EBay. I am very disappointed in this product and would never recommend anyone to these phones or attempt to purchase another of this kind. This is my second most disappointed product experience with purchasing a product on amazon. This is very unfortunate to know that I lost my money in such a hard economy that we are presently living in. I didn't even want to give this product the one star rating to show how disappointed I am with this product. I hope that they (Amazon) takes this off their website as it only makes Amazon look bad although not liable for the quality of this product, it still reflects on the company and the products and services offered.",1/16/14,0
129034,Returned it immediately,Monica Brown,R3UBD8XBOHXFQ9,Never worked.  Reset itself whenever a call was made.  Shut off and back on frequently. Speaker/volume was very poor could not hear incoming callers.,1/13/14,0
172151,no operating manual,Bill Fraresso,R1U99F25FCKR6Q,for anyone with no prior smartphone it is not intuitively obvious how to use this device and the little sheet that comes with it doesn't help much,1/27/14,0
158607,They sent me an used item,Hariharasudhan,R1EAB7LZEZ7MDB,I asked for a new phone and they sent me an used mobile. This is cheating and i would like to raise a case in a court for this issue.,1/7/14,0
106751,toooooooo old,ashwaq alsharif,R17EZF8EOB4GWN,I bought one it works only one and have month then the mic does not work . I went to apple store they told me it out of guaranty it sold from apple since 2010 so I just loss my money,1/5/14,0
129576,Not waterproof,rehanyf,R28OUCRN0PLN7A,Please don't buy this phone for it's water resistant properties. They wont work in the long run. My phone washed out in 8 months in spite of taking all precautions. since its a sealed device Sony can't repair it and since the indicators say water damaged Sony won't honor the warranty. I've given up after pulling hair with Sony Service - not what I expected of a $600 device and from a big brand like Sony,1/7/14,0
150718,Very poor quality,Jacqueline Yebuah,R3R9VBRLNCMR7Y,"Made from cheap material. Instructions in Spanish, (which you are not advised of) and very confusing. Battery life practically non existent. Would not buy again.",1/27/14,0
164888,Don't work,Jackie,R2X1CS0A5OE17F,It don't work at all. And I have sent it back. It was a present for my niece and it don't work.,1/2/14,0
127071,couldnt use the phone/ Very poor in quality!!,lula,RBS8T9IILQ5I2,I couldnt put my sim card in the phone because it didnt take sim cards!!! I wish I knew that...!!!,1/19/14,0
163897,bad never buy,william cleary,R3GBEJ7U3EPEDO,It sucks can't do nothing anything with it even call you always hang up on people. I wouldn't even give it one star. You cant download simple apps. It takes forever to load. And also it looks like there is a bug in it. If you are smart don't waste your money.,1/2/14,0
183930,You are not going to get what you see.,update?,R270UP03UF2MY6,"First able the phone does not come with the cover that you see there, then the battery life is terrible, also it up load apps in Chinese that you didn't want and if you want to return the phone you have to pay for shipping and it goes back to China.",1/3/14,0
172103,PUK Problems,bird,R1ABAIIT3GEO3X,"Because the phone was purchased through Amazon, Motorola will not replace it.  Only repair location is a walk in basis only located in Texas.  The phone continues to have a PUK lock.  Motorola blames AT&T.;  AT&T; says the phone is defective.  The code(s) to unlock it do not work and I have to take it down to AT&T; - where it can take up to an hour to figure out how to unlock the device.  It will lock up if the battery is low, if the battery has just been charged, or just because.  Not happy at all with this phone.  And no one will accept responsibility for the defect.  So buyer beware.  Motorola does not have an appropriate support system in place, especially if the phone is not purchased directly from their dealership.",1/23/14,0
119315,AVOID IT,scott J lynch,R19BLEXEJYDAVY,"Looks nice has some good features but it ends there. I've had this phone for about 7 months and i initially liked it however, it is a power hog and even when idle it chews through the battery in hours so in other words it must be plugged in more than any phone i've ever owned. It can have a full charge and left overnight ,unused and it will be dead in the morning. This is one phone to stay away from not just the power issue but many other as well I just don't have the time to waste on this POS phone to describe them all.",1/7/14,0
161324,this seller doesnt respect customers!!!!,JOSE MARIA FIGUEIREDO LIMA NETO,R1Z2TULF84DVL,this seller sold me a locked iphone 5 saying that was unlocked. i paid expesive price for a phone that doesnt work!! i want my noney back!!!,1/10/14,0
61174,came broken,boruch,R3APK6ITOQLYW3,it came broken it wouldnt go to the screen after it lit up. very dissapointed in the product that i bought,1/5/14,0
80037,Um... no.,Sonia Chaudhary saffron_rose,RQQ9SNJBGEWID,This phone sucks. I have used it for almost a year and a half and got used to it but the biggest frustration is it's lack of internal memory. I can't download any apps because there is no room and nothing will move to the SD card. And now after a year and a half it has totally quit. It turns itself on and off every 5 seconds so finally I just took the battery out. I'm in the market for a new phone now and you can be sure I'm going to find one with enough internal memory to make it worth having a cell phone.,1/7/14,0
11957,Phone arrived but didnt work,griffen williams,R3SEMBHE7JAB93,"A total waste of time. Folks, learn the hard lesson I've learned, ONLY order items frm PRIME certified sellers. Ohterwise, you dont know what youre getting, spending your money like going to Vegas. Its a gamble.",1/10/14,0
81236,echo in all calls,Hatem,RIHQP9CJUGNBT,i don't recommend it coz it has echo in all calls and you can't hear the others calling you clearly...also when you try to turn on front camera the rear one stops working and when try to change to rear one it fails and you should restart the phone to restore the rear one again...so bad phone but I don't know is that in all series of it or this is adefect in my phone specially????,1/24/14,0
165431,You phone no is good!,Onea Mihaela,R1FPH1T3ZJXZDR,30 days functione and in 31 days is off ! Baterry 1-3 hour functione! Made in China! No is good! 0 star for phone!,1/1/14,0
85468,Where Is my cellphone?,Jesus,R29DSA4D2AUOZE,I'm very upset about this! At this date I didn't recieve my htc. So what you going to do? Send it again or bring my money back,1/23/14,0
138182,will never purchase again,unsatisfied customer,R1XNIHXBQ744NP,I was so unhappy with the company & Amazon. I thought I was buying unlocked phones & when I was putting my minutes & data on the phones the company told me that I couldn't get the data until I got the phones unlocked. Question. Why should I pay to get my phone unlocked if I bought it as an unlocked phone? Anybody. ..,1/11/14,0
164316,Not Good at All,Scarleth,R1LT7MDEF1PS6E,this cellphones after the first day they start to give problems plus they contain lithium on the battery and if you try to return the equipment they don't want to taket it back and if they do after 20 day they complain of not receive the equipment and you loose your money .,1/1/14,0
164198,Save your money,Scott Fremming,R2WOTF9CL3LBGW,"I am very disappointed with this 'smart' phone. The screen is terrible and does not respond well to touch. It is very difficult to view at any angle other than absolutely directly. Apps load slowly, wifi connection is terrible. Trust me, save your money and get a legit smart phone from somewhere else.",1/3/14,0
127372,horrible,Stephanie Cobble,R356IRY0KK36DE,phone did not work anywhere. Would never buy this again. Had to buy another one that actually would make calls.,1/10/14,0
113526,Phone OK if it will work,Troid,R1UP7V7JWNEC5K,We purchased 2 of these phones in late September 2013. One was for a Christmas gift and was not opened or turned on until early in January 2014. It was at this time that we found that this Christmas phone did not work correctly (Wi-Fi did not work and the phone would not recognize the installed microSD card. Upon taking it to a nearby AT&T; store it was discovered that the phone was defective. Upon contacting Talking Tree (the store that sold it on Amazon) we were informed that the warranty was only good for 60 days. Amazon's A to Z guarantee could not help because it was only good for 90 days. Essentially we were told (via email by Mark at Talking Tree) that we were out of luck.,1/15/14,0
152149,Not satisfied,LATE AHOELETE LAWSON-HELLU,R283D5RSITL8J6,Items is not conformed to the features described.Moreover it does not work properly.The network is not stable.Items described as dual sim phones but arrived with one sim slot,1/21/14,0
142530,Amazon Wireless Service Inadequate,2G8TRS,ROOMAMI7HN5IJ,"This review is about the Amazon Wireless relationship with Verizon.  Placed two orders for phones when Amazon ran them on sale and Amazon was only able to process one order.  Evidently they are not able to verify the upgrade status of multiple phones on a family plan.  Amazon automatically cancels the second line order and the only option is to resubmit order (after the $200 off sale, of course).  Even if your account shows up it is eligible to upgrade on Verizon's and Amazon's websites, don't expect multiple phones to actually ship.",1/31/14,0
165596,Nice at first but just quickly turned useless.,Naomi James,R3EHVWWY0WEYIB,This phone keeps freezing and hanging up on calls and does not ring in calls. Pretty much i wish i never bought this phone.,1/30/14,0
184442,Not Good at All,Scarleth,R1LT7MDEF1PS6E,this cellphones after the first day they start to give problems plus they contain lithium on the battery and if you try to return the equipment they don't want to taket it back and if they do after 20 day they complain of not receive the equipment and you loose your money .,1/1/14,0
60824,NOT NEW say Apple Store,Michelle,R2N6OTK3GPHDU7,"NOT NEW as advertised by One Thousand & One Dealz. I was suspicious so I took it to the Apple store in Bellevue, WA, to authenticate. Apple store stated in work order form: Phone is not new and is not serviceable at apple device serial numbers (software and internal) do not match and non apple components found.",1/15/14,0
57897,Work intermitently,Brenda Perouty,R38J1YXOLFZZ66,"I am returning to seller. Have had trouble from the start.  Won't turn on, locks up, does actions on it's own while sitting on table",1/21/14,0
67332,Buyer's Beware!!!,Tina Elliott,R9P8IVW05HS9X,After I received this phone I was unable to activitate it.  The prior owner had altered the phone therefore Verizon was unable to find the phone in there system .,1/7/14,0
70365,Phone Great for $50 - Comes With Many Flaws,DatapawWolf DatapawWolf,RDOURXZ7XDCOK,"So I recently purchased this phone since it can be used without a contract, and for $50: much less than any god forsaken markup Verizon has on amazon.It works great as a cheap, low end smartphone, but has many flaws, which include software and hardware, and so I cannot rate this higher than two stars.*Occasionally it will simply stop sending/receiving text messages. So far I have little idea how or why this occurs. This proceeds for any length of time and/or until multiple restarts of the phone*The battery life is poor. Any use of apps sucks the battery usage to less than a day. Skype alone will suck up the battery life in a mere 2-3 hours.*Sometimes the micro SD card stops being read. This was never an issue on my previous phone with the same card, and so I can only reason that it is a software/hardware defect.*The available flash memory is so small that few apps can actually be downloaded without an SD card to put them on, which then defeats the purpose of a smart phone. Not to mention there's no legitimate way to download larger apps, because there is no option to download APK/install files to the micro SD card instead of the phone flash storage.*Update - the screen will stop being responsive after seconds of being in cold temperatures*Update - its problems are getting worse. Messages fail to send with no information available consistently. I wish at this point I could rate it 0 stars. Waste of money.Overall, like I said, it's good for $50, but the poor quality of the software and hardware should never merit the current $75 asking price here on Amazon.",1/6/14,0
167236,I STILL DONT HAVE MY PHONE!åÁ!,Heather H.,R293SY3LTVUZW8,I never received my phone I ordered my phone on DEC.12th and I still have not gotten my phone...I emailed this company and they never answered back and its been almost 2 months now..it was a Christmas gift so much for that so I don't know what to think l would just like to know where's my phone or where's my money????,1/31/14,0
116428,DOESN'T WORK IN SOME AREAS,Green Girl K,R25JHV1FU8N50G,Should have listened to the other reviewers who posted about this problem and checked up on it beforehand! They need to list area codes that these phones are not compatible with!,1/11/14,0
141425,No Good Nokia!,MIRNA,R1Q4ZV58RXGALH,I have changed this cellphone TWICW already! I have no idea why they still selling it! Piece of junk no,1/14/14,0
129293,BECAREFUL SELLER: HassleFreeCell sends a cellphone with chinesse battery without NFC and GPS damaged!,Jesus PiÌ±eiro,RDMTN3XTKMCQZ,"HassleFreeCell sends me a cellphone with chinesse battery (without NFC) and GPS damaged, and it's very extranged the cellphone had been rooted. Buy Cellphone with another seller.",1/15/14,0
71878,I received a different phone!!,Marisol Rodriguez,R3C4MU12LJJPLF,"I was expecting for an unlocked phone and I received an open box with a different phone inside wich I can't even use here in Venezuela and I have to pay a lot of extra money to get it fixed, I want to return this",1/20/14,0
163916,defective,hasani felix,R23QT2Y6998UB4,didnt read sim didnt read sd card camera was very very bad front cam was better than back.. even for the money this phone is well below a cheap phone from dollar store,1/13/14,0
160812,This phone is not what it seems to be,Randy Collado,R1N9E8FZKB3F6T,"I've had the iPhone since the first one came out. It was a very good product, and it was one of the best phones that I've ever had. However, this iPhone is A PIECE OF S***. The 3GS was great, and the 4S was better than the last, but the 5S was utter trash. If I were you, I would go with the Samsung Galaxy S4. It's a better buy, and it comes with better features",1/27/14,0
53318,Piece of Garbage!!,jamie,R37TBG1YQ42I53,This phone was a piece of garbage right from the start. It would freeze when multiple text were received. It also has a lousy speaker. The caller couldn't hear when you were trying to speak. Waste of time and my shipping to have it sent back!,1/13/14,0
88928,Worst phone ever!!!,Arlyne Oeck,R2Z7J097UUR6VA,"I've had this phone (3) on my fourth, voice degrades, shuts down reboots on its own and it's screeches! Verizon does nothing but send you same phone, SIM card or battery but results are the SAME!!! No help!When it works it great but come on if it's down more up ahhhh.......",1/21/14,0
164278,This seller send me this cell phone that was defected on every level and charger is not working at all,Olga,R6NP9O8I558G0,"I'm very upset with this seller...five weeks ago I ordered this cell phone, it took three weeks in a half to come..when I got the product, I've noticed its a defected product from start.1. charger is not working had to use my charger2. battery drains in 20 minutes (charged to 100% for the first time while phone was off ) and still it drains battery in 20 minutes.3. this phone programmed with Chinese language by default and you cant change.4. a lot of apps is not working on this phone for instance snapchat is not working, facebook is not working, candy crush out of questions and etc.5. cell phone restarts five times on its own..6. when placing call you cant hear that clear (some kind of noise in background)7. no user manual to see how to operate this phone8. you cant view pictures through text messages...something is wrong with downloads because it wont show pictures from text messages.)9. this phone dont support 3G or 4G it only support G10. once this seller sold you this product for refund they dont answer email at allOver all I was not happy with product at all.. :) one tip before ordering this phone contact seller and as if they sending you out a new phone without defect or damage. I don't want anyone to go through what i went with this product.",1/28/14,0
163883,Bad Phone,Richard Mensah,ROVMKOOG01FUL,I wish I never bought this phone it does work well from the day one I received. If I had paid attention to the other people comment I wouldn't have wasted my money by buying this phone as now am not using the phone.,1/24/14,0
43055,will not charge,J. K.,R2T7TXQGD088BF,Had this phone for two months now the charge port is sloppy like all the other LG en v phones not accepting a charge.Only 30 day warranty. save your hard earn money.,1/22/14,0
167294,"I bought two, returned both!!",Abigail Olson,R1PM90915N4RCV,"I had a difficulty hooking up to my new company, Verizon couldn't switch my contacts because it wouldn't connect to the switch- transfer box thing. It never connected to the internet. DOESN'T WORK WELL WITH NET10! and on my net 10 account it claimed my phone was inactive and I was still paying and I could still make calls and the texting sucked, I pressed one button and the touch bounced to the other side of the phone wierdly... Dont know how but nothing responded and I hated it!",1/29/14,0
164339,phone,Renee  martin,RWMZU7O3W92CI,i tried after i ordered this product to see if it was straight talk i madfe it to a straight talk phone after i spent 60.00 more dollars on phone i am so upset with phone cant hear on it very depressing,1/14/14,0
127408,Worked for 5 days.,Arnaldo Gonzalez,R2PITB19GRB3SM,"Slow performance cpu, poor lcd and camera quality. It worked for 5 days now you can hardly establish a conversation with too much interference, like a walkie talkie. Bought it for a gift sent to another country. Could not return.",1/2/14,0
80965,Buyer beware!!!!,A. Nennig,R6BR269RK1Q6V,"They advertise that this phone does not require a contract, after receiving the phone we tried to have it activated through verizon prepaid and they would not.  I sent the phone back because of it and they charged us a $20 re stock fee.  These people are in my opinion crooks trying to make their money from false advertising!  I will never do business with this company again!",1/7/14,0
82644,I want my money back guarantee.,Kissyy Byrd,R13Y0M4A3PWBBS,I want my money back guarantee. Its different from the description. The phone didnt work for my service. Im highly unsatisfied.,1/27/14,0
164219,Piece of Krap,Songdog,R20XJQ5NJVD3J5,This thing is so slow it's very frustrating.  Very Very frustrating.  I bought it from the same seller as here but for less money and free shipping on a something bay website.  I much prefer the LG505c even though it's not a so-called smart phone.  Bottom line is that this thing is going in the garbage where it belongs.,1/11/14,0
45143,"charger sucks, faulty touch",Lokesh,R2LAXE8A4X1NZT,"The charger of this junk is always in trouble, does not work at all. Touch is faulty and sometime hangs. Never really worked this phone. Dell should quit this business!",1/20/14,0
51133,didnt get wall charger,trish,R3571PES9QKRHZ,condition of phone wasnt good not broke but dirty looking only received phone itself not the wall charger the charger was different from any other phone had prior so had to buy another charger not happy,1/3/14,0
69083,Very disappointed with product,Timothy Richardson,RJWXHKPVCFJBH,"I bought this phone to replace my wife's other Samsung Strive that finally gave out after almost 3 years. We were happy to find this phone still available for purchase. It was sold as NEW, but we had problems with it the very first day, within minutes of turning it on. It shut off and we couldn't get it to turn back on. We let it charge overnight, and the battery showed a full charge, but in less than an hour, the battery was dead. We tried another battery. Same thing. We tried a different charging cord, in a different location. The phone just wouldn't allow the battery to charge or hold a charge. Then the  phone shut off and we couldn't get it to turn back on at all. We returned it. I don't believe this phone was new, but possibly refurbished. I was very disappointed with this purchase..",1/2/14,0
153279,this phone sucks,Rickia blair,RFZHONIGLHHV1,the phone moves so slow. and the camera is horrible. u can barely see with front camera and back camera takes blury photos.,1/17/14,0
180040,terrible,Matties Memory,R1I0UTMA9YPOF8,"can download apps but not open them, not one of the places it advertises as being able to have phone service can be used, so basically i have a veryy nice touch screen mp3 player",1/9/14,0
160542,The headphone jack placement ruins this phone,Amazon Customer,R32GPCGZB5QQ45,"I am giving the iPhone 5s one star for one reason only: the headphone jack on the bottom of the phone.  Apparently a lot of people like this feature.  But a lot of people also like 2 and a Half Men and CSI.  My point is, a lot of people are idiots.Seriously, this phone makes me irrationally angry each and every time I try to use headphones with it.  If I am working out, I have to set the phone upside down on the machine as I run.  If the phone is in my pocket, I am constantly flipping it over every time I take it out of my pocket.  That is annoying in and of itself, but it also causes the headphone cord to get tangled and shorten when I put it back into my pocket.  Also, it makes it difficult to work on the phone while listening to my headphones.  The cord sticking out from the bottom prevents me from using my pinky to stabilize the phone in my hand.  I almost never dropped my iPhone 4s in over two years that I had it.  I drop the iPhone 5s once a week because it won't let me hold it securely.I realize I should not care this much about a headphone jack.  Maybe some people get used to it.  But that is like getting used to the smell of a dead animal in your house.  The feature sucks and it makes the entire phone suck.  I would not buy an iPhone 5s if I had it to do over again.",1/18/14,0
185235,Omg!,jayda jackson,RESFQOKPWNWZI,"This is the worst phone ever. It's made of all plastic, the screen darkens randomly and flickers ! Also you have to push the button down hard just to select something . NOTHING like an iPhone ! So the description is a lie. It doesn't have an App Store and Ive been trying to contact the seller but they haven't answered my emails so I guess they don't want to refund me ! The phone sucks . Amazon should not allow this for sale . I wish I could rate it 0 stars !",1/29/14,0
129446,Worst phone I have ever owned,NitLSU,R32IA2825GOTCF,"And it's not even close. Firstly the app selection is hit or miss....Microsoft will tell u all about how they have 200k plus apps in the App Store but sadly most of those are useless third party knockoffs. The key apps like fb, twitter, yelp, whatsapp...they are all lacking in functionality compared to android or iOSThe metro ui is just plain stupid...feels like I am a child playing with blocky tiles. This is a good device but saddled with microsofts horrible software. Stay away from it.",1/17/14,0
146229,A hoax,Mr Awareness,RQ5LOTSTEHT2S,They took my money and I waited for 3 weeks and never received my package. They just took my money as like a loan. This is the most unprofessional and biggest gimmic as a company I ever experienced. And if it wasn't for amazon I wouldn't even see my money back.,1/16/14,0
147525,HORRIBLE CUSTOMER SERVICE,brittany,R1YRHLV2Q87IBH,I BOUGHT THIS PHONE. I PAID FOR 1 DAY SHIPPING- IT DIDN'T GET HERE IN ONE DAY/PACKAGE AND PRODUCT WAS DAMAGE.... GOT THIS FROM AMAZON THEMSELVES- THEN I EMAILED THEM ASKING WHAT THERE RETURN POLICY WAS AND THEY JUST SENT ME A LABEL. I DID NOT WANT THE LABEL-I WANTED INFORMATION THAT I WAS FAILED TO BE GIVEN TO ME. I DIDN'T WANT TO RETURN IT BECAUSE I WOULD HAVE HAD TO WAIT TO GET MY MONEY AND I NEED A PHONE ASAP. OR GET A REPLACEMENT BECAUSE I DONT WANT THE SAME THING TO HAPPEN AGAIN.- SO I GUESS THERE IS NO OTHER SOLUTION.,1/9/14,0
161340,The headphone jack placement ruins this phone,Amazon Customer,R32GPCGZB5QQ45,"I am giving the iPhone 5s one star for one reason only: the headphone jack on the bottom of the phone.  Apparently a lot of people like this feature.  But a lot of people also like 2 and a Half Men and CSI.  My point is, a lot of people are idiots.Seriously, this phone makes me irrationally angry each and every time I try to use headphones with it.  If I am working out, I have to set the phone upside down on the machine as I run.  If the phone is in my pocket, I am constantly flipping it over every time I take it out of my pocket.  That is annoying in and of itself, but it also causes the headphone cord to get tangled and shorten when I put it back into my pocket.  Also, it makes it difficult to work on the phone while listening to my headphones.  The cord sticking out from the bottom prevents me from using my pinky to stabilize the phone in my hand.  I almost never dropped my iPhone 4s in over two years that I had it.  I drop the iPhone 5s once a week because it won't let me hold it securely.I realize I should not care this much about a headphone jack.  Maybe some people get used to it.  But that is like getting used to the smell of a dead animal in your house.  The feature sucks and it makes the entire phone suck.  I would not buy an iPhone 5s if I had it to do over again.",1/18/14,0
168697,Awesome phone but...,E,R31PMWQXHIL9L4,As soon as I turned it on I noticed that the touchscreen response was inaccurate. I was getting phantom touches. Otherwise the phone is beautiful aside from the fact that it is pretty much impossible to use.,1/9/14,0
181336,bad phone,izella robinson,R1TFTT7X6TTVBE,because the screen went white what wrong with that picture they sold me a lemon i dontthink the phone was any good,1/20/14,0
127376,Not Good at All,Scarleth,R1LT7MDEF1PS6E,this cellphones after the first day they start to give problems plus they contain lithium on the battery and if you try to return the equipment they don't want to taket it back and if they do after 20 day they complain of not receive the equipment and you loose your money .,1/1/14,0
107469,Phone stopped working,kimberly jaroszewski,R13WDUUR2VXCIG,Bought this phone for a friend in September. It is less than 4 months old and the phone stopped working.  It keeps shutting off and will not stay on even when reset to original factory settings.,1/2/14,0
180018,its already broken and haven't had it a month.,Lynn Choate,R10BJJTB6RLD6W,"Well we set the phone up. At first it was just so so so slow when u got on the internet. The the batteries started messing up now the wont charge, either one of them. Now it wont even read that it has a similar card in it. I want to either return it or get my money back. We haven't even had it a month.",1/21/14,0
88375,Not a great choice,MASINALI,R27D5Y11WPG515,"After just 4 months, I have replaced this phone with Galaxy Note 3. I love the Samsung galaxy Note and now have had all three versions. I actually have been very happy with this product as long as it is factory unlocked but this phone was the AT&T; unlocked version and had lots of issues. Worst part was the interference by AT&T; and it has been the slowest of any of the trree I have had. As I need the phone for business, speed is important. I would certainly recommend the Galaxy Note, just not this phone!!!",1/1/14,0
21795,Dont do it!,april,R3FRNS3WH35UZL,I know that these are good working phones because I have previously owned one. within six hours of me opening and activating the phone dies and I cannot get it to charge again. all the phone will do is have a blank screen and blink. I tried everything possible to get it to possibly start working again and nothing works. if you ask me this is all a scam and I wouldn't waste your money!!!!,1/3/14,0
160781,I am not satisfied with the product,Monica Heredia,R3MQ3FY4PWPQFM,"I am not satisfied with the iPhone 5s, because I bought an unlocked iPhone but the one that I recieved is not unlocked, I am not any more in the US, could you tell me how Will you solve this problem.In despiste of your decision, I want yo tell you I am completely not satisfied with the product.",1/7/14,0
97271,Symbian is so far past it's prime,OyVeyzMeir Jeff,R10R56P69EY6WV,"I wanted to love this. I was ready to go back to Symbian just for the camera. Except... it's impossible! So much of what we do now is about the software we run vs the phones and OS we use... and Symbian quite obviously predates that sea-change. It tries... but is obviously a kludge between what was and what is, and feels it. Not to mention the cellular radio doesn't like HSPA and the phone locks up at random. Cool pocket camera I suppose but then again so are any of the far more capable dedicated pocket cameras out there.",1/2/14,0
46083,Not as desribed.,Stacy,R3HNI5MVNBK4G9,"I received the phone on time. But I received it nt as described. It said that it was used but in very good condition. That is not how it came. It had alot of scraches, it felt like it had been in the sand, & all the contacts were still on the phone.",1/7/14,0
54135,unlock it costs more than the phone.,Wilson Mateo,R3F7405Z3WENJ5,Really regret making this purchase. I CHARGE $ 150 for unlock. This can not be. Now I have to use the phone only for calls because I can not update it or pay $ 150 to unlock it.,1/14/14,0
