seq   loan_status loan_amnt grade home_ownership annual_inc age emp_cat  ir_cat
20417           1     12000     A       MORTGAGE   80000.00  25    0-15     0-8
4583            1     12000     D       MORTGAGE   44004.00  27    0-15   13.5+
5466            1      3200     D           RENT   60000.00  22    0-15   13.5+
24741           1      4000     B       MORTGAGE   60000.00  22    0-15 11-13.5
4471            1     10000     D            OWN   36000.00  36    0-15   13.5+
18388           1     10500     D           RENT   50000.00  30    0-15   13.5+
6642            1     14500     A       MORTGAGE   76500.00  26    0-15     0-8
6429            1      4000     D       MORTGAGE   25344.00  24    0-15   13.5+
17109           1      6250     C            OWN   14400.00  21    0-15   13.5+
23150           1      4750     E       MORTGAGE   31200.00  25    0-15 Missing
14757           1      2900     B       MORTGAGE   70992.00  24    0-15    8-11
27463           1      7000     B           RENT   50004.00  21    0-15 11-13.5
3077            1      3500     B           RENT   55000.00  32    0-15    8-11
17131           1      4800     D           RENT   75000.00  24    0-15   13.5+
26238           1      6500     D       MORTGAGE   73000.00  26    0-15   13.5+
172             1      7200     A           RENT   68000.00  23    0-15     0-8
5717            1     28000     C       MORTGAGE  160000.00  27    0-15 11-13.5
6629            1     11200     D           RENT   26000.00  22    0-15   13.5+
17582           1      7400     E       MORTGAGE   35004.00  21    0-15   13.5+
13951           1     14000     A       MORTGAGE   42000.00  21    0-15     0-8
3146            1      1200     B           RENT   20000.00  29    0-15 11-13.5
5656            1      4000     A           RENT   50582.00  22    0-15     0-8
21907           1     20000     C       MORTGAGE   65000.00  34    0-15 Missing
26278           1      5000     C           RENT   58106.00  41    0-15 11-13.5
8094            1      1000     B       MORTGAGE   38000.00  23 Missing    8-11
11222           1     16300     D       MORTGAGE   62664.00  28    0-15   13.5+
10460           1      5600     B           RENT   30000.00  38    0-15    8-11
21024           1      7000     A       MORTGAGE  113000.00  24    0-15 Missing
6523            1      4000     D           RENT   18720.00  23    0-15   13.5+
22787           1     10000     B           RENT   30000.00  23    0-15 11-13.5
18652           1      5000     D           RENT   59000.00  26    0-15   13.5+
20998           1      8000     B       MORTGAGE   55000.00  22    0-15    8-11
7166            1      4475     D           RENT   13200.00  29    0-15   13.5+
25362           1      5000     C            OWN   30000.00  31    0-15 11-13.5
29016           1      8000     D       MORTGAGE   70000.00  26    0-15 11-13.5
18437           1      8000     B           RENT   60000.00  25    0-15 11-13.5
10355           1      1800     C       MORTGAGE   48000.00  23    0-15 11-13.5
5112            1      6000     D           RENT   32124.00  23 Missing   13.5+
7219            1      4000     E            OWN   68400.00  25    0-15   13.5+
6607            1      7200     B       MORTGAGE   50000.00  22   15-30 Missing
24701           1      6000     B           RENT   56000.00  23    0-15 11-13.5
24144           1      2650     A           RENT   10000.00  31   15-30     0-8
15418           1     25000     F       MORTGAGE   80000.00  36   15-30   13.5+
26073           1     15000     A           RENT  140000.00  29    0-15    8-11
12788           1     10000     E           RENT  100000.00  25    0-15   13.5+
16907           1     15000     B           RENT   60000.00  33   15-30 11-13.5
7944            1     30000     D       MORTGAGE  120000.00  39    0-15   13.5+
27953           1      7500     B           RENT   22596.00  22    0-15    8-11
2911            1      7500     B       MORTGAGE   50000.00  24    0-15 11-13.5
13898           1      4000     C           RENT   45600.00  28    0-15 11-13.5
23799           1      4000     C           RENT   26000.00  23    0-15 11-13.5
23429           1     14600     D            OWN   97000.00  29    0-15   13.5+
23917           1     25000     D           RENT  125000.00  29    0-15   13.5+
558             1     14125     B       MORTGAGE   45696.00  22 Missing 11-13.5
9995            1      6000     D           RENT   55000.00  21    0-15   13.5+
22919           1      7000     D       MORTGAGE   43800.00  26    0-15   13.5+
24514           1     10300     A           RENT   29856.00  23    0-15    8-11
28130           1      7500     B       MORTGAGE   81000.00  33    0-15    8-11
21564           1      9000     C           RENT   26000.00  22    0-15 11-13.5
26712           1     10000     D           RENT   60000.00  23    0-15   13.5+
12472           1      1500     B           RENT   30000.00  28 Missing    8-11
11795           1      3600     B           RENT   33000.00  25    0-15    8-11
9738            1      1000     D           RENT   36000.00  70    0-15   13.5+
28433           1     20000     C           RENT   65000.00  23   15-30 11-13.5
1459            1      7000     B           RENT   22776.00  25 Missing    8-11
20110           1      3500     C           RENT   30000.00  22    0-15   13.5+
2284            1      7200     B           RENT   45000.00  27    0-15    8-11
13449           1     25000     C       MORTGAGE   79000.00  62   15-30 11-13.5
7726            1     11500     B           RENT   40000.00  23    0-15 11-13.5
1221            1     15000     F           RENT   67000.00  28    0-15 Missing
15538           1      5000     A           RENT   14400.00  23    0-15     0-8
3328            1      1500     B           RENT   32304.00  24   15-30    8-11
24893           1     20000     C           RENT  105000.00  23    0-15 11-13.5
11353           1      5600     B       MORTGAGE   90000.00  37    0-15    8-11
26988           1      4000     C           RENT   60000.00  26    0-15 11-13.5
11499           1      3000     B           RENT   42000.00  22    0-15    8-11
20614           1      9250     C           RENT   27120.00  22    0-15 11-13.5
3368            1     35000     D            OWN  100000.00  23    0-15   13.5+
24489           1     10000     C       MORTGAGE   47000.00  22    0-15   13.5+
14734           1      2050     B           RENT   30000.00  31    0-15    8-11
18491           1     12800     D       MORTGAGE  141996.00  27    0-15   13.5+
20834           1     14500     C           RENT   43200.00  25    0-15   13.5+
28056           1      5050     C       MORTGAGE   62000.00  28    0-15 11-13.5
6014            1      3000     D           RENT   51996.00  22    0-15   13.5+
27553           1     20000     C           RENT   52000.00  25    0-15 11-13.5
15895           1     11400     A           RENT   35000.00  31    0-15     0-8
14533           1      3500     C       MORTGAGE   65000.00  32    0-15   13.5+
2963            1      7500     A           RENT   50000.00  21    0-15     0-8
4535            1      6100     A       MORTGAGE   50000.00  23    0-15 Missing
5889            1      9000     A           RENT   39359.00  23    0-15 Missing
10070           1     12000     D       MORTGAGE   60000.00  27    0-15   13.5+
27501           1     10800     C           RENT   39288.00  28    0-15 11-13.5
17364           1      9800     D       MORTGAGE   74500.00  23   30-45   13.5+
12557           1      4800     B           RENT   31200.00  22 Missing    8-11
19744           1      5000     D           RENT   39996.00  24    0-15   13.5+
8439            1     25475     B           RENT   60000.00  22    0-15    8-11
23335           1     15000     B       MORTGAGE   84000.00  24    0-15 Missing
442             1      7700     D           RENT   29772.96  23    0-15   13.5+
26917           1     10000     B           RENT   68496.00  22    0-15 11-13.5
15409           1     25000     B       MORTGAGE  250000.00  26    0-15    8-11
18797           1     11200     C           RENT   34800.00  31    0-15 11-13.5
26452           1     12000     A       MORTGAGE   69996.00  24    0-15 Missing
163             1     15075     C           RENT   35000.00  31    0-15 Missing
20993           1     15000     D       MORTGAGE   66000.00  26    0-15   13.5+
995             1      2575     C           RENT   44420.00  35    0-15   13.5+
21816           1     20500     G            OWN   69000.00  34    0-15   13.5+
15434           1     10000     C            OWN   30000.00  24    0-15 11-13.5
13597           1      7000     B       MORTGAGE   73000.00  23   15-30    8-11
2633            1      8000     C           RENT   31000.00  26    0-15   13.5+
24629           1      7550     C       MORTGAGE   36297.00  21    0-15 11-13.5
3360            1      4200     B           RENT   56650.00  30    0-15    8-11
3058            1      3000     A           RENT   62400.00  29    0-15     0-8
28782           1     16000     D           RENT   91200.00  24    0-15 11-13.5
26403           1      5000     D           RENT  107028.00  35    0-15   13.5+
24404           1     10000     B           RENT   40000.00  29    0-15 11-13.5
22145           1      3600     C       MORTGAGE  207000.00  29    0-15   13.5+
365             1     16000     A           RENT   51000.00  51    0-15     0-8
2281            1     13650     D       MORTGAGE   57600.00  27    0-15   13.5+
23976           1     11525     C           RENT   30000.00  43    0-15   13.5+
4515            1     15000     B           RENT   40000.00  23    0-15 11-13.5
9123            1      9000     D           RENT   38400.00  28    0-15   13.5+
22669           1     13000     C           RENT   36000.00  23    0-15   13.5+
25469           1      8400     C       MORTGAGE   94000.00  44    0-15 11-13.5
9324            1      8875     B       MORTGAGE   37000.00  35    0-15 11-13.5
17251           1     12250     C           RENT   35000.00  21    0-15   13.5+
15015           1      2500     B           RENT   19968.00  31    0-15    8-11
25644           1     21000     E           RENT   93000.00  26   15-30   13.5+
15113           1      2800     A           RENT   14400.00  22    0-15     0-8
6257            1      4200     B           RENT   60000.00  23    0-15    8-11
5326            1      8000     A           RENT   38000.00  35   15-30     0-8
25160           1     21600     B           RENT   90000.00  22    0-15 11-13.5
20887           1     10000     B           RENT   43200.00  53    0-15    8-11
15486           1     10000     A            OWN  123996.00  25    0-15     0-8
18167           1      5000     A           RENT   40000.00  45    0-15 Missing
142             1     16000     B           RENT   58500.00  22    0-15 11-13.5
26800           1     20000     D           RENT   82042.00  23    0-15   13.5+
10467           1      6250     C       MORTGAGE   86000.00  36    0-15 11-13.5
4530            1      3500     A       MORTGAGE   86964.00  23    0-15     0-8
7868            1      8450     A       MORTGAGE   98400.00  26    0-15     0-8
812             1      5000     A           RENT   84855.00  29 Missing     0-8
13204           1      7000     A           RENT   42000.00  33    0-15     0-8
18697           1      8000     B            OWN   40000.00  25    0-15    8-11
9585            1      9600     C       MORTGAGE  130000.00  45    0-15   13.5+
28937           1      6800     C           RENT   51000.00  33    0-15 11-13.5
4427            1      6000     B            OWN   68000.00  25    0-15 11-13.5
13126           1      2375     B           RENT    9600.00  21 Missing    8-11
26953           1      7500     C           RENT   26300.00  38    0-15 11-13.5
12893           1     10000     E           RENT   19896.00  37    0-15   13.5+
15623           1      1200     C       MORTGAGE   48000.00  29    0-15 11-13.5
28437           1     15000     C       MORTGAGE   67200.00  32    0-15 11-13.5
16014           1      9925     D       MORTGAGE   63655.00  24    0-15   13.5+
3887            1      5000     B           RENT   57000.00  26   15-30 11-13.5
23733           1     19975     C           RENT  125000.00  28    0-15   13.5+
15127           1     13775     C           RENT   32878.00  40    0-15 11-13.5
11195           1      2400     A           RENT   41000.00  28    0-15     0-8
13632           1     20000     F           RENT   62000.00  28    0-15   13.5+
19301           1      1700     A       MORTGAGE   84000.00  25    0-15     0-8
19492           1     15000     C       MORTGAGE  135000.00  28    0-15   13.5+
28987           1      2100     D           RENT   12500.00  30    0-15 11-13.5
16069           1      1500     B           RENT   24000.00  31    0-15 11-13.5
23994           1     10000     C            OWN   72000.00  29    0-15 Missing
9814            1      9600     D           RENT   60000.00  25    0-15   13.5+
4071            1      3100     A       MORTGAGE   32000.00  29    0-15     0-8
12879           1     13500     C           RENT   37000.00  24   15-30 11-13.5
664             1      2200     B           RENT   26004.00  23    0-15    8-11
28085           1      7500     D       MORTGAGE   55000.00  58   30-45   13.5+
16301           1      8000     D           RENT   70000.00  22    0-15   13.5+
23755           1     13000     C           RENT   24000.00  21    0-15 11-13.5
15300           1      5000     C       MORTGAGE   41000.00  23    0-15 11-13.5
25678           1      7000     C           RENT   14400.00  29    0-15 11-13.5
28110           1     25000     D       MORTGAGE   64000.00  26    0-15   13.5+
11397           1      3000     B           RENT   43000.00  22    0-15 11-13.5
15615           1      2500     B       MORTGAGE   32400.00  28 Missing    8-11
11271           1      5000     C           RENT   36000.00  23    0-15   13.5+
5704            1      7550     C           RENT   20400.00  24    0-15   13.5+
24465           1     10000     B           RENT   35004.00  34    0-15 11-13.5
20326           1      4600     D           RENT   58000.00  23    0-15   13.5+
11301           1     10625     C            OWN   25000.00  37    0-15 11-13.5
25694           1      7000     C           RENT   45000.00  27    0-15   13.5+
2080            1      8000     C           RENT   33000.00  28    0-15   13.5+
9               1     10000     B           RENT  100000.00  28    0-15    8-11
25453           1     10800     A           RENT   35000.00  34    0-15    8-11
24924           1     15000     B           RENT   91000.00  25    0-15 11-13.5
28981           1      3000     D           RENT   29120.00  48    0-15 11-13.5
10495           1      3600     D           RENT   21112.00  27    0-15   13.5+
18852           1      6000     B           RENT   81000.00  27    0-15 11-13.5
2977            1      8000     B           RENT   50000.00  29    0-15 11-13.5
2523            1      2800     A       MORTGAGE   52800.00  36   15-30     0-8
24553           1     12000     D          OTHER   65000.00  22    0-15 Missing
27741           1      9500     A           RENT   55000.00  29    0-15 Missing
27041           1     14000     C       MORTGAGE   87000.00  30    0-15   13.5+
393             1      4000     B           RENT   30000.00  27    0-15 11-13.5
28771           1      3250     A            OWN   36000.00  22    0-15     0-8
23969           1     10000     A       MORTGAGE   86807.00  46    0-15    8-11
15684           1     25000     B            OWN   80004.00  24    0-15    8-11
11067           1     12000     B           RENT   36000.00  26    0-15 11-13.5
17278           1      2500     A           RENT   51873.00  23    0-15 Missing
13858           1     23000     A       MORTGAGE   98000.00  27    0-15     0-8
973             1      5000     B           RENT   30000.00  24    0-15 11-13.5
7057            1      4000     A       MORTGAGE   35000.00  36    0-15    8-11
28117           1      6600     B       MORTGAGE   47000.00  24    0-15    8-11
1194            1      3000     A           RENT   61160.00  24    0-15    8-11
24138           1      5000     B       MORTGAGE   55000.00  24    0-15 11-13.5
20140           1     19200     B           RENT   77000.00  25    0-15 Missing
20164           1     25000     F       MORTGAGE  123000.00  28    0-15   13.5+
11028           1     13000     B       MORTGAGE   37000.00  33    0-15    8-11
15893           1     25000     D           RENT  190000.00  28    0-15   13.5+
21276           1      8000     B           RENT   46000.00  24    0-15    8-11
18531           1     10000     D           RENT   65000.00  23    0-15   13.5+
24234           1     20000     D           RENT  110000.00  27   15-30   13.5+
4880            1      4000     A           RENT  110000.00  28    0-15     0-8
13110           1      5500     A       MORTGAGE   48000.00  29    0-15     0-8
25113           1     25000     D       MORTGAGE  116736.00  23    0-15   13.5+
22029           1     20000     C       MORTGAGE  140000.00  39    0-15 11-13.5
16759           1     10000     D           RENT   25320.00  42    0-15   13.5+
28908           1      3975     D           RENT   27000.00  29    0-15 11-13.5
3621            1      4800     B       MORTGAGE   69600.00  35    0-15 11-13.5
20311           1     10000     A       MORTGAGE  108000.00  25    0-15     0-8
12195           1     15000     E       MORTGAGE   98000.00  32    0-15   13.5+
16687           1      8000     B           RENT   18000.00  27    0-15    8-11
24347           1     15000     B           RENT   72500.00  23    0-15 11-13.5
177             1     10000     B           RENT   70000.00  22    0-15 11-13.5
27532           1      2500     B       MORTGAGE   69508.00  24   15-30 11-13.5
18301           1      4000     E           RENT  108000.00  32    0-15   13.5+
4361            1      6800     B           RENT   52852.00  23    0-15    8-11
6669            1      2250     A       MORTGAGE   54000.00  25    0-15    8-11
4959            1      4500     C       MORTGAGE   75000.00  25    0-15   13.5+
434             1      5000     D       MORTGAGE   85000.00  33    0-15   13.5+
7769            1      4800     B           RENT   38400.00  32    0-15    8-11
22756           1      2400     C           RENT   28800.00  24    0-15   13.5+
20585           1      1000     D           RENT   12240.00  22    0-15   13.5+
17187           1      6250     A       MORTGAGE   43000.00  24    0-15     0-8
28261           1     18000     B           RENT   52610.00  22    0-15    8-11
9434            1      2000     C           RENT   27600.00  23    0-15   13.5+
14180           1      4500     A           RENT   50000.00  22    0-15     0-8
14173           1     13000     B       MORTGAGE   68000.00  35    0-15    8-11
23543           1     24250     D           RENT  120000.00  29    0-15   13.5+
24540           1     15850     D            OWN   55000.00  31    0-15 Missing
27301           1      1500     C           RENT   44004.00  29    0-15 11-13.5
19916           1     21000     E       MORTGAGE   65600.00  26    0-15   13.5+
17795           1     10000     A       MORTGAGE  135000.00  28    0-15     0-8
6090            1      8500     A       MORTGAGE   60000.00  26   30-45     0-8
28156           1      7675     D            OWN   42994.00  34    0-15   13.5+
6350            1      8400     A           RENT   58576.00  30    0-15     0-8
13060           1      3250     B       MORTGAGE   32000.00  25    0-15    8-11
357             1     15000     D           RENT  110000.00  60    0-15   13.5+
2605            1      6000     A           RENT   37200.00  27    0-15     0-8
22147           1      5000     A       MORTGAGE   75000.00  23    0-15    8-11
15089           1      1200     B           RENT   15000.00  52    0-15 Missing
13058           1      5000     E           RENT   54996.00  31    0-15   13.5+
20835           1     24000     B       MORTGAGE  320000.00  36   15-30    8-11
19134           1      1000     B           RENT   24000.00  21    0-15    8-11
26830           1     12000     A           RENT   43000.00  29    0-15    8-11
16047           1     12000     A       MORTGAGE   26004.00  22   15-30     0-8
9558            1      3450     B           RENT   25000.00  25    0-15 11-13.5
26324           1      9000     C       MORTGAGE   91992.00  37    0-15 Missing
3795            1      6000     B       MORTGAGE   72000.00  24    0-15 11-13.5
6333            1      2500     B           RENT   66072.00  36    0-15 11-13.5
13612           1      2100     E           RENT   60000.00  24   15-30   13.5+
28932           1     25000     B       MORTGAGE  616000.00  28    0-15    8-11
15630           1      7000     B           RENT   62500.00  29    0-15 Missing
29018           1      2125     F       MORTGAGE   96000.00  25    0-15   13.5+
25132           1     10000     A       MORTGAGE   43700.00  23    0-15    8-11
845             1     15000     C           RENT   70000.00  29    0-15   13.5+
644             1      5000     A       MORTGAGE   66000.00  26    0-15     0-8
1708            1      8000     B           RENT   47000.00  21    0-15    8-11
24229           1     24250     C       MORTGAGE  135000.00  24    0-15 11-13.5
23411           1      2500     C       MORTGAGE   31323.00  31    0-15 11-13.5
7930            1     10000     C           RENT   40000.00  27    0-15 11-13.5
7884            1     12200     B           RENT   42000.00  22    0-15 11-13.5
28614           1     10000     C           RENT   30000.00  33    0-15 11-13.5
18942           1      1400     B           RENT    4080.00  21    0-15 11-13.5
25542           1      5000     G       MORTGAGE   52000.00  26    0-15   13.5+
425             1      8575     D       MORTGAGE   32000.00  28 Missing   13.5+
18822           1      8000     A       MORTGAGE   54000.00  31    0-15     0-8
18796           1     14000     A           RENT   30548.00  27    0-15     0-8
18184           1      3000     C           RENT   45996.00  24    0-15 Missing
21954           1      3800     D            OWN   20400.00  22    0-15 Missing
28253           1      3300     C           RENT   18000.00  33    0-15 11-13.5
11941           1     10000     B           RENT   60000.00  24    0-15    8-11
25849           1     20000     B       MORTGAGE   48100.00  27    0-15 11-13.5
10066           1      1600     C            OWN   57068.00  26    0-15   13.5+
15929           1     18000     B       MORTGAGE  550000.00  40    0-15 11-13.5
19287           1      8000     C           RENT   42000.00  25    0-15 11-13.5
5879            1     10000     B       MORTGAGE   80000.00  30    0-15 Missing
23163           1     11200     B       MORTGAGE   35000.00  26    0-15 11-13.5
22504           1      3500     B            OWN   25788.36  22    0-15 11-13.5
8897            1      2000     E       MORTGAGE   72000.00  39   15-30   13.5+
3849            1      2000     A           RENT   18000.00  25    0-15     0-8
20573           1      3000     E           RENT   44000.00  42    0-15   13.5+
25750           1     15000     F           RENT  180000.00  28    0-15   13.5+
4651            1      4800     C           RENT   48000.00  26    0-15   13.5+
24155           1     20000     E       MORTGAGE  200000.00  26    0-15   13.5+
4218            1      2000     C       MORTGAGE   33000.00  21    0-15   13.5+
7838            1     12000     A           RENT   31800.00  22 Missing     0-8
433             1     11000     A       MORTGAGE   80000.00  26    0-15     0-8
12380           1      4200     D       MORTGAGE   38496.00  26    0-15   13.5+
25494           1      4000     C       MORTGAGE   67464.00  21   15-30 Missing
9636            1      4500     A       MORTGAGE   48000.00  30     45+     0-8
14219           1      7000     C           RENT   60000.00  45    0-15 Missing
14803           1     10000     D           RENT   45000.00  23    0-15   13.5+
2596            1     12000     B       MORTGAGE   72000.00  30    0-15 11-13.5
10410           1      9000     A       MORTGAGE   91200.00  30    0-15    8-11
18707           1      4000     B       MORTGAGE   75000.00  27    0-15 11-13.5
19420           1     12000     B           RENT   72000.00  32    0-15    8-11
16215           1     11000     C            OWN  100000.00  28    0-15   13.5+
21755           1      8000     C           RENT   42000.00  27    0-15   13.5+
16981           1      3000     D       MORTGAGE   80000.00  29    0-15   13.5+
2100            1     16000     B            OWN   72000.00  24 Missing 11-13.5
20409           1     13000     B           RENT   76000.00  29    0-15    8-11
25343           1     20000     C           RENT   82654.60  22    0-15   13.5+
11495           1     24175     B       MORTGAGE   95000.00  23    0-15 11-13.5
11521           1      3000     C       MORTGAGE  108000.00  27    0-15   13.5+
8903            1     10000     A       MORTGAGE   57000.00  27    0-15     0-8
11801           1      3000     C           RENT   30857.00  34    0-15 11-13.5
18195           1      5000     D           RENT   40000.00  35    0-15   13.5+
18120           1      3600     C       MORTGAGE   98000.00  33    0-15   13.5+
4480            1      2500     B       MORTGAGE   32000.00  21    0-15 11-13.5
26454           1      3000     D           RENT   60000.00  34    0-15   13.5+
18566           1      3500     B           RENT   45000.00  23    0-15 11-13.5
21699           1     25000     E       MORTGAGE  180000.00  24    0-15   13.5+
26963           1     10000     A           RENT   78996.00  46    0-15    8-11
11345           1      4500     D           RENT   21600.00  23    0-15   13.5+
17935           1      7000     E           RENT   77520.00  52    0-15   13.5+
12689           1     12000     B       MORTGAGE   69996.00  23    0-15 11-13.5
27363           1      7500     C           RENT   36000.00  35    0-15 Missing
28473           1     15000     B       MORTGAGE   65000.00  29    0-15    8-11
1918            1      9000     B           RENT   51000.00  37    0-15 11-13.5
4470            1      8000     A       MORTGAGE   36000.00  26 Missing     0-8
24692           1     15850     E           RENT   56000.00  24   15-30   13.5+
5081            1     10000     B           RENT   48000.00  31    0-15 11-13.5
27319           1     12000     B           RENT   70000.00  24    0-15 11-13.5
1232            1      9000     B           RENT   35000.00  23    0-15 11-13.5
8825            1      7000     B       MORTGAGE   69600.00  25   15-30 11-13.5
28728           1      9600     B       MORTGAGE   62000.00  23    0-15    8-11
12202           1     12000     B           RENT   47000.00  25 Missing    8-11
11978           1      7000     A           RENT   58000.00  27   15-30 Missing
28206           1     24000     F       MORTGAGE  105900.00  31    0-15   13.5+
13634           1     10000     F            OWN   35000.00  23 Missing   13.5+
26176           1      2500     E           RENT   32108.00  29    0-15   13.5+
19992           1     15000     C           RENT   49439.00  41 Missing 11-13.5
23206           1     13650     E           RENT   33000.00  25    0-15   13.5+
6700            1      3600     C           RENT   67000.00  25    0-15   13.5+
5298            1      3000     A           RENT   50000.00  26    0-15     0-8
25008           1      1000     C           RENT   12000.00  22    0-15   13.5+
5431            1     10000     C            OWN   34800.00  28    0-15 11-13.5
24634           1      6000     A           RENT   27000.00  31    0-15    8-11
10723           1      6000     C           RENT   31200.00  25    0-15   13.5+
3890            1     18500     A           RENT   85000.00  24    0-15     0-8
27191           1     15000     A          OTHER   70000.00  28    0-15    8-11
3644            1      4000     B           RENT  150000.00  27    0-15 11-13.5
26868           1     16000     E          OTHER   60000.00  23    0-15   13.5+
14406           1      2500     A           RENT   40000.00  30    0-15     0-8
13048           1     14400     C       MORTGAGE   85000.00  26    0-15   13.5+
22124           1      7750     C           RENT   29808.00  37    0-15 Missing
15784           1      4200     D           RENT   22560.00  22    0-15   13.5+
21036           1     16000     C       MORTGAGE   45000.00  24    0-15   13.5+
26128           1      4000     C       MORTGAGE   52000.00  27    0-15 11-13.5
8535            1      6000     B       MORTGAGE   71000.00  21   15-30 Missing
4129            1     12000     C       MORTGAGE   69000.00  26    0-15   13.5+
795             1     11100     C           RENT   45000.00  27    0-15 Missing
7197            1      5500     A       MORTGAGE   45000.00  22 Missing     0-8
17811           1      2500     A       MORTGAGE   33996.00  21    0-15     0-8
8484            1      1500     C           RENT   17000.00  41    0-15   13.5+
26514           1      8500     D       MORTGAGE   54996.00  31    0-15   13.5+
7096            1      6000     C           RENT   38000.00  25    0-15 11-13.5
11267           1      6700     A           RENT   21600.00  21 Missing     0-8
20917           1     22000     C           RENT   49000.00  25   15-30 11-13.5
21314           1     20000     B       MORTGAGE  157000.00  26    0-15    8-11
13800           1     10000     B           RENT   40000.00  23   15-30    8-11
22343           1      6000     D       MORTGAGE   58000.00  22   15-30 Missing
16491           1     10000     C       MORTGAGE   80000.00  23    0-15 Missing
7241            1     10000     B           RENT   36000.00  32 Missing 11-13.5
138             1     15000     D           RENT   42000.00  27   15-30   13.5+
22955           1      5000     B       MORTGAGE   58000.00  23    0-15 11-13.5
2651            1     15600     E       MORTGAGE  148112.00  25   15-30   13.5+
27779           1      7500     D       MORTGAGE  145900.00  25   15-30 11-13.5
25543           1      5000     D           RENT   27000.00  22    0-15 Missing
15753           1      8400     C       MORTGAGE  152004.00  35    0-15 11-13.5
2819            1      7200     B           RENT   31700.00  21    0-15 11-13.5
23726           1     25000     C            OWN   86500.00  31    0-15   13.5+
21912           1     13750     C           RENT   36000.00  32    0-15 11-13.5
28296           1      8000     C           RENT   45000.00  25    0-15 11-13.5
1106            1     15000     B       MORTGAGE   75000.00  22    0-15    8-11
21102           1      4000     A           RENT  100000.00  23    0-15     0-8
28199           1      9700     C           RENT   28000.00  21    0-15 11-13.5
4586            1      5000     A       MORTGAGE   92000.00  30    0-15 Missing
18469           1      5500     C           RENT   60000.00  37    0-15 11-13.5
3853            1     12000     B           RENT   64000.00  22    0-15 Missing
8557            1      7500     D       MORTGAGE   56000.00  23    0-15   13.5+
18659           1      2700     B           RENT   24000.00  23    0-15    8-11
8517            1      9000     C           RENT   45512.00  25    0-15   13.5+
14019           1      5200     A       MORTGAGE   75000.00  25    0-15     0-8
19003           1     10000     B       MORTGAGE  125000.00  23    0-15    8-11
22395           1      5000     A           RENT   30000.00  21    0-15    8-11
3283            1      4000     C           RENT   40000.00  30    0-15 11-13.5
28870           1     25000     C       MORTGAGE   73000.00  25    0-15    8-11
10037           1      4500     A       MORTGAGE   28000.00  26    0-15 Missing
15277           1     10000     B           RENT   45600.00  24    0-15    8-11
7753            1      5000     B           RENT   24000.00  31    0-15    8-11
17630           1      7000     B           RENT   62400.00  30    0-15 11-13.5
14765           1     10000     D           RENT   72000.00  30    0-15   13.5+
22821           1     12500     A       MORTGAGE  180952.00  23    0-15    8-11
7827            1     28000     B           RENT  120000.00  22   15-30 Missing
