"STATE","ZIP_CODE","CUSTOMER_NBR","SHOPPER_SEGMENT_CODE","city","latitude","longitude","timezone"
"AK","99723",45936,0,"Barrow",71.299525,-156.74891,"US/Alaska"
"AK","99723",221745,3,"Barrow",71.299525,-156.74891,"US/Alaska"
"AK","99739",211262,0,"Elim",64.620513,-162.27718,"US/Alaska"
"AK","99744",576160,4,"Anderson",64.349263,-149.19265,"US/Alaska"
"AK","99760",423459,0,"Nenana",64.560888,-149.07674,"US/Alaska"
"AK","99762",312927,1,"Nome",64.532616,-165.10883,"US/Alaska"
"AK","99801",416495,1,"Juneau",58.358599,-134.54749,"US/Alaska"
"AK","99801",444411,3,"Juneau",58.358599,-134.54749,"US/Alaska"
"AK","99827",281847,4,"Haines",59.279037,-135.6122,"US/Alaska"
"AK","99833",516776,4,"Petersburg",56.784206,-132.97354,"US/Alaska"
"AK","99833",63834,4,"Petersburg",56.784206,-132.97354,"US/Alaska"
"AK","99835",605020,3,"Sitka",57.064376,-135.3227,"US/Alaska"
"AK","99835",155178,0,"Sitka",57.064376,-135.3227,"US/Alaska"
"AK","99835",714842,0,"Sitka",57.064376,-135.3227,"US/Alaska"
"AK","99835",237492,5,"Sitka",57.064376,-135.3227,"US/Alaska"
"AK","99840",19421,3,"Skagway",59.465159,-135.31355,"US/Alaska"
"AK","99919",93634,1,"Thorne Bay",55.677232,-132.55624,"US/Alaska"
"AK","99921",98967,3,"Craig",55.456449,-133.02648,"US/Alaska"
"AK","99921",617014,2,"Craig",55.456449,-133.02648,"US/Alaska"
"AK","99928",271731,5,"Ward Cove",55.395359,-131.67537,"US/Alaska"
"AK","99929",159583,2,"Wrangell",56.409507,-132.33822,"US/Alaska"
"AL","35007",439344,0,"Alabaster",33.232422,-86.80871,"CST"
"AL","35071",168486,1,"Gardendale",33.67933,-86.8206,"CST"
"AL","35126",102933,0,"Pinson",33.728568,-86.66052,"CST"
"AL","35071",610965,4,"Gardendale",33.67933,-86.8206,"CST"
"AL","35005",613809,1,"Adamsville",33.592585,-86.95969,"CST"
"AL","35211",388880,0,"Birmingham",33.479306,-86.85878,"CST"
"AL","35007",694674,2,"Alabaster",33.232422,-86.80871,"CST"
"AL","35160",163967,1,"Talladega",33.415449,-86.10908,"CST"
"AL","35023",356712,4,"Bessemer",33.443039,-87.0193,"CST"
"AL","35216",132623,3,"Birmingham",33.420558,-86.78489,"CST"
"AL","35124",83662,1,"Pelham",33.317471,-86.78726,"CST"
"AL","35125",5633,4,"Pell City",33.606663,-86.28912,"CST"
"AL","35124",231615,5,"Pelham",33.317471,-86.78726,"CST"
"AL","35217",474541,2,"Birmingham",33.590003,-86.76708,"CST"
"AL","35023",121547,1,"Bessemer",33.443039,-87.0193,"CST"
"AL","35211",297516,0,"Birmingham",33.479306,-86.85878,"CST"
"AL","35216",181316,0,"Birmingham",33.420558,-86.78489,"CST"
"AL","35064",262774,0,"Fairfield",33.476908,-86.91684,"CST"
"AL","35242",315295,3,"Birmingham",33.409582,-86.69684,"CST"
"AL","35209",494790,2,"Birmingham",33.468306,-86.80814,"CST"
"AL","35217",53792,4,"Birmingham",33.590003,-86.76708,"CST"
"AL","35217",482280,0,"Birmingham",33.590003,-86.76708,"CST"
"AL","35210",561332,2,"Birmingham",33.546051,-86.66963,"CST"
"AL","35215",425783,3,"Birmingham",33.636102,-86.69506,"CST"
"AL","35236",254056,5,"Birmingham",33.544622,-86.929208,"CST"
"AL","35077",356131,3,"Hanceville",34.043589,-86.80644,"CST"
"AL","35210",223490,4,"Birmingham",33.546051,-86.66963,"CST"
"AL","35243",424651,3,"Birmingham",33.437667,-86.74586,"CST"
"AL","35071",33028,3,"Gardendale",33.67933,-86.8206,"CST"
"AL","35064",601189,3,"Fairfield",33.476908,-86.91684,"CST"
"AL","35216",551728,5,"Birmingham",33.420558,-86.78489,"CST"
"AL","35210",550249,3,"Birmingham",33.546051,-86.66963,"CST"
"AL","35216",302549,0,"Birmingham",33.420558,-86.78489,"CST"
"AL","35071",309776,4,"Gardendale",33.67933,-86.8206,"CST"
"AL","35077",397393,1,"Hanceville",34.043589,-86.80644,"CST"
"AL","35064",148434,1,"Fairfield",33.476908,-86.91684,"CST"
"AL","35080",6480,4,"Helena",33.280625,-86.88411,"CST"
"AL","35023",38970,4,"Bessemer",33.443039,-87.0193,"CST"
"AL","35242",388703,2,"Birmingham",33.409582,-86.69684,"CST"
"AL","35243",41421,5,"Birmingham",33.437667,-86.74586,"CST"
"AL","35016",145126,2,"Arab",34.323715,-86.49278,"CST"
"AL","35244",156478,0,"Birmingham",33.356981,-86.81577,"CST"
"AL","35126",135205,0,"Pinson",33.728568,-86.66052,"CST"
"AL","35216",490692,0,"Birmingham",33.420558,-86.78489,"CST"
"AL","35057",146283,1,"Cullman",34.139198,-86.92449,"CST"
"AL","35058",556056,3,"Cullman",34.223732,-86.7562,"CST"
"AL","35061",748770,1,"Dolomite",33.462541,-86.95736,"CST"
"AL","35216",136857,0,"Birmingham",33.420558,-86.78489,"CST"
"AL","35023",15847,4,"Bessemer",33.443039,-87.0193,"CST"
"AL","35215",160777,0,"Birmingham",33.636102,-86.69506,"CST"
"AL","35022",323944,4,"Bessemer",33.346817,-86.95252,"CST"
"AL","35022",550274,5,"Bessemer",33.346817,-86.95252,"CST"
"AL","35115",83575,2,"Montevallo",33.114972,-86.8738,"CST"
"AL","35242",2676,4,"Birmingham",33.409582,-86.69684,"CST"
"AL","35406",159145,0,"Tuscaloosa",33.271585,-87.50611,"CST"
"AL","35160",158370,0,"Talladega",33.415449,-86.10908,"CST"
"AL","35126",701555,3,"Pinson",33.728568,-86.66052,"CST"
"AL","35126",72503,2,"Pinson",33.728568,-86.66052,"CST"
"AL","35216",433754,3,"Birmingham",33.420558,-86.78489,"CST"
"AL","35242",737972,0,"Birmingham",33.409582,-86.69684,"CST"
"AL","35215",339832,1,"Birmingham",33.636102,-86.69506,"CST"
"AL","35062",244519,3,"Dora",33.731278,-87.0361,"CST"
"AL","35080",578225,5,"Helena",33.280625,-86.88411,"CST"
"AL","35128",672009,0,"Pell City",33.561597,-86.30285,"CST"
"AL","35136",577860,0,"Rockford",32.8697,-86.2822,"CST"
"AL","35236",3427,4,"Birmingham",33.544622,-86.929208,"CST"
"AL","35473",6129,0,"Northport",33.260567,-87.58945,"CST"
"AL","35474",218638,2,"Moundville",32.962981,-87.61717,"CST"
"AL","35242",408930,4,"Birmingham",33.409582,-86.69684,"CST"
"AL","35022",347366,4,"Bessemer",33.346817,-86.95252,"CST"
"AL","35447",547766,1,"Carrollton",33.254197,-88.16866,"CST"
"AL","35224",375610,1,"Birmingham",33.517706,-86.93189,"CST"
"AL","35215",100019,3,"Birmingham",33.636102,-86.69506,"CST"
"AL","35453",513272,4,"Cottondale",33.170357,-87.39889,"CST"
"AL","35456",711562,4,"Duncanville",33.068806,-87.43974,"CST"
"AL","35010",635805,3,"Alexander City",32.903432,-85.92669,"CST"
"AL","35111",416071,4,"McCalla",33.279946,-87.10148,"CST"
"AL","35016",306489,0,"Arab",34.323715,-86.49278,"CST"
"AL","35211",696036,0,"Birmingham",33.479306,-86.85878,"CST"
"AL","35016",627824,3,"Arab",34.323715,-86.49278,"CST"
"AL","35016",605637,3,"Arab",34.323715,-86.49278,"CST"
"AL","35211",647210,3,"Birmingham",33.479306,-86.85878,"CST"
"AL","35244",248840,1,"Birmingham",33.356981,-86.81577,"CST"
"AL","35244",400747,5,"Birmingham",33.356981,-86.81577,"CST"
"AL","35215",574330,3,"Birmingham",33.636102,-86.69506,"CST"
"AL","35210",635355,3,"Birmingham",33.546051,-86.66963,"CST"
"AL","35548",659189,0,"Brilliant",34.043457,-87.7594,"CST"
"AL","35020",624732,1,"Bessemer",33.405559,-86.95141,"CST"
"AL","35215",652314,4,"Birmingham",33.636102,-86.69506,"CST"
"AL","35121",731716,0,"Oneonta",33.944897,-86.45813,"CST"
"AL","35579",246818,3,"Oakman",33.673236,-87.37169,"CST"
"AL","35581",124465,1,"Phil Campbell",34.343017,-87.71277,"CST"
"AL","35582",560967,5,"Red Bay",34.448328,-88.12041,"CST"
"AL","35207",650769,3,"Birmingham",33.560652,-86.81897,"CST"
"AL","35582",454128,3,"Red Bay",34.448328,-88.12041,"CST"
"AL","35584",79728,2,"Sipsey",33.823683,-87.08699,"CST"
"AL","35586",712051,4,"Sulligent",33.864591,-88.13117,"CST"
"AL","35209",352107,3,"Birmingham",33.468306,-86.80814,"CST"
"AL","35007",135098,1,"Alabaster",33.232422,-86.80871,"CST"
"AL","35586",99014,1,"Sulligent",33.864591,-88.13117,"CST"
"AL","35592",749132,0,"Vernon",33.752857,-88.0996,"CST"
"AL","35594",390423,5,"Winfield",33.925454,-87.78949,"CST"
"AL","35210",171368,2,"Birmingham",33.546051,-86.66963,"CST"
"AL","35023",62647,1,"Bessemer",33.443039,-87.0193,"CST"
"AL","35470",71008,5,"Livingston",32.558949,-88.12485,"CST"
"AL","35080",686374,5,"Helena",33.280625,-86.88411,"CST"
"AL","35080",173754,1,"Helena",33.280625,-86.88411,"CST"
"AL","35601",253224,4,"Decatur",34.595332,-86.98786,"CST"
"AL","35601",535391,1,"Decatur",34.595332,-86.98786,"CST"
"AL","35601",449004,4,"Decatur",34.595332,-86.98786,"CST"
"AL","35071",144879,0,"Gardendale",33.67933,-86.8206,"CST"
"AL","35205",475470,1,"Birmingham",33.497055,-86.8057,"CST"
"AL","35224",535638,3,"Birmingham",33.517706,-86.93189,"CST"
"AL","35601",511589,3,"Decatur",34.595332,-86.98786,"CST"
"AL","35010",606371,3,"Alexander City",32.903432,-85.92669,"CST"
"AL","35226",687456,0,"Birmingham",33.406409,-86.8295,"CST"
"AL","35011",536611,3,"Alexander City",32.990191,-85.958001,"CST"
"AL","35173",137348,0,"Trussville",33.623485,-86.58546,"CST"
"AL","35226",507332,0,"Birmingham",33.406409,-86.8295,"CST"
"AL","35603",576850,0,"Decatur",34.539072,-86.95732,"CST"
"AL","35603",158354,0,"Decatur",34.539072,-86.95732,"CST"
"AL","35404",641828,4,"Tuscaloosa",33.217168,-87.49461,"CST"
"AL","35016",168949,3,"Arab",34.323715,-86.49278,"CST"
"AL","35221",44669,3,"Birmingham",33.450267,-86.8965,"CST"
"AL","35071",63843,1,"Gardendale",33.67933,-86.8206,"CST"
"AL","35215",363973,1,"Birmingham",33.636102,-86.69506,"CST"
"AL","35235",98551,2,"Birmingham",33.609779,-86.65507,"CST"
"AL","35555",118253,0,"Fayette",33.681768,-87.83026,"CST"
"AL","35555",481154,2,"Fayette",33.681768,-87.83026,"CST"
"AL","35564",500548,1,"Hackleburg",34.262751,-87.83441,"CST"
"AL","35235",377419,3,"Birmingham",33.609779,-86.65507,"CST"
"AL","35235",545008,4,"Birmingham",33.609779,-86.65507,"CST"
"AL","35611",558112,3,"Athens",34.784028,-87.02767,"CST"
"AL","35216",688194,3,"Birmingham",33.420558,-86.78489,"CST"
"AL","35613",431593,0,"Athens",34.808165,-86.89623,"CST"
"AL","35613",485906,0,"Athens",34.808165,-86.89623,"CST"
"AL","35614",474344,1,"Athens",34.860179,-87.06231,"CST"
"AL","35475",24070,4,"Northport",33.388654,-87.57913,"CST"
"AL","35242",476100,0,"Birmingham",33.409582,-86.69684,"CST"
"AL","35242",645458,4,"Birmingham",33.409582,-86.69684,"CST"
"AL","35242",615321,3,"Birmingham",33.409582,-86.69684,"CST"
"AL","35630",620037,3,"Florence",34.817537,-87.66253,"CST"
"AL","35594",323337,5,"Winfield",33.925454,-87.78949,"CST"
"AL","35594",230360,3,"Winfield",33.925454,-87.78949,"CST"
"AL","35594",196248,3,"Winfield",33.925454,-87.78949,"CST"
"AL","35242",283934,5,"Birmingham",33.409582,-86.69684,"CST"
"AL","35633",707817,5,"Florence",34.898897,-87.77379,"CST"
"AL","35633",17051,0,"Florence",34.898897,-87.77379,"CST"
"AL","35633",40824,3,"Florence",34.898897,-87.77379,"CST"
"AL","35633",203751,4,"Florence",34.898897,-87.77379,"CST"
"AL","35242",694644,0,"Birmingham",33.409582,-86.69684,"CST"
"AL","35222",293571,0,"Birmingham",33.524254,-86.77335,"CST"
"AL","35634",731179,5,"Florence",34.888897,-87.60731,"CST"
"AL","35007",654359,1,"Alabaster",33.232422,-86.80871,"CST"
"AL","35226",504442,1,"Birmingham",33.406409,-86.8295,"CST"
"AL","35007",276321,0,"Alabaster",33.232422,-86.80871,"CST"
"AL","35111",415810,3,"McCalla",33.279946,-87.10148,"CST"
"AL","35226",241126,3,"Birmingham",33.406409,-86.8295,"CST"
"AL","35175",380403,1,"Union Grove",34.426844,-86.51841,"CST"
"AL","35016",110889,0,"Arab",34.323715,-86.49278,"CST"
"AL","35645",590437,0,"Killen",34.904208,-87.50776,"CST"
"AL","35226",455542,2,"Birmingham",33.406409,-86.8295,"CST"
"AL","35226",121837,3,"Birmingham",33.406409,-86.8295,"CST"
"AL","35634",510462,3,"Florence",34.888897,-87.60731,"CST"
"AL","35016",711306,0,"Arab",34.323715,-86.49278,"CST"
"AL","35228",13223,4,"Birmingham",33.454262,-86.92273,"CST"
"AL","35650",616141,4,"Moulton",34.496476,-87.27802,"CST"
"AL","35020",531074,4,"Bessemer",33.405559,-86.95141,"CST"
"AL","35405",18838,3,"Tuscaloosa",33.149246,-87.52303,"CST"
"AL","35121",511794,4,"Oneonta",33.944897,-86.45813,"CST"
"AL","35020",111784,2,"Bessemer",33.405559,-86.95141,"CST"
"AL","35660",157931,0,"Sheffield",34.759738,-87.69317,"CST"
"AL","35660",168773,3,"Sheffield",34.759738,-87.69317,"CST"
"AL","35611",744743,0,"Athens",34.784028,-87.02767,"CST"
"AL","35661",303052,0,"Muscle Shoals",34.759947,-87.62705,"CST"
"AL","35661",629560,4,"Muscle Shoals",34.759947,-87.62705,"CST"
"AL","35661",128529,0,"Muscle Shoals",34.759947,-87.62705,"CST"
"AL","35661",722903,3,"Muscle Shoals",34.759947,-87.62705,"CST"
"AL","35661",708707,1,"Muscle Shoals",34.759947,-87.62705,"CST"
"AL","35661",325351,4,"Muscle Shoals",34.759947,-87.62705,"CST"
"AL","35661",152997,0,"Muscle Shoals",34.759947,-87.62705,"CST"
"AL","35670",1302,2,"Somerville",34.481885,-86.7525,"CST"
"AL","35023",379944,0,"Bessemer",33.443039,-87.0193,"CST"
"AL","35023",687228,1,"Bessemer",33.443039,-87.0193,"CST"
"AL","35242",49171,0,"Birmingham",33.409582,-86.69684,"CST"
"AL","35673",96382,3,"Trinity",34.581591,-87.11884,"CST"
"AL","35674",112058,0,"Tuscumbia",34.70017,-87.7142,"CST"
"AL","35674",594732,1,"Tuscumbia",34.70017,-87.7142,"CST"
"AL","35674",96463,1,"Tuscumbia",34.70017,-87.7142,"CST"
"AL","35474",142168,0,"Moundville",32.962981,-87.61717,"CST"
"AL","35211",728456,3,"Birmingham",33.479306,-86.85878,"CST"
"AL","35634",536560,4,"Florence",34.888897,-87.60731,"CST"
"AL","35033",364501,4,"Bremen",33.952939,-87.02889,"CST"
"AL","35475",519760,3,"Northport",33.388654,-87.57913,"CST"
"AL","35476",221638,3,"Northport",33.227736,-87.58819,"CST"
"AL","35476",318818,1,"Northport",33.227736,-87.58819,"CST"
"AL","35640",369165,1,"Hartselle",34.442184,-86.94027,"CST"
"AL","35640",521682,3,"Hartselle",34.442184,-86.94027,"CST"
"AL","35214",73080,0,"Birmingham",33.558772,-86.89199,"CST"
"AL","35043",612305,3,"Chelsea",33.317093,-86.66295,"CST"
"AL","35214",290172,0,"Birmingham",33.558772,-86.89199,"CST"
"AL","35645",372859,0,"Killen",34.904208,-87.50776,"CST"
"AL","35645",464839,0,"Killen",34.904208,-87.50776,"CST"
"AL","35404",586195,0,"Tuscaloosa",33.217168,-87.49461,"CST"
"AL","35016",473658,5,"Arab",34.323715,-86.49278,"CST"
"AL","35205",378353,5,"Birmingham",33.497055,-86.8057,"CST"
"AL","35055",79002,3,"Cullman",34.167893,-86.82506,"CST"
"AL","35055",245634,2,"Cullman",34.167893,-86.82506,"CST"
"AL","35056",705866,1,"Cullman",34.196448,-86.895226,"CST"
"AL","35020",234982,3,"Bessemer",33.405559,-86.95141,"CST"
"AL","35749",442355,0,"Harvest",34.815817,-86.76003,"CST"
"AL","35749",210863,0,"Harvest",34.815817,-86.76003,"CST"
"AL","35749",495535,1,"Harvest",34.815817,-86.76003,"CST"
"AL","35750",737808,5,"Hazel Green",34.948321,-86.58988,"CST"
"AL","35750",247567,3,"Hazel Green",34.948321,-86.58988,"CST"
"AL","35750",574608,0,"Hazel Green",34.948321,-86.58988,"CST"
"AL","35750",654552,0,"Hazel Green",34.948321,-86.58988,"CST"
"AL","35750",188226,1,"Hazel Green",34.948321,-86.58988,"CST"
"AL","35754",535988,4,"Laceys Spring",34.520438,-86.61977,"CST"
"AL","35586",687373,1,"Sulligent",33.864591,-88.13117,"CST"
"AL","35756",743165,1,"Madison",34.630103,-86.80159,"CST"
"AL","35756",96216,4,"Madison",34.630103,-86.80159,"CST"
"AL","35071",176242,1,"Gardendale",33.67933,-86.8206,"CST"
"AL","35756",248886,3,"Madison",34.630103,-86.80159,"CST"
"AL","35210",318810,1,"Birmingham",33.546051,-86.66963,"CST"
"AL","35757",671191,1,"Madison",34.776638,-86.75164,"CST"
"AL","35601",510640,4,"Decatur",34.595332,-86.98786,"CST"
"AL","35601",616356,1,"Decatur",34.595332,-86.98786,"CST"
"AL","35757",599763,0,"Madison",34.776638,-86.75164,"CST"
"AL","35757",603832,3,"Madison",34.776638,-86.75164,"CST"
"AL","35758",555566,0,"Madison",34.715065,-86.73964,"CST"
"AL","35758",141053,0,"Madison",34.715065,-86.73964,"CST"
"AL","35758",560669,5,"Madison",34.715065,-86.73964,"CST"
"AL","35758",196411,1,"Madison",34.715065,-86.73964,"CST"
"AL","35758",603798,0,"Madison",34.715065,-86.73964,"CST"
"AL","35603",714130,0,"Decatur",34.539072,-86.95732,"CST"
"AL","35603",174128,4,"Decatur",34.539072,-86.95732,"CST"
"AL","35226",393333,5,"Birmingham",33.406409,-86.8295,"CST"
"AL","35643",608485,1,"Hillsboro",34.648768,-87.20394,"CST"
"AL","35758",125800,4,"Madison",34.715065,-86.73964,"CST"
"AL","35114",466877,5,"Maylene",33.225377,-86.86443,"CST"
"AL","35114",468154,4,"Maylene",33.225377,-86.86443,"CST"
"AL","35759",318242,3,"Meridianville",34.863236,-86.56137,"CST"
"AL","35115",48026,1,"Montevallo",33.114972,-86.8738,"CST"
"AL","35055",705885,2,"Cullman",34.167893,-86.82506,"CST"
"AL","35215",377456,2,"Birmingham",33.636102,-86.69506,"CST"
"AL","35116",385535,3,"Morris",33.74137,-86.78543,"CST"
