City,Population,Households,PersInHou,Male,Female,SexRatio
대전광역시 대덕구 (3023000000),"199,349","77,379",2.58,"101,387","97,962",1.03
울산광역시  (3100000000),"1,169,768","447,229",2.62,"602,945","566,823",1.06
울산광역시 중구 (3111000000),"241,745","94,073",2.57,"123,617","118,128",1.05
울산광역시 남구 (3114000000),"345,481","133,430",2.59,"176,338","169,143",1.04
울산광역시 동구 (3117000000),"174,903","67,895",2.58,"92,772","82,131",1.13
울산광역시 북구 (3120000000),"190,203","66,723",2.85,"98,278","91,925",1.07
울산광역시 울주군 (3171000000),"217,436","85,108",2.55,"111,940","105,496",1.06
세종특별자치시  (3600000000),"185,212","72,733",2.55,"93,058","92,154",1.01
세종특별자치시  (3611000000),"185,212","72,733",2.55,"93,058","92,154",1.01
경기도  (4100000000),"12,432,063","4,829,521",2.57,"6,256,986","6,175,077",1.01
경기도 수원시 (4111000000),"1,177,851","457,894",2.57,"592,971","584,880",1.01
경기도 수원시 장안구 (4111100000),"300,501","114,938",2.61,"151,051","149,450",1.01
경기도 수원시 권선구 (4111300000),"343,624","133,091",2.58,"173,141","170,483",1.02
경기도 수원시 팔달구 (4111500000),"201,569","87,548",2.3,"101,226","100,343",1.01
경기도 수원시 영통구 (4111700000),"332,157","122,317",2.72,"167,553","164,604",1.02
경기도 성남시 (4113000000),"972,466","389,265",2.5,"483,718","488,748",0.99
경기도 성남시 수정구 (4113100000),"221,336","99,798",2.22,"112,914","108,422",1.04
경기도 성남시 중원구 (4113300000),"250,637","104,951",2.39,"127,087","123,550",1.03
경기도 성남시 분당구 (4113500000),"500,493","184,516",2.71,"243,717","256,776",0.95
경기도 의정부시 (4115000000),"431,149","170,576",2.53,"212,979","218,170",0.98
경기도 안양시 (4117000000),"599,215","223,366",2.68,"298,309","300,906",0.99
경기도 안양시 만안구 (4117100000),"247,111","97,312",2.54,"124,398","122,713",1.01
경기도 안양시 동안구 (4117300000),"352,104","126,054",2.79,"173,911","178,193",0.98
경기도 부천시 (4119000000),"852,220","327,475",2.6,"426,251","425,969",1
경기도 부천시 원미구 (4119500000),"442,854","169,272",2.62,"220,442","222,412",0.99
경기도 부천시 소사구 (4119700000),"224,374","86,716",2.59,"111,631","112,743",0.99
경기도 부천시 오정구 (4119900000),"184,992","71,487",2.59,"94,178","90,814",1.04
경기도 광명시 (4121000000),"346,565","128,507",2.7,"171,729","174,836",0.98
경기도 평택시 (4122000000),"454,231","185,058",2.45,"231,507","222,724",1.04
경기도 동두천시 (4125000000),"97,494","41,771",2.33,"48,637","48,857",1
경기도 안산시 (4127000000),"703,973","283,031",2.49,"360,882","343,091",1.05
경기도 안산시 상록구 (4127100000),"380,882","152,497",2.5,"194,112","186,770",1.04
경기도 안산시 단원구 (4127300000),"323,091","130,534",2.48,"166,770","156,321",1.07
경기도 고양시 (4128000000),"1,015,972","387,074",2.62,"500,004","515,968",0.97
경기도 고양시 덕양구 (4128100000),"432,114","169,527",2.55,"214,927","217,187",0.99
경기도 고양시 일산동구 (4128500000),"284,894","110,919",2.57,"139,284","145,610",0.96
경기도 고양시 일산서구 (4128700000),"298,964","106,628",2.8,"145,793","153,171",0.95
경기도 과천시 (4129000000),"69,922","25,301",2.76,"33,984","35,938",0.95
경기도 구리시 (4131000000),"186,772","71,537",2.61,"93,143","93,629",0.99
경기도 남양주시 (4136000000),"642,958","241,279",2.66,"321,463","321,495",1
경기도 오산시 (4137000000),"207,744","81,114",2.56,"106,442","101,302",1.05
경기도 시흥시 (4139000000),"392,978","155,729",2.52,"206,184","186,794",1.1
경기도 군포시 (4141000000),"288,519","106,609",2.71,"143,624","144,895",0.99
경기도 의왕시 (4143000000),"157,933","58,318",2.71,"78,905","79,028",1
경기도 하남시 (4145000000),"157,007","62,842",2.5,"79,833","77,174",1.03
경기도 용인시 (4146000000),"970,062","351,169",2.76,"482,584","487,478",0.99
경기도 용인시 처인구 (4146100000),"220,985","87,132",2.54,"113,534","107,451",1.06
경기도 용인시 기흥구 (4146300000),"406,765","146,244",2.78,"201,354","205,411",0.98
경기도 용인시 수지구 (4146500000),"342,312","117,793",2.91,"167,696","174,616",0.96
경기도 파주시 (4148000000),"417,353","169,109",2.47,"212,065","205,288",1.03
경기도 이천시 (4150000000),"205,239","80,603",2.55,"104,387","100,852",1.04
경기도 안성시 (4155000000),"181,445","74,214",2.44,"92,643","88,802",1.04
경기도 김포시 (4157000000),"345,128","131,081",2.63,"173,467","171,661",1.01
경기도 화성시 (4159000000),"568,265","214,894",2.64,"293,755","274,510",1.07
경기도 광주시 (4161000000),"305,770","120,929",2.53,"157,334","148,436",1.06
경기도 양주시 (4163000000),"203,695","79,259",2.57,"103,532","100,163",1.03
경기도 포천시 (4165000000),"155,740","67,799",2.3,"81,623","74,117",1.1
경기도 여주시 (4167000000),"110,677","46,628",2.37,"55,948","54,729",1.02
경기도 연천군 (4180000000),"45,333","20,925",2.17,"23,517","21,816",1.08
경기도 가평군 (4182000000),"61,693","28,235",2.18,"31,589","30,104",1.05
경기도 양평군 (4183000000),"106,694","47,930",2.23,"53,977","52,717",1.02
강원도  (4200000000),"1,547,166","680,373",2.27,"780,487","766,679",1.02
강원도 춘천시 (4211000000),"276,834","114,092",2.43,"136,390","140,444",0.97
강원도 원주시 (4213000000),"329,359","136,033",2.42,"163,733","165,626",0.99
강원도 강릉시 (4215000000),"215,089","93,252",2.31,"106,836","108,253",0.99
강원도 동해시 (4217000000),"94,117","40,192",2.34,"47,650","46,467",1.03
강원도 태백시 (4219000000),"47,994","22,404",2.14,"24,382","23,612",1.03
강원도 속초시 (4221000000),"82,079","37,005",2.22,"40,412","41,667",0.97
강원도 삼척시 (4223000000),"71,564","34,975",2.05,"36,408","35,156",1.04
강원도 홍천군 (4272000000),"70,400","31,344",2.25,"35,973","34,427",1.04
강원도 횡성군 (4273000000),"45,573","20,550",2.22,"23,198","22,375",1.04
강원도 영월군 (4275000000),"40,113","19,721",2.03,"20,600","19,513",1.06
강원도 평창군 (4276000000),"43,624","20,493",2.13,"22,295","21,329",1.05
강원도 정선군 (4277000000),"39,284","19,460",2.02,"20,286","18,998",1.07
강원도 철원군 (4278000000),"49,122","21,860",2.25,"26,014","23,108",1.13
강원도 화천군 (4279000000),"26,790","13,433",1.99,"14,989","11,801",1.27
강원도 양구군 (4280000000),"24,283","11,162",2.18,"13,069","11,214",1.17
강원도 인제군 (4281000000),"33,352","15,608",2.14,"18,121","15,231",1.19
강원도 고성군 (4282000000),"30,066","15,485",1.94,"16,109","13,957",1.15
강원도 양양군 (4283000000),"27,523","13,304",2.07,"14,022","13,501",1.04
충청북도  (4300000000),"1,582,181","664,186",2.38,"797,908","784,273",1.02
충청북도 청주시 (4311000000),"832,387","334,276",2.49,"417,505","414,882",1.01
충청북도 청주시 상당구 (4311100000),"178,536","70,873",2.52,"89,037","89,499",0.99
충청북도 청주시 서원구 (4311200000),"222,817","88,212",2.53,"110,729","112,088",0.99
충청북도 청주시 흥덕구 (4311300000),"251,652","101,572",2.48,"126,533","125,119",1.01
충청북도 청주시 청원구 (4311400000),"179,382","73,619",2.44,"91,206","88,176",1.03
충청북도 충주시 (4313000000),"208,173","87,078",2.39,"104,828","103,345",1.01
충청북도 제천시 (4315000000),"136,457","59,718",2.29,"68,421","68,036",1.01
충청북도 보은군 (4372000000),"34,078","15,953",2.14,"17,023","17,055",1
충청북도 옥천군 (4373000000),"52,645","22,990",2.29,"26,477","26,168",1.01
충청북도 영동군 (4374000000),"51,038","23,568",2.17,"25,483","25,555",1
충청북도 증평군 (4374500000),"35,894","15,334",2.34,"18,422","17,472",1.05
충청북도 진천군 (4375000000),"66,685","29,079",2.29,"34,656","32,029",1.08
충청북도 괴산군 (4376000000),"38,027","19,145",1.99,"19,309","18,718",1.03
충청북도 음성군 (4377000000),"95,956","42,496",2.26,"50,280","45,676",1.1
충청북도 단양군 (4380000000),"30,841","14,549",2.12,"15,504","15,337",1.01
충청남도  (4400000000),"2,068,444","878,544",2.35,"1,049,546","1,018,898",1.03
충청남도 천안시 (4413000000),"602,939","246,060",2.45,"306,391","296,548",1.03
충청남도 천안시 동남구 (4413100000),"260,326","106,766",2.44,"131,859","128,467",1.03
충청남도 천안시 서북구 (4413300000),"342,613","139,294",2.46,"174,532","168,081",1.04
충청남도 공주시 (4415000000),"112,282","48,681",2.31,"56,506","55,776",1.01
충청남도 보령시 (4418000000),"104,738","46,402",2.26,"52,928","51,810",1.02
충청남도 아산시 (4420000000),"295,751","121,347",2.44,"151,602","144,149",1.05
충청남도 서산시 (4421000000),"168,415","68,922",2.44,"86,316","82,099",1.05
충청남도 논산시 (4423000000),"124,542","55,829",2.23,"62,267","62,275",1
충청남도 계룡시 (4425000000),"40,052","13,817",2.9,"19,904","20,148",0.99
충청남도 당진시 (4427000000),"164,121","71,376",2.3,"85,875","78,246",1.1
충청남도 금산군 (4471000000),"54,990","24,986",2.2,"27,841","27,149",1.03
충청남도 부여군 (4476000000),"71,388","32,579",2.19,"35,444","35,944",0.99
충청남도 서천군 (4477000000),"57,198","26,640",2.15,"28,151","29,047",0.97
충청남도 청양군 (4479000000),"32,191","14,951",2.15,"16,067","16,124",1
충청남도 홍성군 (4480000000),"92,766","40,051",2.32,"46,287","46,479",1
충청남도 예산군 (4481000000),"84,158","37,398",2.25,"42,214","41,944",1.01
충청남도 태안군 (4482500000),"62,913","29,505",2.13,"31,753","31,160",1.02
전라북도  (4500000000),"1,869,668","778,350",2.4,"930,224","939,444",0.99
전라북도 전주시 (4511000000),"654,138","253,702",2.58,"322,350","331,788",0.97
전라북도 전주시 완산구 (4511100000),"366,172","141,829",2.58,"178,969","187,203",0.96
전라북도 전주시 덕진구 (4511300000),"287,966","111,873",2.57,"143,381","144,585",0.99
전라북도 군산시 (4513000000),"278,441","113,922",2.44,"141,385","137,056",1.03
전라북도 익산시 (4514000000),"302,913","122,364",2.48,"151,186","151,727",1
전라북도 정읍시 (4518000000),"116,576","52,131",2.24,"57,634","58,942",0.98
전라북도 남원시 (4519000000),"85,214","37,119",2.3,"41,768","43,446",0.96
전라북도 김제시 (4521000000),"89,402","41,431",2.16,"44,304","45,098",0.98
전라북도 완주군 (4571000000),"92,155","39,046",2.36,"47,321","44,834",1.06
전라북도 진안군 (4572000000),"26,325","12,531",2.1,"13,168","13,157",1
전라북도 무주군 (4573000000),"25,181","11,723",2.15,"12,451","12,730",0.98
전라북도 장수군 (4574000000),"23,308","10,877",2.14,"11,557","11,751",0.98
전라북도 임실군 (4575000000),"29,580","14,071",2.1,"15,027","14,553",1.03
전라북도 순창군 (4577000000),"29,340","13,483",2.18,"14,223","15,117",0.94
전라북도 고창군 (4579000000),"59,725","28,490",2.1,"29,431","30,294",0.97
전라북도 부안군 (4580000000),"57,370","27,460",2.09,"28,419","28,951",0.98
전라남도  (4600000000),"1,902,638","827,264",2.3,"950,693","951,945",1
전라남도 목포시 (4611000000),"238,210","99,760",2.39,"118,899","119,311",1
전라남도 여수시 (4613000000),"290,638","116,998",2.48,"147,403","143,235",1.03
전라남도 순천시 (4615000000),"277,280","106,473",2.6,"138,273","139,007",0.99
전라남도 나주시 (4617000000),"94,945","44,933",2.11,"47,935","47,010",1.02
전라남도 광양시 (4623000000),"152,296","59,038",2.58,"78,213","74,083",1.06
전라남도 담양군 (4671000000),"46,986","21,845",2.15,"23,676","23,310",1.02
전라남도 곡성군 (4672000000),"30,850","15,060",2.05,"15,050","15,800",0.95
전라남도 구례군 (4673000000),"27,115","12,465",2.18,"13,181","13,934",0.95
전라남도 고흥군 (4677000000),"68,932","34,613",1.99,"33,126","35,806",0.93
전라남도 보성군 (4678000000),"45,393","22,293",2.04,"21,949","23,444",0.94
전라남도 화순군 (4679000000),"66,040","29,307",2.25,"32,476","33,564",0.97
전라남도 장흥군 (4680000000),"41,087","20,068",2.05,"19,916","21,171",0.94
전라남도 강진군 (4681000000),"39,098","18,666",2.09,"18,647","20,451",0.91
전라남도 해남군 (4682000000),"76,500","35,272",2.17,"37,188","39,312",0.95
전라남도 영암군 (4683000000),"58,632","27,349",2.14,"29,953","28,679",1.04
전라남도 무안군 (4684000000),"82,092","34,815",2.36,"41,043","41,049",1
전라남도 함평군 (4686000000),"34,962","17,506",2,"17,314","17,648",0.98
전라남도 영광군 (4687000000),"56,350","25,970",2.17,"28,029","28,321",0.99
전라남도 장성군 (4688000000),"46,071","21,312",2.16,"23,255","22,816",1.02
전라남도 완도군 (4689000000),"53,123","25,444",2.09,"26,489","26,634",0.99
전라남도 진도군 (4690000000),"32,472","15,829",2.05,"15,779","16,693",0.95
전라남도 신안군 (4691000000),"43,566","22,248",1.96,"22,899","20,667",1.11
경상북도  (4700000000),"2,697,791","1,160,150",2.33,"1,354,618","1,343,173",1.01
경상북도 포항시 (4711000000),"517,904","208,397",2.49,"262,235","255,669",1.03
경상북도 포항시 남구 (4711100000),"246,634","101,508",2.43,"126,907","119,727",1.06
경상북도 포항시 북구 (4711300000),"271,270","106,889",2.54,"135,328","135,942",1
경상북도 경주시 (4713000000),"260,590","112,370",2.32,"130,420","130,170",1
경상북도 김천시 (4715000000),"137,030","58,623",2.34,"68,259","68,771",0.99
경상북도 안동시 (4717000000),"168,242","72,013",2.34,"82,937","85,305",0.97
경상북도 구미시 (4719000000),"420,226","167,453",2.51,"214,442","205,784",1.04
경상북도 영주시 (4721000000),"110,246","48,110",2.29,"54,834","55,412",0.99
경상북도 영천시 (4723000000),"100,554","46,720",2.15,"50,580","49,974",1.01
경상북도 상주시 (4725000000),"102,434","45,997",2.23,"50,213","52,221",0.96
경상북도 문경시 (4728000000),"75,577","34,231",2.21,"37,049","38,528",0.96
경상북도 경산시 (4729000000),"255,871","105,475",2.43,"128,800","127,071",1.01
경상북도 군위군 (4772000000),"24,096","12,091",1.99,"12,054","12,042",1
경상북도 의성군 (4773000000),"54,736","27,346",2,"26,649","28,087",0.95
경상북도 청송군 (4775000000),"26,353","13,233",1.99,"13,063","13,290",0.98
경상북도 영양군 (4776000000),"17,984","8,769",2.05,"8,854","9,130",0.97
경상북도 영덕군 (4777000000),"39,364","20,010",1.97,"18,684","20,680",0.9
경상북도 청도군 (4782000000),"43,710","21,313",2.05,"21,368","22,342",0.96
경상북도 고령군 (4783000000),"34,655","16,132",2.15,"17,638","17,017",1.04
경상북도 성주군 (4784000000),"45,383","21,386",2.12,"23,248","22,135",1.05
경상북도 칠곡군 (4785000000),"121,846","52,596",2.32,"63,129","58,717",1.08
경상북도 예천군 (4790000000),"44,893","21,428",2.1,"22,018","22,875",0.96
경상북도 봉화군 (4792000000),"33,821","16,316",2.07,"16,798","17,023",0.99
경상북도 울진군 (4793000000),"51,972","24,776",2.1,"25,828","26,144",0.99
경상북도 울릉군 (4794000000),"10,304","5,365",1.92,"5,518","4,786",1.15
경상남도  (4800000000),"3,356,540","1,356,430",2.47,"1,690,798","1,665,742",1.02
경상남도 창원시 (4812000000),"1,072,222","414,432",2.59,"544,949","527,273",1.03
경상남도 창원시 의창구 (4812100000),"258,719","100,745",2.57,"132,077","126,642",1.04
경상남도 창원시 성산구 (4812300000),"237,307","84,309",2.81,"121,567","115,740",1.05
경상남도 창원시 마산합포구 (4812500000),"181,700","75,269",2.41,"90,604","91,096",0.99
경상남도 창원시 마산회원구 (4812700000),"212,270","83,276",2.55,"107,525","104,745",1.03
경상남도 창원시 진해구 (4812900000),"182,226","70,833",2.57,"93,176","89,050",1.05
경상남도 진주시 (4817000000),"342,724","136,758",2.51,"169,678","173,046",0.98
경상남도 통영시 (4822000000),"139,298","58,759",2.37,"70,543","68,755",1.03
경상남도 사천시 (4824000000),"116,082","50,336",2.31,"58,211","57,871",1.01
경상남도 김해시 (4825000000),"527,380","196,179",2.69,"266,364","261,016",1.02
경상남도 밀양시 (4827000000),"107,679","48,666",2.21,"52,713","54,966",0.96
경상남도 거제시 (4831000000),"252,823","100,073",2.53,"133,497","119,326",1.12
경상남도 양산시 (4833000000),"296,521","115,235",2.57,"149,300","147,221",1.01
경상남도 의령군 (4872000000),"28,791","14,449",1.99,"13,845","14,946",0.93
경상남도 함안군 (4873000000),"69,256","30,798",2.25,"34,958","34,298",1.02
경상남도 창녕군 (4874000000),"63,534","30,093",2.11,"31,372","32,162",0.98
경상남도 고성군 (4882000000),"55,563","25,870",2.15,"27,848","27,715",1
경상남도 남해군 (4884000000),"46,238","22,259",2.08,"22,105","24,133",0.92
경상남도 하동군 (4885000000),"50,068","23,392",2.14,"24,713","25,355",0.97
경상남도 산청군 (4886000000),"36,122","17,985",2.01,"17,630","18,492",0.95
경상남도 함양군 (4887000000),"40,314","19,229",2.1,"19,259","21,055",0.91
경상남도 거창군 (4888000000),"63,069","27,724",2.27,"30,582","32,487",0.94
경상남도 합천군 (4889000000),"48,856","24,193",2.02,"23,231","25,625",0.91
제주특별자치도  (5000000000),"615,250","251,478",2.45,"308,627","306,623",1.01
제주특별자치도 제주시 (5011000000),"454,673","182,709",2.49,"227,549","227,124",1
제주특별자치도 서귀포시 (5013000000),"160,577","68,769",2.34,"81,078","79,499",1.02
