회계연도, 소관명, 회계명, 계정명, 분야명, 부문명, 프로그램명, 단위사업명, 금년도예산(천원), 추경정부안(천원), 추경국회확정(천원),
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회행정지원, 예산처 인건비,9361883,9361883,9361883,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회행정지원, 조사처 인건비,8777809,8777809,8777809,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회행정지원, 사무처 기본경비,19985000,19985000,19985000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회행정지원, 도서관 기본경비,1484000,1484000,1484000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회행정지원, 예산처 기본경비,1977000,1977000,1977000,
2015, 국회, 일반회계, , 일반·지방행정, 입법및선거관리, 국회행정지원, 조사처 기본경비,1355000,1355000,1355000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 본부인건비,876364946,876364946,876364946,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 소속기관 인건비,35255541,35255541,35255541,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 본부 기본경비,63439000,63439000,63439000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 소속기관 기본경비,6404000,6404000,6404000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 사법운영지원,62669000,62669000,62669000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 형사재판운영지원,47793000,47793000,47793000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 일반재판운영지원,40359000,40359000,40359000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 민사재판운영지원,12557000,12557000,12557000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 국선변호료지원,29388000,29388000,29388000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 가족관계등록사무지원,20855000,20855000,20855000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 사법업무 전산화,51864000,51864000,51864000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 가족등록업무전산화,20692000,20692000,20692000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 디지털도서관개발 및 운영,1521000,1521000,1521000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 법관등 전문화 및 국제화,8276000,8276000,8276000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 법원예비금,500000,500000,500000,
2015, 대법원, 일반회계, , 공공질서및안전, 법원및헌재, 법원시설 확충 및 유지보수, 법원시설관리 등,38385000,38385000,38385000,
2015, 대법원, 등기특별회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 본부 인건비,102796560,102796560,102796560,
2015, 대법원, 등기특별회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 본부 기본경비,5635000,5635000,5635000,
2015, 대법원, 등기특별회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 등기업무지원,22920000,22920000,22920000,
2015, 대법원, 등기특별회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 등기업무 전산화,55846000,55846000,55846000,
2015, 대법원, 등기특별회계, , 공공질서및안전, 법원및헌재, 재판활동종합지원, 예비비,4869000,4869000,4869000,
2015, 대법원, 등기특별회계, , 공공질서및안전, 법원및헌재, 법원시설 확충 및 유지보수, 등기소 확충,24280000,24280000,24280000,
2015, 대법원, 등기특별회계, , 공공질서및안전, 법원및헌재, 회계간거래(전출금), 회계간전출(일반회계),78510000,78510000,78510000,
2015, 대법원, 등기특별회계, , 공공질서및안전, 법원및헌재, 내부거래지출, 회계기금간거래(등특회계),9023000,9023000,9023000,
2015, 헌법재판소, 일반회계, , 공공질서및안전, 법원및헌재, 헌법재판소운영, 인건비,21704885,21704885,21704885,
2015, 헌법재판소, 일반회계, , 공공질서및안전, 법원및헌재, 헌법재판소운영, 기본경비,5588000,5588000,5588000,
2015, 헌법재판소, 일반회계, , 공공질서및안전, 법원및헌재, 헌법재판소운영, 재판자료확충,514000,514000,514000,
2015, 헌법재판소, 일반회계, , 공공질서및안전, 법원및헌재, 헌법재판소운영, 국제교류협력,746000,746000,746000,
2015, 헌법재판소, 일반회계, , 공공질서및안전, 법원및헌재, 헌법재판소운영, 청사및공관시설관리,1654000,1654000,1654000,
2015, 헌법재판소, 일반회계, , 공공질서및안전, 법원및헌재, 헌법재판소운영, 국선대리인보수등,136000,136000,136000,
2015, 헌법재판소, 일반회계, , 공공질서및안전, 법원및헌재, 헌법재판소운영, 재판활동지원,3657000,3657000,3657000,
2015, 헌법재판소, 일반회계, , 공공질서및안전, 법원및헌재, 헌법재판소운영, 헌법재판정보화,3704000,3704000,3704000,
2015, 헌법재판소, 일반회계, , 공공질서및안전, 법원및헌재, 헌법재판소운영, 예비금,25000,25000,25000,
2015, 중앙선거관리위원회, 일반회계, , 일반·지방행정, 입법및선거관리, 선거의공정한관리, 공직선거관리,10054000,10054000,10054000,
2015, 중앙선거관리위원회, 일반회계, , 일반·지방행정, 입법및선거관리, 선거의공정한관리, 정당발전지원,40833000,40833000,40833000,
2015, 중앙선거관리위원회, 일반회계, , 일반·지방행정, 입법및선거관리, 선거의공정한관리, 시민교육및공명선거정착,16264000,16264000,16264000,
2015, 중앙선거관리위원회, 일반회계, , 일반·지방행정, 입법및선거관리, 선거의공정한관리, 선거관리지원,974000,974000,974000,
2015, 중앙선거관리위원회, 일반회계, , 일반·지방행정, 입법및선거관리, 선거관리행정지원, 인건비,171803447,171803447,171803447,
2015, 중앙선거관리위원회, 일반회계, , 일반·지방행정, 입법및선거관리, 선거관리행정지원, 기본경비,14004000,14004000,14004000,
2015, 중앙선거관리위원회, 일반회계, , 일반·지방행정, 입법및선거관리, 선거관리행정지원, 기관운영지원,15708000,15708000,15708000,
2015, 중앙선거관리위원회, 일반회계, , 일반·지방행정, 입법및선거관리, 선거관리행정지원, 청사관리,14164000,14164000,14164000,
2015, 중앙선거관리위원회, 일반회계, , 일반·지방행정, 입법및선거관리, 선거관리행정지원, 선거행정정보화,2851000,2851000,2851000,
2015, 중앙선거관리위원회, 일반회계, , 일반·지방행정, 입법및선거관리, 선거관리행정지원, 예비금,460000,460000,460000,
2015, 민주평화통일자문회의, 일반회계, , 외교·통일, 통일, 민주평화통일자문회의운영, 사무처인건비,4711533,4711533,4711533,
2015, 민주평화통일자문회의, 일반회계, , 외교·통일, 통일, 민주평화통일자문회의운영, 기본경비,1301000,1301000,1301000,
2015, 민주평화통일자문회의, 일반회계, , 외교·통일, 통일, 민주평화통일자문회의운영, 통일정책자문·통일여론조성,19267443,19267443,19267443,
2015, 민주평화통일자문회의, 일반회계, , 외교·통일, 통일, 민주평화통일자문회의운영, 행정효율성증진및능력개발,30000,30000,30000,
2015, 민주평화통일자문회의, 일반회계, , 외교·통일, 통일, 민주평화통일자문회의운영, 정보화사업,400000,400000,400000,
2015, 민주평화통일자문회의, 일반회계, , 외교·통일, 통일, 민주평화통일자문회의운영, 시설관리,155000,155000,155000,
2015, 감사원, 일반회계, , 일반·지방행정, 일반행정, 감사활동 및 행정지원, 인건비,72133155,72133155,72133155,
2015, 감사원, 일반회계, , 일반·지방행정, 일반행정, 감사활동 및 행정지원, 기본경비,10572000,10572000,10572000,
2015, 감사원, 일반회계, , 일반·지방행정, 일반행정, 감사활동 및 행정지원, 감사활동경비,23176563,23176563,23176563,
2015, 감사원, 일반회계, , 일반·지방행정, 일반행정, 감사활동 및 행정지원, 청사 및 시설물 관리,1257000,1257000,1257000,
2015, 감사원, 일반회계, , 일반·지방행정, 일반행정, 감사활동 및 행정지원, 전산운영경비,3589000,3589000,3589000,
2015, 감사원, 일반회계, , 일반·지방행정, 일반행정, 감사활동 및 행정지원, 국제교류협력강화,265000,265000,265000,
2015, 감사원, 일반회계, , 일반·지방행정, 일반행정, 감사활동 및 행정지원, 수입대체경비,297000,297000,297000,
2015, 감사원, 일반회계, , 일반·지방행정, 일반행정, 감사활동 및 행정지원, 감사연구활동경비,484000,484000,484000,
2015, 국가정보원, 일반회계, , 일반·지방행정, 일반행정, 국가정보지원, 정보활동,478236000,478236000,478236000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 경제인문사회연구회,28161000,28161000,28161000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 과학기술정책연구원,10843000,10843000,10843000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 국토연구원,28414000,28414000,28414000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 대외경제정책연구원,30243000,30243000,30243000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 산업연구원,19651000,19651000,19651000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 통일연구원,10239000,10239000,10239000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국개발연구원,56867000,56867000,56867000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국교육개발원,17938000,17938000,17938000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국교육과정평가원,32018000,32018000,32018000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국교통연구원,15594000,15594000,15594000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국노동연구원,11629000,11629000,11629000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국농촌경제연구원,16068000,16068000,16068000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국법제연구원,12433000,12433000,12433000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국보건사회연구원,28798000,28798000,28798000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국여성정책연구원,14505000,14505000,14505000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국조세재정연구원,27622000,27622000,27622000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국직업능력개발원,17047000,17047000,17047000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국청소년정책연구원,8171000,8171000,8171000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국해양수산개발원,23770000,23770000,23770000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국행정연구원,11989000,11989000,11989000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국형사정책연구원,9944000,9944000,9944000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 한국환경정책평가연구원,15991000,15991000,15991000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 국무총리실 행정지원, 인건비,37559502,37559502,37559502,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 국무총리실 행정지원, 기본경비,10162000,10162000,10162000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 국무총리실 행정지원, 국정운영 기획관리 및 평가,4389000,4389000,4389000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 국무총리실 행정지원, 사회통합 및 안전관리 추진,504000,504000,504000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 국무총리실 행정지원, 규제개혁,1761000,1761000,1761000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 국무총리실 행정지원, 국가적중장기 추진과제 지원,4717000,4717000,4717000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 국무총리실 행정지원, 행정지원,5880000,5880000,5880000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, 국무총리실 행정지원, 대국민 및 정당과의 소통,1542000,1542000,1542000,
2015, 국무조정실 및 국무총리비서실, 일반회계, , 일반·지방행정, 국정운영, KDI 국제정책대학원 연금기금 국가부담금 지원, KDI 국제정책대학원 연금기금 국가부담금 지원,112000,112000,112000,
2015, 국무조정실 및 국무총리비서실, 에너지및자원사업특별회계, 투자계정, 일반·지방행정, 국정운영, 정부출연연구기관 지원(R&D), 에너지경제연구원,13183000,13183000,13183000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 경제정책, 소비자물가관리,1103000,1103000,1103000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 경제정책, 중장기 경제전략 기획사업,995000,995000,995000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 경제정책, 국가경쟁력 강화 지원,150000,150000,150000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 경제정책, 경제혁신 3개년계획 점검 및 관리,200000,200000,200000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 정부위원회, 청년위원회 운영,4865000,4865000,4865000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 정책조정, 경제정책조정지원,4395000,4395000,4395000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 자문회의 지원, 국민경제자문회의 지원단 운영,2191000,2191000,2191000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 조세정책, 조세정책지원,5567000,5567000,5567000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 국고관리, 국가계약제도지원,39000,39000,39000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 국고관리, 국고업무관리지원,866000,866000,866000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 국고관리, 국유재산관리,3463000,3463000,3463000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 국고관리, 일시차입금이자상환,60000000,60000000,60000000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 재정운용, 국고보조금 관리 및 제도개선,141000,141000,141000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 재정운용, 국가재정운용계획수립,1719000,1719000,1719000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 재정운용, 국제 재정협력 강화,581000,581000,581000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 재정운용, 재정운용 협의기반 구축·운영,1132000,1132000,1132000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 재정운용, 연구개발예산편성지원,350000,350000,350000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 공공정책, 공공기관 평가 및 관리,4933000,4933000,4933000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 재정관리, 국가회계운영,2356000,2356000,2356000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 재정관리, 디지털예산회계시스템 운영,26270000,26270000,26270000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 재정관리, 국제기구 공동연구 자문,205000,205000,205000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 재정관리, 재정집행관리,345000,345000,345000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 재정관리, 재정사업평가,2324000,2324000,2324000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 재정관리, 재정사업 타당성조사,12122000,12122000,12122000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 재정관리, 기금 및 부담금 평가,437000,437000,437000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 국제금융, 국제금융강화지원,26231000,26231000,26231000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 국제금융, 국제금융센터보조,2000000,2000000,2000000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 국제금융, 국제금융기구 출연,107482000,107482000,107482000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 경제협력, 경제협력강화지원,2881000,2881000,2881000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 경제협력, 경제발전경험공유사업,28728000,28728000,28728000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 경제협력, 한국수출입은행 출자,40000000,140000000,115000000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 경제협력, 글로벌 창조지식과학문화단지 조성,5500000,5500000,5500000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 기획재정 행정지원, 본부 인건비,74989218,74989218,74989218,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 기획재정 행정지원, 본부 기본경비,19021000,19021000,19021000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 기획재정 행정지원, 기획재정 행정효율성 증진 및 능력개발,758000,758000,758000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 기획재정 행정지원, 기획재정해외네트워크구축,1105000,1105000,1105000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 기획재정 행정지원, 기획재정정보화,4715000,4715000,4715000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 기획재정 행정지원, 기획재정 정책지원,6653000,6653000,6653000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 회계기금간거래(전출금), 회계기금간전출(일반회계),1844755000,1844755000,1844755000,
2015, 기획재정부, 일반회계, , 일반·지방행정, 재정·금융, 회계기금간거래(예수이자상환), 회계기금간예수이자상환(일반회계),8707634000,8781658000,8779710000,
2015, 기획재정부, 일반회계, , 교통및물류, 물류등기타, 사회기반시설 민자사업 지원, 산업기반신용보증기금 출연,18000000,18000000,18000000,
2015, 기획재정부, 일반회계, , 국토및지역개발, 지역및도시, 회계간거래(전출금), 회계간거래(지역발전특별회계),2969567000,3005167000,3003167000,
2015, 기획재정부, 일반회계, , 예비비, 예비비, 예비비, 예비비,3006446000,3006446000,3156446000,
2015, 미래창조과학부, 일반회계, , 일반·지방행정, 국정운영, 미래창조과학부 운영지원, 미래대비 역량 강화,2118000,2118000,2118000,
2015, 미래창조과학부, 일반회계, , 일반·지방행정, 정부자원관리, 국가사회정보화, 정보보호체계강화(정보화),5134000,5134000,5134000,
2015, 미래창조과학부, 일반회계, , 일반·지방행정, 정부자원관리, 국가사회정보화, 공공서비스신기술적용촉진(정보화),13247000,13247000,13247000,
2015, 미래창조과학부, 일반회계, , 일반·지방행정, 정부자원관리, 국가사회정보화, 생산적정보문화조성(정보화),24812000,24812000,24812000,
2015, 미래창조과학부, 일반회계, , 일반·지방행정, 정부자원관리, 국가사회정보화, 국제사회정보화선도국가위상강화(정보화),6896000,6896000,6896000,
2015, 미래창조과학부, 일반회계, , 일반·지방행정, 정부자원관리, 국가사회정보화, 정보자원관리기반확충(정보화),17615000,17615000,17615000,
2015, 미래창조과학부, 일반회계, , 일반·지방행정, 정부자원관리, 국가사회정보화, 산하기관운영지원(정보화),27292000,27292000,27292000,
2015, 미래창조과학부, 일반회계, , 교육, 고등교육, 과학기술인력양성, 국립대학법인 울산과기대 운영지원,118649000,118649000,118649000,
2015, 미래창조과학부, 일반회계, , 교육, 고등교육, 과학기술인력양성, 우수학생 국가장학 사업,66376000,66376000,66376000,
2015, 미래창조과학부, 일반회계, , 교육, 평생·직업교육, 평생직업교육 체제 구축, 여학생 공학교육 지원,9571000,9571000,9571000,
2015, 미래창조과학부, 일반회계, , 교육, 평생·직업교육, 평생직업교육 체제 구축, 산업기술인력양성,8403000,8403000,8403000,
2015, 미래창조과학부, 일반회계, , 교육, 평생·직업교육, 연구공동체활성화, 연구공동체육성지원,12000000,12000000,12000000,
2015, 미래창조과학부, 일반회계, , 교육, 교육일반, 미래창조과학부 운영지원, 행정업무정보화 지원,2800000,2800000,2800000,
2015, 미래창조과학부, 일반회계, , 문화및관광, 문화예술, 콘텐츠방송산업육성, 콘텐츠 진흥,3000000,3000000,3000000,
2015, 미래창조과학부, 일반회계, , 문화및관광, 문화예술, 콘텐츠방송산업육성, 문화콘텐츠산업 기술지원,25250000,25250000,25250000,
2015, 미래창조과학부, 일반회계, , 문화및관광, 문화및관광일반, 미래창조과학부운영지원, 본부인건비,45496502,45496502,45496502,
2015, 미래창조과학부, 일반회계, , 산업·중소기업및에너지, 산업진흥·고도화, SW산업활성화, IT활용기반구축,19992000,19992000,19992000,
2015, 미래창조과학부, 일반회계, , 산업·중소기업및에너지, 산업진흥·고도화, SW산업활성화, 인력양성(일반회계),23440000,23440000,23440000,
2015, 미래창조과학부, 일반회계, , 산업·중소기업및에너지, 산업진흥·고도화, SW산업활성화, 신산업융합원천기술,48555000,48555000,48555000,
2015, 미래창조과학부, 일반회계, , 산업·중소기업및에너지, 산업진흥·고도화, SW산업활성화, IT활용촉진,3595000,3595000,3595000,
2015, 미래창조과학부, 일반회계, , 산업·중소기업및에너지, 산업진흥·고도화, SW산업활성화, 글로벌전문기술(일반회계),41000000,41000000,41000000,
2015, 미래창조과학부, 일반회계, , 산업·중소기업및에너지, 산업진흥·고도화, SW산업활성화, 기술확산지원,5475000,5475000,5475000,
2015, 미래창조과학부, 일반회계, , 통신, 방송통신, 정보통신방송기반조성, 전파방송진흥정책지원,689000,689000,689000,
2015, 미래창조과학부, 일반회계, , 통신, 방송통신, 정보통신방송기반조성, 공정경쟁환경조성,2313000,2313000,2313000,
2015, 미래창조과학부, 일반회계, , 통신, 방송통신, 정보통신방송기반조성, 국가중요통신망운영,22989000,22989000,22989000,
2015, 미래창조과학부, 일반회계, , 통신, 방송통신, 정보통신방송기반조성, 통신시장경쟁활성화,1337000,1337000,1337000,
2015, 미래창조과학부, 일반회계, , 통신, 방송통신, 정보통신방송기반조성, 전파이용질서확립,24082000,24082000,24082000,
2015, 미래창조과학부, 일반회계, , 통신, 방송통신, 정보통신방송기반조성, 전파연구지원,3201000,3201000,3201000,
2015, 미래창조과학부, 일반회계, , 통신, 방송통신, 정보보호강화, 정보보호기반강화,55234000,55234000,55234000,
2015, 미래창조과학부, 일반회계, , 통신, 방송통신, 정보통신방송산업진흥, U-KOREA선도사업,6000000,6000000,6000000,
2015, 미래창조과학부, 일반회계, , 통신, 방송통신, 정보통신방송산업진흥, 정보통신기업성장지원(일반),14300000,14300000,14300000,
