"","time","userlevel","gamebalance"
"587",99,0,10
"19172",119,1,15
"18612",95,3,23
"935",104,1,19
"8162",148,22,63
"7661",153,16,60
"699",101,1,17
"972",105,2,20
"1660",111,5,26
"13504",138,13,35
"14307",133,12,49
"9137",119,20,68
"16788",121,8,19
"3566",123,8,38
"2733",118,7,33
"11484",151,11,66
"8034",147,12,62
"14615",157,16,30
"16369",123,10,22
"633",100,0,15
"14077",135,13,50
"4189",126,9,39
"9076",157,20,88
"8404",150,21,65
"6435",125,13,53
"3420",122,8,47
"17382",130,7,32
"1631",111,3,20
"4211",126,9,41
"12662",174,14,58
"4021",125,10,40
"8889",153,15,70
"5021",131,11,38
"4119",126,9,41
"11026",155,20,71
"18958",105,1,19
"641",100,0,15
"2276",115,5,25
"3865",124,9,39
"10584",136,22,76
"19795",88,0,4
"2555",117,6,32
"7104",142,15,56
"5285",132,11,47
"18131",112,5,38
"6157",121,13,76
"4716",129,6,53
"10000",212,37,87
"15385",128,10,43
"13984",135,13,50
"9900",176,27,91
"5627",180,12,48
"16581",122,8,37
"18386",67,4,24
"2282",115,6,42
"16314",83,9,38
"1844",112,5,28
"7536",144,16,59
"16344",123,9,38
"14661",132,16,49
"11963",113,15,35
"12964",196,15,56
"8695",153,19,68
"1625",111,4,24
"13066",140,15,55
"16199",124,9,39
"4777",129,10,44
"5710",134,9,49
"7655",145,11,79
"4771",129,10,44
"8865",155,12,46
"19401",99,0,13
"946",104,2,16
"2244",70,5,30
"2644",118,6,33
"16942",120,7,35
"7062",164,17,55
"18916",105,2,20
"15027",130,7,40
"12202",145,20,61
"17364",113,7,32
"6439",86,13,53
"11709",149,11,64
"1403",109,3,24
"17403",117,7,32
"7566",97,13,59
"14925",117,11,45
"17391",117,7,26
"10693",159,21,75
"4079",173,9,40
"17491",71,7,40
"9459",162,22,77
"5158",131,11,46
"16339",134,9,46
"6790",166,14,54
"11475",151,18,66
"10593",161,15,77
"1369",109,3,24
"9478",163,22,78
"1312",108,3,23
"9675",166,31,82
"4184",126,9,41
"7641",145,16,38
"11727",149,18,64
"8157",148,17,63
"13624",137,14,52
"7006",141,15,56
"14820",131,12,46
"3997",125,9,31
"14846",97,8,46
"1357",148,3,23
"784",102,1,15
"15546",88,10,42
"17118",119,5,34
"9626",166,23,86
"10959",158,20,55
"9218",203,21,73
"12574",143,16,81
"19700",92,0,8
"10149",173,22,89
"12066",122,17,62
"10682",155,15,75
"1924",113,5,28
"3860",105,6,54
"10111",175,27,82
"6107",136,13,28
"9780",170,25,58
"12599",143,16,58
"19948",83,0,0
"5525",155,12,48
"17604",116,6,25
"13369",126,14,53
"8705",153,19,68
"2130",114,4,29
"3943",125,9,40
"2468",109,6,40
"18914",105,2,20
"18706",107,3,28
"3386",122,8,25
"1140",107,2,22
"18099",112,5,27
"8289",149,17,64
"6278",123,13,31
"1910",113,6,39
"1436",97,5,24
"14569",132,14,45
"19329",87,0,15
"8856",154,19,69
"19839",108,0,2
"2206",115,5,34
"7737",145,16,37
"19160",102,1,17
"18164",112,5,26
"9986",129,33,103
"15400",128,10,43
"1691",86,4,26
"7951",147,17,62
"17348",161,7,32
"1997",114,5,30
"6372",104,13,52
"16469",123,8,38
"17885",114,5,28
"15189",94,11,44
"4924",141,14,45
"5138",131,11,46
"2877",158,7,34
"5974",135,13,50
"10135",174,16,90
"1182",107,3,21
"13076",140,15,55
"4654",129,10,43
"7895",118,16,79
"8429",150,18,65
"9270",159,21,64
"792",102,1,10
"9494",228,23,78
"17541",116,6,31
"2144",115,5,36
"1959",113,5,29
"6794",140,16,55
"1680",111,3,26
"121",110,0,0
"1934",113,5,28
"8673",105,19,68
"7101",142,15,56
"15733",95,10,28
"12626",142,15,58
"9255",159,18,74
"13463",186,17,53
"2208",115,5,30
"3244",121,8,36
"15020",125,11,62
"3886",124,10,39
"10738",187,13,74
"14793",131,15,46
"150",87,0,1
"19980",74,0,0
"11316",100,19,68
"10129",190,26,90
"16058",145,11,39
"15407",128,14,43
"11940",147,21,62
"17540",116,6,31
"19237",129,1,21
"19099",103,1,18
"8047",147,17,62
"13056",140,15,55
"17694",115,6,30
"11733",149,18,64
"4731",129,10,58
"15805",153,10,41
"15527",106,13,42
"1292",108,3,24
"1069",106,3,21
"10550",162,22,78
"16940",120,8,35
"12723",142,15,57
"22",75,0,0
"4516",128,10,43
"15101",129,11,44
"11968",147,17,53
"12216",145,18,60
"1510",107,4,16
"6497",138,13,56
"4495",128,10,43
"4741",129,10,65
"1189",107,3,14
"16508",122,6,37
"9519",163,23,79
"4871",98,11,44
"5691",96,12,49
"9520",163,24,79
"9227",159,21,74
"17324",117,7,29
"9422",220,22,114
"10456",163,22,79
"566",98,0,14
"15505",127,10,42
"13289",139,14,31
"12771",142,15,57
"13676",137,12,52
"13142",160,14,55
"3918",133,9,40
"5713",134,16,49
"102",86,0,0
"2148",123,5,30
"9799",171,25,76
"8410",150,21,66
"5602",133,12,48
"4626",100,10,43
"17465",82,6,31
"15477",128,10,42
"15382",128,10,55
"3151",120,7,37
"12552",143,20,83
"38",78,0,0
"17122",119,7,42
"17965",96,7,28
"13609",137,10,52
"8772",152,19,89
"13831",145,13,51
"17641",115,6,30
"496",97,0,11
"3797",124,9,39
"14638",148,12,47
"18391",110,4,24
"16413",123,9,38
"6292",144,12,52
"10781",123,15,74
"13702",137,13,52
"11903",147,23,63
"131",69,0,0
"3786",124,9,39
"8135",148,17,63
"2300",115,5,31
"16405",123,9,35
"6885",140,14,55
"8104",148,17,63
"6528",138,14,53
"8388",128,18,65
"4309",165,10,42
"4364",127,10,43
"16173",124,9,39
"16925",120,7,35
"12613",143,15,58
"16462",123,5,37
"11742",101,18,64
"12905",141,15,56
"5327",171,11,60
"16587",122,8,50
"13627",187,14,52
"16700",121,8,36
"10329",232,24,82
"6324",99,9,67
"4586",128,9,43
"16634",122,8,36
"9935",179,31,89
"4049",125,9,59
"12703",142,13,57
"936",104,2,14
"18163",112,5,26
"4345",127,10,42
"4637",129,10,43
"6774",140,14,54
"18519",109,5,16
"6011",135,13,50
"813",103,1,18
"9190",158,25,53
"10855",157,21,73
"200",89,0,4
"5980",135,13,50
"5737",134,12,49
"19352",87,0,14
"10478",163,22,79
"8966",156,26,48
"13277",107,14,54
"9117",129,20,72
"17001",120,6,32
"4048",125,9,40
"2099",114,4,30
"11695",149,18,64
"19562",76,0,11
"6550",138,14,79
"12100",146,14,39
"2851",163,7,34
"13174",170,14,54
"15488",127,10,42
"15896",126,9,23
"10272",168,24,96
"13800",136,8,51
"13512",138,14,78
"18878",106,2,27
"16701",136,5,36
"9513",163,30,78
"19094",103,2,18
"8115",148,13,63
"16715",121,8,36
"15606",113,10,42
"19579",95,0,10
"19321",104,0,15
"16323",123,9,38
"9704",168,24,83
"250",91,0,6
"6331",137,13,69
"5623",134,12,35
"19684",92,0,4
"4845",130,11,44
"7434",144,15,51
"15152",129,11,44
"13133",140,14,55
"18151",90,5,18
"8296",149,17,64
"15788",176,10,41
"14609",132,9,47
"2852",119,7,34
"2631",117,5,33
"14390",133,13,48
"1789",70,4,23
"4157",126,8,41
"3642",123,8,38
"19742",90,0,6
"1372",109,3,27
"2677",118,6,33
"1969",113,5,29
"15464",128,10,42
"12893",183,15,56
"7884",162,12,91
"15222",129,7,37
"3565",123,8,38
"6659",139,19,67
"19301",108,1,15
"7875",146,14,61
"17697",115,6,30
"18335",110,3,25
"12133",165,17,61
"6695",132,14,54
"5838",161,12,49
"19322",100,0,15
"4473",128,11,42
"8648",152,19,90
"13626",137,14,52
"2992",101,8,35
"4226",126,8,29
"16829",91,8,35
"751",102,1,17
"12295",145,16,60
"14532",145,12,47
"8116",148,17,63
"19875",100,0,0
"14230",134,12,49
"15880",126,12,40
"408",59,0,10
"5573",154,12,32
"1245",108,2,22
"15551",127,10,42
"15657",127,10,41
"1972",113,7,29
"2271",91,6,30
"14193",110,12,49
"11220",153,19,68
"18700",65,3,31
"2883",75,7,38
"7194",142,15,57
"526",125,0,13
"49",79,0,0
"19872",84,0,0
"16746",99,8,36
"8363",150,19,65
"16577",92,5,23
"109",85,0,0
"3690",123,7,25
"18449",109,4,24
"14901",101,11,45
"18257",117,4,31
"18593",108,3,23
"8955",156,20,70
"18109",145,5,27
"19015",104,2,19
"12598",195,16,58
"17473",93,6,31
"5835",135,12,55
"11629",154,18,65
"19953",78,0,0
"13191",139,9,54
"19548",96,0,11
"6636",106,14,54
"8193",117,17,63
"9326",160,26,75
"10290",167,24,83
"10500",162,22,78
"14015",135,10,50
"7505",144,11,59
"7867",113,16,44
"9571",164,30,80
"9698",168,20,114
"10372",138,23,81
"4760",129,10,44
"8502",151,18,64
"8984",202,26,71
"14962",170,11,50
"13398",125,14,66
"7015",141,10,56
"15179",129,15,35
"9284",160,21,74
"7624",145,20,45
"4820",81,10,44
"8372",103,18,65
"13410",138,14,53
"8874",155,19,70
"7718",145,16,70
"12824",141,15,57
"2601",117,6,35
"8583",152,18,67
"1733",112,4,27
"11592",153,18,65
"7654",145,10,86
"3313",161,8,36
"14129",134,13,48
"12512",143,16,59
"13160",140,14,55
"14636",132,12,47
"4236",126,9,31
"3582",123,11,38
"19021",104,2,19
"6535",138,14,67
"1058",106,2,21
"2195",115,3,30
"19957",87,0,0
"10632",160,15,106
"15769",126,10,41
"2432",116,6,31
"12135",146,16,61
"6440",138,18,53
"14620",163,12,47
"15567",168,10,26
"18910",105,2,30
"8642",146,23,70
"8656",152,19,67
"12569",143,16,58
"6434",155,13,62
"8900",115,19,94
"12636",91,15,68
"2725",143,7,33
"1977",104,5,29
"8913",155,20,70
"16088",156,6,39
"2835",76,6,34
"9174",111,21,73
"17350",118,6,32
"7903",109,16,61
"17818",116,5,43
"1612",142,3,39
"3753",124,12,25
"12223",145,14,60
"11322",152,19,68
"7378",143,15,58
"4539",132,10,56
"19797",88,0,4
"1050",106,2,21
"3055",120,7,35
"4683",129,8,53
"2961",119,7,35
"15457",128,11,43
"12278",145,13,67
"15693",127,11,48
"2464",116,6,32
"12832",141,15,57
"3096",141,7,35
"6675",139,14,54
"3231",121,8,38
"197",60,0,4
"9719",234,24,60
"4369",170,12,42
"11254",153,18,68
"17514",116,6,22
"17236",118,7,38
"11935",95,17,66
"12351",144,15,37
"353",94,0,11
"16907",120,5,35
"765",102,1,9
"3799",124,11,39
"13054",140,15,55
"4601",128,10,43
"16695",121,9,37
"17806",97,6,29
"8527",151,18,66
"17296",118,7,33
"5398",132,11,27
"15853",124,7,40
"16630",122,8,36
"8448",151,17,66
"10070",245,27,95
"5613",133,12,48
"13441",138,12,53
"19059",120,2,18
"7662",145,15,60
"7349",143,15,40
"11458",151,24,66
"235",93,0,5
"13281",139,14,54
"6614",139,10,54
"4999",130,13,45
"2204",115,5,30
"14730",131,9,54
"6572",139,14,53
"16161",124,12,51
"13654",112,14,38
"18768",107,3,21
"16452",124,9,37
"4897",130,11,35
"8169",201,17,61
"2694",118,6,33
"13339",99,14,54
"6583",139,14,69
"5659",134,12,48
"12550",143,12,58
"1544",145,6,25
"2708",132,7,33
"3825",124,9,39
"3425",104,9,47
"12391",144,16,59
"19794",88,0,5
"6561",138,14,67
"14740",131,8,32
"2550",117,6,32
"16556",122,8,37
"18158",143,3,30
"12643",158,15,35
"660",140,0,15
"147",87,0,1
"7832",172,20,80
"7305",143,10,58
"19183",102,1,16
"9798",171,25,87
"2425",114,6,31
"15723",102,11,41
"13785",136,13,51
"13755",95,13,51
"11194",153,14,69
"8184",148,17,63
"17110",119,7,34
"5834",104,10,63
"406",79,0,10
"11692",202,18,64
"9654",166,24,82
"17429",117,6,32
"17076",119,7,34
"18095",112,5,35
"13621",162,9,52
"5726",134,12,49
"8911",155,20,70
"11082",155,20,70
"14881",131,11,45
"16293",124,9,28
"5651",134,11,55
"8727",155,19,68
"4404",127,12,42
"8440",151,18,57
"3998",125,9,55
"17727",115,6,30
"13927",135,14,50
"12883",141,15,56
"6255",137,13,76
"15617",129,7,42
"17054",119,7,36
"12411",144,16,59
"11244",153,26,50
"11954",147,23,82
"16865",74,8,34
"16240",124,10,38
"8355",150,18,65
"18193",111,4,26
"2015",114,5,29
"19619",69,0,9
"8354",150,14,65
"16445",123,8,37
"18112",112,4,14
"6284",88,13,66
"11009",217,16,71
"19204",102,1,10
"11532",150,23,66
"11078",155,20,70
"6617",141,11,54
"6115",136,13,26
"7231",142,15,57
"2902",119,6,37
"7278",143,15,57
"12306",197,16,60
"9281",160,21,74
"14442",133,8,55
"17467",98,6,31
"18571",108,3,23
"3318",124,8,36
"5053",131,11,45
"4902",121,11,45
"9524",169,23,79
"6971",123,14,47
"17208",118,10,33
"11369",152,19,67
"1784",155,4,18
"1546",110,4,25
"17705",115,6,38
"13645",114,14,78
"17991",113,5,39
"8281",149,17,88
"5280",132,11,47
"13607",137,15,52
"17969",113,5,28
"13331",152,11,54
"4200",78,7,41
"1411",96,3,24
"12188",200,19,61
"8266",149,15,35
"15536",127,10,42
"3620",109,8,38
"12104",146,14,34
"10234",195,26,86
"583",99,0,14
"3888",125,12,39
"5029",131,11,35
"17100",118,8,34
"17840",69,6,15
"11782",148,23,93
"12148",146,17,61
"7717",147,16,60
"14236",134,12,49
"2071",114,5,17
"7896",146,10,61
"19247",142,1,15
"4233",126,9,41
"1031",105,2,20
"4074",125,9,24
"2587",117,8,32
"5063",129,11,43
"7319",143,17,35
"11964",147,19,62
"6712",139,14,54
"6645",139,13,71
"1916",113,5,21
"7407",99,15,58
"15887",126,9,40
"3926",125,11,40
"3989",125,6,40
"19371",99,0,8
"13138",140,14,55
"13915",136,15,51
"1173",107,3,25
"15263",129,11,44
"15900",126,10,55
"9341",211,27,75
"14264",134,12,49
"4650",129,9,39
"17462",116,6,31
"19208",102,1,9
"11015",155,15,71
"11296",148,17,68
"11673",149,18,79
"11861",148,17,63
"12009",147,17,62
"12663",142,15,58
"5699",134,15,49
"7293",143,15,42
"14424",133,12,48
"16248",80,10,38
"17645",136,6,30
"16299",124,9,38
"5418",133,12,47
"1561",110,4,25
"1310",108,3,23
"3133",120,7,36
"9325",153,21,50
"8196",149,15,63
"1394",93,2,24
"18265",118,4,37
"1052",106,3,21
"14351",133,15,72
"10380",165,20,83
"15864",126,9,40
"16028",150,9,40
"15683",168,10,39
"14599",132,14,47
"5483",145,12,48
"709",126,1,9
"7987",147,17,62
"16706",121,6,46
"1848",138,3,28
"19656",93,0,9
"18352",110,5,25
"14161",134,13,67
"5837",135,12,49
"18243",154,4,36
"12353",90,16,60
"10481",163,22,79
"3941",125,9,40
"17474",116,6,31
"14224",134,12,49
"1064",106,2,15
"1146",107,2,22
"13869",136,13,51
"10865",127,20,73
"11209",153,24,69
"8953",156,25,79
"1445",110,4,24
"12919",141,15,56
"15618",127,10,42
"18206",111,5,21
"19337",100,0,14
"11051",155,22,70
"1185",107,3,22
"13496",147,14,48
"16735",121,8,36
"3496",122,5,51
"3371",122,6,37
"5156",89,15,46
"13299",139,11,54
"524",98,0,19
"13064",140,15,55
"17960",113,5,28
"2695",118,8,33
"16564",122,8,37
"2105",113,6,26
"2438",116,6,31
"2554",117,6,32
"8343",150,18,65
"5",64,0,0
"7283",89,15,57
"15142",129,7,32
"10951",156,20,72
"12168",141,17,57
"2933",119,7,34
"7439",150,15,58
"16994",117,7,34
"657",100,0,15
"2194",116,5,30
"17135",131,7,34
"170",88,0,2
"18728",72,3,22
"4035",125,9,40
"9892",176,27,63
"13169",139,14,58
"12138",146,22,55
"296",92,0,7
"6091",136,13,51
"8119",148,13,35
"9429",151,15,97
"18913",105,2,25
"13894",136,13,51
"1693",111,4,26
"15345",128,6,32
"6892",140,10,55
"5973",152,13,43
"16027",104,6,40
"18233",111,6,34
"6518",138,18,27
"19125",103,1,10
"5410",151,7,47
"2953",90,5,35
"12412",161,16,59
"4193",162,9,41
"15901",126,9,32
"2330",116,6,20
"6175",136,13,51
"19200",102,1,16
"12914",141,16,29
"12042",146,17,57
"6862",140,14,55
"6732",139,19,34
"7470",144,18,59
"9362",190,22,43
"3561",123,7,38
"19759",90,0,6
"15384",128,10,43
"9567",164,31,80
"11083",155,19,49
"8414",150,20,65
"11976",147,17,86
"5497",133,10,48
"9097",157,20,72
"10268",168,24,84
"14992",130,11,45
"16658",122,8,36
"3973",125,8,32
"9224",159,21,56
"1809",112,4,27
"12073",146,21,62
"2604",117,6,16
"3491",125,8,23
"9483",163,28,78
"2495",117,6,32
"3567",123,7,56
"12041",102,17,68
"8078",148,17,92
"9717",146,16,83
"11747",149,18,64
"10965",156,20,72
"14203",134,12,56
"6711",139,14,54
"19409",99,0,13
"17035",119,7,34
"19120",138,1,17
"19209",102,1,16
"10840",157,21,73
"1184",107,3,22
"1797",130,4,27
"8650",152,18,67
"6436",111,13,72
"12641",126,15,58
"3369",122,8,37
"6289",137,17,52
"15293",166,11,58
"18731",107,3,21
"8726",148,19,68
"14783",131,9,46
"5767",134,12,29
"8043",147,17,62
"10908",156,18,72
"9469",162,22,85
"5819",150,13,36
"15193",129,11,44
"19256",101,1,15
"19269",101,1,15
"9566",146,18,80
"9305",164,27,86
"19510",97,0,12
"6976",141,14,56
"12542",143,16,58
"3260",121,7,43
"17972",154,5,16
"332",93,0,8
"762",112,1,15
"3820",124,9,46
"14117",134,17,50
"1708",86,5,27
"9827",172,23,88
"16567",122,8,37
"5406",133,12,47
"16064",125,9,39
"16586",122,7,45
"11037",155,20,70
"11517",93,11,66
"17707",115,6,20
"15964",125,9,40
"18669",123,4,22
"3423",150,8,37
"1515",110,6,25
"15006",144,14,27
"3579",123,8,38
"19420",78,0,13
"2559",117,5,32
"13061",140,15,55
"6364",91,13,52
"18952",78,2,19
"5576",148,12,53
"9015",156,20,71
"3884",126,9,57
"18726",107,2,12
"7800",146,12,70
"7859",146,16,61
"18853",106,2,20
"2722",118,7,33
"1755",140,4,27
"2622",158,4,22
"1260",108,3,23
"5298",132,11,47
"13273",139,14,54
"5384",132,11,36
"1627",111,4,26
"7799",146,16,61
"19651",93,0,9
"12268",145,16,60
"16334",123,9,38
"1931",113,5,28
"2962",74,5,18
"14153",134,13,49
"5727",127,8,49
"8688",153,19,68
"6253",106,13,63
"13203",190,14,54
"5672",121,17,38
"19293",100,1,15
"17456",117,4,31
"6937",141,14,55
"615",99,0,14
"1231",107,3,30
"8004",147,17,62
"4837",130,10,44
"3740",124,9,39
"12497",171,11,59
"2203",115,6,30
"6591",166,14,53
"10652",160,18,76
"5344",132,11,34
"8878",155,19,51
"5947",181,9,50
"17267",153,7,33
"19714",92,0,7
"17371",117,9,32
"17000",120,7,34
"10927",156,20,72
"18079",105,5,27
"9235",159,21,74
"9602",165,28,78
"15124",129,8,44
"11274",153,19,68
"19939",80,0,0
"19531",96,0,11
"6125",136,16,51
"2490",117,4,32
"1162",107,3,22
"4555",128,10,43
"4376",139,12,42
"13664",137,15,52
"3808",120,9,39
"455",96,0,11
"18322",111,4,23
"15349",115,10,43
"5730",134,12,68
"4834",130,10,44
"3892",97,9,39
"19675",93,0,12
"4179",126,9,41
"8750",153,19,68
"19313",100,1,8
"4464",128,10,42
"3557",123,8,20
"19309",100,1,13
"19031",104,2,19
"4174",126,9,23
"1941",113,5,28
"4026",125,6,40
"369",94,0,9
"19325",127,0,15
"1980",113,5,29
"10442",164,21,49
"6717",139,14,54
"19463",133,0,18
"12451",144,16,33
"10407",131,16,108
"31",88,0,0
"1677",134,4,26
"9953",169,29,96
"15871",126,9,54
"12375",144,17,60
"16353",123,9,38
"11052",155,20,69
"14980",130,9,45
"10248",172,31,56
"3404",122,5,37
"12020",147,17,62
"5018",123,11,37
"18232",110,4,26
"6081",136,13,57
"11446",178,19,66
"5845",135,12,51
"17927",113,5,40
"5972",150,13,50
"426",96,0,10
"5364",132,11,66
"5648",134,8,48
"6564",138,13,53
"3023",120,5,35
"17855",114,6,29
"9716",168,24,83
"18117",112,5,27
"9918",178,28,93
"16290",106,12,37
"3745",124,9,31
"896",104,1,21
"16511",122,8,26
"11557",150,18,65
"9103",157,20,105
"9372",161,28,76
"5096",131,11,46
"18058",126,7,27
"13922",135,13,50
"9974",233,30,100
"10774",158,21,74
"2020",114,5,29
"13913",139,8,51
"6199",136,11,51
"1966",155,4,29
"10237",187,21,86
"11773",148,23,64
"13366",138,9,67
"19039",104,2,23
"2726",118,5,39
"18763",107,3,26
"14124",134,13,49
"604",99,0,14
"18932",105,1,20
"11056",155,14,70
"18635",132,3,22
"13696",137,9,52
"658",100,0,15
"1812",112,5,27
"13629",147,13,52
"15986",125,9,40
"8840",154,19,69
"14724",131,11,46
"4210",126,9,41
"14924",130,11,49
"16195",124,10,39
"15168",129,7,62
"16607",122,8,24
"19499",97,0,12
"13592",137,14,62
"8456",151,18,66
"15347",81,12,38
"7254",143,18,57
"12011",154,17,62
"7647",145,16,68
"15738",126,10,41
"1049",106,2,21
"14423",158,7,48
"11607",99,18,40
"111",85,0,0
"11641",105,18,93
"10266",168,24,84
"4694",129,10,51
"12151",146,17,51
"1074",97,3,21
"6412",122,13,52
"15403",96,10,56
"19719",91,0,6
"16080",149,9,39
"11126",154,20,69
"11636",149,18,65
"3611",120,8,25
"12111",193,15,61
"13497",138,14,53
"11648",149,18,65
"12728",142,15,57
"16672",122,8,44
"4583",128,10,58
"2197",115,5,30
"688",101,0,15
"10118",175,27,91
"716",101,1,16
"13663",137,16,52
"18324",111,5,25
"9768",167,34,85
"3397",89,8,37
"12012",147,23,62
"690",101,0,15
"17773",128,6,29
"4142",126,9,41
"14399",133,12,48
"15185",129,11,41
"11166",154,19,69
"18695",107,3,28
"15333",128,10,37
"4042",125,9,40
"11084",155,20,89
"16487",122,8,37
"10196",171,17,126
"4668",129,10,64
"2967",162,8,19
"17422",117,4,32
"7402",143,15,84
"14140",134,13,27
