,인구수,shortName,x,y,면적,광역시도,행정구역
41,149080,의왕,6,8,54.0,경기도,의왕시
42,408220,의정부,7,3,81.59,경기도,의정부시
43,190537,이천,8,8,461.02,경기도,이천시
44,385528,파주,3,2,672.56,경기도,파주시
45,423763,평택,5,9,452.31,경기도,평택시
46,140159,포천,8,1,826.38,경기도,포천시
47,150061,하남,9,5,93.1,경기도,하남시
48,555129,화성,3,7,688.1,경기도,화성시
49,240442,거제,9,20,400.7,경상남도,거제시
50,57384,거창,6,15,804.09,경상남도,거창군
51,49559,고성(경남),7,19,517.06,경상남도,고성군
52,500641,김해,8,19,463.26,경상남도,김해시
53,41388,남해,6,19,357.0,경상남도,남해군
54,97525,밀양,8,16,799.03,경상남도,밀양시
55,106388,사천,6,18,396.3,경상남도,사천시
56,31983,산청,5,18,794.59,경상남도,산청군
57,282278,양산,8,17,404.38,경상남도,양산시
58,25091,의령,7,16,482.95,경상남도,의령군
59,330378,진주,6,17,712.62,경상남도,진주시
60,56734,창녕,7,15,533.09,경상남도,창녕군
61,1010040,창원,7,18,734.87,경상남도,창원시
62,129599,통영,8,20,236.5,경상남도,통영시
63,43029,하동,5,19,675.57,경상남도,하동군
64,63142,함안,7,17,417.0,경상남도,함안군
65,36371,함양,6,16,725.03,경상남도,함양군
66,42515,합천,7,14,983.42,경상남도,합천군
67,251220,경산,11,12,411.58,경상북도,경산시
68,242618,경주,12,12,1323.85,경상북도,경주시
69,31189,고령,7,13,383.7,경상북도,고령군
70,396685,구미,9,10,616.1,경상북도,구미시
71,20596,군위,9,11,614.15,경상북도,군위군
72,127941,김천,8,11,1009.56,경상북도,김천시
73,67919,문경,9,8,912.0,경상북도,문경시
74,30287,봉화,11,9,1201.0,경상북도,봉화군
75,93305,상주,8,9,1254.82,경상북도,상주시
76,38277,성주,8,12,616.28,경상북도,성주군
77,157317,안동,10,10,1519.0,경상북도,안동시
78,34864,영덕,12,10,741.05,경상북도,영덕군
79,16009,영양,11,10,815.11,경상북도,영양군
80,101612,영주,10,9,668.45,경상북도,영주시
81,91214,영천,10,12,919.76,경상북도,영천시
82,40779,예천,9,9,660.7,경상북도,예천군
83,8392,울릉,13,6,72.82,경상북도,울릉군
84,46748,울진,12,9,989.06,경상북도,울진군
85,48776,의성,10,11,1175.89,경상북도,의성군
86,38571,청도,8,13,696.52,경상북도,청도군
87,23804,청송,11,11,842.45,경상북도,청송군
88,112446,칠곡,9,12,451.0,경상북도,칠곡군
89,488395,포항,12,11,1127.0,경상북도,포항시
90,389386,광주광산,2,19,222.88,광주광역시,광산구
91,213743,광주남구,2,21,61.07,광주광역시,남구
92,97571,광주동구,3,20,48.86,광주광역시,동구
93,439683,광주북구,3,19,121.74,광주광역시,북구
94,297826,광주서구,2,20,46.73,광주광역시,서구
95,154414,대구남구,9,14,17.44,대구광역시,남구
96,584517,대구달서,8,15,62.3,대구광역시,달서구
97,178203,대구달성,9,15,427.03,대구광역시,달성군
98,330830,대구동구,11,13,182.35,대구광역시,동구
99,431681,대구북구,9,13,95.5,대구광역시,북구
100,196378,대구서구,8,14,17.5,대구광역시,서구
101,427477,대구수성,10,14,76.49,대구광역시,수성구
102,74950,대구중구,10,13,7.08,대구광역시,중구
103,190815,대전대덕,5,12,68.45,대전광역시,대덕구
104,236524,대전동구,5,13,136.8,대전광역시,동구
105,475094,대전서구,4,14,95.25,대전광역시,서구
106,321618,대전유성,4,13,177.16,대전광역시,유성구
107,243626,대전중구,5,14,61.98,대전광역시,중구
108,84722,부산강서,8,18,179.05,부산광역시,강서구
109,235887,부산금정,10,15,65.19,부산광역시,금정구
110,142223,부산기장,12,16,217.9,부산광역시,기장군
111,271753,부산남구,11,19,25.91,부산광역시,남구
112,85952,부산동구,10,17,9.77,부산광역시,동구
113,256584,부산동래,11,16,16.6,부산광역시,동래구
114,365721,부산부산진,10,16,29.7,부산광역시,부산진구
115,292375,부산북구,9,16,38.3,부산광역시,북구
116,228824,부산사상,9,17,35.8,부산광역시,사상구
117,322757,부산사하,9,19,40.89,부산광역시,사하구
118,107107,부산서구,9,18,13.67,부산광역시,서구
119,168618,부산수영,11,18,10.16,부산광역시,수영구
120,198383,부산연제,11,17,12.08,부산광역시,연제구
121,122446,부산영도,10,19,13.98,부산광역시,영도구
122,43105,부산중구,10,18,2.8,부산광역시,중구
123,397134,부산해운대,12,17,51.44,부산광역시,해운대구
124,526157,서울강남,6,7,39.5,서울특별시,강남구
125,432028,서울강동,8,5,24.6,서울특별시,강동구
126,310292,서울강북,5,2,23.6,서울특별시,강북구
127,554709,서울강서,4,4,41.4,서울특별시,강서구
128,484478,서울관악,5,6,29.6,서울특별시,관악구
129,342909,서울광진,7,6,17.05,서울특별시,광진구
130,401233,서울구로,4,7,20.11,서울특별시,구로구
131,222566,서울금천,5,7,13.01,서울특별시,금천구
132,547202,서울노원,6,1,35.44,서울특별시,노원구
133,331682,서울도봉,5,1,20.8,서울특별시,도봉구
134,342429,서울동대문,7,4,14.2,서울특별시,동대문구
135,383917,서울동작,5,5,16.36,서울특별시,동작구
136,364232,서울마포,5,4,23.87,서울특별시,마포구
137,288543,서울서대문,5,3,17.6,서울특별시,서대문구
138,407416,서울서초,6,6,47.04,서울특별시,서초구
139,279939,서울성동,7,5,16.85,서울특별시,성동구
140,434061,서울성북,6,2,24.57,서울특별시,성북구
141,615487,서울송파,8,6,33.9,서울특별시,송파구
142,453634,서울양천,4,5,17.4,서울특별시,양천구
143,351837,서울영등포,4,6,24.56,서울특별시,영등포구
144,208603,서울용산,6,5,21.87,서울특별시,용산구
145,464236,서울은평,4,3,29.7,서울특별시,은평구
146,140595,서울종로,6,3,23.9,서울특별시,종로구
147,114967,서울중구,6,4,9.96,서울특별시,중구
148,391655,서울중랑,8,4,18.5,서울특별시,중랑구
149,191233,세종,4,11,465.23,세종특별자치시,세종시
150,327270,울산남구,12,15,72.11,울산광역시,남구
151,164738,울산동구,12,14,35.77,울산광역시,동구
152,180756,울산북구,12,13,80.41,울산광역시,북구
153,203232,울산울주,11,15,754.93,울산광역시,울주군
154,229589,울산중구,11,14,37.0,울산광역시,중구
155,58296,인천강화,1,3,411.2,인천광역시,강화군
156,317785,인천계양,2,5,45.58,인천광역시,계양구
157,388535,인천남구,2,7,24.47,인천광역시,남구
158,505791,인천남동,2,8,56.9,인천광역시,남동구
159,68950,인천동구,1,5,7.05,인천광역시,동구
160,527153,인천부평,2,6,32.0,인천광역시,부평구
161,477567,인천서구,1,4,137.05,인천광역시,서구
162,299734,인천연수,1,8,33.76,인천광역시,연수구
163,17735,인천옹진,0,8,164.3,인천광역시,옹진군
164,105029,인천중구,1,7,110.6,인천광역시,중구
165,33413,강진,1,22,495.98,전라남도,강진군
166,59975,고흥,3,22,775.85,전라남도,고흥군
167,26245,곡성,3,18,547.37,전라남도,곡성군
168,138071,광양,5,20,446.08,전라남도,광양시
169,23189,구례,4,18,443.01,전라남도,구례군
170,85081,나주,1,20,603.69,전라남도,나주시
171,39718,담양,2,18,455.09,전라남도,담양군
172,229134,목포,0,20,47.32,전라남도,목포시
173,72905,무안,1,19,436.4,전라남도,무안군
174,38705,보성,3,21,663.16,전라남도,보성군
175,254751,순천,4,20,907.35,전라남도,순천시
176,34396,신안,0,19,653.13,전라남도,신안군
177,263166,여수,4,21,501.3,전라남도,여수시
178,48141,영광,1,17,472.97,전라남도,영광군
179,52823,영암,1,21,544.48,전라남도,영암군
180,45985,완도,2,23,391.81,전라남도,완도군
181,38578,장성,2,17,518.65,전라남도,장성군
182,35397,장흥,2,22,617.96,전라남도,장흥군
183,28133,진도,0,22,420.32,전라남도,진도군
184,29242,함평,1,18,392.77,전라남도,함평군
185,65184,해남,0,21,887.47,전라남도,해남군
186,58331,화순,4,19,786.23,전라남도,화순군
187,51887,고창,1,16,606.9,전라북도,고창군
188,259094,군산,2,14,234.74,전라북도,군산시
189,78991,김제,3,15,545.06,전라북도,김제시
190,76854,남원,5,17,752.74,전라북도,남원시
191,22417,무주,5,15,631.68,전라북도,무주군
192,49980,부안,2,15,493.54,전라북도,부안군
193,25542,순창,3,17,495.75,전라북도,순창군
194,87465,완주,4,15,821.0,전라북도,완주군
195,284421,익산,3,14,507.1,전라북도,익산시
196,24973,임실,4,17,596.88,전라북도,임실군
197,20492,장수,5,16,533.64,전라북도,장수군
198,630708,전주,3,16,206.45,전라북도,전주시
199,104307,정읍,2,16,692.8,전라북도,정읍시
200,21917,진안,4,16,788.94,전라북도,진안군
201,145369,서귀포,4,25,870.68,제주특별자치도,서귀포시
202,430504,제주,4,24,977.8,제주특별자치도,제주시
203,37690,계룡,4,12,60.7,충청남도,계룡시
204,102371,공주,4,10,940.71,충청남도,공주시
205,51134,금산,3,13,576.28,충청남도,금산군
206,112516,논산,3,12,554.98,충청남도,논산시
207,153415,당진,2,9,694.13,충청남도,당진시
208,96133,보령,2,11,568.22,충청남도,보령시
209,64652,부여,2,12,624.51,충청남도,부여군
210,158771,서산,1,10,739.15,충청남도,서산시
211,51776,서천,2,13,363.4,충청남도,서천군
212,281938,아산,3,9,542.2,충청남도,아산시
213,76757,예산,3,10,543.1,충청남도,예산군
214,584912,천안,4,9,636.5,충청남도,천안시
215,29671,청양,3,11,479.67,충청남도,청양군
216,56489,태안,1,9,504.82,충청남도,태안군
217,87904,홍성,2,10,443.9,충청남도,홍성군
218,33297,괴산,7,11,842.0,충청북도,괴산군
219,27130,단양,7,10,781.07,충청북도,단양군
220,30685,보은,7,12,584.45,충청북도,보은군
221,46524,영동,6,14,845.01,충청북도,영동군
222,47599,옥천,6,13,537.13,충청북도,옥천군
223,86441,음성,5,10,521.05,충청북도,음성군
224,127462,제천,8,10,882.47,충청북도,제천시
225,34480,증평,6,11,81.84,충청북도,증평군
226,62809,진천,5,11,406.08,충청북도,진천군
227,790216,청주,6,12,932.51,충청북도,청주시
228,198077,충주,6,10,983.7,충청북도,충주시
