"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"cc",19,14,19,28,17,4,15,12,55,11,45,2,12,12,2,16,17,13,17,1
"cc",9,8,2,46,13,1,13,17,23,4,39,6,6,6,3,15,12,13,9,14
"cc",14,13,8,46,1,11,0,1,29,10,29,16,1,6,4,6,0,15,9,12
"cc",12,9,11,26,1,18,19,14,49,8,22,3,13,17,12,11,16,8,19,1
"cc",20,2,2,42,6,10,15,7,49,20,37,20,16,20,18,19,8,13,1,8
"cc",2,18,6,55,2,18,15,15,45,16,54,5,12,3,3,11,0,5,9,16
"cc",14,20,1,23,14,12,19,5,49,8,29,15,13,3,12,13,1,17,15,14
"cc",11,18,19,28,2,13,14,19,56,6,26,8,15,0,5,5,1,19,19,11
"cc",5,15,12,30,19,5,17,20,34,0,44,3,11,11,10,2,4,5,19,17
"cc",16,10,6,45,9,15,20,3,33,0,24,17,5,10,2,17,16,4,10,2
"cc",18,12,15,30,18,5,1,7,42,17,35,2,15,8,2,13,20,13,8,15
"cc",17,13,11,44,15,11,10,3,46,20,37,7,14,18,3,7,4,6,19,19
"cc",16,0,1,39,16,5,11,4,59,12,41,8,16,15,1,13,11,6,3,2
"cc",3,19,2,36,0,4,19,15,32,3,41,10,15,3,1,9,7,13,1,12
"cc",19,0,11,37,17,9,9,3,54,15,36,0,2,15,12,14,1,7,5,8
"cc",14,12,3,33,7,6,0,14,44,17,21,11,8,0,9,6,19,9,9,0
"cc",3,13,2,57,5,9,13,3,49,16,60,6,17,7,7,11,4,14,1,13
"cc",1,15,8,32,2,15,1,2,23,14,29,18,18,14,4,17,5,20,1,18
"cc",10,14,9,48,2,14,20,13,52,5,26,16,16,2,14,12,6,12,6,2
"cc",17,5,7,48,4,6,13,5,30,18,26,20,18,8,13,16,8,14,7,14
"cc",11,11,16,38,18,1,19,17,22,6,21,8,8,2,4,6,19,15,14,16
"cc",14,17,3,25,18,4,0,18,56,7,41,10,8,17,3,3,2,14,12,5
"cc",17,7,8,22,7,13,6,6,40,16,56,19,18,13,6,0,3,16,18,15
"cc",4,4,11,23,15,15,13,16,51,0,40,3,10,15,6,2,19,5,1,18
"cc",18,11,0,44,7,4,19,11,48,11,34,6,4,20,3,18,6,6,18,14
"cc",14,2,4,58,8,2,10,20,32,1,22,19,12,6,17,17,7,13,4,20
"cc",1,16,15,22,6,14,7,12,31,5,56,5,16,12,6,1,6,0,14,8
"cc",8,12,17,30,3,12,8,3,57,9,37,11,6,15,4,0,15,6,12,15
"cc",16,16,19,59,7,3,12,0,53,12,46,13,9,9,1,12,20,12,8,4
"cc",3,1,6,25,16,11,10,15,37,10,34,2,20,2,11,6,1,12,4,2
"cc",1,5,1,30,16,19,7,4,34,5,35,6,5,4,18,2,5,15,1,10
"cc",17,2,8,25,0,3,14,20,35,17,23,18,19,18,2,8,3,10,10,3
"cc",14,11,17,20,10,20,9,19,38,16,58,7,13,16,0,3,20,12,18,2
"cc",10,15,5,40,10,9,17,0,48,11,48,5,5,14,4,15,13,15,20,7
"cc",1,18,9,31,20,9,15,3,55,15,55,7,7,9,2,17,0,14,2,10
"cc",5,10,12,31,14,14,0,14,34,8,39,12,8,12,3,14,12,11,7,17
"cc",20,2,2,38,11,8,2,5,38,10,60,16,13,18,18,4,16,15,5,7
"cc",11,1,6,48,0,18,10,2,51,18,23,6,19,7,19,20,19,1,5,7
"cc",19,14,11,38,11,9,16,14,57,7,53,8,0,15,20,15,3,20,8,10
"cc",11,16,12,37,1,11,5,7,42,5,54,18,5,5,15,7,10,2,17,17
"cc",7,17,6,35,6,9,8,17,31,8,24,17,4,8,19,2,18,14,17,14
"cc",0,16,7,29,15,18,10,14,32,7,41,14,16,9,18,2,20,6,12,14
"cc",11,6,0,33,14,6,7,15,44,4,44,2,11,20,19,13,0,20,4,0
"cc",12,2,18,47,12,1,5,12,45,4,43,7,8,10,4,9,1,13,6,1
"cc",9,7,3,37,4,19,1,12,50,19,27,10,9,14,10,9,5,0,17,2
"cc",20,7,5,26,1,5,9,16,48,11,44,10,13,4,19,6,1,8,14,11
"cc",14,18,6,25,17,8,6,4,26,17,60,1,20,12,5,19,18,9,4,0
"cc",19,1,9,38,5,19,4,17,39,16,58,11,17,12,11,19,5,9,9,0
"cc",5,11,18,44,7,7,9,12,26,9,22,6,15,14,13,4,4,9,20,19
"cc",18,10,14,56,17,5,10,8,44,9,46,6,12,19,1,15,19,7,14,3
"cc",16,17,1,53,5,12,7,6,22,6,47,15,1,14,20,8,7,14,17,16
"cc",19,18,0,27,5,15,10,20,45,8,60,11,11,5,2,18,11,9,2,15
"cc",13,5,0,27,4,5,7,12,24,3,34,17,17,9,4,6,16,16,3,5
"cc",4,18,20,56,6,17,16,9,51,9,39,4,13,18,12,20,17,5,0,15
"cc",19,14,19,30,3,5,2,1,50,6,34,20,11,16,16,13,10,12,6,15
"cc",19,6,17,55,8,2,16,4,48,19,55,8,8,14,15,3,1,6,5,8
"cc",16,7,20,52,18,9,5,19,21,13,23,12,9,12,10,4,10,9,13,12
"cc",19,13,9,43,19,18,3,6,53,8,52,15,19,10,16,17,7,17,7,11
"cc",8,20,13,50,19,20,8,0,50,6,48,20,7,3,18,17,1,14,10,16
"cc",20,1,7,39,20,9,9,12,53,13,48,10,18,0,19,12,13,4,4,11
"cc",8,20,20,56,7,15,1,0,30,19,31,8,9,6,10,16,0,18,20,2
"cc",8,11,4,30,11,11,16,16,44,2,52,7,7,0,0,10,0,1,3,15
"cc",15,16,11,24,7,0,1,0,30,11,45,17,11,3,4,5,19,14,16,19
"cc",18,18,5,57,6,4,1,6,46,16,53,2,0,5,2,3,3,20,0,8
"cc",10,9,18,57,6,14,1,9,31,1,29,8,12,18,18,18,8,16,2,12
"cc",18,20,11,35,8,4,8,20,37,11,27,10,6,3,2,16,20,18,15,4
"cc",13,12,16,40,1,14,1,6,53,9,25,14,20,7,4,18,10,10,19,15
"cc",0,8,2,45,9,1,12,12,54,15,23,5,13,7,10,5,0,18,11,5
"cc",8,1,22,6,0,6,59,2,17,3,9,1,2,17,11,45,30,6,3,8
"cc",7,1,23,1,20,7,50,6,4,8,12,16,18,1,3,34,51,17,7,14
"cc",3,10,24,4,17,10,22,12,10,7,17,18,5,8,20,55,35,16,0,7
"cc",20,10,29,7,18,6,46,3,17,17,16,0,9,11,10,51,44,3,17,20
"cc",12,7,32,11,10,16,41,20,8,8,14,19,17,0,0,52,28,20,4,2
"cc",15,12,47,6,12,10,47,10,6,4,16,5,12,11,18,52,23,9,14,11
"cc",14,9,51,2,7,16,35,12,16,0,2,2,18,2,6,51,46,19,14,18
"cc",0,13,32,20,1,17,59,2,17,6,7,12,17,9,14,45,35,1,1,15
"cc",12,10,23,9,7,9,45,7,1,10,18,12,5,20,14,20,50,18,0,13
"cc",19,17,25,1,8,3,43,18,13,11,9,7,7,3,6,52,42,9,20,13
"cc",6,4,35,0,7,17,39,8,20,10,13,0,18,2,7,57,24,16,20,1
"cc",15,8,39,16,3,13,46,11,11,4,11,6,11,18,7,56,44,0,19,9
"cc",17,2,52,3,14,14,54,20,15,3,8,3,4,20,0,44,32,19,16,5
"cc",17,18,36,7,6,15,50,3,5,18,18,1,11,16,7,55,26,10,14,10
"cc",3,10,41,7,2,1,35,20,9,18,1,19,20,14,19,23,37,16,5,14
"cc",18,6,36,4,8,18,41,19,7,16,10,15,14,16,19,56,46,6,19,12
"cc",13,19,20,11,20,11,21,13,13,4,4,19,7,11,4,47,60,17,3,12
"cc",17,15,58,7,17,2,42,2,1,14,5,4,9,10,0,57,23,14,10,19
"cc",19,14,36,11,3,12,41,4,17,6,4,6,5,18,13,53,39,5,18,12
"cc",17,20,48,16,15,1,46,8,10,11,2,5,8,4,10,21,28,4,18,5
"cc",8,0,49,16,4,6,23,9,0,3,2,7,18,17,3,49,48,3,10,17
"cc",3,14,29,0,7,5,25,14,12,16,13,16,7,1,20,47,38,14,19,16
"cc",12,3,52,15,8,6,49,14,6,20,20,16,2,14,1,56,35,12,9,2
"cc",4,12,28,15,17,16,56,12,8,13,13,0,19,12,9,32,57,7,4,1
"cc",16,11,50,2,3,3,51,10,14,19,7,1,0,16,13,52,45,12,10,0
"cc",17,11,26,3,12,12,38,16,7,10,0,9,12,8,14,35,34,20,15,20
"cc",6,8,50,9,13,16,48,15,1,1,13,11,8,3,5,36,42,7,6,11
"cc",9,7,21,12,11,13,25,14,19,18,6,4,2,1,4,48,39,19,16,3
"cc",14,5,53,18,13,5,27,20,14,2,9,4,12,15,20,35,22,19,15,11
"cc",0,12,44,19,12,13,20,17,8,5,17,1,11,15,7,52,59,14,2,3
"cc",19,3,36,19,13,8,31,2,14,2,18,4,13,5,19,50,46,11,0,4
"cc",5,17,25,19,10,18,30,1,6,12,10,15,18,16,17,50,26,9,4,14
"cc",6,17,36,5,17,18,29,13,15,19,4,19,2,19,5,34,22,11,12,15
"cc",7,6,31,14,3,13,53,0,1,7,3,1,1,3,20,47,28,2,3,20
"cc",7,7,49,2,5,0,46,19,18,18,14,14,14,3,15,26,59,18,18,5
"cc",12,7,20,0,13,11,54,13,1,17,5,4,2,9,1,20,49,7,10,7
"cc",16,0,34,9,17,13,26,3,14,20,10,19,7,8,1,27,25,12,6,7
"cc",3,15,20,16,19,0,26,15,7,20,14,5,2,6,8,54,33,17,16,9
"cc",17,4,46,11,2,0,49,8,20,16,20,4,5,3,13,52,51,20,7,20
"cc",20,2,50,6,4,16,58,18,7,1,20,18,15,11,5,27,30,14,15,11
"cc",18,20,41,19,0,8,54,1,12,3,8,19,13,10,2,22,40,16,13,8
"cc",13,15,60,7,1,9,44,6,7,19,12,9,18,15,17,24,39,3,3,14
"cc",17,11,48,7,9,17,33,15,5,9,15,10,11,15,2,28,40,8,1,16
"cc",6,6,52,19,15,9,43,5,9,15,5,2,16,9,16,49,33,14,4,18
"cc",5,6,58,9,14,2,53,3,19,0,10,7,17,15,0,57,46,18,9,10
"cc",6,9,20,7,19,13,34,18,12,10,11,10,11,1,17,25,31,10,1,10
"cc",19,8,55,15,6,3,34,16,14,11,18,18,11,6,3,32,22,0,20,17
"cc",5,0,23,15,7,20,57,3,18,9,2,0,11,6,14,30,36,5,0,8
"cc",16,4,40,15,15,1,40,4,13,12,11,8,10,18,4,40,53,5,4,11
"cc",17,15,51,9,4,20,52,19,11,20,15,17,5,5,12,32,58,11,15,18
"cc",2,2,53,20,7,19,25,10,19,19,19,3,0,9,9,27,45,7,13,10
"cc",4,9,57,7,19,17,49,12,2,19,9,1,9,16,14,47,36,5,6,19
"cc",14,13,41,12,9,11,36,14,17,20,11,4,13,17,16,38,21,12,4,17
"cc",13,14,34,3,1,9,45,20,16,15,6,18,3,13,3,30,31,3,3,15
"cc",20,15,26,8,17,10,39,10,11,16,10,16,17,5,3,57,28,2,13,4
"cc",4,1,35,20,8,17,38,5,18,12,4,17,12,18,2,57,39,1,14,20
"cc",10,17,37,2,2,5,30,4,14,16,6,14,9,0,19,37,57,10,2,20
"cc",11,15,49,17,20,19,59,17,15,20,5,12,19,10,9,33,50,15,8,10
"cc",14,8,26,13,2,3,34,7,1,9,17,13,17,6,0,20,58,4,12,19
"cc",5,16,23,2,8,1,46,15,0,12,11,4,0,10,13,42,36,16,5,11
"cc",2,2,56,14,1,10,37,5,13,8,0,5,10,8,1,27,47,12,1,3
"cc",7,4,59,4,3,4,60,6,0,2,16,2,17,10,8,48,30,8,5,5
"cc",6,2,28,6,3,19,31,7,14,11,8,6,2,0,8,38,54,15,19,12
"cc",13,20,33,12,4,1,30,10,3,7,20,12,11,9,20,43,34,2,5,16
"cc",6,1,50,11,16,8,55,14,0,19,7,17,1,19,1,36,32,14,7,9
"cc",0,0,53,10,9,14,59,4,15,7,13,14,9,13,0,32,55,11,4,2
"cc",18,12,50,20,4,9,29,6,7,17,11,16,4,4,6,40,40,13,11,20
"cc",15,13,53,4,19,2,32,19,1,0,8,4,3,11,8,32,25,0,16,2
"cc",13,10,20,9,17,11,23,5,10,18,19,9,19,8,1,28,34,4,14,13
"cc",15,3,35,13,7,1,52,4,17,14,6,4,6,12,15,57,30,19,8,9
"cc",14,16,24,1,7,2,39,7,0,7,18,15,20,1,1,24,59,18,11,14
"cc",7,18,37,9,1,4,20,16,17,16,10,9,8,6,5,51,22,11,3,6
"cc",8,7,25,12,17,0,20,0,17,12,16,9,17,7,6,22,28,15,11,15
"cc",10,14,25,5,18,17,30,3,13,14,7,18,18,0,19,52,22,0,19,19
"cc",10,9,23,3,2,13,34,16,11,20,7,17,7,5,11,50,23,10,9,13
"cc",8,19,56,10,18,15,59,1,19,11,15,1,4,1,13,36,41,14,12,12
"cc",10,2,22,10,14,1,56,16,8,4,20,19,3,16,5,52,39,2,3,6
"cc",3,5,45,19,12,7,49,10,4,4,14,16,8,10,4,30,29,6,13,2
"cc",10,5,40,17,14,13,21,11,13,14,1,18,5,7,18,25,47,20,0,10
"cc",5,2,45,20,13,3,42,12,4,6,3,13,0,12,20,49,34,6,5,20
"cc",18,9,52,4,12,19,39,0,10,10,20,10,6,15,0,35,27,12,2,14
"cc",9,11,48,15,18,1,54,16,14,3,19,1,6,8,17,41,53,11,9,2
"cc",11,16,34,13,8,13,37,2,17,4,14,20,6,16,9,27,26,2,13,0
"cc",12,9,46,15,2,13,28,16,13,13,1,8,20,6,20,34,60,17,16,12
"cc",10,17,36,7,6,19,41,16,9,19,5,10,16,13,20,38,47,15,14,8
"cc",7,9,54,11,17,11,24,6,7,17,19,13,16,8,0,58,31,5,1,5
"cc",2,11,40,3,14,13,30,5,3,2,11,2,15,1,1,34,52,13,20,1
"cc",17,2,28,12,18,14,47,5,0,2,5,11,5,5,18,43,42,18,11,7
"cc",20,10,26,5,12,17,27,19,4,14,20,20,4,6,17,24,32,12,18,16
"cc",9,13,59,20,4,6,23,18,8,6,1,4,17,11,15,38,53,6,2,4
"cc",6,10,26,18,18,3,38,20,13,7,14,6,0,2,9,54,58,4,18,11
"cc",17,6,44,2,5,10,24,1,1,7,11,5,9,9,9,57,34,0,14,6
"cc",18,20,31,17,18,0,41,0,20,15,9,19,1,8,3,37,24,5,13,17
"cc",8,3,42,4,16,11,34,12,14,18,4,13,18,11,2,45,24,1,7,6
"cc",8,10,24,13,20,1,33,15,3,8,6,19,18,15,8,52,47,7,11,0
"cc",6,1,46,15,17,3,43,14,5,2,7,8,9,4,16,23,29,2,20,8
"cc",4,2,35,1,9,17,23,3,15,2,20,2,3,10,19,42,45,7,1,1
"cc",11,13,58,1,4,13,31,9,9,7,10,10,20,6,12,28,43,5,2,2
"cc",16,16,51,4,18,10,40,13,12,11,10,6,19,17,13,30,51,8,7,19
"cc",1,9,42,7,12,18,48,2,11,13,2,0,13,16,18,48,50,14,1,3
"cc",14,5,20,10,8,56,15,18,15,5,10,29,6,15,37,8,14,16,6,14
"cc",15,9,6,13,5,20,16,10,17,10,4,48,1,7,25,20,19,14,20,15
"cc",14,8,0,16,5,31,14,15,8,0,14,22,12,20,60,16,13,7,14,14
"cc",18,13,3,6,12,59,8,17,9,4,18,33,6,9,35,10,3,3,10,18
"cc",4,17,17,0,2,35,19,19,15,16,5,39,7,9,36,5,7,5,3,4
"cc",12,15,11,5,18,39,3,20,19,9,19,43,13,9,27,18,15,8,8,12
"cc",1,15,20,13,3,21,19,4,16,0,8,36,9,3,56,16,4,19,13,1
"cc",6,17,12,8,17,40,5,9,9,19,0,23,16,8,33,12,3,13,15,6
"cc",18,0,11,10,8,29,12,11,14,5,3,57,7,16,41,4,20,0,13,18
"cc",8,18,3,15,3,48,10,7,3,12,4,37,14,13,34,5,3,8,3,8
"cc",6,12,8,14,0,26,10,5,0,8,6,36,20,19,52,11,19,20,12,6
"cc",13,10,15,18,19,59,8,3,4,15,11,28,1,19,36,16,7,1,16,13
"cc",15,5,0,8,6,32,19,18,2,14,8,36,12,4,38,17,14,11,8,15
"cc",0,0,10,9,3,22,6,11,14,1,17,30,19,11,25,1,12,18,3,0
"cc",7,9,11,15,18,27,19,3,13,11,16,60,9,12,59,10,1,17,14,7
"cc",19,0,6,1,7,50,12,11,0,1,15,39,5,13,47,8,5,9,18,19
"cc",13,15,10,5,1,23,6,19,15,3,19,20,17,4,45,4,11,12,15,13
"cc",7,11,13,3,13,23,13,4,5,20,16,59,1,12,42,4,3,14,2,7
"cc",15,15,6,2,9,39,14,12,4,9,16,36,4,11,45,12,8,12,15,15
"cc",5,0,10,8,7,50,9,8,10,4,4,48,6,9,54,5,2,3,5,5
"cc",9,12,12,12,13,45,9,6,9,18,19,23,12,9,57,20,5,5,15,9
"cc",1,7,5,18,20,41,20,14,6,6,17,57,2,18,32,19,10,15,12,1
"cc",1,9,4,8,16,55,0,10,5,7,5,53,2,9,30,3,7,16,5,1
"cc",17,4,10,0,8,33,19,18,3,1,7,22,9,13,22,3,5,5,12,17
"cc",10,2,2,6,3,29,2,2,13,7,5,58,9,4,21,9,18,15,0,10
"cc",20,12,11,13,17,51,20,3,7,10,0,20,10,2,22,6,8,11,7,20
"cc",4,5,20,11,9,28,15,13,6,11,15,49,13,0,31,13,15,17,6,4
"cc",17,11,9,12,15,41,11,4,2,7,17,40,14,2,42,0,5,4,20,17
"cc",20,10,7,0,7,25,10,5,5,18,18,41,15,5,25,19,19,3,14,20
"cc",1,18,0,12,11,22,15,7,3,8,10,34,19,12,23,6,8,7,5,1
"cc",10,20,11,17,1,36,15,10,8,6,13,36,19,5,57,0,18,9,8,10
"cc",0,16,19,19,3,28,16,14,11,3,11,21,17,1,32,12,18,12,11,0
"cc",13,1,2,10,2,21,18,9,2,13,2,24,10,1,31,2,9,16,8,13
"cc",7,9,5,15,8,55,8,19,17,0,12,54,9,16,35,19,0,7,15,7
"cc",18,7,6,6,17,44,10,18,9,5,13,40,2,19,54,11,17,9,9,18
"cc",14,2,3,16,18,29,5,2,17,20,1,51,6,13,48,12,6,9,15,14
"cc",2,7,2,19,2,43,11,20,0,19,4,41,9,17,49,3,5,5,15,2
"cc",0,9,10,1,14,24,18,19,17,8,10,60,14,15,43,13,6,15,19,0
"cc",2,18,12,13,8,42,1,18,10,16,17,30,5,3,25,18,8,0,10,2
"cc",10,2,15,3,14,59,19,17,18,3,13,35,8,9,48,8,16,9,7,10
"cc",8,12,8,16,11,29,1,19,7,6,8,45,5,4,49,4,1,19,1,8
"cc",12,15,10,14,7,54,11,17,15,2,4,55,19,6,58,5,11,5,16,12
"cc",6,20,6,12,2,55,8,14,17,19,1,43,12,1,31,6,7,15,5,6
"cc",15,18,17,7,7,26,9,1,18,10,17,29,4,3,45,1,13,12,4,15
"cc",18,3,0,11,2,51,13,7,15,6,16,25,14,5,22,13,3,16,13,18
"cc",6,6,11,15,1,25,17,9,16,7,0,48,19,10,45,0,10,3,1,6
"cc",8,6,8,1,3,59,8,4,11,18,8,53,11,2,48,7,12,16,19,8
"cc",20,17,8,2,14,28,6,0,16,9,19,30,3,12,55,9,5,20,13,20
"cc",6,11,18,16,11,58,13,11,0,14,4,60,11,2,60,1,0,1,6,6
"cc",4,2,20,4,20,51,6,2,6,15,19,52,17,12,45,19,10,20,4,4
"cc",3,6,20,11,17,15,5,15,0,6,4,16,9,2,1,14,18,27,60,25
"cc",2,17,20,18,2,4,1,0,9,7,10,19,18,3,7,2,6,46,23,42
"cc",18,20,12,15,9,17,0,12,10,13,14,4,3,1,16,4,9,47,47,35
"cc",9,5,6,7,8,2,4,16,6,18,0,5,13,15,8,5,5,31,37,20
"cc",13,6,12,7,6,10,5,19,12,5,0,0,1,3,20,14,0,30,35,41
"cc",8,5,17,15,3,20,18,17,4,5,3,2,19,10,5,11,8,55,36,26
"cc",10,15,10,3,18,12,16,1,16,14,11,14,16,10,7,13,11,36,32,44
"cc",8,19,5,3,8,19,7,1,6,1,20,18,14,13,3,9,0,40,54,55
"cc",0,15,16,3,17,7,12,11,2,9,14,3,17,5,20,5,2,34,27,53
"cc",2,8,17,5,9,6,16,5,7,7,3,19,20,5,6,17,12,48,20,48
"cc",5,5,19,10,4,1,2,13,10,5,5,0,19,15,6,10,18,20,25,38
"cc",2,11,11,10,12,2,14,2,15,8,9,16,0,1,1,15,18,53,55,42
"cc",11,19,20,12,0,16,17,20,2,5,4,16,14,14,20,8,8,25,36,45
"cc",13,3,18,16,20,17,9,17,8,5,7,11,4,2,13,11,2,31,33,40
"cc",2,11,6,6,4,2,4,12,8,0,18,18,5,8,8,15,1,54,21,21
"cc",10,11,4,8,9,3,17,19,5,18,17,3,4,2,15,13,8,50,35,35
"cc",19,13,20,18,11,5,17,2,9,5,10,19,11,1,11,0,17,55,54,20
"cc",13,10,6,1,11,19,15,4,17,9,12,5,9,4,16,17,12,29,26,29
"cc",16,10,7,12,1,16,1,15,9,0,16,15,1,7,5,8,1,25,35,46
"cc",1,19,1,10,8,13,10,5,8,0,7,7,4,16,18,1,14,32,40,33
"cc",19,13,1,20,12,18,13,4,18,11,7,15,19,5,8,17,17,46,48,51
"cc",16,4,11,0,15,2,6,0,12,16,2,14,11,11,1,10,8,60,40,58
"cc",6,6,0,20,3,16,7,11,18,11,5,11,3,4,1,1,5,29,56,37
"cc",18,9,17,12,13,17,0,12,0,13,3,10,7,9,19,10,6,34,52,35
"cc",1,2,4,9,11,2,17,0,9,9,11,11,8,7,15,11,11,54,50,28
"cc",5,8,20,0,4,10,11,6,16,19,16,8,3,5,20,17,5,27,58,24
"cc",10,17,13,6,18,5,4,14,15,16,6,1,19,13,8,7,4,57,57,34
"cc",4,12,7,7,19,19,4,10,8,16,0,8,10,18,9,19,15,51,20,40
"cc",13,17,10,11,20,18,8,7,17,2,17,7,7,3,5,11,1,40,39,40
"cc",8,10,7,2,13,6,12,11,7,16,13,17,11,19,11,7,6,29,35,38
"cc",6,10,19,3,11,10,14,15,16,16,12,16,15,4,19,3,5,55,54,40
"cc",12,11,3,11,2,0,13,16,16,1,4,11,7,12,14,13,10,23,38,21
"cc",11,9,13,15,18,12,8,9,16,10,11,5,7,20,0,20,1,56,38,20
"cc",13,10,11,4,3,13,3,2,1,17,4,19,14,2,4,5,10,30,54,22
"cc",11,11,17,16,10,14,13,8,18,3,7,0,15,3,12,2,12,43,44,33
"cc",5,13,15,6,15,1,10,7,8,11,14,16,6,7,13,5,3,33,45,33
"cc",16,18,10,1,14,17,0,0,3,9,8,19,10,1,11,2,13,40,40,31
"cc",4,17,0,20,13,11,7,14,2,4,9,16,15,8,20,18,5,20,36,36
"cc",0,0,19,14,8,15,12,5,19,2,7,2,15,7,11,8,4,28,46,27
"cc",9,2,11,7,15,8,15,15,8,12,16,9,5,3,15,11,5,43,43,33
"cc",8,0,1,20,11,10,14,19,2,11,7,7,7,10,13,11,10,51,28,47
"cc",13,1,2,14,9,17,1,4,14,14,13,14,17,13,6,10,10,28,26,42
"cc",11,16,11,18,10,13,6,3,8,4,8,19,8,2,6,6,1,47,36,30
"cc",17,5,15,0,16,12,2,11,19,19,15,11,1,5,7,14,11,32,25,22
"cc",20,15,15,14,5,2,9,4,0,3,13,0,0,9,20,6,14,22,41,46
"cc",6,7,16,12,19,7,16,11,15,3,12,15,4,20,1,18,9,39,49,41
"cc",12,20,10,15,10,18,0,15,4,2,0,14,8,9,4,18,14,20,58,37
"cc",0,8,18,0,14,18,0,11,15,16,4,10,12,19,10,13,9,41,32,23
"cc",16,9,18,11,8,20,19,2,7,14,15,1,7,2,3,19,4,43,47,52
"cc",12,3,17,14,13,14,14,17,5,2,1,4,20,15,8,0,17,28,44,29
"cc",6,10,9,13,16,4,20,1,9,20,18,7,6,9,2,1,1,40,36,32
"cc",5,10,18,20,13,19,9,11,7,1,13,16,8,6,5,13,15,41,58,59
"cc",9,17,14,15,10,18,9,7,12,14,14,7,11,18,16,6,0,29,41,20
"cc",7,7,12,19,20,17,5,8,6,3,11,8,16,2,3,1,8,33,56,45
"cc",2,11,0,1,0,3,13,0,9,11,2,8,12,11,20,9,0,54,22,58
"cc",8,5,4,7,20,4,17,9,6,10,16,13,20,11,9,0,15,58,50,47
"cc",7,13,18,10,0,20,11,0,12,10,9,13,7,3,16,2,18,47,29,26
"cc",14,3,4,20,11,0,11,1,9,0,20,2,15,4,9,9,12,47,54,49
"cc",18,13,10,14,17,2,20,1,14,20,16,3,19,5,2,14,3,60,20,20
"cc",18,10,3,14,1,2,19,5,17,0,12,13,13,10,11,10,12,22,38,27
