CUSTOMER_NBR,STATE,ZIP_CODE,SHOPPER_SEGMENT_CODE
16617,DC,20020,3
118195,NJ,7035,4
176264,PA,18055,5
189235,NY,12983,4
511209,TX,76040,5
688834,PA,17543,
393902,NV,89149,3
49818,NV,89436,
513822,NY,11731,4
18335,OH,44129,3
701264,CA,92675,5
646951,NY,11933,3
734704,NY,11782,3
436330,SC,29170,3
714936,PA,19440,
97914,OH,43062,3
412727,OR,97007,5
207733,HI,96792,4
532913,CA,95133,3
589100,NJ,8822,3
407205,MI,48840,2
21757,IL,60456,4
553635,IL,61341,1
377742,WV,25976,1
535529,MS,39701,4
270243,NY,10705,1
700450,TX,77022,1
157702,GA,30635,
502610,MI,48124,1
536570,NY,11367,3
21112,CA,90045,4
256741,AK,99611,4
39848,TX,77459,
366921,NY,10017,2
75451,VA,23452,2
576384,CA,94533,
309829,NM,88001,2
277352,IL,60634,3
153380,NY,11729,1
40331,TN,38261,3
485798,MA,2048,4
77420,MA,1085,5
87654,CO,80831,3
225784,TN,37771,3
73304,DE,19802,
537881,FL,32025,1
670997,CT,6804,4
167058,TX,75230,1
466471,NY,10467,3
654066,CT,6492,4
405603,IL,60707,
205021,IA,50401,1
261477,CA,95621,1
649454,PA,18078,5
640735,NE,68111,4
713674,TX,77083,5
56051,MA,2145,3
438435,IN,46218,2
66902,NY,13031,4
560703,WI,53227,4
653412,NJ,8722,4
353640,TX,77802,3
337184,NC,27712,4
308581,NY,10039,1
527181,NY,10987,3
318551,MA,2359,3
474069,NM,87505,1
680409,QC,J0L2J0,
307713,WA,99201,
334691,AZ,85207,3
399898,NY,10024,3
652444,NJ,8810,2
278892,GA,31705,
582216,NJ,8902,1
481939,NV,89113,
599245,FL,34983,1
363810,TX,76126,5
156828,GA,30092,
161872,OH,43123,
742120,MI,48114,5
254219,AL,35976,1
641537,OK,74604,
591783,OH,43055,
590821,CA,93030,1
340967,LA,71241,3
411822,FL,33434,
642537,PA,15336,
738258,NC,27613,1
97830,MD,21093,3
14795,FL,32135,3
295842,CA,91010,
128975,NY,12401,
213859,SC,29730,1
242271,NJ,8225,4
595352,IL,61704,3
411128,MS,38930,1
334067,NM,87020,4
374057,TX,78131,1
382294,TX,76040,
333107,FL,32720,3
386292,CA,94571,1
312857,GA,30741,1
712405,PA,19116,5
643614,MD,20619,1
462583,OK,73012,5
284846,AZ,85083,1
158041,NC,27858,2
364778,PA,17756,4
716464,CA,95060,3
26554,KS,66207,3
601015,NJ,7757,3
679467,WI,53012,3
555283,NY,11003,3
169433,CA,91733,1
130872,TX,76023,1
276561,CA,93442,
35777,MI,48127,
571857,NC,27932,1
102114,NJ,7712,5
522770,PA,15853,4
621395,IN,46410,5
421418,CA,92024,5
464762,FL,33806,1
684482,NY,10456,
375944,NY,13036,
251733,CA,91406,3
646423,NC,28602,3
351710,FL,32792,4
381251,MT,59718,
402825,CO,80211,4
350762,CO,80920,1
309004,FL,33825,
273330,SD,57110,4
519487,LA,70809,4
742597,TX,78380,
89517,VA,22554,4
430071,NH,3835,3
477019,NJ,7853,3
5366,WA,99001,3
113722,VA,23669,
116017,PA,15228,5
248321,OH,44420,3
387154,FL,34685,
229938,VA,24084,2
700627,VA,23602,1
164162,NC,28806,5
88039,NY,14870,
727188,IN,46701,
314340,MN,55970,1
714249,NM,87123,3
385214,TN,38107,
140818,NJ,8043,
493406,TX,78412,
240564,MS,39759,
313946,FL,32210,2
218637,IN,46208,2
722436,TN,37167,4
503792,NY,11784,1
739485,MD,21045,2
202178,AR,72758,4
483934,DC,20008,4
350954,IL,60540,
694266,NY,14526,1
367263,TX,77651,
251380,MD,20721,4
223577,ID,83616,1
59423,TX,75647,3
51163,NJ,8857,4
271216,FL,32931,3
288294,MI,48838,3
479551,NJ,8402,
187120,NY,11427,3
736301,PA,17331,3
61550,IL,60629,3
393794,IN,47250,2
125305,NJ,7865,1
30471,MD,21221,1
471830,PA,18235,3
739095,GA,31324,5
41827,CA,91001,4
349638,PA,16830,4
605340,MA,2338,4
675930,CA,93534,
134548,HI,96717,1
135449,ND,58523,4
212274,FL,33312,
692386,OR,97370,
47776,VA,23308,3
559069,MA,1603,4
254458,PA,19120,1
280295,VA,22732,
520655,CA,92314,1
152208,MO,63033,1
744460,TX,77479,
703886,MI,48310,2
380751,NY,10974,
130521,PA,17834,3
454449,NY,12804,5
499654,KS,66205,4
630747,VI,831,
281351,VA,20181,3
93989,MI,48067,3
451462,PA,17050,5
207068,TX,76544,1
543600,CA,95422,4
305467,LA,70506,2
292966,GA,30066,
284796,NY,11375,
323385,PA,15642,4
51974,CA,90803,
6902,PA,19132,2
55353,TX,77461,5
621043,NV,89081,1
342001,WA,98001,
298028,CA,92130,
744647,VA,23434,
731160,NC,27823,
251395,PA,19148,1
51754,MO,63080,4
630448,WI,53177,3
160848,NY,10469,1
282357,OH,45044,3
460433,IN,46135,3
652156,PA,18324,3
156842,MD,21212,5
655516,FL,33426,4
309660,PA,19320,2
152456,AK,99731,
128658,MI,48066,
20505,VI,801,
291708,NJ,8323,5
495923,NJ,7076,
70046,OH,45417,3
148629,WV,26716,
423884,IL,60445,3
482515,FL,34758,1
463260,NJ,8854,1
230634,FL,33144,
255716,CA,92660,4
429274,LA,70659,3
345262,NC,27455,
82065,MD,20737,1
174132,IL,62034,
251870,GA,30559,3
673803,WA,98208,2
373173,MI,48066,3
252167,MI,48220,
722149,TN,37343,4
159679,NY,10036,
200949,CA,93722,3
302169,NC,28462,3
590935,MD,20708,2
292384,NJ,8723,
14131,MD,21216,2
538141,CT,6489,5
468534,NC,27323,2
88086,FL,33073,2
570729,OK,74728,1
260524,FL,33334,2
74902,OK,73507,
45578,SC,29706,3
34473,LA,71129,2
138003,PA,15238,4
238577,OH,43950,3
397955,PA,18507,4
672698,NC,28334,1
503398,MI,48829,
427399,NC,28001,1
681689,NJ,8852,1
268185,MA,2492,1
418072,PA,16510,
219324,VA,20147,
662195,MI,49676,3
428995,PA,15501,3
33489,CA,90277,
179872,FL,32507,3
205419,LA,70079,
137010,FL,34772,
6933,LA,70065,
743261,UT,84780,
103315,MS,39466,5
56836,IN,46131,3
34591,NE,68134,4
59780,NJ,8876,1
163027,WA,98498,1
40665,TX,75605,
722692,IA,51401,3
634584,NJ,7450,4
434350,NJ,8055,5
107640,SC,29910,3
488006,AZ,85266,3
495041,OR,97501,4
470759,IN,47904,3
54648,MD,21212,3
113201,PA,18847,
177738,CA,95991,3
47352,OH,45240,4
610198,AR,71822,1
106835,MI,48843,1
75394,NY,13316,4
5316,UT,84088,4
619601,CA,91748,
649435,NM,87020,3
517819,WV,25880,4
412135,GA,30184,1
469225,VA,24370,
745630,GA,30269,
563898,OH,43723,1
394713,OH,44129,2
749338,GA,30188,3
358284,FL,32713,3
128922,MD,21042,1
566619,NJ,7748,5
13132,MA,2129,
418992,OK,74743,
620237,NJ,7031,
40627,MO,65039,3
532648,PA,15425,1
577407,PA,15824,3
447285,OH,45011,
262635,MI,49504,3
333549,NJ,7748,
576880,PA,17202,4
90138,MI,48603,
383702,TX,77901,1
264224,PA,16424,4
179181,TX,75707,3
259437,TX,75173,4
379840,IL,61880,1
557736,ID,83501,2
302436,NV,89113,
729856,CA,94589,1
31935,NJ,8518,4
80040,MA,2360,1
100258,FL,32771,3
80903,NV,89074,4
40398,MS,39440,1
712697,TN,37080,4
530334,CA,94030,
43235,WI,54566,3
674500,CA,92410,1
605873,TX,77539,3
532434,SC,29153,1
451812,IL,60423,3
724526,PA,16511,
744193,NY,11211,
21138,GA,30062,5
140441,NY,14086,
725159,MN,55350,5
586332,OH,44906,
249681,MS,38668,3
706287,CA,95678,4
374650,FL,33406,
506541,MO,65203,4
240683,IL,61364,4
7674,MI,48706,3
179065,MO,64601,4
722923,IN,46804,4
238339,MA,1040,3
310848,MA,2760,
255241,FL,33155,3
50447,SD,57441,3
250488,TX,77459,1
475442,TX,76244,
427584,MA,2150,4
71724,OH,45240,4
470732,MI,48038,3
427686,NC,28311,3
372899,CA,92653,4
168110,MA,2035,3
694495,PA,19087,1
156409,TX,79316,
724207,ME,4578,4
476774,NJ,7661,4
280803,PA,17922,3
203855,LA,70586,2
37629,VA,20181,3
226680,NY,11580,2
705127,PA,18360,1
584151,TX,77379,
249536,IL,62221,
198253,TN,37721,1
618635,CA,93033,1
204134,VA,23325,2
166487,OH,43055,3
79422,DE,19711,4
691246,NJ,8753,
383244,OH,43906,2
120163,TX,78114,1
744197,CA,93313,1
34306,WV,26726,4
479969,MI,48066,5
243945,PA,17408,4
344963,IN,46613,4
516194,AK,99502,3
316386,MN,55121,3
221370,MD,21157,3
379625,FL,32277,3
419590,SC,29407,2
608467,WA,99344,1
2897,CA,94566,3
58099,WA,98168,
641710,NC,28358,3
538030,MO,63640,3
333454,MA,1106,4
723159,OH,44406,3
328973,MN,56319,4
64459,MS,39501,
316618,IL,60646,
278988,MD,20874,1
592215,VA,23321,5
317728,GA,30354,3
21547,TX,77433,4
76359,IN,47601,1
379743,UT,84520,
635473,WA,99320,
92617,NV,89134,2
558537,TX,75063,
539460,TX,78233,1
222218,MN,56159,3
660041,MO,63115,1
350777,VA,23664,3
262797,FL,32829,3
493177,NJ,8234,5
124408,PA,18011,1
182258,CA,94806,1
519440,VA,23831,3
702096,CA,90056,2
259731,IL,60641,
564107,FL,32725,1
615970,PA,15236,4
467169,MO,65109,3
452822,GA,30741,1
454687,MD,21502,1
697401,MO,65775,
59675,AL,35811,
312771,OK,74343,1
30797,OH,43135,2
566477,MI,49424,5
255714,NC,28607,1
158220,TX,77079,
176,PA,15342,1
118974,CA,92544,1
305021,CO,81650,
611168,OK,74008,4
258193,TX,78205,3
569423,CA,90620,3
516783,FL,34986,3
478285,NY,14221,2
52531,NY,10009,3
680032,TX,76567,
222493,IL,60453,3
661782,NJ,7111,3
143101,CA,93560,
68523,KS,67208,1
169851,DC,20012,1
288990,FL,32806,2
500118,FL,34113,
487468,OR,97520,
79752,MO,65332,2
220926,TX,75567,1
493392,LA,70380,2
115763,MO,65738,2
535637,WA,98055,4
397756,CA,92058,
631813,DE,19966,
501748,MA,1906,3
311448,VA,22401,1
392296,CA,91307,5
25215,IL,60504,
583250,MI,48060,2
488287,TX,77531,
50610,VT,5441,1
53720,FL,33993,2
158426,KY,40741,
446754,NC,27916,2
214732,FL,33414,3
559754,NY,10703,3
508650,OR,97229,4
654494,TN,37327,4
645887,MO,64151,
209851,WA,98373,
569242,MD,21502,
198628,WA,98272,
24356,FL,33317,1
394229,FL,32137,2
100553,OK,73034,1
273527,PA,17055,1
372296,CA,90247,2
475688,TX,76554,1
270988,IL,60030,3
230830,CA,92354,4
615347,MI,49855,3
250855,SC,29860,
2334,FL,33462,4
97054,FL,33126,
449040,MI,49201,2
729703,OK,74441,3
741461,MA,1082,
715468,MO,64130,1
628567,CA,91360,3
114806,CA,93060,1
321007,FL,33404,3
551373,PA,19126,
666919,OH,43920,2
452804,CA,91917,
338875,WI,54720,3
593766,TN,38112,
155623,FL,33463,
550982,NJ,8833,3
631641,FL,32082,
537056,MN,55303,1
41859,CT,6249,4
730428,TX,77034,1
322613,PA,19320,4
208226,TX,78717,1
321527,VA,20147,2
366212,CT,6109,3
323946,PA,17225,5
662860,KS,67042,3
32142,TN,37160,4
374813,NC,28428,
145176,TX,79086,
85935,ID,83226,1
198177,CA,94010,3
724168,OK,74055,
683350,MD,21114,
602618,NY,12053,2
205330,LA,70817,1
128830,IL,60513,
528169,MI,49431,3
557107,PA,18966,4
87394,NY,14610,5
504136,MD,20735,1
597447,NY,12566,3
72611,IL,60706,3
727868,OR,97401,3
37533,NY,12834,4
58439,ID,83714,3
448568,MI,49938,5
281840,MI,48033,3
248314,AR,72653,2
631588,IL,60661,5
409784,CT,6026,3
27442,NJ,7470,
581132,IN,46307,
6773,FL,34788,2
239667,UT,84104,
390408,MI,49868,3
587229,CA,90606,3
82390,AL,35803,1
705294,TX,78253,
715382,PA,19382,3
654261,NY,14624,4
260805,KY,41701,1
228527,PA,18078,2
450282,MA,1945,3
703397,AZ,85741,3
707622,DE,19803,5
680876,PA,19090,
105156,CT,6067,
661199,ID,83522,
198241,OH,45069,5
676502,MI,48227,
351480,CA,95630,4
227048,FL,33782,
473367,CA,92101,1
741594,CA,91214,
316528,MI,48624,3
366435,TX,75156,3
327265,IL,60516,3
348336,NJ,7036,3
548396,WA,98237,4
675062,MI,48048,
382217,NV,89014,
665968,MI,48734,2
330321,NY,12143,4
103040,PA,18407,3
383553,GA,30124,2
351693,GA,30004,
112830,NY,14305,2
743466,PA,15683,2
631996,PA,15122,5
638647,WA,98166,3
720009,MI,49424,5
666220,FL,34655,3
237881,WA,98516,3
70804,OH,45385,3
314888,FL,34974,
412264,OH,44830,3
56216,OK,73505,2
410151,CA,93311,
122427,HI,96729,1
46389,WA,98568,4
193781,WI,54487,3
86190,VA,24502,1
198564,CT,6062,5
592977,TN,37873,
269185,NY,11001,3
31561,MD,21216,3
633509,VA,23510,
700998,CA,94609,1
86663,TX,76522,1
338517,AZ,85379,4
698190,IL,60466,
127288,CT,6410,3
687888,PA,17744,
99494,MO,63034,
718035,WA,98568,4
385570,TX,78260,5
179885,CA,93619,4
268703,VA,23503,3
180956,IL,60477,3
51472,IL,60608,1
64503,IL,60201,4
480216,GA,30265,
486759,HI,96746,
55499,CA,94580,1
240194,OK,74133,2
149147,NJ,8223,
134246,IA,50701,
453407,NY,10992,
500467,TX,78640,
550724,UT,84067,
81596,NY,12033,3
14403,NE,68901,4
375952,PA,18056,1
599502,TX,77077,1
740880,TX,75227,
563422,FL,32164,1
397985,SC,29611,
193998,NY,10306,3
21325,LA,70130,3
717272,VA,24504,3
659085,FL,32312,2
179837,KS,67137,3
612998,VA,23669,1
52779,IL,60438,1
374420,NJ,7111,
221608,CA,94510,3
103629,FL,32836,4
736235,NY,12303,1
72253,CT,6877,3
585158,VA,23838,
106836,MI,48136,1
291679,FL,32780,
479240,TX,78258,
185315,CA,95667,4
24712,NY,12304,3
462357,WI,53172,2
340405,MD,20695,3
167593,TN,38134,2
36968,MI,48085,5
207213,MI,48146,1
578285,FL,33907,1
736070,NC,28001,
681560,PA,18431,
77838,NJ,7885,5
242579,NJ,8691,3
20687,IA,52722,4
22787,TX,79761,1
287326,TX,75115,4
301711,KY,41352,3
389330,FL,33143,
674603,TN,38115,
231678,PA,16055,3
160305,WA,98467,
107569,NC,28364,2
345024,TX,75951,1
54654,OK,73521,2
155330,NV,89436,2
591213,ME,4429,2
18473,LA,70714,1
458982,PA,15143,5
515842,MA,2563,5
441549,TN,38117,4
115230,KY,40324,2
180897,MD,20706,4
38129,VA,23602,3
63276,OR,97380,2
453592,PA,19111,3
83356,KY,41015,
225857,IL,60617,3
403631,IN,47834,1
19565,CT,6824,4
725132,VA,22405,2
686025,GA,30126,
225692,CO,80013,4
4994,TX,77707,
169232,PA,15066,3
74284,PA,17972,
681020,VA,20164,
690409,NY,11779,
84464,IL,60060,5
389777,PA,15904,
318442,IN,47302,3
210860,WV,26623,1
151243,NY,14626,
673418,CA,94550,
158792,MS,39345,
330242,CA,90815,1
102862,NY,10040,2
405328,OH,44408,
331446,NY,10962,3
312623,AL,36116,1
460545,OH,44855,3
438944,OH,45640,1
193814,MN,56021,3
448001,AL,36277,4
171601,NC,28405,
268987,NJ,7055,
552265,LA,70526,3
492415,NC,28374,
439561,MO,64137,5
679326,PA,15210,1
407800,FL,33055,1
555857,NY,11216,1
531963,CA,92694,5
255502,NY,11225,4
531016,IN,47882,4
65457,GA,30269,3
50028,KY,40342,3
530228,NJ,7506,1
583207,OH,43119,
456397,NJ,8540,3
250769,NY,10461,3
535406,VA,22206,1
637021,NY,10473,3
530929,KY,40759,3
145749,CA,92120,
448254,TX,75570,1
122468,TX,78245,
222062,QC,H3Z3C5,
640053,NJ,8010,4
369544,OH,43068,3
656654,NC,27313,1
313649,CA,95436,2
564967,KY,40040,
503008,PA,16415,4
578076,TX,79907,
424470,TX,77494,5
293764,TX,78244,
33032,FL,34956,3
117422,OH,43609,1
412704,IL,62644,5
22121,CT,6001,4
68806,NC,27282,3
445444,FL,34453,1
409433,CA,92571,1
586154,IN,46366,
555900,MI,48313,5
439112,CT,6854,4
352073,GA,31602,3
625814,VA,22204,3
339232,NY,11803,2
543919,NY,14085,4
165142,NJ,7032,1
347928,SC,29625,
675251,IL,60625,3
699815,NJ,7442,4
372640,ND,58701,2
633321,PA,17022,
69881,MD,21601,4
293395,MI,48183,
71557,WV,26554,3
643388,CA,94536,1
517656,MA,1095,4
517403,KY,42503,4
603466,PA,19053,1
426251,MI,48165,3
134865,NY,14456,3
739520,IL,60469,
421680,FL,33407,1
397275,MD,21074,
148433,MI,48080,
27667,VA,22601,1
146213,FL,32162,3
535203,IL,60585,5
663206,FL,32465,1
312645,KY,40214,3
674599,CA,90305,3
716264,OK,74462,4
293171,OK,74077,
499995,NC,28104,1
693978,NY,10550,
334767,NJ,7712,3
352877,NY,10453,1
331763,TX,79903,3
489211,NC,27577,1
565233,GA,30319,5
395544,CA,91711,
477136,VA,22406,1
428835,KS,67226,
241572,WA,98596,
375581,NJ,7871,3
497669,MA,2482,3
241851,WV,25702,3
671480,IN,46308,4
623803,VA,23114,4
620416,MD,21904,3
138698,TX,75077,2
126218,CO,81005,3
467830,TX,75615,1
219268,OH,45805,
679646,AR,72903,1
744130,TX,77536,
6224,NY,14416,
683033,MI,49014,3
484513,TX,77502,
34941,MI,48152,
429374,CA,91710,1
531004,NV,89131,1
519163,MD,20832,4
252930,GA,31406,3
363001,NY,10310,3
300110,TX,77479,1
655586,FL,34654,3
736333,KY,40359,2
703912,TX,79603,3
572360,IN,46240,3
547376,MO,63301,3
373635,MD,21214,2
385400,MI,48150,2
93417,NY,10303,1
653941,PA,19020,3
417350,NJ,7762,4
737571,NY,13212,
412057,CA,93203,
386490,TX,79761,
520467,NY,11050,4
518240,OH,45011,3
35983,MO,63017,1
656807,IN,46151,3
126394,TX,76116,1
312307,PA,18020,1
326721,IN,46055,4
242080,GA,30139,3
277515,FL,32309,
339209,LA,70454,1
130253,MN,56466,1
144546,TX,77429,2
306248,VA,20148,1
526997,IN,46123,3
532299,FL,33012,1
723440,TX,77379,2
146018,CA,92629,
725934,MA,1831,
260577,FL,33873,3
252283,CA,92307,3
719087,SC,29575,3
136647,WA,98012,1
617325,MD,21078,3
716471,IL,62401,3
471618,PA,15801,3
581373,TX,75687,1
740013,SC,29485,
641396,MD,21014,
161710,NC,28025,1
415004,FL,33950,5
744894,NC,27298,
527916,LA,70056,2
498324,MA,2143,
695644,TX,75704,2
626609,PA,17557,4
339898,WI,54304,2
533486,GA,31905,1
41046,MO,63108,3
556747,NC,28752,3
89210,NJ,7088,4
234552,AZ,85008,3
557822,NY,12208,2
708913,MS,39110,1
4466,MD,20901,3
566987,FL,32828,
329152,GA,30046,1
747887,WI,54130,1
201844,NV,89701,
326836,MN,55904,3
392006,ND,58416,3
460349,FL,34240,5
34713,TX,75088,5
366602,MI,48732,1
196880,UT,84128,3
208233,MI,48114,3
652652,FL,33314,1
334420,NC,27707,3
568813,AL,36618,5
603184,IN,47203,4
141546,KY,40505,
479864,CO,80302,
513310,CA,95616,1
10490,OH,44256,3
304146,FL,33598,1
687945,PA,18925,
173824,NC,28787,5
36216,NJ,8817,4
133742,IN,46804,
733884,PA,17112,1
291317,NV,89128,3
371642,SC,29108,
234002,IL,60660,
238840,FL,34786,
424508,TN,37214,4
56154,NY,13069,4
262078,NJ,7677,
104056,OH,43917,2
744785,NY,10022,
280285,IA,50003,3
345828,NC,28083,5
278407,NC,28655,1
736076,MD,21502,
541512,WY,82601,1
305535,IL,60016,1
655328,AL,35630,
514093,OK,73045,3
448337,WV,26601,3
690798,FL,32839,
382279,OH,44820,3
161876,MI,48238,
402479,DE,19808,
354872,PA,17801,3
214331,VA,23505,1
739446,VA,22314,5
236994,KY,41537,1
447293,NV,89434,1
291730,NY,12304,
588407,FL,33773,
191876,NY,12883,4
663219,MO,63901,5
109154,PA,19382,5
684926,CA,93711,2
73307,NY,10960,4
482312,VA,23842,1
155134,MI,48101,
513409,PA,19012,3
119266,NJ,8807,4
325907,IL,60126,4
719603,CA,92154,
628072,AZ,85140,2
478222,GA,31418,3
394580,FL,32907,2
702894,ME,4072,
284119,PA,15221,
205788,PA,18966,5
437108,OH,44646,4
370157,WA,98849,2
114635,FL,34689,3
627404,OH,43935,3
564687,WV,26836,3
565049,MN,55110,4
468831,OH,45052,3
355835,OH,45213,3
656806,MI,49057,
486829,WI,54011,
443354,OH,44883,3
557817,FL,32808,
558024,DC,20011,3
600893,TX,75149,3
712938,NJ,7830,3
184421,CA,90403,4
530028,PA,15090,3
689018,SC,29316,1
16507,PA,15106,3
13756,PA,18104,4
443234,CA,96150,5
38458,PA,19026,1
296173,GA,30087,
448319,PA,18914,3
22211,MI,48331,3
626377,IN,46268,3
130778,IN,47638,3
415790,PA,15005,3
283389,VA,24501,1
67086,KS,67665,3
428559,NM,88012,
718168,OH,45850,1
9864,TX,78411,3
131014,NY,14623,
15511,NC,28160,5
632412,IL,60657,3
437100,HI,96826,3
73273,NY,11758,4
414806,NC,28752,2
65414,CA,91942,3
203041,TX,78566,1
207133,WA,98327,2
578685,AK,99507,2
686357,FL,33157,
380099,FL,33462,1
452137,MD,20603,1
580957,MA,2062,
237366,MI,48126,
541067,CA,95206,3
534438,TX,78148,4
654775,UT,84655,4
272257,CA,95953,1
289108,IL,61401,3
608011,IN,46259,1
728841,TX,77613,
36711,NY,10954,
698104,OH,44401,3
379404,CA,93215,3
643113,WY,82001,4
352771,MO,63367,
235107,NY,12754,
694431,TX,78245,1
504682,OH,45323,3
369499,GA,31206,4
637439,SC,29464,1
621497,NV,89044,3
523567,PA,17960,5
547686,NY,11040,
110463,NC,27536,
334413,VA,20120,5
293037,GA,30087,5
193546,NC,28546,1
260891,WI,53039,4
250328,PA,15120,4
657490,AZ,85041,2
492653,MI,49460,
561548,GA,30273,3
632724,MA,2726,5
71363,CA,92648,4
375980,ME,4073,
173544,CO,80129,1
623784,WI,53406,3
224175,MN,56007,3
92675,SC,29412,3
272512,IL,62838,1
319651,OH,43209,4
211260,MD,20851,
365427,WV,26408,3
720690,WA,98042,4
690067,CA,95687,
402804,CA,91320,1
672121,MD,21093,4
118569,MI,48532,3
396367,NJ,7728,
562971,NC,27523,4
568934,FL,34761,3
94920,TX,78374,1
362915,OH,44212,1
732807,AK,99516,
47645,VA,24153,
219058,FL,32703,
254380,TX,79119,2
161670,NJ,8861,5
525235,GA,30022,
600468,CO,81201,1
724561,SC,29223,4
658846,IL,61010,3
287175,CA,94070,1
38501,FL,32311,1
510487,NC,28027,
44046,NC,28752,3
376394,MD,20782,
571978,TX,79423,3
743988,IL,60527,
487462,CA,94523,3
205889,OH,45385,1
40097,IL,60619,
220697,CA,95472,1
213553,MD,21222,4
338693,TN,37663,
