"","PRODUCT_ID","PACKING_SLIP_DESC","MERCH_DIV_DESC","BRAND_NAME"
"28",14374,"philosophy grace scented olive oil body scrub &","Health/Beauty","philosophy"
"29",19910,"Denim & Co. 3/4 Sleeve Duet Top with Inset and","Apparel","Denim & Co."
"30",20318,"Susan Graver Retro Print Georgette Top","Apparel","Susan Graver"
"31",4553,"Bob Mackie's Zip Front Jacket with Stud Detail","Apparel","Bob Mackie"
"32",22862,"PC Treasures Software Bundle w/ Lifetime Tech","Electronics","Not Known"
"33",22908,"Apple iPad Mini 64GB WiFi Tablet w/ &","Electronics","Not Known"
"34",58370,"Corazonas Healthy Snack 24-pk. All Natural","Home Decor","Corazonas"
"35",58860,"Bliss Hammocks XL Gravity Free Recliner w/Tray","Home Decor","Bliss Hammocks"
"36",7853,"Susan Graver Brushed French Terry V-neck 3/4","Apparel","Susan Graver"
"37",13295,"Vionic w/ Orthaheel Porto III Orthotic Triple","Accessories","Vionic with Orthaheel Technology"
"38",58041,"Set of 2 (14) Easy Plant Hanging Planters""","Home Decor","Langdon"
"39",58127,"Set of 6 Battery Operated Motion Activated LED","Home Decor","N/A"
"40",59897,"A-D KIND Bar (18)1.4oz Chocolate Plus Snack Bar","Home Decor","KIND"
"41",12598,"Clarks Bendables Lexi Holly Leather Lightweight","Accessories","Clarks"
"42",13776,"Mally 4-piece Eye Amplifying Shadow Liner","Health/Beauty","Mally Beauty"
"43",39372,"Tacori IV Diamonique Epiphany Bloom Cut","Jewelry","Not Known"
"44",29131,"Temp-tations Old World 4pc Dessert Plate or Mug","Home Decor","Temp-tations"
"45",2,"Barely Breezies Set of 5 Combed Cotton Panties","Accessories","Not Known"
"46",58837,"Roberta's 6-pc Limitless Water Me Not Stonecrop","Home Decor","Roberta's"
"47",10629,"Clarks Bendables Sapphire June Leather Shooties","Accessories","Clarks"
"48",2287,"Susan Graver Liquid Knit Tunic Top w/Origami","Apparel","Susan Graver"
"49",32329,"Mr.Christmas Set of 5 Customer Choice Porcelain","Home Decor","Mr. Christmas"
"50",6787,"IT Cosmetics Hello Lashes 5-in-1 Volumizing","Health/Beauty","IT Cosmetics"
"51",26877,"The Epicurious Cookbook"" by Tanya""","Home Decor","N/A"
"52",32145,"Candle Impressions Holiday Holder & Melted","Home Decor","Candle Impressions"
"53",11652,"Mally 10-pc Slimline Lip Gloss","Health/Beauty","Mally Beauty"
"54",32737,"Set of 2 Nail Pak All n' 1 Polish,","Home Decor","Lori Greiner"
"55",32605,"Susan Wingett Perpetual Calendar by Valerie","Home Decor","Valerie Parr Hill"
"56",30959,"Tie'em Ups Set of 40 Flexible 12 Reusable""","Home Decor","Tie'em Ups"
"57",31003,"Holiday Scene 36x26"" FiberOptic WallTapestry""","Home Decor","N/A"
"58",26582,"Set of 3 Multi-Color Reversible Fleece","Fun & Leisure","N/A"
"59",58760,"Georgetown Cupcakes 12-pc. Holiday Celebration","Home Decor","Not Known"
"60",61137,"My Friendship Bracelet Maker Peace Sign Design","Entertainment","My Friendship Bracelet Maker"
"61",60367,"Nine West Croco Embossed Low Heel Penny Loafers","PUBLIC RELATION","Nine West"
"62",10738,"Susan Graver Animal Print Ponte Boyfriend Jkt w","Apparel","Susan Graver"
"63",13599,"WEN by Chaz Dean Fall Ginger Pumpkin 3-piece","Health/Beauty","Not Known"
"64",4615,"Ryka Leather & Stretch Mules with Rocker","Accessories","Ryka"
"65",43327,"Ann King Sterling Passion Pattern Gemstone","Jewelry","Ann King"
"66",20331,"A-D WEN by Chaz Dean Fig, 32oz.","Health/Beauty","WEN"
"67",54531,"Rachael Ray 8-piece Kitchen Utensil Set","Home Decor","Rachael Ray"
"68",2449,"Breezies S/2 Lace Eclipse Underwire Support","Accessories","Breezies"
"69",11587,"Jockey Shapewear 3-panel High Back Scoop","Accessories","Jockey"
"70",1642,"Bob Mackie's Peacock Plume 3/4 Sleeve","Apparel","Bob Mackie"
"71",61559,"Green Rack Foldable Heavy Duty Drying & Storage","Housewares","Green Rack"
"72",11063,"Denim & Co. Essentials U-Neck Velvet Tunic","Apparel","Denim & Co."
"73",44123,"Hagit Sterl.Sculpted CulturedPearl Lever","Jewelry","Hagit"
"74",2481,"Woolrich Spa Slippers with Aloe Vera Infused","Fun & Leisure","Woolrich"
"75",6654,"LOGO by Lori Goldstein Cape with Faux Leather","Apparel","Logo by Lori Goldstein"
"76",20261,"Clarks Bendables Mandy May Tumbled Leather Dbl.","Accessories","Clarks"
"77",60400,"Eastland Open-Back Red Leather Clogs w/ Buckle","PUBLIC RELATION","Eastland"
"78",46433,"Steel by Design Set of 4 Bezel Set","Jewelry","Steel by Design"
"79",45652,"Black Hills Heart Leaf & Diamonique","Jewelry","Black Hills"
"80",8417,"Mark of Style by Mark Zunino Long Sleeve Dress","Apparel","Mark of Style by Mark Zunino"
"81",5862,"Ryka Suede & Neoprene Slip-on Comfort Clogs","Accessories","Ryka"
"82",5975,"Women with Control Comfort Fold Tall Length","Apparel","Women with Control"
"83",10614,"M by Marc Bouwer Knit Top with Cutout","Apparel","M by Marc Bouwer"
"84",8489,"Luxe Rachel Zoe Watercolor Peacock Print","Apparel","Luxe Rachel Zoe"
"85",11894,"Bob Mackie's Open Front Cardigan & Tiger Sequin","Apparel","Bob Mackie"
"86",56018,"Sachi City Chic"" Metallic Faux Leather""","Home Decor","Sachi Fashion"
"87",42924,"Isaac Mizrahi Live! Snakeskin Embossed Leather","Costume Jewelry","Isaac Mizrahi Live!"
"88",26611,"Brenda DyGraf Total Body AirClimber with Step","Fun & Leisure","Brenda Dygraf"
"89",42961,"Epiphany Diamonique 100-Facet 3.00 ct tw","Jewelry","Epiphany"
"90",20788,"Susan Graver Butterknit Top with Lace Collar &","Apparel","Susan Graver"
"91",16271,"Bob Mackie's Two-toned Colorblock Embroidered","Apparel","Bob Mackie"
"92",6577,"Denim & Co. Long Sleeve Plaid Shirt with Solid","Apparel","Denim & Co."
"93",31962,"Luminara 7 Battery Operated Flameless Candle""","Home Decor","Luminara"
"94",61589,"Stander Metro Car Handle Support Non-Slip","Housewares","Stander"
"95",6636,"Women with Control Tall Knit Fly Front Jeggings","Apparel","Women with Control"
"96",54623,"Kuhn Rikon Set of 2 Nonstick Flexible Spatulas","Home Decor","Kuhn Rikon"
"97",11361,"Isaac Mizrahi Live! Icon Marilyn Stretch","Apparel","Isaac Mizrahi Live!"
"98",6163,"Denim & Co. 3/4 Sleeve Cowl Neck Knit Tunic w/","Apparel","Denim & Co."
"99",31996,"Luminara Flameless Candle Remote Control","Home Decor","Luminara"
"100",11416,"Denim & Co. Envelope Collar Sweater with Button","Apparel","Denim & Co."
"101",47144,"Stainless Steel Crystal Initial Pendant","Jewelry","Not Known"
"102",1435,"Susan Graver Essentials Liquid Knit Elbow","Apparel","Susan Graver"
"103",10396,"Denim & Co. 3/4 Sleeve Tee with Sequin Stripe","Apparel","Denim & Co."
"104",18684,"Breezies Set of 4 Nylon Lycra Brief Panties","Accessories","Breezies"
"105",45992,"As Is"" Judith Ripka Sterling Turquoise""","Jewelry","Judith Ripka"
"106",56154,"Latina Oil Finished Light Weight Cast Iron","Home Decor","Good Living by Latina"
"107",37199,"Prerogatives Sterling Triangle Alphabet Bead","IQVC Divisional","Prerogatives"
"108",10514,"Isaac Mizrahi Live! Leopard Print Fully Lined","Apparel","Isaac Mizrahi Live!"
"109",1030,"KLOGS Newport Collection Zurich Slip-Ons","IQVC Divisional","Klogs"
"110",20204,"Breezies S/2 Wild Rose Wirefree","Accessories","Breezies"
"111",7652,"Liz Claiborne New York Jackie Denim","Apparel","Liz Claiborne New York"
"112",40105,"Steel by Design Simulated Diamond 2-Piece","Jewelry","Steel by Design"
"113",10194,"Clarks Bendables Lexi Arctic Lightweight","Accessories","Clarks"
"114",8084,"Linea by Louis Dell'Olio Scoopneck Paisley","Apparel","Linea by Louis Dell'Olio"
"115",12295,"Dooney & Bourke Dillen Leather Blair Satchel","Accessories","Dooney & Bourke"
"116",7138,"Liz Claiborne New York Draped Open Front","Apparel","Liz Claiborne New York"
"117",2874,"KLOGS Newport Collection Syracuse Leather Clogs","IQVC Divisional","Klogs"
"118",13216,"Proactiv Super Size 6pc Day & Night Acne","Health/Beauty","Proactiv"
"119",60375,"Belle by Sigerson Morrison Gladiator Heeled","PUBLIC RELATION","Belle by Sigerson Morrison"
"120",7156,"Dennis Basso Long Sleeve Turtleneck Sweater","Apparel","Dennis Basso"
"121",20110,"bareMinerals Matte SPF 15 Foundation","Health/Beauty","bareMinerals"
"122",27360,"Marcy Magnetic Upright Bike","IQVC Divisional","Marcy"
"123",56092,"Stainless Steel Professional Pineapple Slicer","Home Decor","N/A"
"124",31184,"Bethlehem Lights Set of 2 Batt.Op. Halloween","Home Decor","Bethlehem Lights"
"125",50126,"Prerogatives Sterling 1-1/4 Round Hoop Earring""","IQVC Divisional","Prerogatives"
"126",10965,"philosophy full of promise firming moisturizer","Health/Beauty","philosophy"
"127",4508,"Isaac Mizrahi Live! Pebble Leather Hobo with","Accessories","Isaac Mizrahi Live!"
"128",46905,"Bold Multi-Gemstone Tonal Sterling Collar","Jewelry","Not Known"
"129",43204,"Click Secure Self-Locking Magnetic Clasp","Jewelry","ClickSecure"
"130",33210,"NFL Northwest Team Logo Throw Blanket","License Hardgds","NFL"
"131",4322,"Josie Maran Whipped Argan Body Butter Duo","Health/Beauty","Josie Maran"
"132",41154,"Sterling Interlocking Polished Oval Hoop","Jewelry","N/A"
"133",43043,"American West Sterling 28 Bead Station""","Jewelry","American West"
"134",43000,"American West Sterling/Brass Heart & Key Horse","Jewelry","American West"
"135",56107,"Lock & Lock 7-piece Bowl Storage Set with","Home Decor","Lock & Lock"
"136",9835,"Hairdo by Ken Paves 18 Long Layered Clip-In""","Health/Beauty","hairdo"
"137",10301,"Susan Graver Straight Leg 5-pocket Denim Jeans","Apparel","Susan Graver"
"138",52007,"Epiphany Diamonique 4/10 ct tw Eternity Band Ri","IQVC Divisional","Epiphany"
"139",42827,"12.00 ct tw Brazilian Gemstone Sterling Ring","Jewelry","N/A"
"140",45392,"VicenzaSilver Sterling Elongated Hidden Closure","Jewelry","VicenzaSilver"
"141",987,"Mally Beauty 24/7 Professional Eyelining Pencil","IQVC Divisional","Mally Beauty"
"142",40332,"Arte d'Argento Sterling Bold Polished","Jewelry","Arte d'Argento"
"143",46910,"VicenzaSilver Sterling Diamond Cut Triple Hoop","PUBLIC RELATION","Not Known"
"144",11538,"tarte LipSurgence Lip Shine Pencil Duo with","Health/Beauty","tarte"
"145",11053,"WEN by Chaz Dean Replenishing Treatment Mist","Health/Beauty","WEN"
"146",18672,"Denim & Co. Petite Modern Waist Stretch","Apparel","Denim & Co."
"147",12665,"As Is"" Elisabeth Hasselbeck Dialogue Chambray""","Apparel","Elisabeth Hasselbeck for Dialogue"
"148",40476,"Epiphany Diamonique 2.95 ct tw 100-Facet 2-pc.","Jewelry","Epiphany"
"149",45292,"VicenzaSilver Sterling Average Labradorite","Jewelry","VicenzaSilver"
"150",6761,"Louis Dell'Olio Faux Suede Mid-Calf Riding","Apparel","Linea by Louis Dell'Olio"
"151",5275,"Joan Rivers Ruffle Front 3/4 Sleeve Wrap Dress","Apparel","Joan Rivers"
"152",45398,"Sterling Bold Polished Cross-Over Design","Jewelry","N/A"
"153",38596,"Cultured Freshwater Pearl Station Cord 36"",Jewelry""","N/A",""
"154",8504,"Dr. Denese HydroShield AcquaCell 3-pc Treatment","Health/Beauty","Dr. Denese"
"156",61571,"Sunbeam King Size Reversible Heating Pad w/","Housewares","Sunbeam"
"157",61717,"Scrub Daddy Set of 6 Flex Texture Scratch Free","Housewares","Scrub Daddy"
"158",3864,"Liz Claiborne New York Brushed Twill Blazer w/","Apparel","Liz Claiborne New York"
"159",18899,"Susan Graver Essentials Butterknit V-neck Long","Apparel","Susan Graver"
"160",58033,"A-D Kansas City (16) 4.5 oz. Steakburgers","Home Decor","Kansas City Steak"
"161",32260,"Liberty 9-piece Color Blocked Comforter Set","Textile/Furnit","N/A"
"162",12113,"A-D philosophy invitation to makeup optional","Health/Beauty","philosophy"
"163",31496,"Indigo Blue Quilt and Sham Set","Textile/Furnit","N/A"
"164",18578,"philosophy super-size purity made simple, 32 oz","Health/Beauty","philosophy"
"165",44842,"Susan Graver Set of 6 Interlocking Sparkle Cut","Costume Jewelry","Susan Graver"
"166",20566,"TOVA Signature Autumn 1.7oz Eau de Parfum","Health/Beauty","Tova"
"167",3094,"Denim & Co. Regular Classic Waist Brushed Twill","Apparel","Denim & Co."
"168",6333,"Clarks Bendables May Flower Leather","Accessories","Clarks"
"169",42649,"Suarti Artisan Crafted Sterling 16 Tulang Naga""","Jewelry","Suarti"
"170",9688,"Linea by Louis Dell'Olio 3/4 Sleeve Open Work","Apparel","Linea by Louis Dell'Olio"
"171",735,"Clinique Blushing Blush Powder Blush","IQVC Divisional","Clinique"
"172",6953,"Clarks Leather Snake Detail Shooties -","Accessories","Clarks"
"173",3239,"Isaac Mizrahi Live! Essentials Long Sleeve","Apparel","Isaac Mizrahi Live!"
"174",17443,"Aerosoles Tapenade Boots","IQVC Divisional","Aerosoles"
"175",55975,"Lock & Lock Set of 2 Bulk Storage Containers","Home Decor","Not Known"
"176",56196,"Temp-tations Old World Loaf Pan with Ceramic","Home Decor","Temp-tations"
"177",3086,"Bob Mackie's Dragonfly Beaded and Embroidered","Apparel","Bob Mackie"
"178",44271,"KJL Beaded Enamel Hoop Earrings","Costume Jewelry","Kenneth Jay Lane"
"179",44075,"Solvar Sterling Silver Freshwater Pearl","App/Accss Event","Solvar"
"180",16809,"Aerosoles Magical Power Leather Pumps","IQVC Divisional","Aerosoles"
"181",2861,"Aerosoles Ivory Tree Nubuck Leather Moccasins","IQVC Divisional","Aerosoles"
"182",1083,"Aerosoles Beckon Ballet Flats","IQVC Divisional","Aerosoles"
"183",31799,"Northern Nights Chloe 400TC 100% Cotton Sheet","Textile/Furnit","Northern Nights"
"184",56646,"Don Aslett's Super Absorbent Mop","IQVC Divisional","Don Aslett"
"185",31765,"Home Reflections Solid & Vine Reversible KG","Textile/Furnit","Home Reflections"
"186",20266,"philosophy super-size baby grace perfumed bath","Health/Beauty","philosophy"
"187",55965,"Keurig 36 K-Cups Coffee People Original","Home Decor","Keurig"
"188",10333,"Quacker Factory Sparkle & Shine Animal Print","Apparel","Quacker Factory"
"189",44019,"1.40 ct tw Kanchanaburi Sapphire & 1/10 ct tw","Jewelry","N/A"
"190",1180,"WEN by Chaz Dean Sweet Almond Mint & Tea Tree","Health/Beauty","WEN"
"191",8611,"Spanx Hide & Sleek Open Bust Bodysuit","Accessories","Spanx"
"192",46899,"UltraFine Silver 7-1/4 Riccio""","Jewelry","UltraFine"
"193",2099,"Fresh Sugar Lip Treatment SPF 15","Health/Beauty","Fresh"
"194",4062,"Quacker Factory Pearly Beaded Embroid Summer","Apparel","Quacker Factory"
"195",44273,"KJL Hammered Cabochon Bracelet","Costume Jewelry","Kenneth Jay Lane"
"196",43787,"KJL Sparkling Bead 36 Necklace""","Costume Jewelry","Kenneth Jay Lane"
"197",11314,"Ojon Super-Size Restore & Revitalize","Health/Beauty","Ojon"
"198",6526,"It Cosmetics Brow Power Universal Brow & Brow","Health/Beauty","IT Cosmetics"
"199",11575,"Dennis Basso Distressed Faux Shearling Coat","Apparel","Dennis Basso"
"200",67,"T.I.P.S. Ultimate Survival 3pc Kit for Nails","Health/Beauty","TIPS"
"201",38334,"Hidalgo Diamonique Sterling Snake Print Pave","Jewelry","Hidalgo"
"202",8696,"WEN by Chaz Dean Six Thirteen Replenishing","Health/Beauty","WEN"
"203",37456,"Judith Ripka Sterling Cultured Freshwater Drop","Jewelry","Judith Ripka"
"204",58278,"Authentic Gourmet 26 French Made Chocolate","Home Decor","Authentic Gourmet"
"205",55073,"Magic Chef Four-Slice Toaster","IQVC Divisional","Magic Chef"
"206",27933,"Set of 4 3.5 LED Color Changing Holiday""","Home Decor","N/A"
"207",40411,"KJL Woven Chain Simulated Pearl Bracelet","Costume Jewelry","Kenneth Jay Lane"
"208",31912,"S/2 Faux Leather Fold-Up Storage Ottomans w/","Home Decor","Valerie Parr Hill"
"209",6250,"Nick Chavez Advanced Volume Shampoo and","Health/Beauty","Nick Chavez"
"210",31066,"Gold Leaf Holy Family Figurine by Valerie","Home Decor","Valerie Parr Hill"
"211",57011,"Keurig 96ct Celestial Seasonings Sweet Iced Tea","IQVC Divisional","Keurig"
"212",44298,"Honora Cultured Pearl 11.0mm Clouds"" Sterling""","Jewelry","Honora"
"213",45360,"Angela by John Hardy Sterling/14K & Turquoise","Jewelry","Angela by John Hardy"
"214",442,"Sue Devitt Eye Intensifier Pencil","IQVC Divisional","Sue Devitt"
"215",32640,"BethlehemLights Batt.Op S/2 8ft. Harvest Ultra","Home Decor","Bethlehem Lights"
"216",61539,"Sharper Image 12V Heated Auto Seat Cushion w/","Electronics","Sharper Image"
"217",41276,"Angela by John Hardy Sterling/14K Cushion","Jewelry","Angela by John Hardy"
"218",57212,"Germack Four Part All Nut Party Tray","IQVC Divisional","Germack"
"219",17783,"Laura Geller Brush Trio with Bag","IQVC Divisional","Laura Geller"
"220",10981,"Vera Bradley Signature Print Convrt. Frannie w/","Accessories","Vera Bradley"
"221",9889,"Couture Colour Luxeblend Creme Hair Colour with","Health/Beauty","Couture Colour"
"222",12864,"Josie Maran Head to Toe Discovery Trio","Health/Beauty","Josie Maran"
"223",55750,"Chris Freytag Snow Cone Maker with Syrup and","Home Decor","Chris Freytag"
"224",5673,"Susan Graver Liquid Knit Cascading Cardigan &","Apparel","Susan Graver"
"225",5729,"Susan Graver Distressed Faux Leather Snap Front","Apparel","Susan Graver"
"226",17409,"Easy Street Maine Pleated Ankle Boots","IQVC Divisional","Easy Street"
"227",31549,"Home Reflections Dobby Weave King Down Alt.","Textile/Furnit","Home Reflections"
"228",4229,"Quacker Factory DreamJeannes"" Knit""","Apparel","Not Known"
"229",11219,"Denim & Co. Regular Classic Waist Colored Denim","Apparel","Denim & Co."
"230",36139,"Diamonique 0.75 ct tw Round Stud Earrings, 14KG","IQVC Divisional","Diamonique"
"231",40330,"Joan Rivers Beaded Brilliance Stretch","Costume Jewelry","Joan Rivers"
"232",53701,"Breville Panini Duo","IQVC Divisional","Breville"
"233",13838,"As Is"" Dooney & Bourke Leather Harrison Hobo""","Accessories","Dooney & Bourke"
"234",33731,"Travelon 7-Day Pill Planner","IQVC Divisional","Travelon"
"235",44101,"As Is"" Or Paz Sterling Gemstone Heart Necklace""","Jewelry","Or Paz"
"236",26784,"Big Book of Cupcakes"" Cookbook by Southern""","Home Decor","Southern Living"
"237",6424,"White Mountain Tall Shaft Boots with Side Zip &","Accessories","White Mountain"
"238",31323,"Home Reflections Floral Fern Microfiber QN","Textile/Furnit","Home Reflections"
"239",6206,"Joan Rivers Luxe Faux Fur Vest","Apparel","Joan Rivers"
"240",11263,"Breezies S/6 Cotton High-Cut Brief Panties","Accessories","Breezies"
"241",19369,"Olivella Set of 6 100% Virgin Olive Oil Beauty","Health/Beauty","Olivella"
"242",3285,"Bare Traps Water Resistant Faux Fur Boots with","Accessories","BareTraps"
"243",45286,"Carolyn Pollack Blushing Joy Gemstone Mixed","Jewelry","Carolyn Pollack"
"244",37483,"Diamonique Sterling 4.00 ct tw Pear Lever Back","Jewelry","Diamonique"
"245",30900,"Isaac Mizrahi Live  4-PC Queen Size 300TC","Textile/Furnit","Isaac Mizrahi Live!"
"246",33665,"Ships 10/26 Sleep Number Signature Series","Textile/Furnit","Not Known"
"247",20355,"Susan Graver Essentials Liquid Knit Lace Trim","Apparel","Susan Graver"
"248",55949,"Keurig 36 K-Cups GMC Half-Caff & Caribou's","Home Decor","Keurig"
"249",44595,"Judith Ripka Sterling 1.85ct Diamonique","Jewelry","Judith Ripka"
"250",5600,"Liz Claiborne New York Clover Logo Metal Frame","Accessories","Liz Claiborne New York"
"251",5548,"bareMinerals Prime Time Brightening Foundation","Health/Beauty","bareMinerals"
"252",1734,"Bradley by Bradley Bayou Lamb Leather Jacket w/","Apparel","Bradley by Bradley Bayou"
"253",5753,"Bob Mackie's Urban Safari Slim Knit Pants","Apparel","Bob Mackie"
"254",41167,"Drusy Quartz Snowflake Sterling Enhancer","Jewelry","Not Known"
"255",30985,"BethlehemLights Batt.Op.50ct UltraThin Metallic","Home Decor","Bethlehem Lights"
"256",45729,"Bronzo Italia Mother-of-Pearl Diamond Accent","Jewelry","Bronzo Italia"
"257",18934,"Denim & Co. How Timeless"" Tall Stretch Denim""","Apparel","Denim & Co."
"258",15484,"Murad Essential-C Sun Undone Kit","IQVC Divisional","Murad"
"259",37289,"Sterling French Fries Charm","IQVC Divisional","N/A"
"260",45207,"Angela by John Hardy Sterling/14K 18 Station""","Jewelry","Angela by John Hardy"
"261",61187,"Fuller Brush Set of 2 Extra Strength Bowl Clean","IQVC Divisional","Fuller Brush"
"262",19004,"Breezies Set of 2 Seamless Support Bras w/","Accessories","Breezies"
"263",20723,"WEN by Chaz Dean 16 oz. Cleansing Cond. w/Comb","Health/Beauty","WEN"
"264",19349,"Laura Geller Spackle Tint Under Makeup","Health/Beauty","Laura Geller"
"265",47360,"Bronzo Italia Bold Polished Rectangular Design","Jewelry","Not Known"
"266",45902,"Bronzo Italia Cushion Shape Gemstone","Jewelry","Bronzo Italia"
"267",2916,"Susan Graver Illusions Waist Defining Reg. Soho","Apparel","Susan Graver"
"268",26600,"AeroPilates Head and Neck Support Pillow","Fun & Leisure","AeroPilates"
"269",43419,"Steel by Design Crystal Evil Eye Cuff Bracelet","Jewelry","Steel by Design"
"270",21380,"iHome FM Alarm Clock Radio for iPhone or iPod","Electronics","iHome"
"271",54532,"Rachael Ray 3-piece Lazy Spoon, Ladle & Slotted","Home Decor","Rachael Ray"
"272",55626,"Temp-tations Old World 13-pc. Lid-it Oven-to","Home Decor","Temp-tations"
"273",6968,"Susan Graver Essentials Liquid Knit V-neck Long","Apparel","Susan Graver"
"274",31888,"Temp-tations Old World Bistro Canister Set w/","Home Decor","Temp-tations"
"275",61674,"Dr Scholls Auto-Pro Full Cushion Heat Massager","Electronics","Dr. Scholl's"
"276",7193,"Liz Claiborne New York Mixed Stitch Marled","Apparel","Liz Claiborne New York"
"277",40027,"Diamonique 6.00ct Mesh Wrapped","Jewelry","Diamonique"
"278",25048,"Google Nexus 7 16GB WiFi Tablet with Android4.""","IQVC Divisional","Asus"
"279",21722,"SquareTrade 3-Year Service Contract:Electronics","IQVC Divisional","SquareTrade"
"280",9853,"Vera Bradley Signature Print Convertible","Accessories","Vera Bradley"
"281",18885,"Dennis Basso Faux Fur Toggle Closure Coat w/","Apparel","Dennis Basso"
"282",43308,"Michael Dawkins Sterling Faceted Mother-of-","Jewelry","Michael Dawkins"
"283",5180,"Judith Ripka Jacquard Zip Top Satchel","Accessories","Judith Ripka"
"284",39892,"Joan Rivers Classic Jeweltone  Braided Torsade","Costume Jewelry","Joan Rivers"
"285",37066,"Epiphany Diamonique 4.00 ct tw Princess Cut","IQVC Divisional","Epiphany"
"286",19371,"Kathleen Kirkwood Sonic Slimmers boy oh boy","Accessories","Kathleen Kirkwood"
"287",11886,"Liz Claiborne New York Ikat Floral Printed","Apparel","Liz Claiborne New York"
"288",45136,"Linea by Louis Dell'Olio Fleur-de-Lis Cross","Costume Jewelry","Linea by Louis Dell'Olio"
"289",8094,"Joan Rivers Lace Accented Draped Front Cardigan","Apparel","Joan Rivers"
"290",57045,"Keurig 108ct Gloria Jean's Hazelnut K-cup Pack","IQVC Divisional","Keurig"
"291",7474,"Women with Control 3/4 Sleeve Scoop Neck","Apparel","Women with Control"
"292",31767,"5-Pack Fragrance Melts by Valerie","Home Decor","Valerie Parr Hill"
"293",19013,"bareMinerals Flawless Definition Mascara","Health/Beauty","bareMinerals"
"294",1473,"Isaac Mizrahi Live! Trench Coat with Logo","Apparel","Isaac Mizrahi Live!"
"295",55568,"Temp-tations Polka Dot 4-piece Soup &","Home Decor","Temp-tations"
"296",2371,"Jacqueline Kennedy Onassis Classic Square","Accessories","Jacqueline Kennedy"
"297",32206,"Home Reflections Elephant with Flameless","Home Decor","Home Reflections"
"299",31300,"Luminara 15 Lantern w/FlamelessCandle by""","Home Decor","Bethlehem Lights"
"300",6574,"Denim & Co. Essentials Long Sleeve Sweater","Apparel","Denim & Co."
"301",23277,"Hello Kitty KT2028A Stereo CD Boombox with Cass","IQVC Divisional","Hello Kitty"
"302",6811,"CE by Cristina Ehrlich Long Coat with","Apparel","CE by Cristina Ehrlich"
"303",2347,"3 Pair of X-Odor Sport Crew Socks","Fun & Leisure","X-Odor"
"304",32259,"Luminara 9 Snowflake Embossed Flameless Candle""","Home Decor","Luminara"
"305",8410,"Mark of Style by Mark Zunino Ruffle Front","Apparel","Mark of Style by Mark Zunino"
"306",31226,"Bethlehem Lights Battery Op. Waterball","Home Decor","Bethlehem Lights"
"307",61415,"Professional Stain Remover Liquid & Aerosol","Housewares","Campanelli Products"
"308",57805,"St. Clair (3) 2lb. Perfect Southern Side Dish","Home Decor","St. Clair"
"309",32451,"Temp-tations Figural Angel Bell with Gift Box","Home Decor","Temp-tations"
"310",1729,"Peter Thomas Roth Mascara Duo","Health/Beauty","Peter Thomas Roth"
